Cultivar,Sample_Number,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61
Samcheonbyeo,1,2775.008,4074.942,5749.939,6908.798,7961.773,9671.179,12641.765,16366.427,14881.654,17750.048,20632.144,21374.594,20077.981,27640.551,27030.875,33217.537,27534.99,31763.826,42863.346,43217.32,47355.294,47205.538,47765.456,49475.685,49801.546,44922.913,47899.427,53988.249,49923.649,55057.287,55962.433,56031.834,59781.346,55580.496,59050.781,63340.561,68916.976,56881.443,52396.931,54630.496,53601.805,49842.116,45539.667,44812.582,48777.097,45384.778,47238.549,47270.605,43964.103,41044.842,44524.779,46587.601,42553.614,40795.016,43936.585,44822.748,49057.769,46604.176,47675.664,48711.001,44118.227
Samcheonbyeo,2,2416.287,3017.999,3392.929,4755.803,5835.386,8620.742,10715.026,9158.896,15803.342,15196.326,17916.243,22835.389,20282.992,22154.245,23050.241,24384.408,29129.79,29956.018,31546.549,30375.425,33713.159,34020.963,38569.645,36993.472,40125.133,43303.236,42087.704,52348.232,48328.238,49573.418,46819.455,43292.006,49837.789,55100.132,61414.508,58710.499,57629.312,58732.005,59606.049,53438.775,57978.562,54166.794,49378.169,47325.162,49153.837,49265.041,49345.003,52476.68,56621.542,56955.904,58822.963,52341.686,49773.532,47208.341,52399.737,57497.149,57715.756,56396.439,52805.177,56097.99,52159.001
Samcheonbyeo,3,2707.383,3647.848,5569.173,7333.143,7737.485,10815.485,11143.605,10564.547,13494.052,19139.353,21949.249,22987.772,25289.861,29008.153,31582.955,27813.975,33979.214,35756.72,38183.192,31644.264,38671.27,45425.963,47543.722,47528.056,49317.53,50615.902,49774.326,47517.807,45411.306,50927.654,50649.393,42771.4,48719.005,50017.006,56768.378,57217.364,60765.278,57895.099,60528.97,60419.144,50122.13,53742.818,53396.643,51046.227,47008.2,54579.893,47808.612,53695.204,50728.004,50827.311,50914.478,54297.7,53031.575,54983.422,60373.713,58018.283,53791.916,55763.932,49474.887,49163.734,47984.385
Samcheonbyeo,4,3313.968,5063.813,6694.981,8557.827,9644.982,12524.39,12085.33,13374.542,13808.21,19483.348,29642.406,30707.778,36372.309,38791.483,36091.058,37760.626,40174.324,45379.844,54981.25,47849.505,49659.617,52220.889,45501.9,46928.253,50667.7,50955.857,49582.327,48939.349,52820.472,51468.802,51112.524,59136.396,60956.851,56602.226,62367.838,56336.861,56862.968,54921.235,57719.313,53203.627,53974.073,51189.691,54111.065,47497.961,51439.779,49440.427,47059.556,48349.278,49291.123,47106.441,48104.329,45879.882,48391.299,49415.88,53612.968,50093.53,46436.201,46621.016,45435.437,46172.89,52990.111
Keumobyeo 2ho,1,1784.029,4268.01,5585.943,7234.362,9001.284,11982.57,15387.753,18440.309,20096.431,25773.927,24533.102,26791.311,28121.428,32696.071,38282.955,37285.295,35073.022,41567.134,37235.73,49284.481,53304.202,51976.175,56525.221,54447.718,52102.706,52421.069,59383.489,52556.007,54856.942,54198.082,61471.374,58591.644,51840.907,58459.63,59522.37,57296.593,52581.624,50565.667,53079.107,54246.552,51777.905,51736.452,51734.754,53404.816,52205.235,49802.629,51852.297,47867.968,46672.237,48968.881,44350.653,43845.783,40663.477,35743.739,37704.671,37969.437,30911.579,37812.756,35672.448,32234.808,33356.28
Keumobyeo 2ho,2,3391.807,5078.858,5621.459,8299.584,11660.07,12033.549,16395.3,17138.017,22776.909,27985.15,28389.175,33700.83,37680.204,37053.02,38248.31,42082.332,42884.939,40508.943,52105.97,58863.511,51753.455,51755.99,53761.956,49656.102,54286.05,51631.426,55381.328,53190.635,54900.754,57176.539,54368.518,55955.354,58648.514,55098.24,57125.18,59788.918,55715.905,54542.15,51325.644,55507.746,51765.367,47295.294,47518.128,46582.94,49779.966,46198.168,48292.624,44248.548,44555.431,42463.224,44502.577,47514.787,46175.043,46142.004,41831.001,36279.651,37761.868,39796.594,42474.123,41904.178,36975.856
Keumobyeo 2ho,3,3318.667,5319.467,6880.345,7348.445,10164.742,14407.446,17487.068,19827.766,22569.335,26102.069,27848.799,31976.301,39590.832,37051.826,35690.544,38797.212,41377.541,46286.836,44984.502,43734.345,46684.864,48249.718,44532.553,47429.677,50784.811,51532.967,52691.416,55522.846,54972.1,55341.844,55699.96,59383.347,53671.785,57679.591,61080.024,66682.579,67433.925,71158.846,63312.053,61105.399,62290.4,58031.445,59310.741,60328.482,63447.092,63734.073,62433.066,63795.538,62185.757,58313.549,57435.449,57719.391,56275.91,48547.296,42219.704,35985.324,45612.494,43215.811,47388.574,45857.832,45001.091
Keumobyeo 2ho,4,3115.205,5345.783,5726.588,7209.295,9324.742,13015.166,13952.732,16731.707,20764.648,22839.468,24859.267,24799.258,29786.055,31517.912,34799.843,32577.944,43630.585,40783.067,38934.992,42668.985,42139.231,48749.787,51067.569,56753.12,54865.719,65429.208,64029.728,66086.808,68525.407,68175.105,69270.845,67218.105,69794.532,66514.573,73958.552,67404.967,66862.212,67950.696,63560.408,60661.312,64509.465,66674.192,64993.439,63493.514,56083.094,61615.638,60811.738,56366.268,55696.638,53367.721,53536.261,49038.597,44689.547,47023.908,42313.277,41368.402,43709.235,38678.629,35250.757,35207.448,29819.881
Undoobyeo,1,3294.807,5583.101,6836.333,6459.459,12745.103,12308.625,8976.131,15307.953,18822.608,23196.853,27745.065,29835.701,32259.42,33595.697,33854.068,41360.023,37895.618,38177.642,42647.913,39883.267,46043.679,47280.98,56758.058,64991.314,54706.174,52524.7,53753.665,54975.365,65635.658,61529.143,57024.021,69675.375,62321.342,61457.561,57777.378,58654.308,52335.915,55665.428,57084.337,52035.251,58518.37,59576.757,54210.794,51123.685,48404.518,48438.477,51467.336,53349.846,47467.243,45617.794,51270.046,49232.107,50596.534,41188.194,44182.081,45987.139,40922.405,35297.792,40067.879,36465.384,39927.615
Undoobyeo,2,3967.494,4920.569,6933.776,9013.118,12890.511,9592.711,11165.447,15063.099,27626.545,22748.924,31288.582,24434.823,25793.422,29317.985,30468.093,42106.287,43835.358,44185.809,45453.716,50195.065,53486.903,52200.93,60837.141,50340.296,50874.997,57305.924,55627.838,50175.761,49317.316,46786.81,56647.532,45983.924,55445.762,53044.117,56151.369,57361.998,55484.335,52118.261,52099.054,53186.246,59263.042,53053.603,46537.837,50334.965,51358.797,56777.723,52095.473,50256.186,50748.837,52773.811,56283.723,51469.938,53668.867,60537.427,56392.689,64394.044,55885.473,59362.148,63272.59,57377.928,50323.257
