Cultivar,Sample_Number,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61
Samcheonbyeo,1,2424.789,3484.223,4255.111,5501.707,8928.377,10877.899,9242.27,16923.311,17872.997,12574.227,21588.302,27364.933,29545.315,28965.124,30886.972,35451.893,36975.255,34684.51,44882.84,45580.173,51676.191,57496.786,52767.992,58422.828,54585.395,2424.789,3476.375,4250.176,5505.506,8943.752,8490.949,9271.468,16901.277,18049.639,12586.489,21588.302,27433.359,29549.766,29500.15,31189.341,38219.174,36584.518,36416.484,42513.227,45457.501,50807.4,57495.562,52754.842,58247.003,55743.692,60247.606,59151.212,51571.636,58596.873,60065.234,54213.332,50655.819,58769.406,52337.983,58013.653,63710.442
Samcheonbyeo,2,2231.9,2816.538,3727.826,5170.428,7268.9,8902.487,8389.341,12284.676,14755.441,17836.44,22455.623,24824.155,29716.351,27669.96,26771.989,28547.772,32433.201,34804.127,39751.218,41518.786,40359.812,44972.487,48668.534,50409.617,49547.583,2229.016,2813.365,3728.51,5181.744,7269.414,8902.487,8389.341,12260.325,14770.818,17836.44,22447.686,24778.798,29740.074,28099.921,26380.746,28514.505,32255.368,35883.349,39167.435,41473.037,39701.466,44944.412,48608.481,51382.24,48593.401,57016.853,60343.145,62559.022,66870.586,61937.762,62410.133,67514.548,60557.552,60709.639,64118.987,57972.088
Samcheonbyeo,3,2475.637,3223.767,4432.871,5314.562,5811.888,9991.824,11649.835,11024.169,13617.649,14350.749,20018.484,22140.665,29307.494,31278.982,30414.181,29718.715,30914.299,35263.872,36614.803,40709.742,47497.673,45741.116,50041.444,51436.889,51879.202,2347.228,3213.357,4431.506,5305.557,5810.342,9991.824,11630.719,10861.309,13637.001,14295.13,20014.367,22156.299,30853.366,30419.983,29866.054,27770.903,30893.944,35211.411,36671.058,40679.134,48219.394,45939.949,50007.282,51412.026,52637.045,52528.08,48370.139,53801.44,57512.311,59417.66,63094.821,64946.45,54135.627,60760.435,63347.824,62214.493
Samcheonbyeo,4,2913.654,4631.81,5397.57,5896.067,9081.725,8205.333,11866.221,17570.071,18373.093,21485.958,27290.687,35556.933,36669.45,32726.437,32059.713,38835.271,40642.985,42217.61,41806.597,42049.204,51799.442,52232.594,53296.744,51922.74,57010.684,2913.654,4629.255,5412.428,5416.815,9075.889,8294.477,11821.618,17534.153,18570.854,21476.184,27298.69,35537.125,36027.574,33182.116,32016.501,38844.952,40653.134,42194.939,41785.935,42056.654,51581.931,53566.183,53648.668,51896.856,56059.728,57538.211,56763.612,55334.863,58163.918,57700.742,63299.093,60246.212,61773.596,64463.058,58497.002,61892.362
Keumobyeo 2ho,1,2730.958,3882.943,5883.991,6680.693,9477.086,10837.214,12640.234,13193.666,16548.89,17427.015,24706.295,26037.982,25691.432,30481.309,31418.593,35315.063,34047.524,46117.824,52988.404,52570.741,43630.15,48039.978,55461.403,57379.508,56044.478,2730.958,3883.567,5821.297,6648.716,9703.374,10884.177,12640.234,13191.546,16525.438,17449.035,24706.295,26046.225,25693.607,30501.929,31437.985,34951.087,33893.289,44664.733,52942.379,52576.674,43627.128,48172.733,55472.563,57344.887,56038.733,59987.991,50395.429,54607.931,54424.35,55105.842,55853.187,62615.542,65260.63,61838.807,67793.76,64731.635
Keumobyeo 2ho,2,1841.21,4498.732,5312.724,5634.998,8676.344,10120.011,11175.056,13719.942,17846.669,20668.027,26415.929,30727.921,32802.997,35620.094,35490.251,39957.527,43704.463,45428.456,48766.01,48567.539,46173.47,50571.086,57635.491,63942.443,60903.607,1825.414,4484.258,5321.794,6191.627,8697.305,10120.011,11196.307,13894.677,17837.688,20667.382,26774.104,30852.942,32803.204,34925.098,34549.403,39279.377,41634.742,45406.966,48873.501,48514.946,46332.863,50464.324,57662.793,63957.566,60519.434,57740.774,59768.609,63711.446,58595.558,63987.166,68759.458,66414.117,60840.322,64501.705,69298.182,67794.773
Keumobyeo 2ho,3,3633.453,4379.793,4197.316,7867.459,10217.171,12392.321,14704.161,16776.907,18298.751,23011.663,27613.897,30151.035,33485.195,32705.635,35819.519,37733.124,38862.459,49237.965,57263.928,52304.153,50822.961,60245.662,61879.673,62927.821,59221.898,3642.717,4415.077,4199.655,7867.459,10212.531,12392.321,14715.01,16929.988,18319.278,23039.018,27607.176,30143.611,33208.415,32610.535,35514.621,37754.99,38851.271,49252.529,56372.346,52259.009,54281.959,60039.475,61899.679,60614.327,59550.834,68020.647,65860.353,63722.91,66408.563,68649.652,72450.129,66787.699,74195.349,69956.225,66487.816,66974.354
Keumobyeo 2ho,4,3483.323,4858.518,6122.949,8348.433,10260.807,13782.938,15950.847,16919.268,18411.373,26520.35,31093.517,34070.182,38352.09,41534.459,40833.119,47631.85,50141.995,51047.788,53437.569,53452.872,59100.368,68991.561,65646.945,60341.282,66875.666,3479.908,4861.012,6137.468,8136.695,10256.891,13796.135,15995.35,17566.348,18420.376,26515.001,31018.132,34065.7,38211.574,41850.581,43114.195,47352.217,52398.955,51062.558,53414.124,53501.559,59386.308,69064.021,65588.61,60291.87,66444.964,67630.864,65237.032,65971.849,67457.674,65267.762,63204.916,62693.732,67544.387,71079.815,64889.827,64378.134
Undoobyeo,1,3562.531,4087.206,4492.242,9356.018,10770.222,10772.746,12465.684,14573.447,9684.098,22515.766,25844.301,31682.788,33209.417,39565.141,36760.846,39357.386,46732.294,45538.306,52619.922,49355.325,62375.666,56251.568,57048.922,56943.413,63542.447,3562.531,4106.285,4474.278,9386.735,10771.297,10711.81,12465.684,14565.38,9001.806,22336.885,25864.591,31503.185,33399.272,39560.023,36726.617,38840.916,46688.065,46255.199,53088.064,49360.098,62407.801,56251.568,57969.624,56857.506,63499.656,68295.197,60663.126,66592.456,56259.651,59519.969,68691.985,68056.562,71018.238,64478.485,58068.313,57936.912
Undoobyeo,2,3533.482,4446.508,4639.252,6718.144,7405.178,9428.03,11197.347,10746.995,10879.247,11506.162,12521.412,24683.276,29330.325,35952.044,32888.809,29244.146,32491.911,43047.496,43994.162,52260.844,55291.705,46001.196,48613.543,55860.566,58534.525,3541.094,4475.946,4637.334,6718.144,7406.088,9425.715,11199.493,11228.678,10971.467,11505.881,12501.968,25863.953,29332.285,33400.464,29049.49,29330.215,32458.499,43020.996,43882.774,52481.242,55080.996,46597.551,49442.761,55787.698,58928.108,51265.836,59250.26,54915.835,61538.706,57960.371,62978.565,65260.855,67962.353,65458.868,61209.285,55522.273
