Cultivar,Sample_Number,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61
Samcheonbyeo,1,9193,13723,21981,33536,40063,60568,90913,103729,138968,174658,195367,263351,305938,366880,440295,488381,561413,653606,745058,803031,923179,975438,1040607,1153131,1228644,1279148,1231888,1278788,1305116,1351226,1383090,1425570,1434004,1467047,1512643,1607365,1643067,1653302,1670761,1671280,1657777,1607526,1574189,1579504,1550885,1552045,1546584,1547610,1588703,1570025,1574584,1579326,1583377,1587331,1545320,1553175,1513852,1498386,1481570,1455985,1396255
Samcheonbyeo,2,7843,12118,14464,17985,23821,46506,62205,82160,104289,120371,169507,196115,220174,275486,365064,388357,452539,499637,565278,593813,662401,737845,843679,950573,997003,1090345,1168559,1233156,1280106,1356187,1334568,1342458,1363678,1427440,1438225,1505990,1490315,1504990,1539311,1510201,1544406,1576991,1549061,1590813,1583331,1608494,1628849,1644978,1651113,1672192,1671656,1684639,1680760,1667032,1606357,1613184,1618224,1610054,1577563,1586421,1565383
Samcheonbyeo,3,7055,9996,15285,26879,33096,53049,75037,86467,119424,156709,200658,248690,293152,353195,412238,487873,532859,574973,685475,754257,842769,911941,966846,1101420,1109379,1231083,1279885,1325507,1348358,1380969,1426546,1415906,1480024,1529133,1597718,1616445,1676990,1691358,1759872,1764648,1770926,1768036,1763267,1762509,1725888,1755060,1735026,1779885,1782139,1850598,1790947,1798152,1804935,1815914,1791504,1797894,1752783,1746246,1675659,1632662,1567175
Samcheonbyeo,4,9568,19746,27582,46139,54465,73173,102414,130580,174259,210318,293958,351585,412201,472773,573199,684671,713601,806695,898273,983660,1068863,1180895,1227542,1228441,1290444,1332320,1355125,1387082,1435537,1430091,1481805,1489757,1522827,1565646,1604149,1622455,1642607,1659542,1668817,1688213,1715768,1710057,1679718,1681521,1674221,1671113,1666624,1654672,1657329,1664958,1671208,1688984,1716538,1744799,1697632,1664223,1673489,1631678,1615844,1564302,1497554
Keumobyeo 2ho,1,9102,15308,21154,34014,44917,64524,79974,105214,141637,180546,250142,281051,348677,432070,479896,562291,612382,692780,725382,883079,952345,996281,1048393,1123801,1165743,1227832,1242043,1248789,1263255,1286395,1308002,1337088,1352330,1351068,1394578,1426778,1412596,1408599,1440063,1438889,1448203,1468412,1469191,1487083,1482556,1483010,1458600,1404362,1467627,1452073,1399402,1427084,1401736,1377886,1403148,1382572,1340447,1424957,1334261,1326452,1304338
Keumobyeo 2ho,2,9226,20209,25371,36208,52312,73326,99078,143540,169005,249356,301819,361561,420824,517130,630450,727812,685153,842385,954814,1073688,1107899,1168776,1253560,1263623,1281504,1290672,1308377,1318202,1359019,1354420,1379022,1407627,1442114,1445267,1476524,1470342,1480957,1490715,1501557,1506984,1476980,1468364,1452971,1444768,1440463,1445920,1411713,1382544,1364742,1402865,1422350,1420680,1415777,1402517,1372539,1261928,1333195,1361853,1360946,1347601,1292539
Keumobyeo 2ho,3,12424,18615,26250,30268,46627,75789,97435,131935,174291,232351,277696,331115,404314,490238,552589,653471,697455,764729,916855,991630,1053256,1132064,1195726,1246563,1275122,1354229,1350119,1408417,1436799,1514855,1541425,1602169,1603807,1612338,1660258,1716666,1755967,1771197,1784789,1772356,1782912,1766546,1750874,1744721,1713861,1728307,1677049,1685500,1656019,1680351,1669870,1675720,1708841,1679464,1632695,1581962,1631347,1636216,1621721,1601278,1584498
Keumobyeo 2ho,4,10126,18625,26244,37965,54946,72039,107412,143106,178952,240651,289275,369830,414694,479591,590831,676450,741562,846391,955061,1089771,1181175,1310904,1382770,1420340,1449739,1527599,1567497,1633239,1657421,1672130,1661408,1625834,1683014,1716531,1731832,1721843,1714526,1758783,1782138,1774955,1824455,1861781,1842679,1845991,1837602,1813258,1779173,1786503,1776742,1803769,1800092,1828600,1801446,1748344,1827371,1746703,1773058,1775489,1761553,1757087,1684646
Undoobyeo,1,12838,18748,23821,39262,59419,64560,90869,138325,170892,217786,293725,341538,402288,521398,560500,670783,736652,845519,953202,1025488,1175431,1255827,1320324,1397160,1519393,1574397,1590745,1548835,1590895,1600372,1626777,1655093,1692703,1712551,1704325,1712150,1693201,1686669,1654265,1640335,1627124,1608608,1590667,1573578,1569376,1589784,1575135,1559307,1571140,1559656,1556629,1539879,1497980,1477477,1448955,1425734,1425567,1389252,1352111,1319963,1286583
Undoobyeo,2,9939,13764,20109,28457,47617,61938,83673,115675,146446,198682,245525,312662,369031,424393,537711,662925,678156,777414,881192,977480,1092896,1159930,1279867,1429292,1493052,1577654,1664201,1664404,1686922,1707560,1740094,1766227,1786875,1809552,1773612,1710537,1666204,1683631,1645780,1599624,1576361,1525704,1503829,1501906,1460650,1466302,1450710,1427836,1402685,1402518,1398486,1397936,1387632,1396787,1374205,1379597,1401505,1350544,1319893,1307127,1253487
