Cultivar,Sample_Number,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61
Samcheonbyeo,1,8412,18200,21692,34187,43316,57098,73548,97608,137157,165937,225648,299204,331758,382325,442009,516120,565686,678550,752653,840173,947929,1007559,1087844,1161293,1223087,1316839,1361947,1390571,1392659,1414390,1437403,1467302,1502404,1517869,1548065,1677337,1698152,1700344,1695624,1673548,1655602,1634181,1633694,1623775,1598275,1593902,1587981,1567668,1556130,1522920,1556827,1536595,1537451,1550788,1545140,1546756,1542456,1512815,1504134,1494275,1462370
Samcheonbyeo,2,8354,14485,18246,31555,34396,49860,53312,74747,102657,128476,161422,224463,248830,303866,371334,409638,434132,500697,576014,709559,754838,817280,869100,924006,1034736,1174897,1258372,1307418,1350513,1383830,1415970,1435330,1490939,1495937,1521556,1584419,1630325,1634162,1636647,1657143,1664243,1672386,1672976,1696732,1671111,1672664,1682894,1733183,1693633,1733164,1738555,1741791,1737648,1719605,1685934,1648559,1618302,1568697,1528831,1514287,1434132
Samcheonbyeo,3,7875,14323,17343,25856,34779,46162,63996,85271,129435,173526,198658,225057,280454,337079,432534,511585,533139,614988,712902,788631,850195,921568,1005810,1139510,1174917,1261479,1305642,1366872,1423369,1466788,1508134,1553667,1613044,1621887,1645862,1673775,1726566,1741356,1741102,1734195,1729997,1772831,1756426,1735247,1747063,1766019,1749205,1754355,1742817,1778364,1787174,1785951,1801234,1788229,1763939,1752827,1712612,1656493,1621413,1610365,1610365
Samcheonbyeo,4,11222,24021,30629,47459,48977,84904,92540,129441,164131,234145,287734,333555,436127,494808,546586,643773,729566,815000,925140,1002892,1075729,1156161,1204987,1258675,1328837,1377482,1380323,1433018,1478144,1482440,1574354,1630437,1660168,1665522,1702553,1753120,1744885,1738590,1777993,1766008,1753552,1748808,1756524,1751418,1742213,1720308,1710066,1702427,1692698,1713967,1708326,1712484,1711562,1731070,1734669,1659688,1687673,1625564,1566082,1518690,1487924
Keumobyeo 2ho,1,7605,11704,23216,30154,37100,58944,80494,108650,142726,177136,231584,240521,296023,415212,500990,556819,601648,695865,757660,865060,940310,995506,1041617,1072915,1076756,1131295,1162485,1200292,1238988,1264012,1300642,1286542,1306023,1305530,1355439,1400931,1407603,1434418,1446077,1449784,1493147,1508632,1530250,1507588,1508170,1509661,1518192,1518841,1512353,1530930,1524886,1511302,1515475,1476707,1471993,1472628,1455335,1452110,1431587,1428223,1408649
Keumobyeo 2ho,2,7960,13260,22760,30099,42488,62126,85476,124755,162163,211795,275573,351452,430962,477355,551992,638640,732403,804348,907305,1051417,1107273,1168226,1239663,1309373,1339252,1383789,1419056,1434171,1452697,1474553,1471726,1493500,1520867,1535565,1567258,1605743,1652318,1649377,1647126,1640031,1622886,1651442,1658851,1641352,1639247,1645948,1607976,1600978,1588940,1590225,1597139,1640480,1613162,1599814,1610042,1590122,1606823,1572603,1564565,1562661,1540834
Keumobyeo 2ho,3,11434,15342,27326,38308,52941,79433,99062,142960,167234,219507,294626,356120,430708,499797,570962,662562,739446,838962,924665,1025342,1134618,1191307,1273283,1333025,1376973,1476470,1519415,1534198,1588139,1608607,1635764,1633437,1655676,1710612,1706912,1714153,1788491,1786512,1797687,1805957,1830864,1792025,1785530,1791564,1761206,1773216,1739765,1721280,1725151,1689429,1704536,1712117,1704544,1687775,1671146,1679417,1661224,1663133,1622902,1607564,1588818
Keumobyeo 2ho,4,14781,19577,32532,43297,59852,76035,111584,138026,182356,276872,341554,406072,484775,621050,732614,782522,856350,990838,1070738,1120051,1213797,1319107,1387056,1418760,1423007,1492692,1513257,1527270,1546975,1580518,1571229,1609294,1654413,1675253,1693162,1707081,1735153,1778568,1810819,1850239,1854202,1874343,1880762,1887055,1876553,1863489,1863419,1851924,1855560,1850714,1864326,1898286,1917609,1907759,1903019,1854003,1849872,1815441,1804822,1785851,1760436
Undoobyeo,1,11634,15946,26234,39289,51285,68210,86228,130353,181766,230761,316070,355656,446653,527694,616808,722825,802998,867120,948055,1063240,1117455,1209636,1338555,1406661,1453400,1533868,1549117,1648404,1697435,1740714,1800549,1768015,1803081,1853136,1875693,1850261,1865500,1836673,1839912,1813663,1791762,1792508,1779770,1767166,1771995,1746872,1749592,1740148,1705661,1697873,1681053,1686438,1641782,1601405,1571651,1549907,1525947,1495309,1447339,1405980,1352876
Undoobyeo,2,8855,14580,28652,37004,54153,57375,77300,126952,136128,186408,240318,294828,369009,424706,517902,631845,690532,766126,890944,1020403,1113365,1186525,1290929,1389830,1431346,1490404,1577887,1584110,1655935,1662120,1694485,1756947,1752955,1742893,1713334,1662501,1669985,1654477,1654902,1623701,1586665,1586792,1594670,1583343,1572132,1560320,1551016,1567894,1555009,1565075,1572557,1574543,1549945,1543023,1554084,1553169,1529130,1520212,1502636,1474211,1437446
Undoobyeo,3,11232,15453,17659,24206,40641,65366,84803,116937,146471,207167,254469,304729,323104,373398,462128,512102,577412,659132,755168,820792,925516,1055019,1115711,1218117,1323194,1437505,1505981,1544923,1620676,1636257,1693528,1704723,1733885,1743525,1729858,1736809,1721308,1707298,1680109,1648212,1599992,1559567,1501239,1471763,1444388,1412688,1404049,1387260,1385245,1349887,1330130,1354791,1367408,1342964,1376569,1360954,1323033,1298993,1339822,1324534,1312096
Undoobyeo,4,15063,23482,19211,37850,60459,87751,114799,162379,209662,265451,308541,376949,422923,547624,621257,697288,779583,934992,1033675,1153668,1273683,1357357,1498495,1562637,1633537,1645869,1727999,1801182,1860387,1854563,1903993,1874696,1904500,1873100,1904914,1904097,1916168,1925662,1888126,1874568,1806981,1739554,1709837,1717689,1707124,1700694,1714818,1682488,1678003,1671531,1659379,1639753,1637028,1628799,1610356,1588566,1552849,1502246,1469080,1456546,1434199
Jungsan,1,10489,17969,21725,37456,43034,67222,88085,138569,186195,240212,317425,393463,472902,563161,656338,773556,847067,1009439,1108667,1249111,1333515,1412318,1487034,1526705,1581052,1638926,1697627,1751165,1757589,1705489,1796309,1743291,1785763,1814595,1821486,1827883,1842907,1836963,1828453,1818815,1787701,1756490,1741109,1734131,1727712,1729796,1720739,1705681,1678018,1701774,1715013,1710674,1721881,1687055,1692692,1678580,1664804,1651764,1635486,1622457,1620903
Jungsan,2,10140,12947,19083,23393,37442,58036,107853,148653,186153,254076,295938,383771,489908,598091,685481,795168,905628,1016492,1092635,1200965,1272738,1319079,1367714,1435828,1496928,1513906,1535670,1554317,1601667,1646022,1657136,1625078,1716758,1728409,1762901,1822768,1842506,1865129,1854433,1859678,1847928,1821178,1808647,1740718,1758527,1739046,1715194,1716779,1732387,1722357,1712068,1709450,1698850,1682484,1680238,1673782,1643402,1642734,1638695,1653496,1644266
Jungsan,3,9870,15566,28871,40982,56718,71564,106218,140206,179092,258215,325037,404542,476748,594365,717038,841228,889242,1009201,1142562,1294233,1340356,1357404,1423350,1487194,1455159,1566125,1598343,1652921,1638198,1645273,1684659,1714687,1718662,1738590,1755317,1765963,1805452,1840636,1857257,1856482,1848468,1819662,1763693,1724585,1694038,1656156,1656845,1614905,1523834,1598834,1599374,1592984,1585525,1578665,1580268,1591331,1582337,1590742,1571214,1574458,1572843
Jungsan,4,12379,16192,29274,47228,56839,72088,136300,190458,261603,301862,403638,474890,585502,691317,782309,883189,957988,1085704,1204719,1346581,1443092,1503117,1562287,1633686,1702321,1729314,1745109,1735696,1758351,1815778,1867556,1902648,1929245,1930356,1955121,1994126,2013176,2030648,2040659,2028310,1972700,1960345,1957181,1944613,1944285,1913965,1891327,1877556,1851355,1869606,1895386,1897574,1859586,1861978,1844309,1790299,1787805,1760358,1739803,1704817,1666483
Saesangchu,1,10266,15317,25289,30644,43517,67898,81702,116223,152922,202597,250032,297062,381881,435331,513316,608111,641200,722582,803704,960875,1048243,1189433,1248590,1320580,1368806,1450300,1480315,1491866,1560894,1598450,1603597,1591092,1584710,1580089,1625116,1633405,1631963,1635287,1624633,1611909,1592514,1592964,1566300,1540516,1532984,1521579,1500950,1484188,1485186,1463714,1459194,1440826,1436773,1416604,1378649,1389129,1369046,1370532,1356053,1327635,1295680
Saesangchu,2,4946,10290,16937,26949,33373,53700,60814,85471,108850,138483,201137,206891,294318,351492,385523,484258,540412,628208,684911,821543,908887,970606,1070097,1174979,1291460,1390660,1466230,1560752,1603098,1680192,1703421,1747691,1822575,1785239,1850894,1849622,1879339,1860551,1860898,1858727,1829920,1885710,1902937,1902181,1883954,1880457,1907520,1872507,1806734,1837391,1812193,1824047,1757840,1736021,1717958,1681780,1652673,1629639,1578437,1559737,1553577
Saesangchu,3,10436,13816,20730,23155,39098,60490,96913,131489,165050,211745,259923,310648,393145,466577,540915,613730,697758,765570,885473,960105,1027841,1149998,1269572,1365909,1415351,1428771,1529473,1553452,1605837,1682730,1736766,1802378,1849626,1889933,1905267,1879521,1871044,1842423,1808238,1863751,1838042,1793470,1794455,1785537,1776997,1754559,1738565,1702494,1720465,1697367,1697594,1709658,1686182,1671608,1661780,1660478,1641509,1628807,1621367,1611370,1582849
Saesangchu,4,11098,14520,29682,34948,61283,72417,105591,162858,215686,247619,323062,408762,492631,550450,682400,766971,854578,929182,1046468,1119299,1213151,1309328,1431808,1536491,1563589,1599620,1667399,1704257,1736352,1817022,1809821,1822753,1831453,1799389,1780184,1862366,1874081,1889193,1846627,1843982,1827435,1759673,1741110,1720948,1714197,1698929,1671638,1654212,1614620,1585772,1603072,1603139,1563450,1547985,1509333,1474596,1444155,1400129,1374878,1342667,1299683
Manho,1,9104,19013,24089,32044,40625,64680,76759,104137,163984,198953,274049,298388,371969,473849,559063,697446,795956,869819,1003648,1146105,1237727,1301428,1406869,1542871,1608754,1628985,1678990,1778753,1775889,1821360,1848049,1907639,1902388,1961075,1936726,1926403,1912147,1896227,1882865,1855732,1799504,1722522,1654156,1612283,1572307,1550153,1531739,1507502,1508059,1497834,1491145,1469868,1444847,1433520,1403813,1403212,1398301,1368936,1348511,1329171,1319331
Manho,2,9066,12308,20126,33953,47279,64658,85530,114056,158182,210131,268401,369577,462400,562503,670392,766250,902952,1038076,1211705,1308567,1425407,1515657,1592935,1662469,1781564,1821665,1875723,1859578,1925496,1961041,1975355,2000593,2014192,2043187,2056563,2071371,2081517,2074932,2056945,2038366,1957670,1974979,1956268,1918019,1915779,1851516,1821803,1802975,1763948,1745366,1698209,1670675,1648464,1654198,1617979,1621817,1603901,1570892,1558651,1531030,1501305
Manho,3,12218,14187,24139,35210,41564,52689,85985,110171,132172,167240,240666,322405,363795,437065,512776,572403,702358,847883,947477,1080108,1195429,1303435,1431430,1549252,1653925,1747135,1843586,1928236,1912423,1898531,1935442,1927078,1885341,1916288,1915843,1921646,1898532,1863445,1879608,1893604,1854756,1798496,1765231,1727654,1703371,1697846,1705723,1678701,1665624,1650452,1656416,1648422,1610847,1612809,1613460,1587184,1583173,1574641,1559217,1546064,1514274
Manho,4,7780,9456,13235,19462,28975,44917,54122,91714,121614,140592,174253,255902,307937,441490,493128,618293,719661,789801,915619,1075912,1173268,1272765,1403107,1427083,1598067,1742658,1876991,1943868,2018088,2095744,2110663,2133842,2122245,2167062,2175791,2146548,2124083,2131724,2124259,2089154,2035240,1925496,1866608,1812694,1794574,1722355,1694013,1662274,1636791,1590498,1543021,1501473,1474937,1459600,1437653,1418356,1391871,1378502,1372559,1353896,1337003
