Cultivar,Sample_Number,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61
Samcheonbyeo,1,-5.417410968,3.691364139,-7.702870489,-28.90037242,-67.25440284,-101.2185059,20.94471196,157.8446308,188.2652797,88.33828691,-1.13880985,-74.03775511,-37.9473191,-146.5136117,-308.867252,-354.4888509,-352.9898391,10.29542674,-122.3124897,-86.8771362,-121.5005045,-126.1399638,-230.053911,-225.4861205,-8.618299523,-101.5536024,-215.4984832,-212.8852627,-79.27922612,-148.2912935,-115.9360627,-83.9876611,-188.9071519,-153.246493,-206.6227507,-254.9252981,-259.5230893,-179.9819519,-183.0848867,-152.4430925,-80.79483568,-78.87285301,-50.05386442,-125.9483291,-165.5914284,-72.19148872,-6.605173396,-41.28582448,-15.93912427,49.78825789,39.90218154,-88.22506146,-113.562316,-24.37373661,-3.565687861,-197.0464086,-226.6997716,-78.88789558,-186.5083172,-308.0158585,-17.02878352
Samcheonbyeo,2,-11.65651819,5.525897339,-34.26328241,-4.248637493,-48.81781633,-70.92999115,148.4823825,-9.346450372,194.6114535,-223.9907724,-38.22874698,-202.0037731,-108.0441005,-146.1360063,-151.1394873,-221.5664815,-219.7229963,-294.3665866,143.6519769,113.9234568,42.64914281,-105.6452362,-271.5078213,-74.91297308,-142.9739863,-373.9239435,-357.3533334,-469.8432861,-505.8646768,-431.7995191,-406.7730584,-154.1940868,-364.7174437,-313.3981345,-390.5945204,-424.5134942,-461.8811408,-465.0022586,-494.975361,-363.6328313,-29.94854174,-457.3234122,-363.4258897,-394.1081337,-365.8616312,-394.876388,266.2718713,20.93671603,-76.79855689,86.25640975,-110.418183,-49.75138258,99.59680231,-0.546530855,-440.12488,-468.5239053,-476.7389599,-449.0449791,-494.2148871,-420.1805959,-565.1313947
Samcheonbyeo,3,-4.95541904,-22.60404473,-27.22685019,-62.70563631,-117.6042445,-152.9295166,54.00047169,86.08398094,29.93904051,-127.9905748,-217.8194192,-271.7700951,343.236005,50.16660157,-197.7201027,-216.2055748,87.99016133,46.50556479,-143.5401472,-16.36310021,48.61807045,4.869579694,-211.5856768,-380.6205714,-68.4585156,-385.0466764,-490.8377932,-480.7542037,-470.0311629,-325.8641242,-507.8088371,-198.4226375,-238.6694195,-299.8320356,-345.6465974,-225.060586,-205.712152,-207.7377799,-252.7095855,-259.1815613,-231.4080197,-239.5676082,-320.9369002,-216.889705,-144.8005357,-249.1034278,-203.4469973,-423.0122246,-393.5031056,-248.611836,-387.4471605,-310.440149,-398.6587511,-371.1636127,-235.6166447,-251.4229764,-212.6479644,-260.2612432,-205.1320853,-49.12739263,-71.88474494
Samcheonbyeo,4,-4.788534772,-6.137961517,-29.51826302,-83.59630437,-130.6328188,-188.0098484,155.9546756,-186.5457451,315.534712,-416.653207,-120.3468905,-164.6396402,-290.5857844,-334.1896522,-462.8224528,-451.4240471,-391.9179757,-430.9693602,-524.884797,-668.8814366,-688.620731,-662.5469172,-640.675875,-672.0294459,-617.7445563,-506.1953542,-293.0463846,-278.6321098,-301.9777084,-315.6606796,-382.2345215,-237.4925793,-345.8391082,-308.2424449,-331.9945516,-264.7668023,-346.7868689,-341.0382048,-334.1058875,-253.6331015,-388.4187858,42.84565026,42.55893893,-357.6743965,90.41328695,-72.27509534,-124.0098433,-99.17896162,-121.470159,-223.3718146,-90.67205609,-260.6619869,-164.6602156,-148.3382951,-333.7237199,-120.6557162,-106.3090357,-213.3912317,-102.8137958,-67.82773436,-315.1159899
Keumobyeo 2ho,1,-5.413361612,12.98231434,-39.64663322,123.1292583,141.8133135,-101.9227678,-95.80518772,18.93557873,-40.48325582,-141.038009,-202.5129324,-249.13482,-155.2420757,-70.23369925,-175.4864203,45.38875123,51.77516478,-305.2934442,-276.5928763,-342.3275415,-367.6620571,-338.3391164,-391.7662849,-403.6194825,-457.316038,-451.34098,-447.1260551,-568.2793415,-511.0692169,-513.0355757,-519.5145538,-512.091156,-318.0143709,-253.8836722,-159.3832596,-270.9020531,10.01876039,-67.31562016,-150.5748205,-133.0337266,-130.1825642,-151.1664764,-140.6126265,-138.1229145,-146.3729032,-144.2068593,-115.2721277,-61.93067948,-73.10405811,15.0920364,32.90782439,45.30266523,-131.460984,-72.0136749,-296.6996155,-253.9747397,-263.1655313,-221.4333464,-241.9950732,-237.2621951,-433.0264692
Keumobyeo 2ho,2,2.224705525,-31.13399726,-87.29507013,-142.333148,-175.7089923,33.82357254,-4.878836381,20.08262714,-9.771269199,-333.9327206,43.60924598,-55.68615409,-42.99749123,1.615563656,-180.6099153,-212.5211514,118.274971,-443.9209854,-310.5307902,-382.8004367,-121.28431,-130.5324971,-316.3906906,-156.1840589,-138.7363821,-291.8510756,-341.0740563,-317.504245,-468.6713019,-474.5369434,-419.8944494,-183.5919482,-188.5671252,-246.0231986,-283.4956922,-346.6357175,-368.4861585,-375.1055456,-404.5882295,-452.1358395,19.3684586,-69.34556698,-57.60869179,-75.49888465,-124.3489481,-180.0012747,-167.8726667,-167.7499436,-154.2019897,-130.012873,-235.4625662,-169.2190455,-82.67797551,-202.3621816,-112.2154982,-45.17716671,-50.36437605,-112.2587693,-19.42256024,-22.92595191,-28.23790308
Keumobyeo 2ho,3,-4.312696897,-14.48376479,-35.53426096,-84.23883337,-62.42603303,-136.123847,-146.7458795,-94.43398536,-132.9696482,-225.5305637,-335.2596755,-302.9885071,-347.7445617,-270.1834803,-196.1894123,-360.2147572,-423.0899587,-276.7887303,-436.2265702,-462.8622354,-326.6603449,-206.9323839,-390.6279941,-431.3384209,-450.709544,-435.0759602,-327.263235,-290.4401866,-491.7913011,-529.5442375,-506.3967547,-544.2958554,-219.9248735,-223.0693091,-300.3932884,-454.1726778,-473.7573193,-503.7686754,-569.4326967,-521.0152642,-483.3580628,-501.1674826,-489.2320064,-489.4012609,-401.2781361,-404.2045831,-390.090845,-392.6386105,-493.1646214,-530.3148893,-547.5541969,-480.899779,-528.5217405,-500.5158911,40.94120337,28.78483482,110.2758946,0.716571274,47.39975726,-106.4721937,0.90420323
Keumobyeo 2ho,4,-10.31903949,-43.99054502,-98.36127288,-97.72895943,-130.0853802,-83.26810355,-105.47976,-182.0456167,-219.1078129,-266.5098144,-288.3108965,-398.7415097,-195.2037565,-348.1130219,-340.2743639,-378.1910486,-358.4012406,-470.95095,-152.8280128,-260.8690242,-307.236676,-376.8504296,-386.3103588,-387.8908331,-383.4717303,-329.9643841,-346.8244909,-340.1653994,-405.6883865,-419.8513704,-381.0656493,-376.2127508,37.03743791,1.282648602,-49.25827304,-106.6899169,-40.2487849,8.814544853,-1.794162813,-62.99013547,-198.0090095,-80.41985785,-146.0085545,-147.1053386,-177.195126,-17.48368479,-64.05265087,-177.3718773,-98.2371881,-49.24827087,-5.428859451,-86.12343904,-295.2248416,-133.9953034,-42.5212043,74.58659239,-13.5837357,101.4757398,208.2647724,-234.9150053,164.0209298
Undoobyeo,1,-21.59990854,-46.55254965,-91.22771128,-79.21451035,-147.5888842,-159.008571,56.79400341,136.7193401,165.2845964,293.670265,227.6835681,199.1359856,-44.9509747,-32.40438187,-111.0821513,194.5626026,-248.5862346,-152.2486271,-364.3747769,-327.2832927,-472.4893807,-352.888115,-53.57765401,-248.2077521,-90.23187724,7.285049408,77.69420078,-88.99653956,-496.363384,-520.6945211,-535.8873208,-123.9477371,-129.2298675,-181.2081982,-197.1026006,13.98681428,-53.41705339,114.5932076,-13.25440683,-486.289719,-318.7465861,-283.6990684,-374.3477987,-350.3057335,-283.5243968,-345.0061393,-376.0202619,-320.8962611,-304.7856155,-323.7503099,-340.8153517,-303.9851522,-344.7334609,-389.1251695,-382.3613393,522.1595861,387.0746151,840.9466146,542.3013276,543.7250782,326.8668287
Undoobyeo,2,-0.46506369,-21.85089292,26.82745852,-76.86539007,-82.16268545,37.74325915,-81.42657669,78.57025065,251.9098779,-24.2034523,212.5036187,364.1686999,316.6518366,280.4129878,391.5625081,108.4555549,413.8213753,351.9992796,460.559837,130.625999,122.4338741,263.8939585,-54.41956637,30.33708526,118.1561371,23.40510342,0.96049611,-5.828182565,-48.06708714,-11.69811861,-24.27093724,-356.9685136,-414.2676878,-476.3697614,-388.3403005,261.9538735,320.0343648,232.7549035,355.0946336,197.5649121,221.4074718,193.3501419,158.3564245,272.19405,158.616583,276.2196833,369.8273931,35.33881257,-52.31913315,187.3505259,320.8235071,144.955317,138.430571,361.0519149,540.580314,572.0791327,381.9247689,369.2139685,269.5713587,221.0737213,-5.708120851
