Cultivar,Sample_Number,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61
Samcheonbyeo,1,-12.00869864,-11.46487924,-20.38888966,-64.06462273,-57.16324476,-101.3090302,-53.76461733,-39.81970476,62.04919681,-76.52792473,-252.964094,-250.7724167,-184.1744401,-258.8187392,-438.5897579,-237.9640669,-197.1800654,20.32611373,-95.05438333,-93.60770773,-148.5865982,-185.3711509,-238.3058025,-252.525821,-693.318753,-12.00869864,-11.37623076,-20.07428003,-64.12957798,-57.14382862,-51.23277431,-53.11665665,-40.23667716,4.162723206,-76.49845255,-252.964094,-251.4599177,-183.4601754,-247.4762521,-423.1986166,-272.7366519,-197.9445546,137.6045632,-244.091052,-93.62237364,-194.4604253,-187.4596414,-238.3579387,-250.7558163,-150.8915551,-659.109437,-228.5504329,56.03415853,-569.5760127,-631.9457081,-568.3928898,-525.9117527,-689.5183727,-392.2016758,-537.3082481,-165.1836087
Samcheonbyeo,2,-27.71516752,-34.89310597,-86.32066258,-29.16840447,-33.09726884,-132.2236565,-94.03056909,-148.8352406,-133.9851283,-109.2823857,-202.8781326,-401.9987216,-381.6042756,-476.3400153,-104.6948908,-438.7284458,-259.1059321,-249.6654967,-378.0161354,-635.2606097,-54.895338,-248.9523315,-307.2040188,-411.828885,-148.9434728,-27.6901225,-35.19219878,-86.26867564,-29.82167445,-33.25553948,-132.2236565,-94.03056909,-148.87436,-132.1565011,-109.2823857,-203.3964878,-402.0702134,-381.6360889,-485.443139,-116.8856375,-439.0905394,-256.3478057,-262.1449671,-413.67987,-634.1233785,-86.8642415,-246.1075358,-304.7192425,-459.0671098,-331.6980323,-410.2352242,-286.3267856,-251.4101479,-492.7375617,-232.9129284,-217.0442703,-535.5236634,-340.5016805,-345.2602862,-283.21922,-32.15910542
Samcheonbyeo,3,-6.387326859,-40.08347786,29.32637593,-28.74543337,-41.0634483,-85.29763791,-102.673903,-115.6767716,-152.6274513,-115.3547413,-258.971009,-327.8327177,-219.5075313,-313.1863361,-295.2379668,-216.5464941,-186.3899666,-390.0526873,-582.4319681,-329.0554902,-464.678258,-741.0266904,-487.7687464,176.9954413,-9.666560004,-9.500698284,-40.36458177,29.35451693,-28.48500825,-41.01806789,-85.29763791,-102.4843232,-120.5260467,-151.1095905,-113.914192,-258.7919312,-327.1952694,-252.236419,-315.2282738,-297.3234132,-191.3820775,-185.0940262,-390.9364872,-590.0887069,-652.8582748,-468.6216985,-425.3178474,-489.3920906,192.7842658,5.850910878,-72.21337379,18.35190767,-291.2652783,-328.4019724,-320.4727593,-316.4938755,-408.7136076,-226.2302614,-327.4895712,-334.511759,-355.5168914
Samcheonbyeo,4,-6.404208728,-64.64935888,-44.2454191,-0.418665379,-27.83014983,-85.14403899,-45.13143549,-78.99472479,-80.10237558,-201.606952,-294.2070188,-42.25668336,-296.2248728,-166.5776527,-366.2757864,-505.783515,-390.9703555,-587.9026037,-640.6819553,-144.0800611,-399.1305382,-394.8362366,278.571888,-82.60563318,-209.5232298,-6.404208728,-64.664859,-44.53095415,9.092410304,-28.4629193,-86.18815617,-45.10825087,-78.97984037,-82.03948032,-201.6766105,-294.1732873,-42.54581265,-256.688024,-165.5346653,-365.6172544,-505.1041797,-390.7195571,-588.2336162,-638.4338327,-143.3522362,-403.3282171,-377.4616609,277.7873244,-82.36505045,-186.909102,-211.2594213,-132.9228973,-147.2528827,-174.4139108,-263.1327657,-320.3235526,-420.9069193,-306.9276774,-316.6878487,-188.2215049,-222.835314
Keumobyeo 2ho,1,-23.23000633,-57.96938131,26.75785369,-16.26264752,-46.18257631,-75.95678721,32.36910032,-2.545221496,-21.53356379,-79.20390713,-193.8547363,-279.2941243,-352.6285271,32.76611112,-145.3214084,-173.8981008,-251.2461697,-279.8546227,-260.4806102,-424.2768443,-196.4420855,-341.5053851,-281.1734152,-229.747178,-247.4349983,-23.23000633,-58.23785353,26.78336523,-14.97002596,-39.52185379,-72.62607279,32.36910032,-3.015190774,-20.76436685,-78.90154982,-193.8547363,-279.0838545,-352.7249267,33.29319068,-147.2635701,-170.8953061,-249.4471516,-204.9653305,-260.9829231,-424.4322873,-196.2712122,-335.8760294,-280.1992079,-229.954737,-247.8540375,-340.9457457,-363.9998422,-469.0266992,-286.6546171,-262.4371878,-240.1585931,-163.2072522,-304.7971276,-337.4749912,-437.7740079,-333.8303785
Keumobyeo 2ho,2,6.600275062,56.11747636,6.297003957,-43.88259216,-93.66350472,67.31442252,59.43405412,-189.8460068,-61.2351231,-175.969869,-268.3405429,-299.8598306,-390.1384523,-409.8266973,-468.9630008,-509.2448433,-148.3137875,-354.9228024,-431.4297187,-373.2435153,-227.7129076,-375.3398925,-455.8724634,-446.4450502,-431.5537603,6.81342616,56.34430291,6.317756267,-14.90312104,-93.68516154,67.31442252,58.92119755,-194.005517,-62.0416523,-175.9519697,-276.1235186,-302.8476916,-390.1471524,-419.5268034,-479.6905231,-516.1509145,-136.2715002,-354.6974697,-429.8630428,-381.9080755,-228.2284152,-372.4250856,-452.781581,-443.828103,-428.6332053,-493.5860881,96.35871309,-30.05091071,115.4271904,-5.550272843,-11.9438626,-127.864,-174.1262987,-157.2725496,-161.4399706,-78.45757517
Keumobyeo 2ho,3,-28.33023561,-37.44143439,-53.23287476,-53.17128946,-61.93347513,-64.90958749,-189.122806,-292.4452673,-240.7707495,-291.8659837,-197.3473896,-333.7947423,-226.5199426,-318.1206497,-377.6759703,-484.5656574,-446.6737539,-488.7945563,-318.0117162,-258.6053661,-465.8612141,-451.6157382,-364.9832978,-400.42671,-366.6105516,-27.88537264,-38.10741905,-53.07895047,-53.17128946,-61.96399587,-64.90958749,-189.6612703,-290.0466966,-241.4397646,-292.0320534,-197.2417908,-333.9109005,-233.9213217,-317.8497775,-379.0762291,-484.6931224,-446.5331242,-488.9743381,-353.0316848,-257.7243306,-308.2827329,-449.6215777,-364.7923133,-400.7413558,-374.9825553,-379.2407551,-410.2259813,-386.7124689,-371.0413936,-391.6105906,-356.6999305,-374.766167,-170.957933,-162.1522228,-54.07010182,-148.1804475
Keumobyeo 2ho,4,-46.87479544,-69.29657666,-10.60128101,-47.87591957,-122.7518952,-128.15841,-161.1844449,-266.8718425,-252.7381031,-331.0659098,-279.1388944,-354.1596588,-465.633935,-341.2337085,-545.7035056,-220.4344578,-315.1173826,-294.8444682,-483.6223089,-300.2992206,-391.8034077,-415.991348,-394.7739212,-405.972594,-323.4730869,-47.10419973,-69.42474893,-10.41577594,-55.4563882,-122.5353486,-128.4590486,-163.0666906,-239.9791206,-252.7438276,-331.2926212,-278.6834871,-353.9886008,-462.7139404,-323.8938475,-537.7557976,-219.5412501,-522.6513106,-295.5229734,-478.9592625,-298.6910201,-388.7776672,-416.1867588,-396.8332198,-406.6429711,-339.4808729,-454.1368638,-374.2744233,-104.1371205,-227.1211184,-215.7694442,-123.1701387,-246.8482426,-182.5033413,-278.9142096,-202.418839,-264.592772
Undoobyeo,1,-10.46552005,1.25506496,17.51849687,-74.92798945,85.82366842,83.11183714,-43.4775355,240.4173846,163.0903187,-98.46005875,49.86764948,-140.6754938,396.9105106,110.6653466,251.7836223,479.9046788,550.9124373,512.4966948,176.8427391,-184.8276371,-293.1763069,-263.397513,-175.3560442,265.4276966,47.6731329,-10.46552005,2.123704979,16.47949704,-74.75436281,85.53520774,81.95376656,-43.4775355,240.282606,148.8029388,-97.81300106,49.05619244,-151.9598354,466.7901434,109.8020248,252.694735,462.2554409,549.5168216,555.1521748,206.3021628,-184.271842,-294.5975575,-263.397513,-133.3064515,259.8837686,45.1206475,115.3915429,453.8562522,469.0652123,256.9130126,573.6333296,442.1560131,445.7785054,462.5342291,509.2283903,735.3416204,788.5416358
Undoobyeo,2,-48.0877228,-104.1656116,-73.46547093,-64.41993685,29.45177316,-8.323210352,-109.4304388,-80.29311169,78.46285709,125.1056237,-6.154889953,341.5561203,472.1851954,461.3792665,691.0755291,708.9176932,560.6371936,645.5403226,392.6658667,-36.36832374,50.99067563,119.0917994,165.6325925,136.3470643,149.0550072,-47.86029611,-103.0687803,-73.38738261,-64.41993685,29.54270658,-8.212250936,-109.6085567,-81.55397271,79.04639795,125.0970674,-6.578461173,370.6341049,472.2874504,371.2893325,600.5004372,714.4323257,559.570615,645.92196,395.2068523,-39.49766361,22.97465192,161.3365259,174.2842961,129.8151908,548.5271603,452.1826359,140.0324296,314.0974621,147.5154211,-291.228637,-89.56104876,13.03097963,89.22566827,207.4945389,-21.9723747,14.25065585
