Cultivar,Sample_Number,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61
Samcheonbyeo,1,121.6984662,121.911171,122.1169192,120.9552719,122.1621446,121.6797484,120.115407,121.1174792,118.8787635,120.5574666,121.373625,120.442064,120.779537,120.5423299,120.8015944,121.4842572,120.916874,120.7233379,120.3685552,120.256624,119.6422265,120.05655,120.1165291,119.8676837,119.2125628,118.9036976,118.8323143,118.5437704,117.9883474,117.4351285,117.3018784,116.7081076,116.767191,116.7382033,116.414735,116.0768183,115.9993244,115.2536397,115.0480446,114.643776,113.5648643,111.1649174,110.8999529,109.478397,109.6938999,108.4516351,107.9143519,107.5037787,103.831258,105.0808369,105.8363835,105.7292681,103.6892199,102.6879756,103.8495173,101.7554146,102.5094164,101.9077174,102.6026607,102.4013736,102.1763081
Samcheonbyeo,2,119.944154,119.5982835,121.7721239,120.4502085,121.7284749,120.5896228,120.6763122,119.6243184,120.0118133,119.9113325,119.0853829,119.1291538,120.5301716,119.6387149,118.5449072,119.3965449,120.8169329,119.4312531,118.5719345,118.9699451,118.8282324,119.1056984,118.950851,118.0597997,117.8852962,118.4130445,118.0502029,116.9933999,116.5660859,115.8819838,116.5675125,116.0044486,115.7505584,115.7632734,116.1567168,115.080881,116.0470089,114.6811115,114.6038864,114.6227641,113.343624,113.5218958,113.6888115,112.5656014,113.0434394,110.9924265,110.9935771,110.4751079,110.1476804,108.9005485,109.7443015,109.3026862,106.754561,105.5204639,107.1754355,106.6423154,105.1361975,104.5110586,105.4201271,103.8752393,104.010117
Samcheonbyeo,3,122.4595322,122.6087435,122.4813216,120.9715391,121.8956974,120.7923618,120.5143463,120.5133403,120.1029776,120.5497132,119.5984162,118.9272387,119.062575,119.3702601,119.039419,120.1513283,120.7217744,120.6298278,118.8277297,119.1644028,117.9571306,118.6703175,118.533812,118.3592807,118.5051168,118.0750412,118.3211171,118.1213483,117.4929907,117.1165942,117.3622687,117.2953183,116.5485019,116.7038302,116.7659737,115.4383601,115.5242738,115.6982774,114.4191146,114.5465832,113.2774724,111.9018227,112.125914,110.3637371,111.1497884,110.160313,109.8363944,108.705104,108.8625506,106.2353639,107.3955276,106.9705998,105.2987548,103.8720452,104.1973465,102.88079,102.6933967,102.4630831,103.0161948,102.8313276,105.0319409
Samcheonbyeo,4,122.8904682,119.7166008,120.9788268,120.1491797,121.1537868,121.5897667,119.860068,120.02397,121.0800705,120.156349,119.7738384,119.7962854,120.3249919,119.7197936,119.2523853,120.3260237,119.7670617,120.04675,119.077246,119.697491,118.7531976,118.885674,118.3325825,118.4848055,117.6949732,117.3759209,118.0519642,116.943154,116.0829209,116.1019509,115.7060457,116.0714204,115.8000147,115.5562305,115.7273501,115.8375696,115.6168603,115.0604793,114.5663491,114.422038,113.0204707,111.1265771,110.1851335,109.5648565,109.2712862,108.3787817,107.7593296,107.9030122,106.0811287,104.009548,105.6564234,104.6744031,102.4838174,102.3549068,101.8303502,102.3933974,101.0426839,102.0196326,101.2946361,102.4637429,103.8919592
Keumobyeo 2ho,1,121.4935179,121.4161223,121.8979389,121.3495031,121.5297994,120.5584124,121.2481807,120.1752523,119.4117003,120.7667464,119.7828993,120.8893688,120.6133356,120.0891314,120.8463855,120.8681395,120.822596,120.8707858,120.4377404,119.7020402,119.6089568,119.4733634,119.3251691,118.4279921,117.7764361,117.4538781,117.2698651,117.0278206,116.3098567,115.6372382,115.5787247,114.7010892,114.6330733,115.6259196,115.3989149,115.2010074,116.0095901,115.0014717,114.936893,114.8024385,113.9635921,113.4336589,113.246955,112.2877748,112.4216772,112.0844809,111.5185205,112.5391715,109.4003517,110.6813218,112.2419619,111.4450081,109.9097747,110.0944795,108.5180908,110.2436032,112.0430416,105.3928617,107.8718894,106.1281358,105.1739373
Keumobyeo 2ho,2,120.4540429,119.020387,120.1725986,119.9453712,119.7813121,120.1578431,120.0629504,118.8542636,119.3749357,118.6880564,118.957617,118.4806188,118.9437889,118.6264092,118.792066,118.771893,120.7209791,119.6537237,118.5472008,118.5659959,117.8571079,117.724635,117.2550337,116.1342505,115.8950155,115.2134857,115.2586074,114.6398648,114.3440938,113.5620332,114.1861609,113.2649217,112.4891541,113.1135949,113.7084741,113.4628862,114.3328834,113.5401683,113.0732346,113.2830169,112.3305224,111.9194825,112.7732384,111.9037008,112.6078164,110.8272809,111.1282293,110.9926794,111.329082,109.7374238,110.6925848,111.1963905,109.0149692,107.7947262,110.3920435,112.130425,111.2375526,107.7576045,107.84583,107.0752493,108.9497686
Keumobyeo 2ho,3,120.1317611,120.7704002,120.7358476,121.8431016,120.8373904,120.3847656,121.2156207,119.9838936,120.3607186,120.8380769,119.765481,119.791287,119.3574796,119.2904079,119.1821354,119.939451,120.0969052,120.1068614,118.8463661,119.0915382,118.4912832,118.9077517,117.9608497,118.3053708,118.2565653,117.7678627,117.7654681,117.4764079,117.215527,116.434064,116.4591784,115.7523782,114.8072599,114.293449,114.1877208,113.3367988,112.395418,112.2483157,111.422195,111.0714168,109.9142538,108.6459775,109.1893683,107.7363011,108.3149065,106.8787767,108.2540075,107.1453005,107.9203179,105.8783546,107.4101505,106.6964845,106.3949384,105.5687297,106.4484824,109.7710021,106.0760053,106.328533,105.1750017,104.5916062,104.02929
Keumobyeo 2ho,4,120.7897492,120.2533154,121.0495732,121.0066904,120.6942453,122.7114063,119.8133821,120.2481867,120.7561469,119.8593731,119.9568715,119.3937999,120.0422167,119.559556,119.1683375,120.6689334,120.1567057,119.6035319,118.5187501,119.4366468,118.361049,118.5220131,117.6104377,117.9926771,116.5711538,116.426087,116.7436084,116.214292,115.6475373,115.317501,115.2690928,115.3867763,115.5176695,115.6689771,115.8472958,116.060153,115.6780393,114.9521061,114.7855256,114.2748678,113.3289169,112.3221781,111.8374633,111.5959672,111.0307831,110.7671848,110.5471666,110.2463813,109.2516387,107.4601143,109.3839243,108.6823116,107.4068593,107.5422051,105.8218829,108.3875227,105.6987504,104.6285395,104.6435509,103.2307552,105.110723
Undoobyeo,1,120.983876,121.1026243,120.7441753,122.0190006,121.0659385,120.9552664,120.3313341,119.8699151,119.3307352,120.0919297,119.2464278,120.3936692,119.9303832,119.9457439,119.9887654,120.031265,119.3110247,119.2752771,118.7039998,118.0306927,117.2382071,117.2271873,117.0112495,116.3789559,115.369491,113.3399352,114.4148754,114.3735156,113.5542377,113.4315615,113.4385125,113.2336195,112.9369689,112.9949374,113.6820178,113.3987536,113.9483334,112.813769,111.9157179,111.3608421,109.9218259,108.0075674,108.1457043,106.5678104,107.3474973,105.9430703,105.3673241,104.85887,102.7446536,104.2070219,104.9864425,104.5944889,104.2219669,103.445035,103.9234635,104.1476306,103.3113035,102.6248075,104.6091527,104.0379806,105.2507145
Undoobyeo,2,121.1877452,120.9568439,120.6466259,121.0358084,118.7183779,120.0534082,118.5231317,118.2602637,119.0080985,118.2878368,118.6761878,118.1611197,118.3483935,118.2873068,118.0885866,118.0430049,120.0504014,118.4929729,117.8545164,118.018607,117.2067132,117.6632383,117.2074528,116.2603261,115.7467978,115.755073,115.5820445,114.5974235,113.8382302,113.2757057,113.4822998,112.8669254,111.6142332,112.1664976,112.4560107,113.6354238,112.9434127,112.0112251,111.8681154,112.3603503,111.4697369,110.6644716,111.0280737,109.9937852,110.881526,109.5877807,108.7264629,109.2208979,109.4022115,107.6126246,108.0626349,108.6388769,107.3207767,106.4299825,107.6880356,108.3408169,105.8131687,105.8551273,106.7467643,105.2742059,105.6496661
