Cultivar,Sample_Number,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61
Samcheonbyeo,1,117.4277167,117.8584858,117.8101542,117.7519979,117.760627,117.7892782,118.2127859,118.3642087,118.4103822,118.25219,118.6131537,118.711032,118.3832443,119.0497084,118.8676842,118.8583524,119.3556223,119.0033705,119.1132368,119.2782807,119.7438384,119.7747484,119.6353436,119.7521843,120.0678545,119.6710373,120.0338716,120.3100373,120.4417508,120.5230931,120.4306972,120.4241679,120.5491763,120.9549946,121.1642575,121.1432151,120.8912485,121.2245803,121.4896338,121.4140413,122.6196274,123.5171717,123.6815897,123.8967353,124.506445,125.0013762,125.5989607,126.0495325,126.7806607,127.253217,126.7199692,127.5722542,128.5845007,128.8900494,129.4307296,130.2621778,130.9412314,130.8632662,131.6432656,132.4301658,133.1300565
Samcheonbyeo,2,117.998215,118.280987,117.9493225,118.0267445,118.4010327,118.582957,118.5635881,118.3236368,119.0733059,119.0707479,119.0265594,119.0351936,118.8810077,118.9970416,119.4530356,119.3687973,118.9695651,119.6463072,119.2044782,119.4277576,119.5889529,119.5423239,119.4547334,119.913368,120.0015617,119.9190431,119.9213253,119.9894304,120.1609523,120.2495548,120.2849679,120.2466803,120.4970323,120.4273819,120.5937805,120.7268176,120.6797529,121.214141,120.964551,121.4800599,122.2397278,122.0977957,122.1662013,122.8131408,122.9306974,123.3155865,123.1629807,123.5619802,124.0646891,123.9656606,124.1115834,124.4608103,125.1744925,125.7183911,125.9730421,126.8686635,127.3252263,127.592659,128.2923008,129.2754502,129.3422236
Samcheonbyeo,3,117.7325301,118.1134454,118.2577036,118.4134082,118.0579224,118.7439726,118.3647134,118.6415164,118.7650975,118.3535024,118.4742398,119.1293458,118.9577489,119.4242699,119.2655893,119.5368405,119.4864476,119.432462,119.5683694,119.6940048,119.6171418,119.9444646,119.869337,120.1659358,120.24043,120.5432111,120.6960704,120.4983195,120.6852423,120.7638325,120.2639656,120.7066804,120.6455449,120.8304896,120.6080691,121.2180891,121.469131,121.5983127,121.840031,121.8227346,122.2896349,122.9928972,122.7582414,123.1860427,123.2904939,123.6106919,124.07803,124.0497223,125.0177876,125.4375834,125.5808843,126.1529442,126.2455075,127.0937633,127.2558069,128.3956401,128.74202,128.8688409,129.3002747,129.2345599,129.8789873
Samcheonbyeo,4,118.3925585,118.4360377,117.7733667,118.6394374,118.458735,118.3584656,118.9524577,118.7810078,118.901239,119.6779638,118.6426939,119.5942603,118.9801747,119.7237533,119.6569865,119.6458912,119.8335919,120.0282436,120.1464276,120.0945774,120.3803574,120.605285,120.7613882,120.834351,120.8687715,121.1089581,120.6558775,121.3051687,121.2489452,121.3362464,120.829186,120.734203,121.2566516,121.665425,121.30151,122.009681,121.9453497,122.1949538,121.9228927,121.9398684,122.7225633,122.9095673,123.6322954,123.7473525,124.0381115,124.280662,124.8238049,124.4302847,125.1939301,126.2104053,125.7063914,126.4646071,127.4824729,127.964757,127.9790909,129.2027895,130.0345171,129.829755,130.7946825,130.7675896,131.3466025
Keumobyeo 2ho,1,117.2386289,117.8194408,117.8139359,117.9249133,118.0342187,118.2921394,118.9872334,119.022497,118.9787061,118.8849767,118.8129383,118.9596479,119.0852508,119.2121971,119.2659097,119.2474662,119.4448971,119.4223736,119.7853958,119.7913222,119.8809938,119.875498,119.7595377,120.0233342,120.1262174,120.6660056,120.0292969,119.947538,120.3507217,120.4978121,120.3050821,120.368521,120.7013451,120.9440976,121.2900684,121.8057483,121.5143544,122.2641014,122.282339,122.2614601,122.7368739,122.9147426,123.4528274,123.7407482,123.5550542,123.8020789,124.1515803,123.7084648,125.0954582,124.9254245,124.5712319,124.975843,125.8368552,125.6958522,126.008657,126.3772078,125.4112046,128.1661734,127.6203314,128.2341472,128.844919
Keumobyeo 2ho,2,117.9550184,118.2473156,118.0056364,118.2338433,118.6893447,118.8946895,118.980258,118.742469,119.4299695,119.1052993,119.2793595,119.3387202,118.9169914,119.2491695,119.7533904,119.6419694,119.6084451,119.8651484,120.0376366,120.1925494,119.9755014,120.1628618,120.4661628,120.3888541,120.4503841,120.6404129,120.5072735,120.6896113,120.3890085,120.9761012,120.6200111,120.5189848,120.8400196,120.8338701,120.9372526,121.0698912,121.3844197,121.4203312,121.7800936,122.0680385,122.2429776,122.6100395,122.300633,122.8607562,123.0351783,123.4750498,123.6033521,123.857896,124.1393926,124.5071044,124.917199,124.2879494,125.0423449,125.428377,124.8086947,124.6978409,124.9322545,125.9031834,126.4251998,126.8551812,126.1364485
Keumobyeo 2ho,3,118.185528,118.4503895,117.9818286,118.5309568,118.7298561,118.817335,118.4004721,118.6141964,119.3327825,118.5304518,118.9603883,119.3131148,119.3376188,119.665899,119.9717566,119.6846945,119.7154383,119.5570797,120.3000387,120.2990107,120.5556038,120.2412593,120.4667307,120.665323,120.7626588,120.9749496,120.775065,120.7149864,121.1457358,120.9185981,120.701776,120.7193224,120.9326421,121.0680211,120.8590785,121.0932983,121.3380029,121.7466657,121.6329443,122.2599038,122.6918053,123.2340601,123.5704917,124.0241093,123.9671234,124.4755353,124.7824631,124.6009273,124.6483736,125.1982425,125.1523113,125.9413285,125.7505514,126.4010154,125.869403,125.3914664,126.6796108,126.1493385,127.3271167,127.6585384,128.0565195
Keumobyeo 2ho,4,118.3681612,118.4956242,118.440253,118.5909654,119.2387617,119.098988,119.5938815,119.4329238,118.8939492,119.6128834,119.175646,119.4483438,119.71383,120.3374771,120.3139713,120.1865445,120.5630183,120.8445399,120.501969,120.411859,120.5544919,120.6970076,120.7170173,121.0965832,121.0422221,121.0152802,120.8003664,121.0390714,120.9599752,121.0434518,121.1637424,120.5889753,121.1068595,121.3683103,121.3440074,121.7775511,121.9563809,121.6201174,122.1681419,122.0989591,122.3171577,122.6868477,123.2153278,123.4454328,123.8640946,123.9106437,124.4833201,124.4916381,124.8938073,125.0994335,125.0172391,125.6086055,125.792399,125.7768711,126.9985553,126.0559998,127.3768134,127.7498762,128.3745598,129.0326324,129.2573953
Undoobyeo,1,116.7195825,117.4437273,117.1401285,116.9252458,117.4381595,117.6853625,117.916011,117.9896476,118.5787222,118.1390493,118.5834948,118.4383319,118.27885,119.2719458,119.1118483,118.7482226,119.2201759,119.0797214,118.9101408,119.4434113,119.3664809,119.2046731,119.3268516,119.4620301,119.6690343,119.9552305,119.8942772,119.7226974,119.6467661,119.981085,120.0452828,120.26724,120.4435598,120.8353188,120.8700001,121.4091166,121.243886,122.1238512,122.0782632,122.5254914,123.5028418,125.0367858,125.2225513,125.9903348,126.0099613,126.6175625,126.9864627,127.8669582,128.1808878,128.382628,128.3463491,129.0511332,129.2423991,129.9797973,130.2687206,130.9601609,131.2901435,132.4782185,132.4146043,133.1882598,133.3980622
Undoobyeo,2,117.6021733,117.7909038,116.9773236,117.3984608,117.767247,117.2728858,117.9909648,117.848593,118.0257296,117.9339497,118.4112697,118.7119509,118.8134926,119.1944047,119.2072433,118.9893472,118.8710282,119.611103,119.6995808,119.7245314,119.6925874,119.7214116,119.8434064,119.8549562,120.1036454,120.4785175,120.2643533,120.3915281,120.348597,120.7697492,120.5752959,121.3288264,121.4587825,122.0844237,122.008728,122.3490161,123.0282384,123.0962812,123.3539088,123.6916894,124.3389027,125.1492033,125.1637892,125.6682689,125.3475549,125.9838055,126.4522262,126.1634116,127.2214168,127.2714824,127.3525791,127.6088333,128.1614729,129.1554468,129.1521105,129.7416521,130.5197177,130.6319964,130.5051856,131.2241404,132.4228819
Undoobyeo,3,117.4893566,117.8243393,117.527781,117.8511587,118.0704441,118.4121196,117.7184142,118.1107284,118.3270564,118.6106026,118.470854,118.2569844,118.5762945,119.5092906,119.2772764,118.9716795,119.5325923,119.2812636,119.4645687,119.4225488,119.5019014,119.3729764,119.5905517,119.5488445,119.8509196,120.3530296,119.9177026,120.1705207,120.1610957,120.0924838,119.9486526,120.1831458,120.6894155,120.5438983,120.5150004,121.2634326,121.507888,121.9582767,122.0888306,122.5428101,123.7676063,124.744435,125.3829409,125.604556,125.9587653,126.3733993,126.5021712,127.6414134,127.8813418,128.6903604,127.9055156,128.7637356,128.4476881,129.0434517,128.9836198,129.7137486,130.8316939,130.8174844,131.0115605,131.0747149,131.121835
Undoobyeo,4,117.9714309,118.1826625,117.8439747,118.022777,118.5358969,117.770006,118.5110488,118.6699318,118.6076699,118.8358986,118.7607443,119.1935735,119.0901765,119.5718448,119.3364187,119.4776729,119.3044322,119.4957886,119.5676112,119.5001043,119.8743692,119.9466623,119.8778827,119.5846506,120.0067615,120.0766999,119.8324006,120.5880386,120.0930616,120.3943386,120.6887797,120.7669023,120.9639003,120.693622,121.0046259,121.3125762,121.7614374,122.0610941,122.5233425,123.1163883,124.3972865,126.4060096,126.6520472,127.0429423,127.6247777,127.9105921,128.5636332,129.1238435,129.2355159,129.6102252,129.318613,129.9645183,130.7275363,130.7323986,131.5788251,131.7552047,132.5095657,132.1990776,133.2765814,133.2982908,133.4758141
Jungsan,1,116.9814448,117.805096,116.9950092,117.277877,117.2712667,117.7993424,118.3472431,118.3756738,119.0849289,118.4693119,118.9003947,118.6094464,118.7097186,119.3026595,119.3117375,119.3258206,119.8345235,119.5144048,119.4576419,119.7127912,119.7503192,119.7929172,119.7696905,119.7981937,119.6986835,120.1053093,119.3115447,119.7717692,119.8574127,119.7917956,119.794865,120.156296,120.4173096,120.7975974,120.6685408,121.3266343,121.6447126,122.1131228,121.8406791,122.6421316,123.2028241,123.6382121,124.0807945,124.2721773,124.6002888,124.8450946,125.0137547,125.5129438,125.5663936,125.7206226,125.4851114,125.9637458,126.2865225,126.3029441,126.1914983,126.2435691,126.2889494,127.4215136,127.1309882,126.8468305,127.0954294
Jungsan,2,117.546489,117.4289546,117.3472888,118.0994423,118.2590793,118.7613705,118.5972203,118.6678345,118.7650675,119.0312513,118.920396,119.1013166,118.8579029,119.3067334,119.2729188,119.1525223,119.2928273,119.7795979,119.6960323,119.5009342,119.4676663,119.6500415,119.6056507,119.9386645,119.8062461,120.2919501,119.8096795,120.1021228,120.1058314,119.988343,120.065743,120.4977321,120.8562356,120.7548454,121.2610685,121.6490972,121.604357,121.7947576,121.7913608,122.2154657,121.7062734,123.2539242,123.2183668,123.6758748,123.5697762,124.4227979,124.3777267,124.2863467,124.4061539,124.6428387,124.4993208,124.6815782,125.2250632,125.0454856,125.3305742,125.4338008,126.1344522,126.0417437,126.251874,127.0639716,126.9786664
Jungsan,3,117.5893068,117.6302249,117.6049259,118.0406103,118.1189131,118.641604,118.5181752,118.7400661,118.9034151,118.510605,118.7298263,118.9091654,119.5897087,119.5084185,119.9653581,119.5098436,119.7635238,119.8790091,120.1635641,119.8676566,120.0478115,119.9341795,119.9819715,119.9068942,120.1580635,120.3309165,120.5015547,120.3162522,120.569803,120.2997154,120.376916,120.2025134,120.8148368,120.7217767,120.9109056,120.751927,121.2976732,120.8882781,121.4783583,121.8652499,122.1154773,123.6070037,124.208934,124.6398398,125.0358385,125.1365525,125.0962631,125.5949287,126.211646,126.2423012,126.3645632,127.0007457,126.6500417,127.3554837,127.7085095,126.868126,128.3534175,128.1679127,128.8776872,129.053086,129.2042764
Jungsan,4,117.8367742,118.1810232,117.8580675,118.018129,118.4592597,118.9095076,118.8290328,118.9441066,118.4101511,119.4466559,118.7740075,119.1296078,119.3947265,119.5859466,119.7724663,120.3541158,119.9734848,120.0171019,120.0377162,119.541485,120.1295845,120.1361858,120.0961242,119.8675063,120.0537243,120.4141761,120.0744543,120.5823551,120.4639718,120.7706693,120.9333769,120.4574727,120.6606679,121.1831421,121.7065109,121.6592493,121.7584518,121.8568383,121.9937059,122.4987891,122.7617331,123.1491216,123.7696139,124.1860626,124.1031291,124.5469502,124.3998472,125.2677568,125.2030216,125.6735522,125.663799,126.2459165,125.9828261,126.4146464,126.9874909,127.0575811,126.9766094,127.9772324,128.1757326,128.3498434,129.2069673
Saesangchu,1,117.4601251,117.6581558,117.5304662,117.8520748,117.8673702,118.2325196,118.4153678,118.6245981,118.7368662,118.376733,118.7833393,118.4981949,118.9704369,119.11284,119.2738765,119.4561836,119.6465412,119.4902217,119.704719,119.7358343,119.3593771,119.819314,119.7010702,119.7233515,119.8280656,120.4185358,120.0554351,120.2264701,120.344341,120.4982385,120.5246343,121.076215,121.4768622,121.8264892,122.1192786,122.8779429,122.5690448,123.6197269,123.8440482,123.6087328,124.7972844,125.3676279,125.9587031,126.0726552,126.1602712,126.7282149,126.7745613,127.1947267,127.3872968,127.504317,127.2746543,128.2651283,128.070303,128.2176531,128.8808826,129.4422271,129.3319753,129.8086625,130.6260554,130.4431244,130.8875066
