Cultivar,Sample_Number,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61
Samcheonbyeo,1,122.4166667,120.1643956,121.5138761,119.992307,121.9854096,121.5249046,121.0509735,122.1085157,121.2369183,120.4984422,120.5177533,120.3214095,120.3619295,120.8966926,120.6807418,120.837315,120.9678196,120.4864225,120.2782132,120.473656,120.6494949,120.5544906,120.1440253,119.9033706,119.8187856,120.1064671,119.0733626,118.4014775,118.3510149,118.0398787,117.3200021,117.1147951,117.0224201,117.2196797,117.4143625,117.1850845,116.706584,116.6239232,116.1868616,115.4889713,114.6844622,113.1513045,112.390624,112.0515724,111.4080518,111.3417908,110.7130539,109.855116,109.9332459,108.6141577,108.2924346,107.4851025,106.7391696,106.2361703,105.4412358,105.1985814,105.2894767,105.3226059,105.0059489,105.2966081,105.5907253
Samcheonbyeo,2,121.5028729,120.4064204,121.4462896,120.6204722,122.0717525,120.7782391,121.8843225,121.7267984,121.0153229,121.286427,121.3767083,120.9993585,120.9821565,121.1205038,120.9774085,121.0875944,120.8360453,120.9567044,121.1701226,120.6193734,120.6520657,120.5198072,120.5360154,120.7142205,120.3715856,121.0689592,119.7718687,119.6932618,119.7009077,119.720733,118.9759818,118.5647363,118.7185069,118.5921606,118.3866325,118.0867561,117.6368344,117.7746692,117.8480656,117.5844535,117.4659945,116.6908315,116.0532351,115.9936507,115.2260526,115.1762936,114.7170838,114.1304075,113.3449667,112.7834746,112.2338753,111.2668627,111.1149623,110.8782279,109.011784,108.6017267,109.5521386,109.3947072,109.2196109,109.4308371,110.2050334
Samcheonbyeo,3,123.2199365,121.149829,122.44554,121.5189898,121.8419736,121.886985,121.4375586,121.8016794,121.0276973,120.0390028,120.3953327,120.6365765,120.7742696,121.4069313,121.0008138,120.5245893,121.0732098,120.3505629,120.6507444,120.5085699,120.9789331,120.7158625,120.711884,120.6296285,120.4174108,120.3118078,119.6307839,119.488582,119.4635481,119.4787556,118.8566334,118.4270387,118.6484659,118.5825887,118.3711818,118.2043423,117.9835552,117.4534805,117.7458437,117.0232852,116.5599935,115.5904663,114.8361144,113.7870528,114.0488889,113.0371599,113.123675,111.8017807,111.9293494,111.3059908,110.806941,110.1889195,109.5716437,108.7542127,108.33787,108.10256,108.2434182,108.0322839,108.5409189,107.993915,107.993915
Samcheonbyeo,4,122.0818927,120.575205,120.9374776,120.4171179,121.746432,121.1243404,122.0538254,121.3491784,121.2733975,120.9002797,120.7244399,120.7476128,120.3921106,120.8942762,120.7012712,120.4002902,120.8608036,120.5768785,120.7047939,120.3401184,120.7650142,120.2568544,120.2955675,120.0582573,119.9280318,119.688846,118.9846753,118.6768561,118.6016396,118.3616025,117.9116762,117.3353408,116.9933965,117.3938021,117.3880026,117.0900874,116.8314061,116.7888484,116.6895696,115.8852372,115.4154761,114.0924578,113.5545481,112.7353887,112.0861571,112.1921034,111.5066056,110.8370368,110.204981,109.9897822,109.0770948,107.8582363,107.5183645,106.3923336,105.8965578,107.343755,105.4218886,105.5748989,106.1245637,106.9735206,106.8321998
Keumobyeo 2ho,1,122.8811308,122.8652597,121.015162,121.5731246,122.6239084,121.3916599,121.7638706,121.0446295,121.53808,120.6146294,120.5790858,121.0487691,120.8213754,120.6042142,120.6400647,121.0225926,120.8636628,120.5920832,120.7901486,120.4691154,120.126923,119.7996657,119.2531814,118.9584571,118.3389338,118.2581184,117.6294507,116.985801,116.9316345,116.5528824,115.8675992,115.5840361,115.6561002,116.428747,116.5364845,116.4145629,116.3806265,116.2753396,116.2874349,116.0012119,115.4914372,114.6501824,114.4237896,114.2431619,113.7806613,113.5688542,113.2757675,112.9261661,113.0643415,112.0659031,111.8804717,111.1381054,110.5391267,110.1023433,108.9546316,108.3103717,108.2770826,107.8592469,107.1050254,107.3488762,107.08209
Keumobyeo 2ho,2,121.4871859,122.4872549,120.4110721,121.8156417,121.7929298,121.0186395,121.1149329,121.0910585,121.0671177,119.8368753,120.7385593,120.386508,119.9382544,121.0870149,120.630078,120.5081815,120.601778,120.5317512,120.5399706,119.8739349,119.7567935,119.3541053,118.8519194,118.5434777,118.3227234,118.0258009,117.356172,117.2541984,116.8871086,116.8679159,115.8502969,115.5706214,115.8578916,115.8243383,115.9867622,116.4469806,115.9858792,116.2214867,116.2112073,116.0941683,115.9022254,115.369141,114.7773592,114.9165207,114.2430634,114.3740665,114.3327618,114.0597604,113.6836809,113.2653775,112.7391085,111.7410557,111.9248079,111.4522726,110.2496966,109.4291841,110.0493079,109.5014711,108.4077958,108.5827022,107.9106218
Keumobyeo 2ho,3,122.3392514,121.9510494,120.4245773,121.2786885,120.6807767,120.4533003,120.8013365,120.2980484,121.1118254,119.6832174,119.8001331,120.3151747,120.3075773,121.0085535,120.58055,120.2274051,120.6737801,120.4235269,120.4450801,120.1407082,120.6336485,120.3370794,120.3975016,120.1061406,119.804896,119.8486315,119.1122156,119.0801331,118.8191311,118.6654161,118.0267209,117.2581557,117.205266,116.4386845,115.9011337,115.28567,114.5605536,113.6741242,114.1097777,113.1209414,112.7456425,111.7567718,110.9600836,111.1947567,110.1901101,110.5912777,109.7821453,110.2691555,108.730303,109.1472515,108.5468309,108.4715846,108.0712126,107.8971634,107.2277431,106.9826845,106.8763803,106.8133805,106.4342289,106.3892952,105.7044986
Keumobyeo 2ho,4,120.6113254,121.8509475,121.0223472,122.0169758,121.4787476,121.9737358,121.6632403,121.7463521,120.9984865,120.6571412,120.4499201,120.3439735,120.5159342,120.9122921,120.6601744,120.5978746,121.0596205,120.5109513,120.6420899,120.3511929,120.4493214,119.9606726,119.8868957,119.5312266,119.5354724,119.2184289,118.4689633,118.4476543,118.3749692,118.1144543,117.3720756,116.5362575,116.740028,117.6438096,117.8419992,117.4537869,117.0756487,116.834279,116.7163339,116.0920595,115.7313119,114.7769635,114.3352662,113.6781779,113.2533512,113.2130638,112.6222557,112.3404994,111.6918122,111.6520786,110.5557649,109.7141495,109.2465435,108.5998032,108.0903081,107.0974977,107.2482826,106.7891686,106.1110608,105.612998,105.1290686
Undoobyeo,1,121.811071,122.3771479,120.1688648,121.1475986,121.2667057,121.0544642,121.4830797,120.4167683,121.2579525,120.3345236,120.1962255,120.2467131,119.7926131,119.8222114,119.8181898,119.9711521,119.967107,119.5013539,119.5256172,118.998877,118.9757037,118.4201562,117.5762341,117.5052703,117.2175692,117.2594793,116.1177187,115.2160229,115.0841146,115.0631833,114.0292222,113.6461727,113.7150932,114.1722728,114.4664287,114.4561605,113.7146856,113.9014016,113.7430078,112.9698092,112.1910739,110.9828062,110.3870579,110.3983203,109.5570021,109.7799381,108.857157,108.3440788,108.6071887,107.3968077,106.9466275,106.5202142,106.1995021,106.312495,106.1389342,106.0149686,106.2845852,106.3944844,106.6468726,107.1197976,107.6728274
Undoobyeo,2,122.5767363,122.5135117,120.2311881,120.9724624,121.101601,121.2925142,120.7817335,120.0187394,121.4720116,119.9244829,120.8328839,120.3378003,119.7592308,120.6757451,120.2143205,120.0048968,120.1048163,119.9991137,119.9555011,119.6308067,119.4927566,119.1207813,118.9696978,118.7708857,118.6472481,118.6662489,117.8903654,117.5485112,117.2980359,116.8462067,115.9192486,115.2986226,115.3778021,115.49535,115.8268464,116.2061611,115.5965018,115.7842962,115.991101,115.4447371,115.2534177,114.5572627,114.1197201,114.1300798,113.4630177,113.5971192,113.5449899,113.1471783,112.2632949,112.1719189,111.7880446,110.9982967,110.9076296,110.4867828,109.3998819,108.6062624,109.528337,109.2169691,108.7415429,109.4803064,109.4770572
