Cultivar,Sample_Number,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61
Samcheonbyeo,1,-49.02274566,-158.5537081,-153.1489175,-209.9277181,-297.9044101,-279.5875901,-283.8195606,-175.9049964,-325.3111093,-422.1657605,-335.0727769,-290.8829635,-515.8612618,-664.0688693,-593.1247217,-557.1071514,-622.8000731,-687.1812844,-605.6385154,-498.5102108,-621.3279942,-661.8639772,-666.4164845,-724.6440775,-876.650832,-815.1629966,-720.0751774,-813.5548893,-739.0400772,-675.9193619,-690.4723731,-579.4827912,-403.7125577,-605.1177607,-592.7590462,-704.3541292,-1324.006121,-1332.546034,-1348.242718,-1332.457904,-1287.028175,-1134.020948,-1194.070822,-1063.345013,-1142.054328,-1092.601569,-1109.370644,-913.1906434,-1371.644155,-1362.531341,-1341.76516,-1335.38423,-1341.744311,-1331.140544,-1300.951224,-1344.215989,-1283.926951,-1367.460267,-1267.502261,-1306.233519,-1305.81889
Samcheonbyeo,2,-59.20598694,-77.27427514,-117.8975023,-263.3524092,-98.04451869,-274.7576356,-352.2636435,-224.980224,-112.3976284,-364.3788936,-402.0654848,-397.7328728,-483.5676243,-566.8049807,-443.3646707,-528.7606377,-594.7446149,-571.8884747,-521.774816,-717.2411669,-707.0186796,-845.6941586,-842.0602249,-709.5310417,-747.0903477,-896.7121466,-935.7459277,-902.6227261,-863.3190216,-890.9471434,-1064.287556,-992.935554,-1029.90833,-1112.310058,-1126.829834,-1069.983434,-914.1727173,-981.930164,-1114.35323,-986.4379395,-1199.691914,-1317.469549,-1308.145598,-1298.70938,-1302.294156,-1159.798051,-1279.650005,-1226.283737,-1138.567024,-1195.853725,-1056.601036,-1142.179289,-1182.419033,-1195.538703,-1220.099931,-1069.617607,-1175.870275,-1118.456077,-1101.060127,-1072.17041,-1161.140741
Samcheonbyeo,3,-71.52432752,-17.77428465,-156.0135516,19.66557768,-249.7459487,-212.5226958,-234.1716472,-255.0656156,-133.1354854,-181.433099,-280.2885029,-183.966929,-201.0903943,-447.5865411,-152.0095639,-477.0026419,-518.0460842,-477.5289187,-522.6913495,-614.8860853,-764.7741582,-753.2190721,-832.5254411,-907.34132,-942.9884688,-1028.760044,-1099.525001,-1024.71537,-984.966017,-900.1584521,-990.7326339,-1055.023547,-1135.288881,-790.4300832,-1133.412658,-1143.473062,-1249.101404,-1271.154048,-1284.578087,-1298.416921,-1211.465513,-1334.33094,-1285.689068,-1377.683372,-1259.2437,-1166.570993,-1269.352006,-1266.77641,-1313.209209,-1114.575711,-1257.276762,-1204.589801,-1237.935911,-1220.184986,-1146.140881,-1186.983336,-1323.138224,-1334.634524,-1261.884635,-1203.188166,-1263.646337
Samcheonbyeo,4,-61.41371941,-202.0416764,-84.89498961,-156.0952216,-274.7611217,-369.2712933,-386.726697,-274.0081739,-364.6445884,-311.6593268,-246.4324299,-363.7874464,-573.2212163,-520.234696,-584.3486093,-544.4352927,-594.8773251,-431.2415357,-595.4925214,-777.9558239,-733.6639342,-686.9474309,-725.0142832,-927.3448698,-873.9758293,-757.4911748,-888.2833925,-766.4001307,-543.9460085,-731.6889539,-760.7941845,-1177.922406,-1218.234515,-1248.833005,-901.2053767,-945.7585521,-1104.061225,-1167.656802,-1202.525073,-1296.172449,-1287.752156,-1170.855751,-1182.584448,-1268.185001,-1232.906688,-1274.650029,-1279.270559,-1261.22527,-1212.393218,-1237.558105,-1137.288458,-1181.08821,-1106.08835,-1166.390072,-1097.276566,-1194.414957,-1210.039176,-1330.470567,-1315.787477,-1255.678357,-1180.403811
Keumobyeo 2ho,1,-73.06979912,-111.1992024,-179.8941162,-254.1712884,-17.33556821,-15.36969822,-216.3462582,-365.6959922,-132.8102843,-511.9745078,-246.7083032,-369.4739014,-347.2589162,-446.5138593,-447.6826359,-323.1743443,-443.5849997,-396.188302,-409.9316175,-764.9947291,-823.3312265,-670.1278319,-561.0832387,-786.7224815,-524.5262224,-741.5102123,-852.4820351,-988.7454546,-893.7400193,-946.2541402,-988.4888538,-966.6727407,-970.8251099,-974.9231587,-1026.614061,-1143.689052,-1085.209977,-960.8330657,-954.514096,-896.6887631,-1091.173248,-991.5445656,-952.4440042,-980.609144,-907.7192892,-949.1489836,-924.3452583,-883.3047613,-947.8359578,-863.3204599,-954.3465177,-948.5729182,-744.950302,-923.7559177,-845.6410709,-866.9415241,-864.7601936,-895.3127884,-896.0073602,-886.7878215,-967.7353835
Keumobyeo 2ho,2,-92.87480602,-179.5132241,-64.03857019,-281.2885584,-282.5512624,-284.5501403,-372.0409833,-248.0515978,-218.8470871,-263.8219041,-348.969556,-386.3702318,-150.9356069,-368.6157499,-341.6776773,-453.2672755,-593.6813307,-734.5677776,-737.3691193,-794.8192646,-812.1707124,-772.2824298,-602.9279155,-667.6187869,-775.1280019,-1005.75998,-969.0402296,-939.0815921,-975.1585437,-1025.99676,-887.33777,-1028.686119,-882.9271904,-951.8198304,-972.131555,-1207.274182,-1179.129639,-1197.649167,-1195.638928,-1215.976171,-1190.126265,-1232.09596,-1238.153017,-1248.937555,-1266.356446,-1299.994534,-1218.49395,-1192.722126,-1145.84618,-1141.683787,-1083.185899,-1118.732092,-1101.93364,-1012.895031,-1017.947554,-1155.957998,-1141.907007,-1021.543392,-980.9592982,-1107.131101,-1039.767872
Keumobyeo 2ho,3,-59.79790165,-109.7281338,-215.1023253,-142.7046689,-194.2699553,-354.750169,-421.0249198,-460.1589792,-396.901565,-327.4201895,-451.127303,-538.2724325,-548.8297179,-472.9533199,-348.1108194,-347.1912642,-431.7371543,-281.8247645,-415.8172098,-525.944791,-591.8333797,-771.8445996,-869.0149895,-803.3730375,-754.0844813,-912.587109,-922.2410593,-855.356941,-790.7363563,-944.2133855,-942.5534372,-1247.929641,-1108.830366,-1233.577394,-1082.479102,-900.6263768,-933.5937144,-967.7942423,-932.921094,-1154.420245,-1075.629898,-1181.084882,-1059.50215,-1096.458895,-1128.283952,-1133.639615,-1161.682187,-1147.284671,-1135.025589,-960.3013391,-855.9335021,-973.4162562,-1017.36712,-964.9028517,-1020.527576,-1084.70701,-972.5703378,-988.018,-1126.379622,-1144.886749,-1092.916939
Keumobyeo 2ho,4,-174.2175598,-182.7178254,74.94972329,-248.6733499,-216.1879747,-296.0304232,-180.387204,-145.4690382,-32.77569269,-177.887968,-526.1596393,-492.5818112,-432.3771922,-529.7981486,-546.2254748,-637.7299439,-621.7333585,-425.4409484,-318.2785453,-312.5546293,-686.583022,-676.9326073,-584.9699082,-589.467968,-476.1485348,-979.0196219,-851.1173471,-953.9543318,-917.545847,-978.3998793,-940.662235,-929.3176807,-894.58978,-860.1265072,-768.6697033,-820.357177,-835.7311436,-649.6546038,-855.9831756,-904.2756987,-893.1013927,-1175.171373,-1166.047688,-1212.262726,-1202.662536,-1171.000954,-1189.3992,-1130.904328,-1090.101725,-1065.425998,-1017.68004,-1081.409981,-1096.468331,-1079.417874,-881.9185196,-940.4052787,-637.6464965,-1094.883342,-1084.836116,-1130.233641,-1215.744847
Undoobyeo,1,-171.7913227,-126.1563578,-6.869523057,-185.5239628,-27.8908468,-343.4171828,-376.8949831,-236.8536154,-76.12697177,-223.6754463,-461.0035843,-521.5769253,-655.4829782,-690.083896,-713.5438738,-677.9101134,-535.8355066,-872.2575197,-913.7686713,-983.0081878,-968.3226275,-1001.419957,-1075.100673,-1053.355548,-1172.740135,-1186.146273,-1187.746954,-1220.590643,-1299.249518,-1299.619885,-1274.855793,-1277.613608,-1298.16969,-1344.782429,-1366.234181,-1303.062671,-1349.485386,-1342.036885,-1353.242573,-1285.769688,-1263.984453,-1315.406482,-1353.299179,-1344.481254,-1327.075218,-1330.820572,-1347.308293,-1383.893795,-1297.46927,-1359.412287,-1021.562708,-1137.1685,-1035.171247,-1194.450641,-1184.761706,-1197.721182,-1191.430031,-1181.461072,-1155.446266,-1101.273431,-1034.833102
Undoobyeo,2,61.99078498,-130.4961887,-187.9565727,-350.9078545,-141.9729077,-372.0916418,-414.2270761,-317.7370764,-275.9941912,-177.3102822,-660.753513,-534.7854812,-406.1233793,-709.1180699,-586.334547,-735.4410569,-689.2797676,-801.4362435,-855.9038139,-873.8993009,-764.8072875,-842.4365564,-937.6192333,-846.8528887,-943.1182784,-1065.265133,-1245.155169,-1289.481791,-1311.050332,-1329.505138,-1380.864286,-1465.979755,-1458.449621,-1474.415286,-1443.784185,-1449.422956,-1420.781018,-1386.16341,-1406.981258,-1409.475209,-1446.43903,-1431.775282,-1434.214579,-1426.010177,-1357.80506,-1423.858457,-1402.965047,-1401.167995,-1406.822155,-1378.98924,-1434.8787,-1361.531135,-1381.397337,-1347.936883,-1308.944268,-1305.463847,-1324.502196,-1339.143033,-1328.699045,-1267.43746,-1343.986772
