Cultivar,Sample_Number,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61
Samcheonbyeo,1,693.577681301814,870.848436870619,985.456746894556,1108.57836890316,1339.75072308247,1361.05620750945,1586.32562861476,1698.86138339772,1530.60412909413,1926.86299461067,2016.87728927667,2062.22258740418,2240.11115795623,2500.21299092697,2561.2875668304,2446.59538951581,2378.17345877041,2684.31182987372,2865.39438821255,2899.29249990407,2903.61877663029,2891.88053003578,2874.0356643577,2843.94813595466,2885.9206503298,2971.7875092274,3033.74389162961,3100.76538938372,3142.23312311483,3130.82129799834,3123.07060438921,3119.82259110995,3121.93225422974,3117.75848968454,3138.7567602476,3279.95152403202,3288.64242507452,3290.43006307686,3291.31417521938,3291.42962859606,3285.14626767211,3276.41953968047,3275.95070170477,3271.88783426327,3270.34096081739,3270.04128414306,3267.19895323196,3270.253965673,3261.82801508602,3256.40906521278,3249.36455326268,3241.38519772026,3234.97418845962,3226.39256755901,3217.60050348082,3214.98693620985,3207.84429173238,3191.48006417085,3179.9347477582,3190.36439924972,3191.56779655391
Samcheonbyeo,2,597.971571230606,807.758627313878,894.523895712127,965.435652956736,1162.46849419672,1178.65049951205,1349.54696102062,1521.67604962423,1539.29366918727,1722.07607265184,1872.16692631827,1840.01141300808,2042.85119379753,2257.90721687141,2323.48552825276,2419.09507874329,2354.99150741568,2588.88277061747,2677.40639425546,2673.09296508745,2643.95253361326,2528.13330344743,2611.3193983119,2638.38151145736,2810.22863838514,2888.15685169625,2943.25075384344,3038.3556408031,2933.9108711752,2991.59121539023,3023.85598202031,3000.00683332555,3045.37846580684,3095.48219184023,3181.54632215217,3352.59377199207,3403.22347194538,3400.57656876007,3395.43296208304,3286.49433287203,3372.91105723231,3413.50992381742,3423.09348397031,3429.10440202686,3436.6019554205,3463.04981194322,3367.62141577702,3328.17502544563,3210.39312234499,3222.10443654454,3205.76433943607,3197.31887680913,3176.53978410471,3172.98629054712,3213.36334702442,3226.85806939196,3247.03064352648,3248.98953522476,3259.24439095935,3247.50519630069,3237.92773236217
Samcheonbyeo,3,649.166388532247,841.509358236734,1001.26420089804,999.776475018291,1255.71413944417,1353.89401357713,1346.38813126082,1217.47936327479,1266.05292148472,1668.48224443654,1912.06694443474,1907.26820347847,1870.2686972732,2191.63546238876,2292.65980904276,2497.61986699337,2430.09156206099,2477.67996319137,2562.71828338583,2506.90905299734,2678.75138824042,2775.30286635531,2730.28679812213,2855.1388757817,2883.15001344016,2961.97721125602,3008.80341664257,3065.65653653504,3105.61185597943,3168.89460222331,3230.93330169473,3152.51169704412,3203.64495535944,3340.83836783524,3391.37081428734,3407.38316013917,3417.08881944851,3432.23789968003,3432.83439740399,3439.14538802883,3451.22253701496,3483.86739127654,3490.45226295963,3502.44500313709,3514.07911123242,3563.96198071753,3590.82608879907,3617.37418578725,3343.03051137736,3347.57733293796,3325.18646093719,3323.02663245421,3324.33000768576,3318.95073780856,3318.40940813517,3313.51671189388,3315.34040484533,3239.89027591985,3202.17754036218,3211.49342207017,3189.3764280812
Samcheonbyeo,4,759.380010271537,937.582529700719,1045.43818564275,1113.65793671127,1309.77937073387,1269.98031480807,1527.75161593762,1626.12453397641,1595.2231818777,1875.49060248245,1894.09028295908,1933.29278693115,2254.21760262846,2451.20643765473,2485.05231333266,2472.31571608482,2488.81517996014,2485.6729471111,2572.34231781075,2509.0167396811,2809.57826016646,2895.60114656698,2951.22516931528,2993.89862887841,2869.17775677981,2938.91221372807,3001.83976920821,3059.35368991557,3090.72629004899,3162.61679626223,3254.99938556062,3314.04118863963,3315.379013024,3298.76128266354,3335.28919285869,3350.31491057184,3355.67057381978,3355.0250371644,3353.62564994962,3350.79348811591,3358.38547519489,3366.74457005577,3368.56052342837,3369.92655706322,3369.13994960138,3365.66382753834,3365.1337269119,3363.1926795829,3362.76746148169,3365.19969689764,3362.15005613967,3356.35889022613,3360.896606562,3358.08099961868,3359.78049878262,3356.35889022613,3344.95979049076,3343.4217502433,3323.44158967778,3246.04451602254,3221.00062092512
Keumobyeo 2ho,1,673.553264411954,954.443293234334,947.574799158357,1266.36053318161,1333.23403796933,1431.57291117148,1585.97887753904,1563.75349719833,1768.34300971277,1865.80009647336,1807.60421552949,2045.34618096791,2149.47668049691,2060.13616054862,2181.09169912684,2294.96187332165,2257.72318941007,2311.55575316712,2479.83245401781,2521.70517705778,2502.48236757025,2631.78304576954,2733.54806067133,2757.86910494316,2780.27948235425,2768.19688606139,2760.9219474661,2765.69503018681,2773.03534056095,2774.00162220573,2772.0584409424,2758.41766235645,2751.65422973164,2746.22304265331,2726.32536576249,2711.43983890478,2692.23791667824,2708.38051240958,2716.74455921053,2704.70885679032,2698.64151009355,2696.90081389731,2697.67047654082,2696.90081389731,2701.25100647829,2705.26154003638,2698.19087538299,2682.27981388967,2698.40415801636,2681.95339258534,2675.97496251366,2673.30675381633,2682.14391858453,2670.61715713803,2658.80048142015,2664.42357743659,2644.20763178688,2675.24522240485,2656.02955555845,2670.71301341046,2670.52054850735
Keumobyeo 2ho,2,755.058275896636,979.355400250593,1042.2792332192,1300.89853562836,1298.53956427981,1554.8726635966,1607.24391428308,1769.99943502816,1902.90567291182,1886.54101466149,2011.28739865788,2085.20166890399,2075.51102141135,2353.37417339445,2479.31946307853,2457.13756228665,2434.53178249946,2552.46743368059,2552.16084916292,2637.71131854872,2845.45708103285,2889.92214428001,2916.60658985747,2958.27601822413,2965.59370109933,2990.70593673133,3001.40000666356,3046.00147734698,3050.53257645284,3051.69231738719,3050.00803277631,3012.33613662221,3046.39409794596,3038.87693070976,3004.57933827682,3017.93207345692,2976.48467155468,2972.10396857176,2967.97321416484,2959.52513082758,2905.48343653857,2904.74990317583,2903.38044355196,2904.4836029835,2901.16562781238,2899.00431182846,2895.00846285464,2890.0560548197,2887.02926898915,2883.35117528198,2883.06937134714,2875.0043478228,2885.0292892794,2887.05005152318,2838.01127552376,2813.09402615696,2821.17032452846,2839.5327080349,2849.28078644419,2826.2422047659,2796.9013211052
Keumobyeo 2ho,3,746.979250046479,992.875621616323,1009.19819658975,1302.73942137328,1345.27692316489,1535.11758507288,1636.47945297214,1684.35180410744,1908.07573224964,1956.01252552227,2037.3760084972,2150.84959957687,2123.81967219442,2330.27251625212,2446.95116420414,2448.29124084534,2461.57774608075,2534.73410834352,2643.76436166312,2611.95750348278,2762.09576227907,2915.26088026441,2940.90615287193,2966.28336475125,2983.08866780724,3009.06646653077,3040.2501541814,3050.11950585547,3058.30230683626,3074.80893715366,3119.05434386771,3124.97199987456,3162.48794464105,3185.34801866295,3215.79881211496,3215.02052870584,3212.07253965411,3191.29472158245,3188.53022566825,3164.31430170898,3175.38312649041,3186.22299910097,3207.13485840555,3202.36303376116,3202.21189180229,3211.51210491258,3192.00078320792,3215.43060879877,3217.13195253163,3216.87317126429,3217.43888830853,3219.43550952648,3179.98443392417,3171.76197089252,3230.43185967449,3092.65872672689,3205.30840949822,3165.22811184281,3151.00015867978,3155.71133027088,3164.62715023429
Keumobyeo 2ho,4,797.897863137883,911.798771659624,1082.03188492761,1236.07321789609,1285.89657437914,1512.11441366055,1467.18676384433,1762.52801396176,1817.39208758044,1930.06139798712,2098.06887398865,2090.2031001795,2306.75117860596,2410.58706542618,2417.13156447886,2363.7336990448,2450.87780193138,2453.47365993605,2569.34583114068,2778.96563490807,2815.13374460255,2820.40227627195,2836.06241116094,2825.82129654371,2866.56902934501,2910.04209591545,2944.07489714511,2988.31340391198,2983.2495705187,2987.89039290266,2976.19959008128,2963.77951271683,2943.69376804042,2944.63070689688,2949.70947721975,2898.8213121888,2895.34971980934,2921.23432815651,2920.41110119791,2914.44625958346,2907.48310399218,2905.77253067063,2908.0732452949,2905.4254421685,2905.36348844684,2902.93592764291,2903.8629444242,2903.62067081773,2906.36301930781,2906.24327956212,2901.79685712146,2895.44918794995,2895.94561413021,2860.25733108054,2895.48407006497,2853.04486470157,2862.82814713004,2892.82439840375,2853.34785821848,2889.54477383549,2887.00415656091
Undoobyeo,1,932.39315741805,1212.96413796946,1221.0495485442,1560.06313974788,1516.8734291298,1261.63742810682,1314.69920514162,1511.20680252572,1326.44826510498,1709.07723640566,2166.900551479,2045.04792119891,1894.46588779001,2320.29243846546,2185.55096028439,2395.01022962325,2519.68291655915,2538.13100528716,2673.41074285266,2871.41811654102,2987.09842489329,3054.13326493786,3094.06690296121,3067.32538215299,3162.08696907596,3316.94588439426,3395.71273814497,3385.17060131391,3370.11943408539,3364.00535076863,3232.06590279344,3227.73759776101,3267.81960946439,3279.24823702019,3288.29697563952,3296.47114351089,3294.28307830399,3289.79893002597,3284.30966871274,3273.74357578598,3257.32482261134,3236.01251542697,3221.3284526729,3202.180507092,3172.66591370727,3253.41728033771,3252.90777612892,3260.33449204219,3140.92677405889,3138.53022926337,3129.38220740133,3118.87800338519,3061.80028741262,3041.00147977603,2884.09985957491,2932.35093397772,2833.65664821975,2765.53394482874,2726.18157869207,2718.05757849241,2753.76487739967
Undoobyeo,2,886.682017410977,1231.20469459794,1240.36809052797,1535.00814330088,1629.48611531366,1609.83259999293,1440.64048256322,1875.00026666665,1566.01149421069,1812.48034472101,2321.6746111374,1681.01903618014,2076.86229683145,2409.39868016898,2144.41647074443,2429.19780997761,2457.52904357202,2733.02927170567,2997.17099945932,2952.17970320236,3069.71953116242,3128.66648909723,3125.06207938338,3184.87754866651,3238.2813342883,3321.15657565252,3375.3851632073,3379.37568198625,3406.27670631732,3435.44829680203,3365.20370854425,3367.0380158234,3379.28054473138,3379.66285300768,3380.24510945582,3364.01486322519,3364.03804972536,3364.04295454145,3364.06554632932,3364.44958351288,3391.47770153365,3362.92268718744,3353.59419131176,3340.88685830574,3321.57026118672,3310.11691636413,3301.95290699307,3295.23125136917,3283.82246779572,3304.16252626895,3301.69441347924,3303.8401898397,3314.91930520186,3315.70580721511,3315.55636356856,3314.64764341551,3309.47397632917,3264.55709093898,3283.99177830883,3273.49553230182,3274.07223500032
