Cultivar,Sample_Number,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61
Samcheonbyeo,1,679.39531938,852.63649934,960.77312619,1113.32744509,1355.41063888,1398.2549839,1585.03533084,1725.61438334,1530.33656429,1903.11586615,2135.68209245,2158.42766847,2249.66241912,2506.50932574,2574.53160789,2523.634086,2365.69017414,2634.03056171,2757.12205025,2806.46842134,2845.07328552,2860.52250472,2900.83522455,2896.98135997,2920.22345035,2949.19412722,2962.48291134,2948.87317462,2921.46692605,2923.34414669,2913.79700734,2917.68761179,3006.34878216,3073.82009883,3081.02353123,3199.01266018,3204.41024215,3202.70089144,3185.82375533,3174.38387723,3167.10672381,3161.82858485,3168.81697168,3167.68953655,3165.35953724,3158.06475551,3154.02282807,3160.74200149,3056.03943037,3058.12262671,3047.98228341,3043.94168801,3037.90075546,3005.51260187,2995.56104929,2974.68418492,2969.71126543,2966.32331346,2942.07698744,2931.65482279,2920.36881232
Samcheonbyeo,2,564.74507523,807.21868165,849.11777746,973.46443181,1160.94142832,1204.87219239,1341.68923376,1513.06741423,1517.16116481,1722.11643044,1892.28671189,1909.90523325,2076.57819501,2252.47108749,2332.31923201,2329.67487002,2343.82870535,2604.22157275,2726.64867557,2760.33494344,2773.30290448,2764.93562312,2714.5277674,2857.43258888,2945.02444812,3023.79000594,3073.92680459,3109.75642133,3104.64055891,3014.06337027,3055.89168656,3062.00489876,3161.14441303,3261.11177361,3303.52690317,3374.34319535,3373.65098965,3377.4394147,3380.44153921,3377.08528172,3385.28241067,3395.41367141,3406.55515147,3411.46566742,3428.32568465,3340.05643665,3337.857097,3340.70426707,3353.64547918,3368.38789334,3371.39140415,3348.94610288,3334.92863492,3361.71682329,3335,3349.89328188,3346.82790116,3366.24494058,3366.21122332,3364.37156093,3364.10835141
Samcheonbyeo,3,667.39044045,831.04873503,985.11420658,1012.92941511,1265.52518742,1337.70437691,1326.07428148,1313.99124807,1324.73770989,1719.87964695,1899.94763086,1805.63257614,2004.8264264,2363.65014332,2487.37170523,2404.1998669,2437.94113957,2369.63836903,2418.38231055,2464.31856707,2760.1748133,2863.37929726,2891.05136585,2950.1845705,2984.22938126,3008.65966836,3013.71299231,3010.28802609,3116.4718834,3187.90495467,3241.8230982,3293.8932891,3326.89194294,3335.38678417,3359.49356302,3417.44056276,3416.91337321,3420.47613645,3422.48389331,3416.91337321,3421.56703865,3443.35897054,3442.719855,3450.33114353,3457.12380455,3465.36001016,3477.44978397,3496.65726087,3603.21758988,3363.96492253,3364.17122038,3363.44139238,3359.27402872,3346.41375206,3333.98650267,3331.04322998,3335.74294573,3329.09432128,3331.03617513,3153.37232182,3166.73159583
Samcheonbyeo,4,753.10158677,929.40034431,1048.90895696,1085.46073167,1314.35649654,1320.50444906,1519.37158062,1536.008138,1560.95163282,1953.6494056,2137.2049504,1971.76595974,2258.2871828,2321.49370019,2319.23133818,2322.5214746,2502.89152781,2723.19389688,2851.37054765,2881.46091419,2859.11892023,2868.39136102,2930.48272474,2980.75242179,2886.36051109,2960.72710664,2976.11726919,3039.09937317,3112.2893503,3207.62232814,3318.5011677,3369.64701415,3366.58877798,3365.57647365,3366.95366763,3361.34273766,3353.20413933,3358.15246825,3360.00074405,3364.00059453,3359.17921523,3354.04830019,3353.003728,3352.23865499,3347.43558564,3349.88507266,3350.64560943,3354.04129372,3358.17524855,3358.13192117,3356.86311904,3325.54717302,3369.24234807,3360.38167475,3244.82125856,3270.09556435,3207.00763953,3225.71697457,3229.08315161,3116.53974786,3190.32490508
Keumobyeo 2ho,1,652.47911844,929.45252703,962.92523074,1276.95927891,1338.70459774,1382.34764079,1583.48508045,1501.21317607,1792.79502454,1866.95527531,1915.2780477,2158.93909131,2216.70791942,2128.81422393,2315.97517258,2365.05243071,2308.70808029,2409.6831742,2596.12210807,2616.72505243,2637.79642884,2749.19351811,2856.32368614,2849.0015795,2832.24169166,2786.4217197,2770.1267119,2749.32318944,2723.64498421,2776.7884327,2843.79077993,2891.3986235,2899.26283734,2899.51202791,2903.48928016,2902.47911276,2897.63783106,2897.75999696,2892.76010067,2891.55771168,2877.92459943,2879.68401044,2880.12933737,2880.34338231,2876.38749128,2875.3980594,2865.82361634,2875.26155332,2870.99285962,2867.06278271,2868.03068324,2857.78113228,2860.44926541,2860.9797273,2860.36588569,2854.30499421,2847.71434663,2843.4239923,2751.72854766,2721.19275319,2744.91110967
Keumobyeo 2ho,2,738.24453943,963.37427825,1067.14806845,1313.74959562,1310.76504378,1531.5488892,1569.98885346,1797.95578366,1881.50179378,1893.72278858,2078.96536768,2160.22244225,2228.96052006,2458.33642938,2446.59150657,2360.35463437,2606.59260338,2759.15294973,2788.71027538,2789.19522443,2843.72326361,2957.30451594,2980.45130811,3006.13988364,3027.13891323,3032.5739892,2999.70081842,2976.24763755,2996.10580588,3049.68867264,3082.60879776,3104.59417638,3106.75296733,3104.53120455,3107.45184999,3096.63301022,3100.42980891,3093.49575723,3095.18093171,3092.03492865,3085.46430866,3099.84031847,3099.08922105,3097.68235944,3095.16477752,3090.06618052,3088.25986601,3081.82364843,3080.19804558,3082.8383026,3075.186661,3078.62453053,3074.71787324,3080.21379128,3083.13639011,3079.98051942,3073.7249389,3073.01496905,3076.81734915,3076.33954563,3029.83580413
Keumobyeo 2ho,3,715.00629368,997.90280088,972.02520543,1274.02119292,1330.82418072,1539.17185525,1582.54541799,1649.36139157,1908.46666201,1948.27975404,2062.15057646,2149.89534629,2142.30366662,2350.01319145,2485.66630906,2503.59681259,2498.43190822,2595.45949689,2670.49545965,2673.35482119,2725.08807197,2944.90492206,2836.49519654,2925.59498222,2937.66063391,2921.33017648,2988.06592966,3034.9868204,3057.12691918,3066.29189739,3128.11460787,3149.76697551,3166.18587578,3179.56993947,3218.46624963,3176.98992759,3159.55708921,3160.79641863,3157.38784441,3147.2429204,3145.66765568,3137.16846854,3133.98101462,3144.46307022,3150.80338961,3153.85890617,3150.97000938,3133.44937728,3139.99570063,3147.0535426,3144.78059648,3141.87921474,3145.78082517,3148.07655561,3153.0648582,3143.38368641,3127.15221887,3098.51609646,3115.71661099,3111.7461336,3093.86004855
Keumobyeo 2ho,4,752.72969916,864.45936862,1058.12333875,1192.17867788,1282.30456601,1522.41420119,1519.49004604,1689.0026643,1735.31380447,1876.7154819,2045.90957767,2066.18972991,2151.67957652,2317.55927648,2269.48672611,2369.68879813,2487.02090864,2508.01634763,2518.0059571,2693.53763664,2722.26560056,2708.31035888,2812.85353334,2847.3879258,2919.6789207,2973.25444589,3008.69174227,3031.56626185,3022.87495606,3024.90099012,3000.0734991,3028.3081085,3006.03742492,3002.25332042,2991.50881663,2975.92422619,2973.15875795,2973.10359725,2977.87054789,2983.04626179,2982.43608481,2980.68716909,2981.68693863,2981.7984506,2979.58419918,2979.14115141,2976.32525104,2974.62552265,2969.50938709,2967.29725508,2965.24349759,2957.31263143,2959.27034926,2960.29795798,2960.0136824,2960.0136824,2926.35216609,2947.13301363,2951.78877971,2941.57525826,2902.50236865
Undoobyeo,1,918.71921717,1207.52846757,1218.5027698,1539.95876568,1629.81225913,1272.05699558,1362.25474857,1521.88468683,1372.35636771,1815.47156408,2392.58040617,2381.73928044,1932.68569612,2465.27929452,2106.01543204,2365.76689469,2400.33705966,2685.55264331,2981.11338261,3093.29678499,3197.50605942,3275.38287838,3344.69804317,3340.77027046,3327.27110407,3317.94770905,3369.93679466,3370.99169385,3364.49996285,3366.82936901,3368.34336136,3374.89807253,3377.97942563,3378.71588033,3375.88284749,3383.5284837,3384.50587235,3389.25729327,3395.84923105,3406.27670632,3407.60047541,3277.68210783,3410.11920613,3285.09619342,3289.11127814,3292.42919438,3294.19808148,3294.1797158,3290.51075063,3289.61046326,3289.36984847,3285.23302065,3268.61698582,3258.43536072,3131.47010204,3191.20416144,3096.49414661,3044.20515077,3029.55524789,3014.02090238,3031.68880329
Undoobyeo,2,868.12959862,1217.01027112,1189.77686984,1540.95717007,1628.96071162,1580.91903651,1400.4027992,1918.58750126,1707.04217874,1845.35362465,2464.45064872,1679.78004512,2139.33844915,2703.00295967,2184.85171122,2402.94839728,2415.38175037,2906.93274776,3101.30440299,3274.74899801,3364.25831351,3366.06892383,3365.15081386,3370.96455039,3335.57506286,3396.95157457,3391.88030449,3370.86353921,3368.19239355,3370.54832334,3370.42430563,3387.46217691,3380.14733407,3379.47111247,3380.83791389,3390.86596609,3401.54553108,3405.49497137,3404.10590317,3397.23004814,3385.39451172,3375.96682448,3374.97851845,3372.55037027,3371.71766315,3369.76334481,3368.8122536,3367.47754261,3367.03801582,3366.10412792,3364.97503705,3364.68720686,3364.00237812,3364.07862572,3364.58987099,3364.32831335,3367.47754261,3365.48599759,3366.13962871,3364.79018662,3345.12451188
Undoobyeo,3,1012.60505628,1201.76411995,855.77859286,1051.78895221,1571.89853362,2010.20322356,2080.29276786,2042.17188307,2038.68315341,2233.10299807,2660.6286851,2529.77350765,2301.16600879,1970.97057309,2116.08364674,2499.86499635,2895.77986042,2887.59432746,3032.4585735,3039.72268472,3104.29412266,3067.89602171,3152.32882168,3284.79192644,3434.23950825,3458.51196326,3364.99925706,3365.23060131,3397.50967622,3365.45643264,3396.6742558,3413.12540057,3423.59343381,3432.43645243,3419.3954144,3459.20973634,3464.16295806,3456.89340304,3425.08861199,3427.36516876,3467.77450247,3517.27522381,3614.07484704,3617.00663533,3665.97122193,3657.67576474,3392.78307588,3392.91320254,3415.00219619,3422.11630428,3447.24600225,3454.37707843,3479.22979983,3475.43162787,3456.20384237,3465.60023661,3463.68604235,3431.64392092,3427.94063543,3408.82633761,3529.16208185
Undoobyeo,4,1151.094262,1183.77067036,819.42540844,1224.02001618,1701.44203545,1851.34140558,1740.1407989,1669.98982033,1766.10220542,2161.31672829,1764.16127381,1935.41339253,1760.28321585,2090.67381483,2229.78496721,2340.02777761,2658.96389596,2653.65144659,2427.59654803,2476.60998141,2885.46374089,2996.35194862,3143.0324529,3306.01346035,3382.78465173,3388.89303461,3405.49497137,3430.46352553,3374.34319535,3370.11943409,3370.05934666,3367.47754261,3364.10047412,3364.0719374,3364.44958351,3364.08561128,3364.46607948,3363.05947018,3404.00132197,3407.78989963,3404.30154364,3389.74704071,3384.9478578,3381.74688586,3380.14733407,3371.14654087,3385.39451172,3381.6216524,3288.78472996,3339.73726512,3290.79017867,3291.24733194,3324.47319135,3330.69872549,3207.36792401,3258.74883966,3206.81040911,3046.71396754,3020.70670539,2979.66592087,2997.98398928
Jungsan,1,659.47403285,1016.00049213,918.98911854,573.84666942,914.83003886,1276.02703733,1054.1242811,1168.47678625,964.87149403,1477.10155372,1239.65196729,1419.31145278,1756.79025498,1411.54560677,1805.23294896,2042.30507026,2279.27729774,2513.34935892,2186.46243965,2308.20817952,2542.01593229,2782.58189457,2855.6193724,2708.8938702,2724.91926486,2716.48762191,2745.51452373,2888.85669427,2891.34466987,2901.16011278,2884.53011771,2880.07586706,2812.23220947,2791.28823306,2732.1087094,2706.42143799,2696.3178596,2733.27367821,2785.79037259,2731.3297128,2774.40948672,2780.76122671,2797.3448125,2772.58904275,2764.76129169,2762.79948603,2776.57378796,2782.78008474,2784.87234896,2786.8351225,2771.23889263,2763.8865751,2730.56367807,2704.44615402,2600.0192307,2650.11943127,2603.10161154,2608.08454618,2611.20853246,2611.23457391,2612.0620207
Jungsan,2,649.89614555,719.76940752,914.74859934,953.90775235,1032.86059079,765.24767233,1175.04127587,1084.38461811,1136.81352912,1408.79558489,1129.54194256,1457.01681528,1593.55608624,1664.42122073,1795.15626061,2018.79097482,2284.33031762,2572.2357979,2090.92563235,2456.4887543,2764.54878778,2975.62665669,2941.87780168,2928.23393874,2875.35406515,2851.49101349,2835.33313739,2958.93528148,3047.39396862,3126.94819273,3202.65670967,3239.71001789,3247.30442059,3261.49812203,3264.5235487,3214.1527655,2978.28574855,2982.95776034,2988.36895312,2987.47251033,2990.28978529,2990.15217004,2993.66297368,2981.54490156,2953.12343122,2977.51591096,2971.94094827,2978.91204973,2953.58257037,2971.95995935,2982.43155831,2961.19469134,2947.27840558,2952.44187072,2955.09356874,2953.49369392,2953.60000677,2958.20097356,2960.38679905,2957.717025,2887.54307327
Jungsan,3,556.3964414,621.77889961,812.86714782,1006.77951906,878.26248924,828.90047654,1037.586141,858.20335585,1037.79429561,1263.00989703,1121.88858627,1264.184322,957.66382411,1401.20697971,1602.08676419,1957.88916949,2197.67741036,2407.62891659,2128.36204627,2267.2311307,2589.86679194,2785.95656822,2886.27320259,2933.06154044,2963.37932098,2968.5115799,2979.46522047,2935.85847752,2916.07698801,2915.04734095,2960.6232452,2932.52127017,2753.72420551,2717.0296281,2702.78393513,2689.50292805,2786.12024148,2900.77386227,2927.63556475,2922.06810324,2923.59795458,2920.04948588,2925.66317268,2921.91752108,2918.91383908,2911.83189762,2912.71591474,2911.28923331,2904.23174006,2913.50030033,2895.09602604,2894.31321733,2886.19611253,2890.95088163,2890.03390984,2884.3803494,2877.37814686,2886.056479,2868.70929165,2886.66537721,2891.50981323
Jungsan,4,788.22902763,791.0632086,642.51459127,864.28062572,734.2159083,1042.98274195,1119.69147536,1186.7813615,1416.90825391,959.02502574,1344.28308031,1318.13883942,1504.92026367,1602.69678979,1866.48600316,1816.02230163,1927.77825488,2237.49368714,2499.87299677,2598.01655114,2160.61958706,2354.22619984,2418.94563808,2630.11121438,2687.01042052,2780.32821803,2840.33395924,2923.06157992,2954.07007364,2960.52765567,2951.22516932,2900.28205525,2895.65916503,2896.43815746,2891.42266021,2876.13108185,2919.37698833,2916.16357566,2921.37125337,2917.76575482,2917.21185381,2912.07486168,2915.71740743,2921.06230676,2920.52615123,2917.56062491,2916.3401722,2915.63406483,2917.23464946,2918.6375246,2919.39599918,2925.99453178,2928.83679982,2924.91401583,2927.23009003,2906.45230479,2921.33342842,2918.41755066,2895.48009836,2784.44195486,2762.15006833
