Cultivar,Sample_Number,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61
Samcheonbyeo,1,64.16165175,59.98188845,61.82787608,59.83861234,63.05812943,62.71608294,61.55113349,63.21993169,59.64532939,59.7913611,59.64147303,59.48767244,59.08798383,59.36924114,58.95154606,58.94060539,59.16524308,58.1367969,57.78654209,57.72690077,57.54045899,57.30419331,56.61540283,56.01979601,55.42471823,55.88811454,53.97531625,52.88261193,52.36376164,52.13925573,51.33686569,50.69851722,50.45886231,50.34710602,50.51772011,49.92839614,49.5923713,48.96943213,48.46104432,47.57289886,46.21026148,44.27362377,43.27756611,42.359925,41.68104055,40.97325506,40.30688822,39.13322868,38.10734879,37.57848005,36.92723756,36.04674063,35.61431744,34.83908483,34.44638324,33.39741335,33.1000174,32.70960607,32.22430848,31.70733673,31.4356887
Samcheonbyeo,2,61.48632198,58.83927607,61.75021004,59.54934849,61.95622768,60.28576689,62.58543692,62.29355885,59.19054817,60.65084706,60.75738789,59.50850702,59.92745712,59.36804713,58.98062726,59.09741854,59.14556532,59.02086599,58.69383035,57.82613979,57.69806094,57.12276845,56.68317442,56.64363963,55.5320606,57.13654776,54.43257505,54.04335128,53.7842599,53.86257061,53.37754499,52.59951984,52.33592257,51.84481586,51.55435177,51.12768163,50.86437359,50.53919569,50.60809268,49.88195053,48.94769587,47.94166654,47.38523411,46.82241578,46.25825755,45.14135934,44.96410583,43.89204473,43.03065034,42.24294109,41.41708239,40.76017403,39.93863839,39.50309238,38.39947259,37.41553504,37.22403893,36.77769487,37.20879239,36.56954522,37.64534382
Samcheonbyeo,3,65.32602308,60.59120734,63.59393919,61.36202534,61.42585315,62.5015902,61.35581872,61.54046445,58.95220414,58.22230412,58.73800623,59.18974826,58.87363671,59.14499587,58.34106687,57.75553295,58.35171061,57.21590772,56.85906179,56.80294445,56.90217836,56.46210127,55.7835382,55.19362932,54.76264058,53.88473934,53.14454249,52.72032457,52.6275561,52.90224015,52.1187168,51.30643622,51.28974768,50.91235014,50.71802706,50.01480363,49.620873,48.93845165,48.70823215,48.0082511,46.73553588,45.53562374,44.62726913,43.08135401,42.61347314,42.53617154,41.85998869,41.01575613,40.10557893,39.96766595,39.42729975,39.05738649,37.82353228,37.94300238,36.39779862,35.94585011,35.7970279,35.15401762,34.92749119,34.11425651,34.11425651
Samcheonbyeo,4,62.79222275,59.55776214,59.99562643,58.44989624,61.59121872,60.56410072,60.91450733,60.10784794,60.6911348,58.9520767,58.99016998,58.82031963,57.98206922,57.27736751,56.7729859,56.93023123,57.13554898,56.55517969,55.96756593,55.66782819,55.48710389,54.71976846,54.42528544,53.81388713,53.00071047,52.37818185,51.68294715,50.83856528,50.70923211,50.57260267,50.22058621,49.6720775,49.4813829,49.28831117,49.20215875,48.921074,48.38906734,47.68743507,47.70730081,46.80717965,45.68481751,43.85836417,43.07036862,42.42741618,41.56633651,41.22030345,40.86251597,40.7240612,40.15216468,38.94711168,38.79290666,37.94817431,37.96775737,36.34007127,36.32664235,37.95530189,34.79491076,34.43483614,33.85913471,34.48733651,33.41331178
Keumobyeo 2ho,1,66.01922796,65.7443884,62.2048592,62.77814315,64.42650976,62.06306771,61.83325267,60.4724895,59.68455834,59.28008612,58.75569093,59.9071268,59.33794267,58.87502635,58.57024679,59.04542827,58.36974213,58.08058758,57.99816041,57.13489512,56.55174952,55.82626085,55.00131988,54.45305945,53.15704243,52.97440555,52.31715067,51.52268945,51.16486796,50.63047118,49.98456851,49.67491035,49.40407639,50.13127241,49.74318116,49.20978003,49.16984755,48.62558528,48.31039731,48.10164066,47.38104953,46.15228663,45.77520598,45.29448067,44.6990565,44.30801561,43.99032695,43.17228109,42.32106817,41.86628963,41.09431832,40.21345816,39.77270897,38.83998745,38.24650534,37.22571568,36.95513522,36.48792128,35.67284879,35.24137158,34.70541799
Keumobyeo 2ho,2,61.8665388,64.57147377,60.68507049,61.38448815,61.75954458,59.88185832,60.03389604,59.31939841,58.11698973,56.93270426,58.32354992,57.47025755,57.38532713,57.86142107,57.17689921,57.09181806,57.41774779,56.88821351,56.18510904,55.44663606,55.24140978,54.18332564,53.31420376,52.39581469,51.71089272,51.14737225,50.65408974,50.27612976,49.79787207,49.94379356,49.47950629,48.90410632,48.54418834,48.28749044,48.30007321,48.25808383,47.9944971,47.8204714,47.59447815,47.07122061,46.45042841,45.93291814,45.60349726,45.35416117,44.78931741,43.9384997,43.8473826,43.28797985,42.90482447,42.38548761,41.65083665,40.78759604,40.04471301,39.26626267,39.06605969,38.06364354,37.77286473,37.44056232,36.97854291,36.64708414,36.21148277
Keumobyeo 2ho,3,63.90760258,62.02361445,60.10782131,60.96881185,60.2563248,59.40722708,59.92811655,58.62483059,58.78726666,57.43251619,56.97166529,57.65579105,56.96127416,57.33328563,56.84513962,56.61726162,56.68485013,56.1288454,55.84458876,55.49561822,55.45012941,54.97998752,54.53210498,53.86503212,53.22616125,52.65048845,52.10690686,51.75974281,51.5652411,51.23434858,50.72060758,49.85951031,49.52323261,48.59545972,48.27681855,47.23941109,46.56678164,45.65813318,45.64155965,44.81140393,43.73413022,42.42145762,41.69051113,41.3844114,40.83714417,40.31342908,40.03472772,39.79313302,39.02223863,38.13837122,38.04436954,37.6492424,37.55098581,36.42838951,36.77763675,35.41859699,35.28573438,35.20337802,34.3473885,34.16516333,33.16616651
Keumobyeo 2ho,4,59.95333004,61.38065759,60.17853994,61.68442604,60.61395526,61.57809026,59.90671124,60.35476553,59.18294755,57.05520918,57.11696634,57.03717671,56.77433277,56.42830455,55.72362673,56.13650451,56.45878053,55.18104835,55.09543115,54.90663396,54.23381669,53.71866966,53.31685811,52.84227506,52.19002676,51.3983402,50.82258068,50.44489613,50.25591513,49.86446541,49.2437831,48.68953124,48.99115573,49.08894848,49.04228049,48.76586258,48.1940757,47.4059508,47.54939064,46.85991397,46.10903237,45.05237648,44.63877208,44.00040461,43.21650164,42.81758113,42.38757486,42.11168396,41.3422875,40.49358095,40.18074358,39.62726356,39.21164122,38.05781901,38.20314144,36.78928269,36.56964251,36.08942046,35.14125014,34.77217368,33.74977567
Undoobyeo,1,63.67360926,64.42351045,60.48376971,63.34500636,62.77494364,62.81838883,63.10879143,61.0745142,61.05728336,60.4555728,59.66434365,59.91059617,58.93142992,58.39592616,58.07794961,58.21496234,57.71825796,57.12976817,56.98005311,55.95724696,55.68121918,54.65858984,53.40573455,53.11333134,52.71438123,50.64707833,51.06878227,50.07600881,49.53059704,50.05160142,48.65338371,48.09567093,47.96634496,48.06597045,48.04220638,47.50814094,46.64592304,45.86107033,45.51855564,44.60622978,43.26310564,41.07694179,40.37753737,39.62388302,39.0357887,38.35620776,37.79496685,36.95409054,36.21623713,35.77311223,35.10966817,34.41778164,34.09629624,33.30065453,33.26719567,32.41104361,32.17628459,31.79228837,31.61122793,31.13857023,30.96320327
Undoobyeo,2,65.22253379,64.15789118,60.48889992,61.55637814,61.82370523,62.82648446,62.01371143,59.2614234,61.37955413,59.54439775,60.14468874,58.8072028,58.21437551,58.79259801,58.12426589,57.70686908,58.05217251,57.27026962,56.33096137,55.96396282,55.75351512,54.92218136,54.53429718,53.85236111,53.27244589,52.94914526,51.95872878,51.18360047,50.88331568,51.07217186,49.67551257,48.3241821,47.74611233,47.06221158,46.88310567,46.48782628,45.82616954,45.23292718,45.15704986,44.33757903,42.63146895,41.73235375,41.23556085,40.81958448,40.34813892,39.72817213,39.31217727,38.69299214,38.02237753,37.46115769,36.7594142,36.23617159,35.72170269,34.96017693,34.71067994,33.53859495,33.00609346,32.92894946,32.24201227,31.75274119,31.33723434
Undoobyeo,3,62.96629715,62.08079986,60.97806575,62.70618989,61.08578202,61.56242215,58.89738536,60.20188149,60.14948557,58.42123377,57.9573473,58.39421354,58.02519769,58.3710852,57.7189732,57.48825878,57.70283974,57.02121732,57.03289178,56.90160338,56.31376823,55.57707283,55.26390048,54.69526112,54.58565264,53.65562498,53.07807004,52.58308796,52.4328096,52.32830937,51.36181896,50.64470089,50.54143353,50.36506099,50.24934375,49.57908934,48.83525473,47.5493728,47.37324135,46.526567,44.98508901,43.24341882,42.26626711,41.7589593,40.8884387,40.84520533,39.95045492,39.42248328,38.5747607,37.73960042,37.53391957,36.88013991,36.84270611,35.7701366,35.7129098,34.31741675,33.83165656,33.78447713,32.71437889,32.2946531,31.34067112
Undoobyeo,4,63.6581764,62.83128914,66.69771123,64.78164945,63.1104936,62.7697919,61.28309309,61.26376234,60.30901848,57.96288638,57.2199495,57.83762983,57.81160638,57.36851021,57.29229456,56.71082327,56.653919,55.58441894,54.9808873,54.45739559,54.05463784,53.05895876,51.83627901,51.47479741,50.26482124,49.62513813,48.98891904,48.26690298,48.07682001,47.73628133,47.67605093,46.83100843,46.84247341,46.99524766,46.55111911,46.29135751,45.39567035,44.39833839,44.08027187,42.65358399,40.72957952,38.23796989,37.44045041,36.72291731,36.09426882,35.65682441,35.20615688,34.91894299,34.32294607,33.40131958,33.24840663,33.0207603,33.08148783,32.14458288,32.46305315,31.33464973,31.20397623,31.16844577,30.42515964,30.39883989,29.78048708
