Cultivar,Sample_Number,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61
Samcheonbyeo,1,109.082236484282,109.311010711943,109.06646649379,110.878697519084,107.088061303447,109.321242240127,110.61423558787,107.751602734047,111.366854239825,111.011468126281,109.361703870152,109.015697681042,108.256950754728,105.437025730484,104.794560465143,103.186739451371,100.263340891643,101.710516733323,102.213364597119,103.004905165554,101.126520425616,99.186754053051,99.7707578365319,98.5397999013122,98.8004580659654,100.014936504611,101.184851220241,103.029585044589,102.614000594583,103.937437556708,105.787445502462,107.416426411891,106.729391968223,105.55535030575,105.338632446651,106.418215526654,109.236911215428,110.117801829309,111.203671859709,114.24219580202,117.361514244678,127.856106837463,130.754246789934,134.00116935443,136.249885065624,139.116538502427,142.089560605825,145.50422005544,150.359037529356,155.085115205172,156.948792824009,160.530599128996,166.827312130971,171.07677226741,174.086190562472,178.448517391794,179.89362566486,182.715449824011,185.293008767726,185.825592983444,188.098223462047
Samcheonbyeo,2,113.356878745378,110.018567420366,110.403691924779,112.254934667779,106.006968641115,110.027781361545,108.845960935616,108.361392405063,107.131998580867,108.803017338063,110.529158087867,111.831150090508,106.902840480711,105.517725038659,105.788672671093,103.445015797321,103.51158242715,104.602055091997,105.889794048238,104.290298460963,104.288812969787,103.475113336812,103.281371232424,103.322889457201,102.520271252945,102.508752734226,102.729701281664,103.407937844036,104.595417098272,104.544259751789,105.656554780273,107.442191115104,107.577078313209,108.138084262736,108.559507726538,111.363321137591,113.042616493828,114.297718257264,114.435972327879,115.739928658503,116.964179108343,121.637753164095,124.155563273493,125.561025714525,127.285671157831,130.277842503609,132.183638876286,134.254140784862,138.058606527839,141.821226868685,142.855766975981,146.133706984108,151.013103595992,154.634430532827,158.514065677804,162.29524902305,162.986669954221,166.416486652,169.844097509893,171.179205267706,173.739887299147
Samcheonbyeo,3,110.003401842665,110.778511404562,110.149231272489,111.025149745154,108.87134396906,108.152104657958,111.055332702533,107.973481212486,108.145607248124,111.489384783261,109.891173040696,109.171012103422,107.620248198887,105.23672192415,105.037509885066,103.669914096496,102.400222197617,102.894128941707,103.519737408366,103.706385224134,103.038203825722,102.790794579913,102.00639502051,100.595710991266,100.727496193817,100.118897751005,100.95035647734,100.799107058658,101.896200415617,101.035433090822,102.713407068542,103.201675817462,103.566073928531,103.347584546276,104.709464999455,108.097564098995,109.649822002516,111.160112170221,111.684557740563,114.267191530549,117.742290756361,124.446126662579,127.26437232705,129.573512532418,131.574096349242,134.122190124554,137.415968982597,139.766564131952,145.155301578609,148.97225329326,150.736475172074,153.78823814672,159.392466764731,163.499553943634,167.537550572033,171.429268911293,173.342794287713,175.86340641582,176.943905054668,177.408565275605,177.562452183068
Samcheonbyeo,4,105.938754180602,110.683024410007,111.414146907403,108.747740523202,105.56625355733,107.045071269457,106.580076942606,104.628564864451,105.042345015179,105.893061934784,109.037791113016,107.278646699945,106.682252105162,103.830349871926,102.984513231879,101.076420645828,99.5772637650452,99.5014311480795,100.550177952582,100.130554256552,99.0170367951739,99.1503419016932,98.8565539916353,99.3222718877016,99.1189001614948,99.3398004983788,100.602241121668,100.829226390365,101.71959691739,102.721314238045,104.542540347752,106.697593634398,107.747876154021,105.628142632498,106.124828803309,106.632847135976,107.920061219756,108.487709862119,109.491988636261,112.87796504351,116.384465149134,123.249726178718,127.11858359558,130.204052164677,133.284009100352,135.570073358295,138.77833632541,141.794935189572,147.807235014894,151.550550824705,155.227101593578,160.201030323555,166.793739491931,170.285317105294,175.229119149498,180.342166284206,181.027666151376,181.380858233058,183.741090724105,184.406962977737,185.26211141635
Keumobyeo 2ho,1,109.591078883762,107.873987457539,107.003119977309,106.880225789381,104.295144377407,104.268706217841,100.768999924976,103.230900830688,101.745913850195,101.674476310746,102.002278705695,98.9627967877716,99.5109227164396,100.412530377022,98.593539016787,97.0992795545367,95.1114729041677,95.6962354571437,95.5643743572352,96.2183723087062,95.942280371084,97.0173184071562,98.0335112882288,100.061135378951,101.526270370056,102.802894044136,103.627202922926,106.052028805507,106.666018341507,107.807546671124,111.386338858809,113.695149459123,112.417870638084,110.420267521694,108.13118950679,107.087764179151,106.959611948498,107.878696492046,108.159479828313,110.889046340614,112.793819650974,116.996697793262,118.225291333802,120.209897497315,121.742336208548,123.180122183937,125.914391882627,127.720824117998,129.693116847809,132.129988643822,132.798441762982,134.805576266008,139.606878898737,144.205096793203,150.195823248866,152.582094820378,153.689658748164,161.762961268305,164.028725264397,166.37855346443,170.044003931496
Keumobyeo 2ho,2,113.149035334923,108.912514226335,111.490954239092,107.485776623951,105.762253402661,105.333551536972,103.709562163144,105.050745436812,101.887192686607,103.643232968126,101.210765392503,103.729863010668,103.602004638519,99.8657822984549,98.4052597351098,98.3380364709568,95.583660875746,96.2992859559465,97.4230247985471,97.9264581517163,98.7596613048662,99.2652946330178,100.87495851814,102.196200132476,102.758018703024,104.331167019971,106.658097780686,107.097447128741,108.430849016828,108.729763293513,111.153279643109,113.449707912679,113.332558313698,111.843406097282,110.808759627341,109.92293561634,110.229527258388,111.321329697494,111.423281966652,113.502887223753,115.222070711858,117.699839413116,118.281890691555,119.072449694345,120.718050376858,122.744339244218,123.915279522112,125.060456665394,127.507300280932,130.28444433356,131.066119450206,133.762648872371,136.782212170419,140.883949356764,144.266507545505,146.842474372547,148.007904320073,153.436617608508,157.045998886069,159.335143710935,161.578717547401
Keumobyeo 2ho,3,107.578477141017,104.761643835616,107.088228571429,102.548467027884,104.567224998391,103.777909723047,101.946897931955,103.753947019366,101.312173319334,102.996363260756,102.501134333948,102.177548585839,100.787388020202,96.9107045965429,97.0574224242611,96.1572464577617,94.6613630986945,95.2222055133256,95.2913754083252,95.8622490243337,94.7558941036177,94.3628142931848,94.1436834191111,93.4805116147359,93.9981766450583,94.1798676590148,96.4815982887434,96.5316429722163,96.69203486361,98.0414858187747,100.153326305205,102.974457750712,104.711791381382,106.655348320265,108.489488983038,111.950204058332,114.476680939904,117.174012828613,118.140293334394,121.364181913792,126.309481903762,132.554213136822,134.317746451201,136.369267636487,138.120349316543,139.888544107037,141.562425427045,143.197027588253,146.866861430938,149.946504629092,150.323202404978,152.073570166854,155.592674216033,158.889574292751,162.527323229385,162.782012463005,167.34212524987,169.464921501807,172.542397243422,174.835119823041,179.484157127368
Keumobyeo 2ho,4,110.536638356706,105.799463087248,104.432365493065,101.377768997761,99.1134204491683,95.4460639375894,99.1594886977247,97.8974256844577,98.34440520363,99.2507947193238,100.033915824043,101.218522023632,98.5511051522327,95.298900521486,93.9013965076308,92.4373922684603,91.0632448804011,92.027880731246,93.6094249477259,93.2297023870153,91.878415137469,92.7018401042334,94.6457147609508,95.3418420941465,96.768526610652,98.0788996326916,99.5279856994942,99.3346913709506,100.215569248851,101.300696716164,103.562946007242,106.053582961114,104.899456570177,101.74559678794,100.573197053756,100.428617475577,102.679150972339,104.001303742417,104.684362827121,107.945834119738,110.383013009364,114.606495608237,117.746033899556,120.372261836596,123.045109332706,124.100724772757,126.694060667512,128.218889640823,132.634797849097,136.452111107354,137.549561355753,141.755744832112,146.386836463596,150.915431402516,154.751774543867,158.770781294817,161.061794932822,165.100104816194,169.01226644898,172.415637358879,174.186019496084
Undoobyeo,1,118.264605078673,114.986505227224,116.999370303514,117.324257551831,116.125868829836,115.016449814126,113.428716063784,111.289275257546,108.170271282447,112.159610810612,111.012549153119,110.083885248494,109.801453187766,105.775967686873,104.851398751115,105.56333568382,104.33177402627,105.58329026314,106.685559828872,107.731987112477,109.363253138636,110.41462956283,111.563733598723,112.345033496522,113.512146626975,114.591697646782,116.845873474378,119.672030267911,120.819849832956,121.672319935615,123.720079642139,124.553551371434,125.21634214626,123.630708808088,121.673449019407,121.687693251175,122.966462339675,124.263831255569,126.184824075949,129.80177951455,135.983642303844,145.974847818735,148.101662384396,152.291691292074,153.733663570744,155.814237657443,158.280943538173,161.545471161227,164.061808623038,167.246387023805,168.876726567474,170.765490015774,174.858060855285,177.32517054411,179.487520316366,181.272205053678,181.896661468735,183.957917642012,184.059824969991,184.571109190182,185.010558976762
Undoobyeo,2,114.473488278499,115.904606219122,120.306628872644,118.235091541624,117.677846147384,119.990393619426,117.26598783359,117.212837691809,115.613086052197,119.594316546038,114.633748090826,113.285640723849,111.926095639662,109.856545701743,109.431956943414,108.187153901271,106.560393183869,106.544401052721,106.734459686425,106.340640217703,106.139895287383,105.166059158742,106.133613883318,107.375414540906,107.799000302736,108.191448822112,108.714676892995,110.697140838402,112.963841244586,115.074441308065,119.256744175889,120.686305893863,123.399936761105,123.688072517397,123.133109721856,122.986062856284,124.637176480191,126.02626109878,126.383382955194,127.805750601391,129.551183390099,133.307935222035,136.267420032464,136.466077104692,138.532400643549,139.813653667526,141.974260879156,143.35235629302,144.961008351839,148.748436027203,149.298009418757,151.460791481155,154.625150616302,157.337316283728,159.486741061195,162.770013271992,162.634538585307,164.192065567653,167.375024339094,168.083964297272,169.520038101711
