Cultivar,Sample_Number,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61
Samcheonbyeo,1,82.5491134558903,83.5060118049989,83.2382057231245,84.6862476145038,81.1873299553204,83.385847312112,85.0636872614478,82.771471815982,85.9752748834264,85.6494234446747,84.819094319921,84.5728856165346,83.2999104393701,81.7169564980375,80.8074041267786,79.3440244399352,77.3434993489641,78.1132731339676,78.7528407184407,79.7251998988831,78.613286264094,76.912736637285,77.2507305832077,76.2509220548229,76.9084649418383,77.3574238477487,79.1050379579962,81.2750025805685,81.0199805994257,82.3237829941105,83.9271160951203,85.3986763189461,84.9656388685108,84.526925176903,84.6641038235724,85.682851125911,87.9933502407388,89.2639136709446,90.7415417285896,93.4928408166196,98.3846645236362,109.917073191973,113.02795153568,116.408252210821,119.682139552578,123.15144857269,127.05233663351,131.189623354721,136.72417626202,142.592615404213,143.741487275369,148.800998020675,156.675588946915,161.480611164275,165.752879662465,171.394374104657,174.189630161997,177.008086033906,181.149483318372,182.998940236335,186.584696205206
Samcheonbyeo,2,87.3380084151473,84.4924905099851,84.7382466814159,86.3649708090075,81.1957516477058,85.274265686148,84.071360823085,83.0571689386563,83.2172616479207,84.8120975982587,86.3002589863545,87.6182392983709,82.8194064694287,81.5550808389537,82.4001544934587,80.1735542297422,79.7871697245983,81.7640346891843,82.0918680719929,81.0157254893376,81.2727698176784,80.4755172156754,80.0895909463196,80.7681924481339,80.0824330518564,80.0240978772774,80.1851203062918,80.7625393705257,82.1405500794465,82.1046065181277,83.3804174834104,84.9641694563256,85.4465577651029,85.8643662780922,86.6512791809348,89.465283302014,91.2213505198565,93.1052186393265,92.810152074532,94.9594126874502,97.2210072998939,101.626416384114,104.285960978941,106.559595628147,108.572301685497,111.835345982018,113.439037013253,116.08535007763,120.692076799105,124.078879698025,125.4953513163,129.350740425694,135.085003807801,139.502870370815,144.249379185324,149.605906703761,150.837295701955,154.812586410145,159.757726949732,162.552188857813,165.455588823949
Samcheonbyeo,3,83.9639971651311,85.4297719087635,85.061105659143,85.9402135496112,83.4203529127387,83.7246696450452,85.8155976384983,83.3515329547689,83.6810188906752,86.3079657199012,84.8291022535857,85.1279263339901,83.3833267383473,81.9365109925112,81.404710385748,80.7716659868449,79.5359916976161,79.9439330194635,80.4672920237791,80.9107479280935,79.9413931931526,80.3883496849029,79.5013383723985,78.6194312796209,78.9013745527903,78.7622337405358,79.8625478070295,79.3662440107823,80.6111277568717,79.8467829473363,80.6805802266453,81.8782885304533,81.9955210185781,82.1313659439696,83.0871292681187,87.2005116165412,89.1599079302798,90.8779040274147,91.5789415366572,94.0954705981023,98.0697245395911,105.650840819983,108.099300899977,110.808591048329,113.116501186636,115.992786001618,120.025355815994,122.137812836223,129.2338263177,133.363502500273,135.634862449866,139.651920972198,145.355729707718,150.81770612485,155.425284007181,161.223212825673,163.805680452172,166.708242137706,168.721973862224,169.109237551924,170.786801729226
Samcheonbyeo,4,81.3326714046823,85.3907120429454,85.2113334783554,83.9410260300397,80.7870559074635,82.165402539188,82.4044368933935,80.2776688620003,81.148715417855,83.1333694690897,84.3203722980834,84.3052547748055,82.7681325372816,81.1622427676707,80.1356108437035,78.4899973856056,77.277131057832,77.6070596693918,78.6445835508804,78.2787721367139,77.5464152094328,78.0879722583295,77.9900190787769,78.5983103787646,78.3305218978894,78.898357001321,79.4759959413338,80.5980569281412,81.2032075801599,82.3063637209101,83.1360280198812,85.1387145688861,86.9793758581901,85.5881597755815,85.5125614889889,87.2669047831835,88.355059974784,89.2080796990977,89.6304226287244,92.946174445997,97.4325404133892,104.169979129351,109.051803933756,112.220247026353,115.741245032764,118.267564192248,122.286408932069,124.731451913128,131.826126858337,136.963469949392,140.228242085964,146.482296457515,154.69265463392,159.083911098069,164.283414780117,171.806626876326,173.72026227839,173.941309498565,177.96397486391,178.874183501651,181.003132441301
Keumobyeo 2ho,1,82.6396396396396,81.9733472694016,81.2406164318805,81.1716352090316,78.9074737849812,79.1875891141281,77.1904243879261,79.4331172657631,77.7674336508116,77.7943349617272,77.8191227382846,75.3726476689284,76.104586766549,77.0999236234869,75.5937411439145,74.149612922846,72.6053296798404,73.1222538179509,73.5481608311207,74.0659431375902,73.955055153332,74.9509806972129,75.7149065283725,77.9414068860946,79.391088773426,81.4687929619036,81.1828398855756,83.3432933826291,84.5207254275661,85.7678263674843,88.9130039556514,91.1207878613824,90.4463407600216,89.0817797475775,87.4637467391569,87.3213814622878,86.8989045700257,88.8692395777649,89.1848224695725,91.7866339933101,94.3405965876331,98.6948458606985,100.774134881033,103.04601760628,104.27133747393,106.068380523395,109.290231729055,110.347851907129,114.285837614053,116.632822867721,116.842391964568,119.466038439223,125.478660032988,129.730845657768,136.132536981131,139.295550611469,138.973934068262,151.099239485823,152.766258625561,156.005802697723,160.743315766312
Keumobyeo 2ho,2,87.2148276609582,83.2730466623781,85.6864136218517,82.0572801590809,81.1953089157363,81.2176172162671,79.8390661902743,80.4890135153964,78.7220969793793,79.757362967003,77.7996083745556,80.2371411739651,79.4499980989677,76.3748245122116,75.9119835038465,75.665479546916,73.3478011480647,74.2597220985654,75.4417991357479,76.1738410040906,76.486147202949,77.2724782165274,79.2257426848336,80.1565830947996,80.7566141034285,82.4740654480767,84.4958272730261,85.1632405352139,85.9068195514559,87.0271725166492,88.912356728174,90.8167476185097,91.1237003454651,89.7752629790897,89.0169661989917,88.3882253244483,89.3933510561076,90.3850970842851,90.9999713630585,93.5881309954187,95.4036757437474,98.3836936890308,98.6236910440745,100.202244235753,102.257256173883,104.710637517982,106.091368429702,107.669038381419,110.689782391104,113.772347303554,115.439164059479,117.186704254301,121.055941013309,125.631623716504,128.327439147449,130.898915786004,132.249840420944,139.042193246995,143.769703573838,146.596974920618,147.871234833146
Keumobyeo 2ho,3,82.0546522858983,79.8951383293043,81.3811428571429,78.1427249900885,80.3235249962468,79.6018947340643,77.3224919176887,79.209807859931,78.1192258923295,78.5018614079561,78.6031199585158,78.9078779276082,77.5497187829261,74.414080507835,75.0595143949662,73.8599876658643,72.5206257034504,72.8020540609811,73.8964470935971,74.4892722083842,73.7648586858276,72.9500001766685,72.9635317790196,72.777591666045,73.429903177892,73.8679883535207,75.7278002901966,75.5998692148703,76.4501534313429,77.1994045634731,78.8752673662358,81.459794815653,83.319391921846,85.3350631195196,86.7505917754951,90.3690170365115,93.0917380565808,96.4139607282533,97.019208993332,101.211649916834,106.671946792663,113.636369502974,116.067224140629,118.649201792149,120.429531333054,122.819659933102,125.324267209843,126.480547611985,130.475088752001,134.160545624099,134.725342092498,137.718546654572,141.015547964966,145.253601744366,148.243964120672,147.968189501391,154.483241149798,155.773600795983,160.87708119954,163.759587654361,169.386376631589
Keumobyeo 2ho,4,85.3332016590954,80.8757583892617,79.6385840573083,76.9774002370605,75.9276016452517,72.6158192090395,76.4594272520761,75.0445473984319,74.6629263713175,76.6982933792089,76.7922599602454,78.2698618284076,76.2606234958789,74.1439247191878,72.7204835223609,71.3851903318797,70.6327346870525,71.9306089029775,72.6687384366025,72.3182090549299,71.1030575486274,72.1570832036518,73.8803799619604,75.2909254122252,76.3031945750235,77.4649538262332,78.5646307457048,78.6705846480521,79.2818095100762,80.4267885870118,82.8031765827539,84.2869444236004,84.0834015640987,81.5296758404014,80.3965401955848,81.0611083588922,83.4462259539955,84.0462928058777,85.6161509378062,88.5598294041257,91.1337752917995,95.7324771280833,99.6266186351502,102.577673997327,105.814684572611,106.87806313277,110.358130434758,111.82260930992,116.76809125917,120.622223244772,121.946093866314,127.030608662365,131.785035465953,136.258601282128,142.021316963003,144.809712927727,148.928993298584,153.615523385388,158.71956620096,163.237173230466,165.757706960394
Undoobyeo,1,90.0608350210313,88.1119586089183,89.4969564669829,89.6992257144313,89.2555579865026,88.6741790582404,87.4292222870286,85.4265895535876,83.365611029188,86.6189057147842,86.1619405906886,85.210878438124,84.551152408225,82.3984000705795,81.2335628902765,81.2845212237042,80.7838599501529,81.7631182741015,82.4198732272908,84.2076923376968,85.499004195057,86.2307260474572,87.5181137357194,88.3949039480088,89.7083901268467,90.8851407872347,93.1870412919733,95.654792150229,96.5043035524029,97.882692898901,100.071890615616,101.267072605588,102.158575958098,101.275458657874,99.5392193390345,100.427676897468,101.503328901885,104.06708073724,105.74728897728,110.015459037331,117.648688729316,129.994983240168,132.497373114549,137.782882068763,139.422268468487,142.345697277114,145.397390699845,150.157040274943,152.920586325853,156.868785168011,158.65378070176,161.776472696881,166.356566843349,170.062771873945,172.932425782719,176.026350637636,177.129058823612,181.189859003262,181.540846868341,183.329860761249,184.369011560078
Undoobyeo,2,87.8775530737499,89.6142109851787,92.4500472425282,91.2471799557227,90.9874204590797,92.6580612870935,90.9700381246041,90.6278971255673,89.5483796075004,93.2572100139922,89.2986335403727,88.3601780836814,87.2024897637326,85.8625542834118,85.4877601536885,83.8906241279179,82.4541344469414,83.4563077073477,83.6817447275963,83.4006230306502,82.999774909964,82.1938849758175,83.2387318369799,84.2845065948735,85.0021519679154,86.0172781864718,86.1174930191726,88.088770514851,90.0973074036618,92.8023905455738,96.6131812419329,99.1851602313859,101.88711521511,103.345630852277,102.748214942163,103.38030922453,106.047463575889,107.401447823187,108.164873190827,110.237797757473,112.887346870419,117.882676456246,120.952018480825,121.820612608246,123.542266799028,125.67536905767,128.451875288652,129.479403096714,132.925597692996,136.625741701711,137.396922100042,140.167578487141,144.183596227242,148.495481415563,150.959037407083,155.446344838384,156.196600083482,158.050563328555,161.373820453628,163.047989981081,166.580470319995
