Cultivar,Sample_Number,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61
Samcheonbyeo,1,66.7416512563907,64.4855352328208,63.0878485965152,65.4410782442748,63.8474652422435,64.5382380134725,66.0347255068032,64.7490865620993,70.7079543492027,64.548683713314,63.4653344730686,63.847215313403,64.0688505514189,63.5044074356738,64.3101261654118,63.7819059300014,64.501112371819,64.9943039078589,65.2995082262052,65.3740951470118,66.6268296830842,65.7044814739635,65.4279540691154,66.5955758712583,68.3652758651001,70.2712336649082,68.6380068642604,68.0908211525288,70.7860757204724,72.4921463914993,72.0157328879538,74.0098753481064,73.9529980390571,73.8722413119689,75.4003132265842,76.4644595347043,75.6826118472345,77.9536690816318,77.7680452201123,77.8608647264372,79.1327138692357,81.9472164058311,81.3251134393647,85.1065271123087,82.3599312650519,85.2725082069141,85.0346557315994,84.6252951324946,94.1321574894741,86.8564659798411,83.9617880024184,82.2759974824704,84.9880571714759,85.6245861764181,80.3575602464215,84.189330886732,81.3157811992189,81.4826606762209,78.3747463839036,78.6332627053163,78.1211290201288
Samcheonbyeo,2,68.4908835904628,69.9268856246905,63.0358821902655,67.5812065610231,63.9547458125184,63.2445705930418,63.113656458484,68.0703018500487,64.8785298545388,64.7575412682457,66.6154672078439,65.7284603421462,63.7341193783099,67.4027101195705,69.7656712247716,67.8831899515137,63.6484656571036,66.3267412141215,70.4260823877809,69.1496178089735,69.322131156203,68.6285385141866,69.5741212001247,72.0552151176185,73.5232752559421,71.9633473808749,72.3901985265613,77.0480036589045,78.1743754032869,80.7120898519157,76.3502743959094,78.1676640907946,78.9914877265747,78.9214124586673,76.5106871317075,79.6498814733166,74.1684757920305,78.7831480607845,79.6582522959948,78.0109594683092,81.2911960973993,78.7518387866513,76.3671617838161,79.447832649092,76.3876138343783,82.9140786350462,81.8585203416646,82.3653039736702,80.8996785804485,83.8116651676362,80.189266810875,79.4960409915715,85.1173671434351,86.9282323314729,79.0657786531885,78.5459197462906,82.6850256824766,82.4965044650676,77.7766815017847,81.3258435182086,79.3869858047519
Samcheonbyeo,3,66.1902197023388,63.235094037615,62.5242394504416,64.3322668254027,63.7089074208364,63.7810514807065,63.5474899049802,64.6648201047799,65.5081558145766,63.3568525100664,68.4364889513501,67.8481844867104,68.7487822017247,67.4349127252651,69.6310893221877,64.564815023582,64.4077401338816,63.7519483523574,69.4070170319851,67.70308926533,73.2389171884585,69.2896558001011,70.7880541471961,71.5496123186432,70.6009100586905,72.3763288096741,69.7427581384265,71.4412907664765,73.4042976716866,75.6972560571599,74.3979633324127,73.7174572323304,77.2493729831408,76.3160025975504,75.3975664040838,78.6430061028986,76.7545906654184,74.7247294777333,80.1752314941087,77.7511821054397,80.9124452405126,81.7759610098437,79.5300802430942,85.0703298536348,80.6347213724181,83.0957722243114,81.7655303148195,84.9050579110448,80.1736003757283,87.2661204648443,81.8968350263855,81.2599696799826,83.4543404610138,85.2322868814272,81.7977157740089,83.4244499397629,82.7914271190444,81.9267331177852,79.8203626155441,80.1666376751587,73.7793577615774
Samcheonbyeo,4,61.6729724080268,68.8982072318444,64.6707635414401,64.9385552352673,64.1853116680437,61.9237560302297,66.4502802351241,67.4483994486139,62.6328511009474,63.499068077863,66.1678198926377,63.5885489995307,63.9765357192244,65.8389353875962,68.2634216040154,64.0977389140186,67.1894111695471,65.2240772534849,68.6972145439081,65.9009474818535,70.1674171526192,68.5559274956707,70.8471701986572,69.5639570805598,73.6067927008068,74.6118349945959,71.1585145281801,75.3053539733051,79.2350521094197,78.1522784214431,79.8741865495122,76.9720041590676,76.6900764170848,78.8222740006362,78.3445534049518,76.0797791001908,76.5912680269839,78.8420112296043,81.2335786368428,79.6129386516986,82.8469268572441,86.5187335860735,87.0174707897397,87.4533211300959,86.6331804463091,88.6135934553797,88.5862828088399,86.214799670267,88.4066054476812,92.7444067658163,85.1624770824457,85.0222873632906,87.5361011524359,85.9511187248503,84.6392474929785,80.2845213652257,83.5083051038877,80.6954870997832,81.4625130891348,78.0569378547109,73.8640803603743
Keumobyeo 2ho,1,70.1901779828609,67.6908152599948,65.7989032807034,66.1938025518904,66.7681501435982,69.1572438162544,66.1718558531523,68.4130724048131,72.1819792850738,66.7168699389629,69.5372948165442,66.1707732760246,66.8056654152697,67.8799106626241,65.9604997749512,66.5820384818537,67.1393427631772,66.3458745922226,66.9767570742037,69.4252518744076,69.5589360998378,69.5302188840297,69.7985640880853,71.7940364886666,73.6039101242727,73.2180949836786,74.9101391819768,74.4850026705873,76.6634187080202,78.7488150995612,76.9893432884659,79.4065566365116,79.8671411563746,76.3679740768044,78.2548477030328,79.1401213082904,75.7261517093352,78.9439379127772,79.0492749275553,77.893847961865,79.8433617386513,79.0219461568007,78.3617262833764,81.2545036154673,79.8536116005062,80.1138117747014,80.5789702454408,78.6852862723429,86.6670012203373,80.6357827740065,76.1977194544527,77.1487109378285,79.5729309941387,78.0017534106595,79.6184458089952,73.7034736708106,68.9717377859774,82.9035241063415,74.3146790620426,78.3380190161423,78.6434183470849
Keumobyeo 2ho,2,69.3356817689139,72.783017467465,67.0817074612747,70.6311864781264,69.7925523780395,67.3672094482176,68.0483356547367,72.050703636617,69.5373923848407,71.8182758786634,71.678631895275,71.8761896332846,71.0822053875254,74.3798522615203,72.4000237925291,72.8420237643787,66.5903892999082,69.38802685233,73.1700666307784,72.4119585950481,75.8520072678105,75.6423985434335,76.0692571556208,81.060210996476,81.8087177254226,83.7982516084644,81.6888465633376,84.1870123091908,85.3989318765963,87.948202182484,83.6177696947547,86.3058388337251,89.6471887798052,87.6498038078777,85.4293455439939,87.2417675615605,82.1835184951352,85.3481711796017,87.0718913767509,84.0691181857272,87.2130563717857,86.8395105028453,82.9552448052989,85.6862091353075,81.3064139793941,87.3820031537014,85.4240826570273,84.9904914418637,81.9124076199018,86.5480527349389,82.0275705698316,79.3579166314722,85.4736042469965,87.5447884054168,77.8089511482005,72.7294362277404,75.5109680129313,81.6661695498707,78.6227712194312,80.1481922319737,74.6097904976175
Keumobyeo 2ho,3,70.0969092079846,68.9738383024443,68.3377142857143,64.4167107175895,65.829733845197,67.3945427436699,65.8499717760558,68.3244324856937,65.5227062785801,65.5570666792912,68.5334610509334,67.4297721335488,69.6805304787863,71.3553172132719,70.564580547206,68.2243343621982,68.6092436071144,68.6713607042495,72.0773579246446,69.9785686193439,73.7539648480521,72.2168366806117,76.816878616004,74.760228724902,74.3435765362059,76.2717273075676,74.9841354725028,76.8306659178354,77.1283471104866,81.1400589495364,79.6295895032194,81.1783763136099,84.4353460235552,85.2169731160588,84.7554006666434,85.9595180425313,88.2690813665633,86.3722341444797,89.7490470862382,88.1042369591662,89.4495162969344,89.9032071624515,86.3718851270851,90.4840051790516,87.4024241172417,91.5058152284287,85.1479998497361,88.6093242361317,83.7913810167637,89.2710987168752,83.8079461275429,84.7804036473874,84.055534131028,84.865513044638,80.4966053059512,72.1408579978533,78.8335142676573,77.7239649288358,78.3665895675027,78.5574603535426,77.3793056223485
Keumobyeo 2ho,4,65.7634801501086,70.6087516778524,66.7580399329371,67.4009482418017,66.9422887926328,61.3978261774872,68.5528898074703,68.1575615278185,67.193593812866,67.8533477941085,68.3791478696742,68.9372468431442,67.3440151051137,69.4800131778953,71.8075964192806,65.7373020918028,67.8123096922442,68.5893919004337,73.6528420697736,69.602306356106,75.7724714796707,73.7589526006481,77.222504827267,73.5090210794598,80.5754994519703,80.5455751149353,77.9143577308282,80.7666306033593,83.3766942738146,84.1992052053369,82.2479102062829,80.934195003918,79.9801457385381,81.234888854323,81.370181403277,79.5371523419963,79.5435770586156,82.9741844218417,82.353020922061,82.671477868453,85.1337347317418,86.2334377673851,85.6955432823623,84.7078409374694,85.1619850217838,85.786108761136,84.6336191028079,84.8411236924875,85.6856645478072,90.363285431782,82.319402563869,82.4490626708958,84.5996899157677,82.6455222770805,85.087652151643,76.4047820379309,82.7888478549489,83.2005379926319,80.8116145242295,82.7733840157033,75.9835235414443
Undoobyeo,1,67.579841096744,66.0944100704075,68.576969900508,63.699989812032,64.4809404399266,64.6708178438662,66.8419042797874,68.5315525031628,70.4164267490579,66.9492988530025,68.5694305898374,64.9862679994613,66.9943746768484,65.5789090100077,66.6602408563782,66.7304776656534,68.5363645249046,68.3342538724736,70.4301973768414,71.1434526781396,73.4337158029693,73.1289755674946,73.0478973342907,74.9141257980475,78.00839085082,86.3383809801467,79.8360221154239,78.4321338296203,81.4111798704503,80.6904169780526,79.4161350941155,79.5529918862565,80.4681701397115,80.3583764804669,78.5967107212533,79.1880892445171,76.4200180604665,79.3045001716401,82.1633649989572,81.6837773991288,82.7267712847945,82.9967058475402,81.3880271609331,84.3338347384114,81.0376436239627,84.2095699793179,84.538054198529,84.2132299797282,89.1399047825146,82.8760675430993,79.9850863629034,79.906751764262,78.8178159922028,79.9370419979465,77.2873822858543,75.8978406911808,77.7705039468506,78.5015173633005,73.2010241762696,74.7413139610731,71.2466105956631
Undoobyeo,2,67.2156152530436,66.9099099099099,68.0521159679745,66.1928172330182,71.7499422475166,66.5438503019148,70.9343515829479,71.7309271666307,69.402264315857,69.6973203410475,69.3094878321963,70.5536138066027,69.7817012662893,70.5643236339902,70.7868390269122,72.1642357732775,65.7588209792437,69.4880642746336,71.9794607758582,70.9752158611941,74.9301552938249,73.4130292345228,74.3472462373043,77.9333299283841,79.7315746537964,78.9628340561365,79.2692036598944,82.4588230982382,84.9319085292622,85.3108271451662,81.9249937072365,82.4168767661235,86.0308712137111,82.8684657860067,82.3091386391161,77.2427682067094,78.0173538174197,81.1500560395954,81.500115446779,78.2900731671943,80.552310035582,80.7162732745015,77.5523267605559,81.0207789302393,76.6317954335399,80.3715237379476,82.0036409757981,79.567458727753,77.3978726513793,81.6293459335281,79.7532395747973,76.4542175035195,78.793275882943,80.0348041612644,74.8907935861098,71.2541220370876,78.9894142368383,77.988293606132,73.7542869005291,77.6353804947798,75.8266451905764
