Cultivar,Sample_Number,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61
Samcheonbyeo,1,62.24915092,68.07428358,65.74299243,67.34437009,65.29597752,67.64103246,66.81860307,63.1424088,65.30124043,66.7519629,66.38146922,67.81333052,67.18421772,63.93252751,67.07228985,65.38872969,64.85878971,65.56253866,67.34325912,67.35075763,66.73518046,67.52520896,68.75749562,69.32550947,69.88018322,69.33865326,71.74066993,73.30473018,74.17557201,74.83085939,75.91144636,77.02407586,77.04381194,75.47310823,75.25974889,75.85920318,75.79726797,76.07111199,76.70523398,77.41007353,78.9677836,81.72361118,82.39796129,82.72092616,82.90842688,83.57379689,84.17517123,85.22065028,85.86258348,85.85746493,84.86212282,84.93947401,84.98326493,85.01309536,83.87761316,83.58059239,82.19678777,81.32398032,79.10330279,78.42458823,76.80769208
Samcheonbyeo,2,62.88139633,60.2325075,64.14026654,66.65360137,60.68176915,61.68660906,64.29772229,64.56225497,62.07372372,64.45434515,64.92535927,65.21715419,65.33280888,62.57219872,65.12773787,65.82418422,66.02744512,66.20152119,65.82779687,65.73042492,65.99689524,66.59326623,66.6625434,67.32648228,68.16205965,67.63738762,69.54599094,69.66553028,69.62367344,71.03192197,71.74349954,72.6813999,73.05711084,72.63194768,72.68879496,73.11819815,72.75434937,72.59880533,72.39127054,72.52214131,77.10282246,73.93898944,74.74791635,75.63403514,76.27970907,76.60045444,76.57018391,77.62355019,77.87994762,79.0547551,78.95495257,79.80207617,79.78499704,80.64670275,80.43769349,81.20164812,80.23086044,79.58630506,79.0182561,78.64654308,77.8435361
Samcheonbyeo,3,63.33986981,66.32561391,62.91595338,62.99127026,61.43323422,63.40397589,63.85769394,61.32434544,59.84702921,62.53632843,64.00617925,64.71410634,65.14019204,62.1034027,64.01559033,64.90351171,63.79520115,66.3071234,65.22801651,66.24160544,65.4049781,66.0677426,65.78076868,65.8881579,66.26920925,66.3094708,67.80354415,68.87776856,69.3906601,70.03544466,71.57165612,72.37990864,71.78943684,71.86851957,71.55601298,72.09397152,72.38531603,72.89321807,72.91056975,73.73383198,74.24576924,76.56596128,77.1009556,77.70051616,78.98246717,80.91522897,79.89041632,79.95068737,81.37868968,81.40803101,81.53441011,82.52805014,82.83352591,82.86639917,82.6298189,82.36473199,82.00443826,80.6305869,79.62784179,78.00375815,76.66850182
Samcheonbyeo,4,63.34145838,61.24496433,61.39569727,61.46502949,60.82042952,64.34033703,60.77808365,63.24651918,61.88681771,64.37674814,64.90813775,63.88732301,64.23002949,62.79876364,63.43829278,65.74493339,65.17836268,66.59491393,65.05533466,66.23292182,65.81513592,67.31361351,67.36787098,68.244193,69.51079792,69.90844199,72.2774772,73.0139844,74.16707347,74.43799779,75.52907614,76.85980246,76.83290641,75.75564519,75.304796,75.57439499,75.32510883,75.95670632,75.94476443,77.372659,79.10226123,81.64305678,82.45984548,83.58062324,84.02769419,84.05863399,84.78471769,85.22148296,86.07086523,86.27529594,86.04885664,86.80115785,86.04465722,85.81679203,84.87767504,83.92140932,83.09233459,81.5437778,80.47794528,79.19569098,77.43245832
Keumobyeo 2ho,1,68.71503403,67.14877092,67.29745155,69.54526484,64.56319218,69.17255473,66.52934986,69.21159613,65.03146861,67.30338381,68.1133694,66.5611953,67.56478117,67.89264752,67.63660707,66.78779657,67.22953585,67.96147336,67.1923204,67.48837358,68.91542897,69.53597215,70.8683223,72.32331252,74.1366761,75.31064633,76.39495794,77.6644285,78.71423025,79.74399246,80.88106047,82.15323822,82.08124613,80.38311492,79.82988781,79.76066732,79.43573736,79.27640511,79.48857273,79.54783051,80.123721,80.44578384,80.7497001,81.18246949,81.55486093,81.90314497,81.91645214,82.44460371,82.5869682,82.82508255,82.95165261,83.083574,83.48610657,84.49815794,84.34543528,84.70515278,84.14835732,83.43282983,82.59587663,82.20174972,81.0463795
Keumobyeo 2ho,2,71.05613729,67.0132758,68.49138548,66.61377822,66.52008292,66.97807352,67.38786275,69.00599631,64.57832359,69.05375495,67.7429346,67.5542105,69.57280487,67.01631038,68.77949702,69.1148517,67.8767428,67.42314511,67.80897945,69.45649858,71.13567926,71.52975018,73.61363324,75.60642256,76.03702675,77.08970112,78.31148634,79.65471015,79.49615228,80.89675367,82.05089795,82.34898159,81.91861567,81.17511265,80.45357108,80.33536659,79.83132184,79.66858575,79.67656819,79.34429583,79.5869269,80.2271546,80.9498615,81.34485671,81.65372296,81.62548359,81.27590441,81.51072507,80.95025988,81.82653765,82.13048664,82.95281772,82.62030834,83.3021438,82.89005013,83.59834574,83.4255953,83.38803787,83.55509821,83.1888343,83.02378526
Keumobyeo 2ho,3,63.76439572,63.35390403,67.07597647,64.12526253,64.94922974,67.20495721,66.77446803,66.35361491,63.65028894,68.71541543,67.75650878,68.52491644,68.65067698,66.30966144,68.1969784,69.83194662,68.05880803,68.24623618,67.89255664,68.90034448,68.05168591,68.45307039,69.36008593,69.61741591,70.04384643,70.3860932,71.61955286,72.36457422,73.31921393,74.21450508,76.19438762,78.05686384,78.36687581,80.10576286,80.95116832,82.76477645,83.34751324,84.20294719,83.89430157,84.88331089,85.00227396,85.62588245,85.44195663,85.73530925,86.13702058,85.36727052,85.66105576,85.29442902,84.9760792,85.21027424,84.83960035,84.51616165,83.82303536,83.93225174,83.75987233,83.68133439,82.64619382,82.32758244,81.80563366,81.08028003,79.6754671
Keumobyeo 2ho,4,63.87364463,61.58150268,69.12535357,63.39159735,65.34594758,63.21782988,66.05823964,64.60227496,65.2640495,65.60079855,67.86419115,68.38774974,67.41272463,65.89587144,66.73534283,68.40641489,67.43339791,68.67605869,67.97903891,69.12937026,69.54761305,70.95451018,71.59227509,72.70628678,74.12050607,74.66405866,75.83939524,76.33429909,77.50042358,78.03459842,80.39004837,81.78612185,81.18820295,80.03351586,79.64062463,79.86142608,80.24059661,80.73184819,80.75539414,81.73995213,82.01110416,83.32575032,83.36201918,83.83489946,84.0444019,84.12518847,84.5960551,84.83850744,85.42979763,85.84219419,85.7883529,86.67372834,86.33443536,86.2850309,86.00968085,85.79060243,85.99724715,85.61949589,84.99123573,84.20659531,83.42831355
Undoobyeo,1,62.88991395,61.30120238,66.90118033,66.1696123,67.76219568,65.76199255,67.38890269,66.67420005,62.25371781,67.34581454,66.36337045,67.09864549,67.65501295,66.79477094,67.71841434,69.1760599,69.20669366,70.09227464,69.83942321,72.11511545,73.00858849,74.12210152,75.5370729,77.13244654,79.07654843,79.84392819,82.33433708,82.73107044,83.24116863,83.38377695,84.63887512,84.99514973,84.14549266,82.69787348,82.11214656,81.78301497,81.95031838,82.09427555,82.2158154,82.86544706,83.45697711,84.49753349,84.9160263,84.73297416,84.42596736,84.07150717,84.08225403,84.31265065,84.06857668,83.07648453,82.58440102,82.55614471,81.08132615,80.55611394,79.11312444,78.53872341,78.08889637,77.61689286,76.26692068,75.79746154,74.31266888
Undoobyeo,2,64.02136283,59.25677125,65.60551662,62.45708085,64.78353851,64.92707411,65.90746535,64.38665728,61.95073085,68.07252304,68.02138642,66.03266145,67.06664832,65.85737588,66.27530045,67.65921786,67.09278761,67.16476544,68.01481656,68.31596286,70.31634818,70.48404176,70.44783431,72.72489323,74.24154134,73.63631452,74.95073565,76.58705494,77.99990039,78.3374081,78.73664488,79.4283877,78.79000815,77.29131461,76.15453686,75.1017936,74.89377322,74.56929151,74.25022834,74.1033609,73.46345038,74.93475069,75.32634102,75.67111939,75.99688395,75.96103988,75.09394502,76.54111129,76.36309211,77.00475541,77.37893216,77.71455099,77.50292763,77.93305731,75.96395672,77.487954,77.14008694,76.18738231,76.24771824,75.71159326,74.48823425
