Cultivar,Sample_Number,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61
Samcheonbyeo,1,107.581203089307,107.572979669169,107.27669350803,109.186903625954,105.295359808302,107.601241579712,108.771484826152,105.873690096309,109.71747452651,109.081954448121,107.366643291856,107.024245208866,106.367371820434,103.355445922372,102.802852632894,101.216601382937,98.2517041821262,99.8132590582094,100.309404100083,101.037242646921,99.0904894933702,97.1676313615012,97.7751543089754,96.5919587627078,96.8355707593086,98.2186846244531,99.2419944020885,100.99108218094,100.702610342682,102.028975907805,103.863856292794,105.548952348885,104.824356835825,103.551432912511,103.37444525906,104.558701352835,107.429680591236,108.295896938369,109.29164135385,112.360098846393,115.343483472144,126.118439141886,129.13587758522,132.694611726213,134.906374102529,138.013410693633,141.065729375191,144.805530463101,150.077392690767,154.927141924492,156.807898467151,160.675995329653,167.475549411164,172.007868554196,175.001308466855,180.042650055531,181.762505185447,184.618387384826,187.561230316489,188.491154098428,191.171395626157
Samcheonbyeo,2,111.721535126865,108.34221818782,108.57217920354,110.549402279678,104.038663364258,108.016148453963,106.806205288964,106.645119279455,105.074562034347,106.709606134368,108.546449409169,109.856854396655,104.883228719104,103.667609243301,103.899286152565,101.538592068638,101.51431810297,102.559592263984,104.132527712028,102.445997308917,102.394727664964,101.61164472213,101.46485807991,101.469761922546,100.686352999941,100.62447573933,100.910849174068,101.725974653653,102.911609663575,102.859052623274,103.840174498414,105.718598272721,105.773735441945,106.320636243905,106.634979923169,109.551539518855,111.111956868179,112.387754735912,112.630042921801,113.720930525142,114.922475048659,119.588770639782,122.135512416877,123.5381116448,125.294892224052,128.625563415219,130.502721246721,132.763313551914,136.593188957994,140.641130922765,141.6185243854,145.076032313154,150.244345415169,154.139432236454,158.044160793647,162.242167663453,163.145134418968,166.736421883987,170.483024132792,172.214983286278,174.749290109833
Samcheonbyeo,3,108.333097094259,108.886654661865,108.122865554465,109.05230849362,107.001843123036,106.077795999925,109.043085411197,105.990192790313,106.167504019293,109.51656892712,108.175831514318,107.209083598054,105.768485290907,103.236617166155,103.185448697112,101.521438981046,100.317984682627,100.81166941752,101.638034939276,101.722967105377,101.297547726601,100.798929974637,100.112467755982,98.658676980625,98.7333850739918,98.1146998212143,98.8089343964497,98.7974028051153,99.9049873994889,99.0875827046081,100.858112531948,101.18144071711,101.669263471403,101.371715213785,102.785029022644,106.126119973151,107.562516174813,108.991059255344,109.643497936214,112.154967449599,115.661053031013,122.39034951777,125.322813844982,127.828177898666,129.813389397226,132.545712967078,135.876730953888,138.389079069715,143.789261107018,148.101314277871,149.802052210367,152.998826573059,158.841578228579,163.305783754076,167.416347381865,171.851011794911,173.885985886445,176.544250924555,177.791745217852,178.267176549708,178.459783368162
Samcheonbyeo,4,103.91868729097,108.879114757419,109.642846784135,106.698302954117,103.616487652621,105.016823145149,104.573232175289,102.738834431,102.941650072593,103.62902366892,107.148021145878,105.068794174951,104.654100790634,101.713179475139,100.97948182045,98.9267619046228,97.5539201878921,97.3649334630808,98.5169219157205,98.0079499013887,97.0093959656195,97.0397469715766,96.8047227711964,97.2091846494866,97.1474794721817,97.3383061126456,98.6303418503828,98.8518313985763,99.8532841717072,100.773175273462,102.822862657367,104.929687861846,105.797325631868,103.682380946906,104.291342637124,104.594285203596,105.882712663467,106.466886044463,107.625302834283,111.026097417802,114.505260617986,121.630704707504,125.603896606454,128.821913612735,132.022389517274,134.460281860054,137.791992074997,140.798470029105,147.106709651493,151.234737452837,154.865371036998,160.037878393164,167.002857495727,170.661070415561,175.784717771578,181.297948051433,182.362268290978,182.517102026258,185.444317025653,185.960731367728,186.895191091607
Keumobyeo 2ho,1,108.293451988574,106.309772667886,105.365935520469,105.193831951549,102.61235167086,102.631904407662,98.8864130842524,101.386098808143,100.083544554036,99.7982674775403,100.287004981171,97.1244791870515,97.6694390510415,98.5665632883561,96.7026647440279,95.2552735149593,93.3018230450928,93.8574395912122,93.6671050563703,94.4120152330652,94.1620442171692,95.2192483847429,96.2599521362695,98.2585181896083,99.7201458640541,100.78312749627,101.882529026773,104.311492173618,104.903449422326,106.078793061229,109.663730636498,112.077952236502,110.718420060192,108.535351292459,106.281261428188,105.190743759716,105.110236047674,105.937835395311,106.218318920769,108.933984483862,110.810542444671,114.97318599957,116.097945740207,118.248229587723,119.78479598747,121.259862037343,124.156959413136,125.835250455367,128.364278525811,130.634493582623,131.07094530378,133.312097956392,138.390755463226,142.907215836433,149.190235812616,151.484366817786,152.245242072234,162.03980260457,163.529126610161,166.396078410678,170.391700617478
Keumobyeo 2ho,2,111.655863862996,107.375525755851,109.869220763864,105.900823022536,104.064746138553,103.478779696151,101.887946870143,103.458199804932,100.004005798645,101.949345514044,99.5316994622605,102.026626212451,101.983646369979,98.2919942761008,96.6605662621937,96.652540766022,93.7195910986305,94.4909916487117,95.6782839380235,96.0900913486972,97.0938316579399,97.5398117346694,99.0324826893009,100.533870466112,101.082688778186,102.648200317354,104.939233875252,105.442271366604,106.929185684674,107.137262444441,109.568207758832,111.982928716201,111.900315786408,110.319188080818,109.144319360877,108.328063811005,108.408487889925,109.62506448248,109.676954654402,111.683469101198,113.523355766496,115.925820164482,116.477271053586,117.291848933531,118.863402947525,121.139958642249,122.322470643821,123.641717731949,126.096638045872,129.135875511899,129.938055330966,132.724459413802,135.876475603149,140.368734924425,143.283425097575,145.721468261264,146.995559539302,153.172485576637,157.209713684452,159.525530182895,161.194121028456
Keumobyeo 2ho,3,105.940679330328,103.048294386248,105.464571428571,100.630633011762,102.690351084136,101.923075908113,100.1720634269,102.035562966612,99.2740302138378,101.169859393762,100.737504321272,100.267248539027,99.0033736155562,95.1801165964287,95.2317870967392,94.3383868603197,92.898923944914,93.5043682140994,93.4831134694145,93.9769561227474,92.9415298844725,92.6201822511801,92.5120228212818,91.7672424097298,92.2250427802202,92.3926891242175,94.6700890810366,94.7938195861027,94.8470001719099,96.3404140990392,98.4534687059053,101.25917365771,103.004524235148,104.941955718962,106.857891966188,110.326126340243,112.891587370378,115.480789545149,116.599753248143,119.707674417555,124.852263600223,131.18985862808,132.911530469925,135.217575761397,137.037813451616,138.99769369678,140.649266658279,142.553005043014,146.356660159092,149.941982954752,150.18045476594,152.034216933617,155.53625995631,159.025586139387,162.575325458827,162.241415406944,167.579510674308,169.467129034308,172.967372932829,175.363399734462,180.330021243321
Keumobyeo 2ho,4,108.61544538811,104.116295302013,102.610272824265,99.5920716449361,97.1866195901431,93.4490206693597,97.2444512717387,96.0423602085168,96.586257767446,97.3759926200182,98.3615417854982,99.471914122705,96.6631154538045,93.3980495880865,92.146263483128,90.5220223224185,89.1975114690343,90.0950021916585,91.9211432568182,91.434120562944,90.3012254746333,90.99822031209,93.0023677111884,93.4540412858893,95.1045519227944,96.4034749957286,97.8434159682602,97.657951469442,98.6446624001989,99.7545471942971,101.895455541324,104.528111110974,103.205456995604,100.062905359705,98.9304077993708,98.661535924007,100.792337940632,102.370514156664,102.859705589578,106.155544788459,108.584939612103,112.817104697062,115.914555926453,118.602576068897,121.401506963967,122.600625503927,125.217815805433,126.696390098421,131.267757502215,135.429422503658,136.361069323123,140.843489554851,145.648979764034,150.190965851114,154.648194592122,158.244027175771,161.114921226491,165.361815252024,169.386659385213,173.240507157585,174.689067614205
Undoobyeo,1,116.951550085683,113.350010667805,115.559086520297,115.691966787224,114.385196654269,113.272258364312,111.751631469478,109.684388216158,106.572730145355,110.477078416427,109.345435356201,108.285496782203,108.122054349123,103.811917191857,102.981479036574,103.788277281923,102.502691908798,103.799213264279,105.020112211263,105.914147215765,107.642977767304,108.717215030414,109.827503703636,110.657774342237,111.872529358764,113.165296300742,115.216568966113,118.069813763248,119.358686148363,120.081237362313,122.16283793046,122.94891525733,123.572967023748,121.816350578756,119.76778255321,119.66266331805,120.977432685192,122.195630559404,124.290853037452,127.962793575703,134.478487195813,144.935355288548,147.178865218176,151.718717470631,153.177897457333,155.539509140864,158.203920298895,161.933655784268,164.631234008427,167.900790302477,169.656997910228,171.818276630826,175.961908036155,178.843364059136,180.97774050954,183.099760544393,183.980648401654,186.607998404897,186.538023875259,187.660563970354,188.140173622689
Undoobyeo,2,112.866384948184,114.23728567277,118.899995027102,116.64588677654,116.268370539933,118.533856437082,115.753122273613,115.797449751459,114.064194310531,118.184239135906,113.067284390592,111.646269773749,110.162883335004,108.055281307656,107.677635384063,106.568103480786,104.683236600428,104.65845225324,104.931751536555,104.529033842125,104.482929757269,103.458591466726,104.379697265419,105.734725304556,106.115616870678,106.354976439701,106.950356958084,109.006993494368,111.455434216875,113.493357188034,117.717183094706,119.01899812425,121.924444071354,122.032047158634,121.445935187628,121.085826848528,122.739835578357,124.300066938658,124.672674355017,125.999543642756,127.907159590982,131.86252051512,134.895347808827,135.193793752738,137.245652962722,138.743069981491,141.077615788131,142.376412977401,144.203692204593,148.354438944812,148.898149856345,151.143292682927,154.372305481569,157.448611706724,159.550898883354,163.10116867462,163.374164202054,164.996794624981,168.325101352913,169.341793108091,171.458359759615
