Cultivar,Sample_Number,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61
Samcheonbyeo,1,387,505,518,571,791,891,1219,1351,1441,1448,1485,2093,2281,2183,2296,2375,2287,2226,2655,2656,2671,2749,2779,2753,2753,2649,2643,2649,2642,2696,2806,2628,2644,2639,2695,2708,2672,2676,2655,2625,2598,2606,2566,2614,2441,2362,2377,2416,2432,2454,2578,2530,2498,2558,2584,2646,2626,2572,2598,2598,2664
Samcheonbyeo,2,363,451,491,433,586,709,768,965,1027,1089,1015,1519,1633,1585,1596,1932,2095,2208,2344,2526,2494,2482,2448,2330,2398,2485,2459,2584,2679,2667,2716,2575,2558,2494,2416,2452,2453,2481,2500,2481,2287,2523,2587,2548,2629,2566,2621,2700,2788,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930
Samcheonbyeo,3,371,507,600,626,739,778,845,951,1201,1281,1529,1701,1947,2006,1767,1767,1980,2143,2313,2084,2265,2165,2275,2320,2492,2379,2139,2238,2239,2262,2256,2251,2501,2601,2650,2696,2644,2615,2621,2612,2645,2658,2688,2688,2674,2663,2705,2727,2727,2673,2690,2643,2663,2685,2672,2707,2698,2699,2684,2656,2673
Samcheonbyeo,4,391,585,651,769,944,1113,1187,1484,1622,1602,1991,2688,2842,2920,2822,2712,2789,2745,2746,2740,2733,2692,2619,2530,2457,2433,2629,2901,2930,2930,2855,2909,2861,2832,2818,2764,2727,2703,2767,2779,2801,2773,2773,2675,2731,2725,2736,2744,2789,2807,2815,2777,2849,2828,2850,2896,2873,2791,2759,2819,2878
Keumobyeo 2ho,1,493,604,775,927,1028,971,1262,1607,1572,1580,1600,1676,1818,1969,2134,2221,2193,2376,2393,2221,2389,2496,2609,2670,2641,2687,2605,2091,2074,2153,2126,2037,2033,2050,2038,1962,1981,2028,2047,2084,2099,2253,2309,2313,2379,2371,2308,2312,2462,2370,2406,2400,2423,2437,2437,2320,2370,2275,2239,2212,2151
Keumobyeo 2ho,2,479,585,784,983,1092,1255,1460,1473,1568,1739,1903,1932,1995,2097,2156,2441,2283,2295,2513,2459,2548,2558,2493,2389,2400,2265,2120,2078,2041,2133,2156,2212,2164,2206,2315,2353,2323,2287,2281,2233,2265,2327,2355,2357,2359,2367,2469,2527,2505,2359,2333,2349,2370,2367,2343,2234,2355,2292,2285,2289,2281
Keumobyeo 2ho,3,504,684,698,575,697,828,757,1205,1151,1441,1767,1677,1839,2007,1780,1816,1959,2125,2144,2169,2073,1904,1835,2055,2025,1995,2003,2197,2242,2297,2213,2033,1975,2113,2187,2342,2425,2496,2573,2578,2428,2497,2509,2534,2547,2558,2494,2514,2526,2496,2501,2497,2483,2438,2528,2533,2544,2560,2664,2809,2827
Keumobyeo 2ho,4,379,521,607,489,641,800,1068,1206,1206,1295,1546,1671,1551,1511,1533,1581,1687,1758,1731,1767,2072,2176,2349,2497,2651,2616,2612,2569,2595,2510,2407,2233,2304,2402,2589,2556,2539,2539,2552,2436,2472,2433,2627,2654,2525,2487,2446,2464,2417,2349,2308,2553,2286,2332,2363,2269,2324,2317,2296,2354,2354
Undoobyeo,1,583,931,967,1127,1080,1533,1660,2061,1961,1785,2133,2175,2132,2139,2299,2397,2651,2728,2660,2872,2930,2930,2930,2930,2866,2867,2828,2878,2892,2891,2799,2500,2506,2520,2514,2516,2514,2511,2498,2531,2540,2597,2648,2746,2798,2883,2820,2815,2879,2881,2930,2930,2908,2911,2930,2930,2930,2930,2930,2930,2930
Undoobyeo,2,607,788,907,1080,1218,1447,1641,2215,2221,2210,2590,2685,2525,2628,2796,2871,2930,2930,2930,2930,2930,2930,2930,2930,2913,2756,2745,2749,2867,2891,2930,2491,2495,2608,2497,2771,2824,2837,2834,2839,2679,2679,2673,2661,2630,2625,2749,2548,2612,2554,2532,2570,2659,2670,2789,2874,2921,2930,2914,2854,2760
