Cultivar,Sample_Number,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61
Samcheonbyeo,1,117,169,245,425,675,747,1035,1282,1283,1416,1594,2269,2920,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2916,2930,2930,2912,2868,2838,2776,2622,2604,2681,2699,2718,2723,2717,2710,2759,2838,2882,2850,2825,2775,2773,2814,2694,2548,2552,2505,2474,2489,2472,2484,2429,2418,2480,2530,2581,2660
Samcheonbyeo,2,205,299,479,561,709,751,891,979,1149,1251,1523,1587,1689,1795,1819,2217,2291,2463,2585,2792,2813,2683,2619,2619,2562,2617,2774,2897,2846,2930,2867,2915,2910,2899,2824,2782,2798,2783,2805,2802,2807,2799,2786,2845,2829,2871,2859,2854,2845,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930
Samcheonbyeo,3,160,259,303,494,498,751,1015,1264,1323,1393,1697,2112,2184,2111,2106,2107,2160,2274,2347,2395,2589,2719,2759,2843,2851,2926,2785,2814,2853,2829,2853,2899,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2926,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930
Samcheonbyeo,4,203,325,481,551,667,759,1299,1416,1538,1559,2304,2460,2613,2774,2850,2868,2868,2876,2860,2917,2923,2915,2887,2845,2787,2765,2752,2709,2930,2930,2930,2891,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930
Keumobyeo 2ho,1,279,461,613,503,631,901,861,1193,1408,1477,1763,1916,2083,1934,1970,2081,2256,2260,2317,2378,2463,2476,2498,2530,2513,2531,2376,2320,2456,2358,2419,2299,2260,2395,2646,2733,2821,2820,2836,2849,2760,2917,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2824,2930,2930
Keumobyeo 2ho,2,153,492,719,383,543,513,813,971,1498,1628,2000,2062,2070,2066,2112,2152,2457,2425,2361,2566,2559,2514,2459,2463,2475,2583,2683,2717,2712,2737,2730,2617,2642,2678,2763,2930,2853,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2734,2742,2746,2754,2930,2930,2930,2930,2930,2930,2930,2930,2930
Keumobyeo 2ho,3,285,399,577,863,977,1022,1322,1503,1595,1614,1710,1753,1921,2021,1931,2188,2126,2193,2543,2692,2707,2870,2852,2858,2838,2792,2800,2800,2758,2729,2694,2649,2639,2643,2629,2596,2635,2682,2709,2753,2774,2815,2930,2930,2930,2930,2930,2930,2905,2813,2848,2916,2817,2766,2696,2713,2688,2708,2792,2855,2930
Keumobyeo 2ho,4,313,460,652,805,872,976,1167,1306,1414,1527,1473,1802,1963,2211,2396,2305,2291,2375,2449,2930,2930,2897,2862,2745,2628,2603,2443,2441,2554,2448,2516,2405,2427,2545,2581,2650,2698,2734,2761,2792,2800,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2920,2930,2930,2864
Undoobyeo,1,185,419,385,808,663,1410,1610,1588,2031,2330,2631,2599,2579,2732,2797,2715,2814,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2816,2860,2909,2923,2915,2904,2889,2930,2864
Undoobyeo,2,441,617,537,830,1039,1781,1820,2027,2135,2349,2397,2700,2568,2568,2930,2930,2930,2930,2930,2917,2888,2844,2876,2930,2930,2930,2930,2930,2930,2930,2930,2744,2885,2890,2867,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2894
Undoobyeo,3,347,453,808,637,778,1019,1471,2049,2139,2587,2661,2804,2925,2911,2881,2879,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2846,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930
Undoobyeo,4,357,405,689,817,1032,1622,2333,2569,2339,2599,2717,2489,2613,2930,2878,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2930,2916,2930,2930,2930,2888,2820,2745,2787,2806,2684,2635,2696,2742,2695,2712,2705,2688,2566,2535,2566
