Cultivar,Sample_Number,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61
Samcheonbyeo,1,0.770931798,0.820009656,0.867011636,0.860102872,0.900424071,0.908071824,0.911337955,0.917087007,0.923645262,0.927401898,0.931645207,0.932511677,0.936604911,0.935545896,0.935828882,0.94025634,0.944129342,0.942971568,0.940917115,0.939147303,0.938348942,0.938633899,0.937922283,0.944200455,0.94480677,0.942890966,0.944686401,0.945989426,0.950142521,0.951887325,0.952746925,0.953232588,0.951881194,0.950097468,0.948374968,0.948903373,0.946838185,0.948077205,0.948632766,0.949739667,0.948816093,0.948577344,0.949366495,0.946685858,0.948782712,0.948623432,0.9499033,0.94915437,0.949090087,0.950393901,0.950644418,0.949692018,0.947924032,0.947615216,0.945792012,0.944168101,0.94139644,0.935652074,0.931538417,0.930654131,0.926351403
Samcheonbyeo,2,0.736746997,0.867318529,0.884792758,0.877057253,0.910618285,0.906274267,0.914628526,0.91806093,0.923782436,0.929955973,0.931040937,0.929350567,0.936040932,0.934988876,0.943346091,0.944315009,0.948505569,0.951638849,0.94999216,0.949199349,0.949460326,0.95118285,0.949971767,0.952846858,0.955652905,0.955309654,0.955696257,0.957402716,0.955739528,0.953160764,0.953149672,0.951178855,0.949309533,0.946857508,0.943688693,0.941266568,0.94144966,0.940164324,0.939943623,0.938014127,0.937314307,0.938047489,0.938888007,0.938014177,0.939551777,0.94037527,0.943371339,0.940087463,0.943105507,0.944009312,0.941755834,0.943884981,0.941551358,0.941785086,0.939384574,0.938944328,0.933730007,0.933306307,0.930815716,0.928668847,0.926743627
Samcheonbyeo,3,0.674335933,0.753641431,0.837896058,0.84967022,0.869713361,0.866013222,0.901062067,0.908133133,0.910006644,0.910423444,0.920497307,0.922634671,0.928598392,0.931242515,0.935601877,0.940068237,0.94097961,0.941577549,0.944401082,0.945325435,0.945644616,0.948136642,0.946243354,0.949881868,0.951222723,0.951864798,0.952632851,0.951454331,0.952416732,0.950970515,0.952725747,0.950727016,0.949928096,0.947186028,0.949082608,0.945645527,0.943601722,0.941491442,0.940456266,0.939413234,0.940645256,0.941287385,0.942254534,0.939815818,0.942631891,0.941091393,0.943425013,0.940775479,0.942515471,0.943358839,0.942057633,0.941295014,0.942029079,0.943005442,0.939886065,0.942618657,0.938945252,0.937709056,0.933025127,0.930804486,0.925159063
Samcheonbyeo,4,0.810488634,0.814493286,0.822768216,0.859776475,0.901281839,0.906571518,0.909557002,0.913457843,0.910845554,0.922675108,0.928470957,0.929656228,0.935105653,0.94121561,0.947459938,0.946477074,0.948723843,0.952368886,0.950342995,0.948333063,0.948899448,0.947750418,0.947501223,0.947503497,0.949380541,0.948938827,0.948096826,0.948861802,0.947060639,0.946856052,0.948324208,0.947550418,0.94576103,0.943534498,0.941354232,0.94094315,0.941848164,0.943124842,0.942791274,0.941593895,0.942351456,0.943707285,0.941543458,0.941661983,0.942900086,0.942547131,0.942575002,0.941165595,0.942910864,0.942509641,0.940737092,0.939354207,0.942394318,0.941673708,0.942692447,0.939677574,0.936060323,0.932071445,0.933000927,0.917181358,0.920455516
Keumobyeo 2ho,1,0.821658138,0.779166614,0.850781815,0.84820625,0.858408073,0.888476642,0.88283148,0.905411987,0.903827505,0.911412739,0.919128012,0.9260416,0.925814591,0.931999059,0.937403703,0.937478687,0.942129601,0.945403215,0.947247205,0.945087438,0.943041848,0.944613291,0.945664155,0.945544142,0.946071752,0.94510363,0.94457955,0.946204413,0.942908094,0.942799993,0.946035007,0.945612391,0.946813075,0.947602545,0.949146599,0.949142997,0.948387043,0.948567016,0.948891244,0.950207426,0.950335636,0.950795236,0.952551261,0.951376038,0.952049537,0.951578077,0.950609546,0.949773847,0.948502778,0.950054142,0.951537858,0.952936837,0.95119307,0.953046065,0.952789402,0.955218847,0.953770649,0.951054509,0.949936964,0.947551874,0.942415164
Keumobyeo 2ho,2,0.809522162,0.843968193,0.854207353,0.883347538,0.88369445,0.897739513,0.904171625,0.9187847,0.916775158,0.926298188,0.929304585,0.932581875,0.936008669,0.939510931,0.945915603,0.947628581,0.946887073,0.945998256,0.946582082,0.944168857,0.945837764,0.945988796,0.945221266,0.947286894,0.947671351,0.946839419,0.947822099,0.948391389,0.95037534,0.950903848,0.953235791,0.951242182,0.949851797,0.952593882,0.951867323,0.951690895,0.95025855,0.950999903,0.950374513,0.949481893,0.950164041,0.951080289,0.950175328,0.949809893,0.950121484,0.950488073,0.951742648,0.950951025,0.953050082,0.953196221,0.951335328,0.952199083,0.953148396,0.952460233,0.95139268,0.953912778,0.953074602,0.951932946,0.952507455,0.953697302,0.950055125
Keumobyeo 2ho,3,0.806225127,0.826292117,0.842208222,0.869532344,0.871085262,0.894071218,0.900697101,0.910974316,0.90762049,0.909786351,0.914182738,0.925049066,0.935802541,0.939760137,0.940489283,0.943806747,0.942557648,0.94443308,0.944940004,0.945264287,0.945539597,0.944787886,0.946886876,0.945395675,0.947138033,0.950008481,0.951541044,0.952242067,0.951860198,0.951550109,0.953033284,0.952676475,0.951334716,0.952355756,0.95156923,0.950741354,0.951315752,0.951370367,0.951574525,0.952475892,0.952979066,0.953738878,0.952934309,0.953598798,0.953742068,0.953309814,0.952332212,0.951162329,0.950657999,0.949222488,0.948085761,0.949101842,0.950169513,0.950930769,0.948844167,0.950020539,0.948406934,0.948286437,0.946128785,0.946036486,0.943645776
Keumobyeo 2ho,4,0.78120676,0.782124426,0.817880572,0.861913645,0.871291967,0.899955599,0.901114056,0.907752871,0.90238771,0.911868252,0.921066185,0.925340962,0.928246784,0.935451547,0.939096044,0.940749808,0.940892215,0.943470618,0.948322797,0.944417435,0.943691387,0.945917107,0.946933871,0.946393222,0.948660315,0.951545549,0.95079795,0.950054777,0.951138303,0.952704765,0.949866535,0.950986364,0.951985883,0.951078715,0.950477316,0.951352165,0.952365808,0.952991707,0.951319921,0.949859698,0.950751981,0.952191876,0.950100901,0.94981975,0.95191862,0.9500909,0.949841765,0.946373707,0.94540179,0.945263163,0.943770536,0.944015185,0.94519966,0.944630694,0.947164188,0.949657635,0.948145659,0.947244623,0.947883712,0.937753275,0.941255513
Undoobyeo,1,0.672296122,0.712163372,0.857139834,0.818180752,0.834569429,0.871995715,0.876850678,0.884114303,0.89373104,0.907383238,0.908424552,0.919525839,0.928321734,0.930879866,0.940324338,0.944011809,0.942455934,0.942182002,0.942786962,0.94294259,0.942222292,0.938495663,0.942139751,0.942369314,0.943669088,0.944653251,0.945870893,0.94747009,0.945578406,0.946310936,0.94426409,0.943220134,0.944157378,0.9423108,0.941334212,0.942652854,0.944801894,0.9402219,0.940631331,0.942290973,0.939159905,0.941211891,0.943768277,0.941752807,0.944058352,0.941546188,0.943640133,0.942906425,0.945879514,0.94492232,0.945914484,0.946292651,0.944803749,0.937964788,0.935262069,0.933978883,0.928812298,0.916782816,0.917726636,0.908381269,0.911238035
Undoobyeo,2,0.772691909,0.786940595,0.781936563,0.84821544,0.821497612,0.893581691,0.885052897,0.897058192,0.895033019,0.899484111,0.912297736,0.919095231,0.921241008,0.925700509,0.930433052,0.93695226,0.938866679,0.939803743,0.943865966,0.942878749,0.940858476,0.942796355,0.94237605,0.942429192,0.944380514,0.944745339,0.941516112,0.941920847,0.939881137,0.937341305,0.936331442,0.9361024,0.934750434,0.931832734,0.93371161,0.935557823,0.936649149,0.936760227,0.937466701,0.939729279,0.942282308,0.941919551,0.9400702,0.938779044,0.942508134,0.941035816,0.94373388,0.939926119,0.943395203,0.942961316,0.941764089,0.941947482,0.940730913,0.941216307,0.935497995,0.936551796,0.933412662,0.931282566,0.93042818,0.929419033,0.924102655
