Cultivar,Sample_Number,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61
Samcheonbyeo,1,0.822861717,0.75481991,0.872221954,0.816096135,0.879183126,0.894971287,0.912071924,0.91289015,0.917028083,0.916569123,0.923233749,0.925055527,0.930849602,0.931633557,0.936022429,0.938804841,0.938937399,0.934952993,0.93305682,0.933110349,0.93407561,0.933747735,0.933276491,0.938819261,0.93850272,0.940918875,0.939433462,0.940920269,0.940695535,0.941854581,0.940392775,0.946010409,0.943692756,0.940685734,0.940714372,0.940060254,0.940234137,0.940492344,0.939030942,0.940074237,0.939236379,0.938945844,0.938411686,0.935884403,0.939126727,0.938493472,0.940587043,0.938598811,0.93921403,0.938800621,0.939817145,0.940983767,0.936348389,0.937135364,0.933146488,0.931024224,0.929299468,0.922702677,0.920866288,0.913280733,0.908522705
Samcheonbyeo,2,0.850906456,0.797418947,0.86915486,0.88129385,0.915135013,0.893931313,0.915773248,0.913542897,0.92870488,0.924890336,0.934201796,0.938107649,0.940679486,0.944797428,0.947978437,0.947650489,0.94513,0.942306667,0.942287206,0.941433605,0.94286204,0.942669676,0.942039229,0.942116861,0.942179449,0.945076537,0.945749919,0.944136815,0.944156304,0.943300083,0.942808253,0.941425397,0.94049786,0.938036109,0.937201537,0.935344653,0.933108817,0.931814552,0.931375872,0.92967597,0.929663644,0.93275574,0.93187072,0.932356714,0.934331681,0.933663122,0.933537531,0.932515558,0.93504729,0.93463849,0.93040501,0.930693727,0.930659859,0.93112352,0.929631833,0.932413809,0.927468067,0.92686777,0.922638645,0.922390107,0.919788605
Samcheonbyeo,3,0.864105028,0.834024747,0.868444846,0.85555199,0.887704231,0.860704077,0.885916233,0.905995088,0.902270668,0.910939588,0.92260676,0.927682662,0.930438904,0.9360153,0.942158394,0.941710487,0.943865973,0.938470008,0.939601664,0.941227192,0.94218125,0.943460345,0.943776433,0.94628244,0.946570814,0.947440585,0.945852546,0.946272749,0.946576217,0.943506147,0.94611308,0.945133108,0.944188561,0.942887342,0.941881504,0.940368306,0.939977492,0.936706565,0.936587385,0.937067962,0.934718598,0.938528555,0.939582492,0.939342627,0.939227512,0.938750338,0.940063782,0.936789727,0.939661182,0.938283812,0.936218545,0.935385165,0.935761084,0.938855167,0.936208221,0.93652979,0.936823416,0.933126051,0.927092302,0.926851246,0.920773339
Samcheonbyeo,4,0.863293536,0.855389011,0.878087323,0.883301043,0.888049979,0.900063882,0.910809694,0.916091004,0.922832258,0.928704344,0.930677157,0.937671174,0.94207512,0.941871731,0.944693811,0.947385138,0.947074283,0.945839327,0.946604442,0.945126186,0.945778228,0.946431857,0.946294354,0.947659242,0.948986854,0.950000241,0.950830928,0.94925992,0.950184964,0.950654191,0.94920157,0.947070384,0.94888571,0.945748608,0.945004824,0.945057838,0.943830177,0.941859482,0.940249089,0.93900593,0.939268779,0.939310011,0.936982556,0.937573805,0.938624585,0.939798451,0.939225472,0.937442566,0.941266388,0.940979262,0.939025438,0.936629107,0.939899551,0.938899388,0.938323525,0.934913504,0.932941575,0.930786794,0.927737167,0.908498518,0.913950112
Keumobyeo 2ho,1,0.720031748,0.733474042,0.800980653,0.830862167,0.838060962,0.873422754,0.889395595,0.896204719,0.901996611,0.907805308,0.91660358,0.924650398,0.922468329,0.924820356,0.93305823,0.936193886,0.936069787,0.938907296,0.942661933,0.941539106,0.942052546,0.941492352,0.939697414,0.941351682,0.940661853,0.938901769,0.938614411,0.938927954,0.941385451,0.941710211,0.942410942,0.944996721,0.944136884,0.94415717,0.945155745,0.945525729,0.946696952,0.947158782,0.947375657,0.949341845,0.949669897,0.949587273,0.950947252,0.947694093,0.95072669,0.949734504,0.948859081,0.950939031,0.948903883,0.949293195,0.951365372,0.951713003,0.952314579,0.951289548,0.94962281,0.950944268,0.949262037,0.943569031,0.943002697,0.940476239,0.937463918
Keumobyeo 2ho,2,0.77988269,0.803563186,0.826649448,0.866352921,0.879577961,0.898351,0.913301209,0.908162272,0.911701813,0.920096584,0.927169271,0.930257577,0.933703585,0.938667336,0.94064705,0.94242662,0.942821306,0.943169051,0.943152428,0.94102759,0.939344201,0.942921872,0.942933771,0.943612479,0.943973137,0.940640257,0.941492677,0.9417985,0.941735468,0.94300205,0.943917941,0.945029374,0.947858055,0.946791558,0.945707459,0.947418067,0.946864413,0.947749852,0.947061988,0.946846556,0.946839786,0.948052037,0.946937665,0.947916728,0.947847081,0.947214771,0.947234353,0.943659795,0.948073428,0.947467172,0.948372884,0.949132135,0.948747968,0.947940273,0.946626702,0.949255298,0.947596485,0.949007563,0.949131347,0.949863599,0.944784896
Keumobyeo 2ho,3,0.74317387,0.821486448,0.828501902,0.887028063,0.897322971,0.902396778,0.903751882,0.916168989,0.925681675,0.931979972,0.937427307,0.935312384,0.936330936,0.939859874,0.946304055,0.946921191,0.948658928,0.946784971,0.946700533,0.94423411,0.944847253,0.945596086,0.94627191,0.945188935,0.942348253,0.946089572,0.948344747,0.947145448,0.948752045,0.94747645,0.944899225,0.946488285,0.946512057,0.946504129,0.947472941,0.948158119,0.948139406,0.946944713,0.945768221,0.946130765,0.945844907,0.945883103,0.94544391,0.945949865,0.946097188,0.947442452,0.94783311,0.946086268,0.946360996,0.945621188,0.945660554,0.945247143,0.947389773,0.948006803,0.945876524,0.947458857,0.947562774,0.947188503,0.942936321,0.946148462,0.94374833
Keumobyeo 2ho,4,0.829055515,0.832059277,0.831936324,0.865748245,0.874282915,0.904134491,0.899078897,0.911440189,0.913279564,0.922011374,0.924036058,0.931602849,0.936028745,0.940717904,0.943365068,0.942621562,0.946003872,0.940371525,0.945967131,0.944739485,0.942371087,0.944367159,0.945160267,0.947065652,0.949776429,0.951990792,0.951960714,0.952509524,0.952016976,0.950252768,0.950679928,0.94924424,0.950278122,0.948543355,0.948145937,0.949838302,0.949629057,0.949866047,0.948925695,0.948414469,0.949888059,0.949538541,0.946840972,0.948984799,0.949837743,0.94899812,0.948225668,0.947386227,0.946091974,0.94671559,0.946334263,0.944393615,0.947427297,0.947211747,0.947999146,0.947989932,0.948960167,0.949465778,0.953285201,0.942851543,0.945137969
Undoobyeo,1,0.587404308,0.764350853,0.826922935,0.854156258,0.84062661,0.864222146,0.867405096,0.905279982,0.910803659,0.913196429,0.920536631,0.922385864,0.928296209,0.933791816,0.93787474,0.936353897,0.937712275,0.938202259,0.941557701,0.944283136,0.938350748,0.93809841,0.938361605,0.93989043,0.939041952,0.940905738,0.940508889,0.938511265,0.939089812,0.936996076,0.942172452,0.937438865,0.937931553,0.933654225,0.931706471,0.933410882,0.932443341,0.932847037,0.934597044,0.94015706,0.939921694,0.941346114,0.942144412,0.94091732,0.944625833,0.942697544,0.946501835,0.957479427,0.947381748,0.946155159,0.947403797,0.94364831,0.940906521,0.940735169,0.934795165,0.92832912,0.92399234,0.913190887,0.912574278,0.905401128,0.907430811
Undoobyeo,2,0.752199026,0.78398593,0.824197446,0.873514309,0.891711693,0.873223044,0.893449885,0.902087516,0.894242231,0.907475694,0.916408905,0.917961266,0.926767062,0.930230048,0.934637534,0.935876418,0.938735032,0.937359251,0.939355296,0.93561779,0.934022028,0.933618725,0.931619612,0.933264048,0.938367188,0.938752854,0.939349638,0.939913129,0.939380824,0.93767572,0.937344945,0.937965793,0.936338851,0.932368217,0.932788721,0.933824689,0.934168868,0.935852015,0.934573249,0.935077565,0.936565451,0.939490594,0.935638958,0.934970047,0.93671746,0.93431522,0.934971878,0.931152397,0.934882444,0.935700538,0.933818264,0.934559995,0.931983824,0.93091413,0.930015238,0.931887644,0.925823402,0.924695737,0.921120139,0.923188089,0.914751698
