Cultivar,Sample_Number,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61
Samcheonbyeo,1,25347.98753,36180.63298,57946.65812,60370.10451,86045.63832,102093.1967,122822.388,136167.5238,167190.7922,182879.4422,213916.6003,242013.8902,266985.2978,265077.3036,291895.5596,312435.9208,324142.8516,338905.5378,351164.1328,349340.0292,340924.3563,356487.6893,367292.1514,386751.2992,398432.033,409925.6714,417351.0688,436118.2838,446424.376,467129.1904,480261.2208,506684.741,527287.9744,559187.3646,582408.2204,581477.1875,583431.731,583661.4275,592855.5966,600527.0243,607957.0808,627618.2239,638787.3182,652922.1092,674475.6707,696286.8593,706626.4284,717316.7676,728583.9461,743847.1743,748953.4244,758400.8201,769620.7002,761393.2354,755501.3071,755708.6815,754415.5095,759099.3986,752657.7057,751897.4917,727722.9164
Samcheonbyeo,2,24792.70251,38227.98926,57233.35451,65358.18476,88529.75846,103432.8583,118774.5057,146394.4286,164063.9359,182615.124,219563.0099,234869.7715,260790.2334,272010.753,301738.6303,332738.6511,361578.0955,379085.1512,390199.4162,389699.6946,398345.3781,402230.6066,403521.6465,420282.934,418546.0461,435052.2537,445601.9559,461467.8796,469493.022,477572.0169,507620.9586,530097.7294,536872.4343,535744.1898,544628.2072,544615.8618,549573.8413,552070.6494,560932.4394,570324.8898,572331.7341,579638.5096,589609.5615,607662.6538,615793.2153,634382.182,645567.9703,651770.7933,653359.1324,669435.4753,668494.5388,680256.0459,687398.8892,692757.0449,678899.3444,691515.3727,689316.4261,688307.8655,672786.7487,661500.2649,656999.284
Samcheonbyeo,3,21212.63178,30588.44292,47072.44996,60430.39155,73259.70184,85782.55555,111147.3341,130816.9802,149459.993,162911.8701,197822.7423,225497.6778,236178.9923,256246.0516,288836.2519,314191.9222,333313.652,349457.1824,356142.571,353710.9597,360700.2795,376038.2892,375355.6867,378556.5344,389414.8788,403842.2662,418434.0685,428345.9727,438588.6625,448689.0422,473492.962,502117.769,531350.4048,552672.8779,572600.3777,570581.664,579198.0545,585099.7441,582764.1335,598616.9175,614003.3262,630275.9668,642156.3593,657312.9462,683524.6775,693128.4385,710699.6327,715020.4777,721537.0811,733728.814,741320.4551,763156.4273,767756.2675,772618.2998,767662.6369,778400.3114,778155.0747,771302.6424,762064.266,747121.3495,733665.288
Samcheonbyeo,4,29213.09863,37183.24719,48073.14605,66682.41948,88876.80864,103066.1114,125943.0401,145656.2526,162285.6393,188421.3782,220225.3688,243703.3681,258930.9489,273661.4926,307773.3707,327566.4853,348390.5244,356970.796,365435.5977,364150.3337,372874.0541,371813.6544,367770.7338,381990.9619,390565.8567,400285.3612,414344.804,417986.2449,426230.4017,466741.8568,489741.1008,515006.179,531315.3266,547313.405,554804.1061,566082.0148,571154.2985,576541.2184,574378.9031,594498.9171,597379.0166,605385.3025,615793.4858,628861.1825,642787.2874,650082.1563,663647.7875,665351.9502,678328.9903,695055.9849,690536.6175,703081.2875,711793.2014,705823.2034,722346.753,734307.0168,724775.2497,725804.6891,725947.1321,689016.5474,697007.9662
Keumobyeo 2ho,1,28541.79416,31921.77835,47791.55628,56799.47291,74059.16304,88491.63346,99400.69296,135836.1552,155184.0763,176077.7533,196960.0851,226056.8857,248657.9651,262164.2098,284013.8303,315304.6395,335665.6849,345235.705,365695.5629,371966.0362,390752.2737,411662.2131,426656.0159,438270.1488,460210.384,480726.0259,490770.7148,511195.4091,527301.1193,536247.6203,546166.9829,558503.37,570909.8913,591199.4901,611506.7752,616468.8545,630130.5942,655282.4063,660354.5463,676420.8072,679016.0744,693633.3002,700981.8507,709562.2684,723143.5344,735814.5651,757338.4235,776122.9551,784889.3764,807410.2951,832354.148,841831.563,868655.1305,873098.4095,892018.8727,944615.4798,939343.135,950568.804,959911.7059,967799.7903,955734.1627
Keumobyeo 2ho,2,29845.41646,40410.19613,53086.1769,79209.58656,89976.95955,107269.0368,125677.7512,152729.0617,178570.6689,190069.9636,227814.307,244711.6848,268045.2115,266037.3036,287892.8816,314018.922,329589.2128,336242.4176,348746.3828,355793.9047,384791.1407,401567.2506,411767.5463,430963.229,440280.1057,462355.5945,487694.833,497487.8707,510597.4762,519784.6738,545389.4409,551795.8881,574469.3236,582510.8366,603866.8189,618056.0383,635215.6949,645438.6382,650709.9663,649331.9091,661484.9677,673515.413,679560.9714,700900.7362,711492.4242,723906.6171,732301.1515,730939.1863,755448.1013,776999.562,785686.1983,808874.6904,853024.1701,860931.1531,865732.7296,912768.4455,934098.7777,933859.7462,954919.6514,958633.6511,950963.9478
Keumobyeo 2ho,3,28871.75077,41558.5373,54980.43694,71264.98518,84190.53314,102199.4172,119651.4948,145827.6134,156453.7117,173647.8536,197706.6848,232424.258,248175.8715,261016.1384,280744.8559,311229.501,326429.0596,345103.41,355785.8282,360380.6357,375342.8029,392585.3143,401183.4465,422064.9646,443396.9674,470651.4618,485810.3233,500039.0222,512180.8236,516427.3372,541393.1075,550267.5168,573971.6485,601052.5219,610059.0165,619756.3613,642915.7696,661463.7313,663716.7211,676196.3603,680344.907,695651.3135,708785.0343,733212.4328,748010.9896,758396.9378,772288.0226,793837.0136,804631.1672,830473.2997,841421.8797,863859.6353,892488.5709,912058.858,929227.5174,946961.5631,956078.3144,961051.2285,962717.7268,969426.3552,970741.8412
Keumobyeo 2ho,4,24750.64408,33418.46494,44544.1145,62156.56115,76356.59654,99405.87196,118619.12,141188.9001,158166.0481,173825.6024,201429.2398,219979.7666,244446.3648,261724.0448,291661.9783,325077.1996,335478.2436,345663.5806,349068.519,359850.2509,378615.0101,396721.44,413117.8169,436229.4709,437150.2052,462375.7246,475773.3557,494351.3445,502915.203,520619.6383,541873.5861,559492.3206,574932.6116,591824.1213,601301.9395,618160.4473,640527.7389,659998.1545,675633.3331,689263.5602,705646.665,715071.1452,725157.1345,742911.9174,763949.7927,770832.104,798486.0761,806388.5179,815613.3447,848317.8008,864650.8669,900536.2106,909628.0124,917272.3349,941071.0411,966359.1994,968685.4122,993487.4191,993180.6483,933900.3952,967579.4683
Undoobyeo,1,24324.74122,32790.23072,55283.81311,59669.14291,75564.77542,94301.16061,117324.9091,146265.4955,172214.7764,199306.8674,230868.7357,266392.5878,299910.2118,315014.5878,359582.9868,398386.7801,417981.4805,439880.8026,451329.5927,456500.0554,458786.6665,466433.5103,466592.2058,485471.6685,498895.9831,507598.3824,520499.5522,539350.3775,576419.4354,609149.638,636852.0204,645135.5133,651341.6043,641320.0629,642306.3606,654077.0144,659473.7117,679677.7379,688879.6926,705573.6378,705186.8118,721237.4198,737211.958,748844.9799,776339.9558,779446.7308,802733.8225,804712.9738,821115.8034,831675.6185,836621.8659,836562.6766,823975.7951,799692.0111,764062.9102,766766.4773,753506.7518,731537.0112,736055.6144,715569.7726,727554.312
Undoobyeo,2,29482.50785,38470.03913,46210.74583,69220.10732,71671.57062,107190.133,115251.209,153363.883,177570.1215,201049.3609,225467.8816,251514.3778,271936.7968,301862.3816,337119.2379,383792.1701,405484.7624,413766.3251,424898.973,430503.3262,432057.8543,431054.4429,450357.6046,466148.8547,483639.17,493472.4017,505788.7382,524718.6816,554551.83,575026.6518,584858.2278,593443.8582,604431.4967,589325.1376,597777.2123,607073.9828,617388.8798,627192.0395,637034.7764,649215.4213,666295.2351,688393.8116,690173.3574,704259.9405,724495.9194,729093.6009,741438.0487,742428.5109,754397.5951,765215.737,763445.4213,772198.5896,779927.5366,780600.5597,763222.7913,753281.9059,744819.8463,733797.9537,726622.1164,721018.8018,677343.2185
