Cultivar,Sample_Number,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61
Samcheonbyeo,1,32022.74224,36771.67844,55764.5515,58929.99223,79162.37186,88679.65176,108276.2529,129259.7649,151383.6343,166072.763,196207.1182,206837.2255,242229.6265,255412.5481,279671.9822,306916.2829,333349.0401,341289.0794,354882.5343,354101.4763,359222.9807,369379.1816,371221.9964,395424.5137,398530.1184,415774.8607,426371.7945,447043.3238,456414.8963,468194.1381,484099.4635,512999.8692,542494.6056,559467.6203,578278.0721,583092.1481,591554.0013,599534.7751,610805.8967,613775.0289,624074.51,638054.5362,657218.4986,677777.7192,692347.1695,704213.3011,722372.4988,734126.0206,740466.3829,751545.4611,749063.5151,762223.3924,760710.3898,761627.3626,753491.8853,745619.4655,757458.1908,758490.9352,759290.7512,738989.2617,738713.1897
Samcheonbyeo,2,33072.85717,32953.27455,46311.69731,60463.28642,75546.74986,97538.17426,116807.3916,146366.5918,164783.0205,189922.5061,206585.2439,221118.6918,257827.6097,271782.7483,293131.8494,331248.3033,356225.3066,370384.5458,378212.0789,386787.3686,395039.2636,400713.9259,405929.9644,406009.9574,418782.5516,430764.2284,433703.3725,447426.168,464676.1296,478697.5391,503920.7309,522971.3493,537318.7264,543557.9593,551817.7633,558016.3112,550612.515,554815.728,566647.6838,567998.6017,573220.7805,583111.7473,586301.3399,604432.6305,611531.0625,615764.9599,632347.6209,642143.1411,657680.9191,670921.5525,674695.5703,675659.0449,693030.2728,692375.6311,685750.4813,697640.3702,693072.2646,692500.814,701680.1752,696678.1891,697091.7839
Samcheonbyeo,3,29617.95824,36285.82972,45973.32856,64781.63016,81419.6922,96093.88575,111738.8511,128018.0144,147856.6968,164385.3246,189265.0796,207627.6058,239550.3983,253510.7288,280525.1738,320876.4391,338272.2592,348389.5832,358820.3318,366070.0876,370129.6951,376539.8765,368004.2271,384163.7531,394410.1665,401187.4549,418875.3283,433231.079,441436.5435,457989.5458,481864.5726,505261.6558,537297.3259,558470.5787,571479.7467,573083.5665,586583.882,592853.5372,607322.0325,607123.8076,612850.2767,635503.4206,650694.1581,664261.8313,680378.6188,692868.1794,709734.0885,714331.8229,730411.3794,733732.8855,735539.6346,757952.7927,760579.8589,779980.2374,778338.0422,778811.7427,773736.9585,761054.8465,742781.1634,728791.1598,741178.458
Samcheonbyeo,4,27509.31359,38453.53519,53206.49771,68804.88691,79900.94492,94633.6944,116716.1175,149190.1283,158574.1067,178618.1677,204129.4454,226850.7267,249074.8342,276663.6399,298470.6822,333512.8397,352165.2445,364093.6202,366829.8469,372754.5296,383387.1222,389859.0228,396512.685,397128.0055,394984.7365,424643.6173,444841.4602,453418.5883,469648.4427,485206.2181,519768.7229,532257.9246,551332.9721,555500.5377,567551.9249,572636.9249,581788.2259,588092.2823,595955.0913,609346.6637,618723.077,629830.7973,637954.331,654522.637,671992.0073,691022.9762,702915.3051,707094.2323,716533.0048,722426.4702,731690.2105,748369.1228,761331.4238,762115.1272,770561.5385,751211.0553,735883.0777,749080.1661,720934.8321,687882.0057,700545.1138
Keumobyeo 2ho,1,26702.88845,36624.71844,47005.95694,58897.77753,75368.01264,89824.44547,110364.988,121983.8862,130829.6079,152234.7276,179967.0376,192205.4059,227957.3202,240634.9677,272607.7086,309569.4805,331923.1722,347457.3539,359096.8512,373954.7236,402235.7987,417844.5456,435968.3082,454090.4264,468504.3335,487754.9992,501646.6857,527027.0029,539458.2307,545693.2491,558468.15,582787.0491,604829.3414,616582.6056,637072.2125,645455.6407,651811.7297,663087.3374,669905.1491,687927.1587,685453.3442,690437.8791,707560.9473,726794.6273,726746.6008,752757.2955,769011.947,782706.6946,796534.6406,815761.7676,838523.9529,860570.4396,883723.1265,903536.9504,906895.0182,948294.1763,965334.4222,980596.2702,1002802.965,1001341.106,977341.2577
Keumobyeo 2ho,2,31520.38845,38271.63006,49422.88021,69466.84894,82875.81104,93912.70402,122875.6835,132498.4638,159780.2425,173689.5789,209355.9182,229837.8174,248522.1557,266203.9262,290997.3828,324465.9813,338414.7526,345959.3189,368930.1157,380307.9706,399794.5121,414647.8865,422292.85,441084.0846,445294.6526,465145.0602,478281.7858,504022.4059,512997.8589,531882.2936,547541.2438,556627.1412,573709.3145,585811.7234,604716.1934,630540.3339,647334.4173,655663.1092,654997.8332,662849.6254,675323.4299,688458.7585,695755.5813,706790.4267,716404.3037,725295.0266,739485.0569,755330.2312,779995.482,792145.8655,808066.1568,823618.9368,862186.9863,869686.5563,873578.3042,921256.3551,952611.8261,951500.7778,963211.1755,973285.866,961384.3188
Keumobyeo 2ho,3,31588.9513,41092.10122,51136.22994,74655.99558,83842.15823,99760.53238,119147.9455,135858.4217,158125.0717,168893.5099,196037.8363,221339.9021,237994.5869,250805.1965,277695.5685,300199.1177,315394.097,333836.803,350157.4695,358942.6572,369395.0156,387766.7518,396826.811,430989.0431,439243.2105,459777.6768,477455.0614,485992.6875,501624.1602,515045.4316,526196.9647,545415.4685,562036.1002,578583.755,601800.9495,615705.9689,640294.1503,665800.1962,668594.2732,676935.077,685842.1416,699972.6898,703691.5146,724426.8192,739566.4509,757232.362,776731.0743,791333.9456,796419.0245,820587.2573,846712.0833,878948.969,905558.8643,936878.5644,940204.4425,983491.6771,989491.0932,981673.2812,988879.4471,964164.7361,963520.3874
Keumobyeo 2ho,4,23509.17092,32956.24186,43062.34578,67742.62595,75139.60869,89117.71047,105631.5021,128176.8032,150158.3043,162874.2741,195729.8051,213280.3322,230104.5878,249951.4199,278479.0614,310141.259,330635.2049,345615.2637,355468.1162,364658.1896,387213.7623,409852.7939,414436.4056,438759.5812,450950.6669,473193.832,486378.1111,506604.6383,514530.2498,532755.2934,545234.2878,559971.2064,588431.5746,608401.5444,616572.4547,631452.1221,649745.4543,673840.1168,682899.4997,688796.3458,701419.0037,710523.4876,719407.8993,741009.5507,759513.0617,775931.2467,803683.3888,814584.1973,833331.6734,846708.34,861504.636,892886.5536,906226.8308,902456.5956,922165.2518,950165.9946,961727.9883,973424.523,975116.9166,933965.54,963410.0059
Undoobyeo,1,29387.22223,32590.12597,52085.48555,66144.34133,85017.8062,107183.303,119977.7315,149512.493,173596.5546,192605.1513,223384.7027,242293.8965,266411.0392,299468.6106,330929.442,375612.3412,415350.9442,429207.0494,446447.4029,441621.5957,454595.0136,460666.8845,472879.0354,493383.207,506849.4309,521275.2478,538136.6368,552293.1502,559894.2456,581284.3825,598332.233,616991.6599,625961.0151,634576.5402,645320.1539,653455.0072,662952.7736,669251.1709,679347.0768,670894.8037,695050.9293,734993.8603,756085.5701,773156.1481,783935.2888,799866.3385,827542.8861,830164.9789,849381.1577,859490.4623,871145.7444,871570.8865,868141.0208,849426.4342,811083.7686,798741.565,775128.9147,753445.3288,734497.3533,716533.3938,721463.9093
Undoobyeo,2,28342.4508,37812.33975,58271.71151,71763.21229,83273.13588,92528.10921,115959.7691,140830.4817,167320.744,189577.3788,222326.0894,249706.8831,275261.0925,303904.5469,326150.1757,369239.4954,399369.1326,414455.5343,437116.3648,431414.4063,430288.5939,437427.898,440318.7408,453361.3613,463511.2835,469675.9335,475423.0244,502270.9297,527035.5754,554628.1463,570235.0393,575961.6949,585717.8582,576792.5946,594582.1231,604917.2773,605162.0598,619895.2238,628122.7816,638307.5474,651355.5479,671044.7251,686458.1363,701647.1141,704794.6372,719556.3043,744306.366,750941.0027,770072.3519,768202.8908,777966.4504,780206.1766,790120.2334,785495.2714,771434.374,761256.67,757470.7825,746644.1102,749820.8948,749942.2629,726466.7191
