Cultivar,Sample_Number,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61
Samcheonbyeo,1,-23.24329756,-29.25599882,-50.00356858,-127.413121,-107.8277227,-204.2909078,-216.4095921,-78.24318467,-177.9676403,-206.0951417,-242.7218767,-345.0580322,-340.3428962,-384.7143656,-354.1504154,-474.7427994,-378.5156484,-329.8251711,-291.9678663,-135.1414278,-394.7187689,-297.804099,-279.180771,-432.6779725,-371.8304035,-413.6214884,-466.738972,-428.0826442,-456.9768131,-493.492285,-527.1990572,-487.1633485,-544.6144457,-456.1163547,-452.4323931,-482.0666663,-465.5461522,-496.362601,-513.3997237,-506.3200046,-496.7641856,-459.8458504,-548.3211643,-490.9269365,-448.8349728,-480.4518284,-477.2818074,-608.3335106,-525.6560435,-621.2661871,-561.0478111,-575.055226,-601.3246033,-630.8357512,-638.12238,-637.4220673,-550.6297451,-535.2708456,-537.4321242,-518.4067659,-624.6778297
Samcheonbyeo,2,-34.90188932,-12.38700701,-43.66873412,-38.47099933,-85.95908958,-139.2549652,-187.9941347,-130.9721488,-193.0845621,-461.4916503,-320.4881852,-485.8726411,-454.7844319,-466.6857301,-478.2494634,-250.0810674,-373.1035644,-435.9432151,-518.3393553,-281.4695917,-303.4845914,-232.6055671,-455.6778628,-462.3132587,-353.4591462,-406.7477412,-435.4765048,-491.6390805,-461.0203325,-407.283843,-352.546452,-377.2379037,-353.2332003,-413.9672658,-379.5054808,-449.7360434,-434.4288494,-480.1941097,-486.5010369,-534.5357348,-473.7222345,-472.8506701,-406.9501503,-431.1303513,-408.4569558,-503.5859097,-491.117808,-490.6915576,-480.3585263,-538.5872714,-518.3383979,-503.1622093,-530.9486514,-614.7552517,-563.7899397,-574.2806127,-609.1725232,-561.2591852,-549.3252446,-568.7420049,-328.147632
Samcheonbyeo,3,-57.4309919,-78.28846071,-108.4426335,-142.1074003,-234.6980356,-314.2896986,-164.4494914,-278.8754647,-318.6270949,-298.1199037,-439.0722283,-622.0831766,-724.4283139,-653.1355258,-539.1431215,-428.8137469,-364.2664705,-316.5727743,-331.6353925,-356.8813618,-354.5527894,-364.0461796,-299.3993389,-294.4523701,-353.4066076,-560.9977776,-519.4606681,-496.0546279,-553.8346192,-480.1762562,-560.867233,-553.0685075,-513.4445007,-523.1955024,-556.8108101,-625.7637105,-594.797464,-646.7877036,-559.1495717,-637.0731731,-624.1881144,-667.2037642,-672.4780078,-633.2588641,-633.3669878,-571.7927264,-540.1316188,-521.947889,-517.7411615,-564.7743643,-539.3733193,-556.1596155,-545.6303076,-570.7062262,-563.8865389,-536.0787116,-573.3575444,-529.9232068,-324.3114661,-417.7029173,-465.7814417
Samcheonbyeo,4,-67.09383124,-84.85265189,-91.40243235,-148.6104398,-64.65326779,-140.5442301,-242.3408987,-243.9910644,-115.9400625,-415.4686156,-397.5918085,-649.1315711,-593.4554715,-452.3243241,-585.0751188,-481.2234396,-515.808044,-404.2488254,-272.5392469,-168.8625991,-221.0968827,-266.983492,-297.4030291,-354.7714661,-197.5596108,-290.7644973,-369.6619355,-315.2268983,-351.9764096,-287.2257638,-305.0671813,-240.7703089,-327.3949609,-389.1497285,-371.9663097,-339.1670934,-455.2350878,-374.0332797,-399.1621836,-586.0651393,-595.7390464,-577.6356462,-578.1983716,-615.2116111,-603.4283582,-622.3833706,-551.1815758,-593.7579867,-552.9994,-541.2878788,-437.6718074,-527.3717373,-583.1350609,-574.6566276,-493.8816084,-579.6608022,-577.8835082,-648.8559017,-622.8423226,-538.2845079,-356.4463793
Keumobyeo 2ho,1,-73.25760324,-73.06468838,-114.2234667,-120.4055069,-136.2338607,-169.5934788,-80.45618029,-216.1639937,-471.0695154,-391.7131394,-532.630186,-506.5964299,-537.4442672,-385.1144152,-358.1115945,-233.9987112,-268.3729236,-281.5945319,-424.8498916,-480.7828278,-468.4364715,-442.7110346,-478.8547852,-377.0949782,-324.3238656,-348.2198543,-409.7234129,-380.8017066,-339.3427227,-336.2627061,-403.049218,-365.6616248,-340.3898244,-587.0263553,-592.5275021,-600.9870192,-648.2766477,-680.3006647,-655.7929334,-672.6671045,-653.6103234,-669.3545853,-671.1442116,-688.3990634,-674.0514495,-646.2063834,-660.7343769,-653.7818448,-642.5726453,-637.0764684,-550.9631346,-556.8944048,-633.5624785,-602.2481059,-636.676271,-560.9965514,-687.1432422,-674.81233,-691.4973356,-699.1887697,-718.6173108
Keumobyeo 2ho,2,-61.57533044,-48.56943566,-126.6949205,-83.94763693,-130.9468856,-156.0776956,-292.7498095,-375.7994655,-404.7606309,-496.0080268,-343.2406325,-568.2429928,-426.4211712,-256.1204515,-276.3950111,-268.5903999,-273.2740463,-228.4709103,-215.0215723,-263.1731874,-202.1536206,-153.8168504,-233.9541928,-184.9676437,-302.9522427,-268.9393191,-250.4691483,-256.6391074,-228.1861682,-264.5801359,-355.5666398,-437.2416932,-445.1294979,-453.3875262,-431.8400539,-449.6478921,-544.0282235,-620.7904837,-595.4363979,-458.3031357,-548.3636793,-350.8043053,-319.9607168,-443.634957,-427.5602032,-421.567555,-451.9767523,-476.8203306,-552.4788107,-608.1951386,-481.7760654,-626.9049372,-660.0026874,-667.2358511,-623.8748593,-582.4145573,-618.7661203,-579.4306471,-574.134916,-680.198962,-728.3715485
Keumobyeo 2ho,3,-46.48430598,-85.29489063,-66.87901564,-176.1346562,-159.700636,-175.9128966,-124.1900731,-265.6525435,-239.9171515,-375.0032312,-527.0180109,-371.185577,-360.7103704,-318.5280376,-264.9095322,-380.4168375,-441.229363,-537.1278442,-269.6725916,-257.6306474,-447.1650213,-414.9673753,-425.8691763,-411.762884,-425.1843017,-504.7961248,-492.9556196,-481.11459,-449.2267709,-459.0691547,-417.8511929,-374.6940882,-316.1017561,-340.5035446,-411.3583258,-479.0053969,-476.7546428,-489.3762916,-539.9275883,-486.5492731,-443.9156671,-435.9376015,-499.3776,-504.924132,-479.7023232,-537.2153258,-557.1895729,-585.2202027,-650.1856442,-631.2259144,-639.8720171,-654.0734987,-561.0263532,-590.6947269,-654.9927956,-656.8528305,-674.1972194,-651.51458,-610.7714613,-692.5201091,-575.4530383
Keumobyeo 2ho,4,-7.049351505,-33.45684847,-94.65958107,-110.0010625,-137.1207961,-204.0051845,-166.0634304,-279.8124512,-302.8822781,-447.1283576,-555.2827704,-426.1259901,-285.4874819,-292.1322085,-438.6476603,-365.3647794,-390.8205566,-312.0129233,-183.3114175,-223.9730587,-167.5656876,-258.3101631,-261.2005687,-462.760488,-430.2311667,-385.544168,-314.0861487,-277.7034472,-327.0941055,-294.7323071,-294.1896047,-366.2894161,-245.0023092,-521.5345689,-422.2526719,-429.2903158,-472.1578432,-485.088691,-447.9849897,-431.4602637,-448.8583757,-406.7252551,-627.1726103,-640.4159363,-639.4316331,-654.859255,-661.3822301,-672.4367092,-642.1613005,-690.2360971,-700.7340306,-680.2781841,-707.9269413,-707.0318095,-701.9918649,-678.6790569,-709.3564732,-704.1706642,-756.7764719,-308.021845,-740.8613339
Undoobyeo,1,-43.63202107,-57.69242086,-102.4614268,-92.88420564,-93.58773063,-167.2504671,-406.9046551,-43.69323601,-399.7087441,-461.3489104,-588.6609597,-875.8642077,-878.9016865,-863.1669213,-785.1780716,-864.6089653,-777.931415,-699.8350593,-614.1842043,-666.3710615,-631.0425622,-637.0180877,-625.3018669,-592.8748397,-462.8677717,-478.5263366,-581.8304642,-513.9763191,-498.6907741,-579.0490536,-671.0645987,-685.2362898,-700.7155181,-777.3159552,-806.2835579,-709.068649,-761.17267,-771.0719417,-828.4247291,-852.53133,-846.0273928,-835.8220603,-831.1504223,-815.9632978,-809.001294,-739.1743423,-780.1929838,-753.1184909,-635.5144019,-621.9481985,-714.00139,-804.5248054,-789.3124651,-797.970027,-798.7121186,-794.166571,-801.189501,-810.971354,-781.1484662,-731.3278553,-700.0538519
Undoobyeo,2,-47.32340939,-76.33663727,-89.83828212,-119.1732535,-178.5852023,-200.0399665,-196.953875,-430.7524783,-303.9046011,-700.8913479,-707.4221514,-796.127784,-859.7733968,-848.6835062,-797.9399581,-805.6149511,-727.4010335,-686.902196,-681.023272,-648.4886981,-556.1524109,-615.3681105,-564.7988037,-605.7899823,-631.92694,-637.1708179,-546.9599703,-611.53232,-625.7057109,-641.8624656,-693.3656257,-754.3215171,-789.0592503,-821.22128,-775.2001401,-789.227565,-780.5782883,-753.235514,-749.3546711,-738.3295607,-773.014542,-681.5919082,-706.7071831,-720.0751961,-554.0093297,-598.2440444,-630.5896541,-613.1535874,-608.3044269,-562.96535,-592.0465821,-568.7760293,-558.8425859,-566.4832349,-487.0225265,-427.1118374,-450.7715877,-568.0865489,-556.8215926,-354.3914449,-424.4738904
Undoobyeo,3,-39.14905283,-33.92384532,-116.2247155,-57.9957489,-175.7278795,-129.6790117,-209.9458864,-257.5388279,-463.721845,-636.7780177,-693.504105,-879.6495576,-859.4343316,-819.5093632,-772.2683856,-786.7164524,-781.039078,-837.2220927,-774.0696304,-644.3672488,-543.9505542,-600.1291838,-534.9444298,-468.5908315,-456.828273,-556.3939818,-579.3457078,-577.1792946,-482.0833477,-483.0817765,-605.1994419,-652.6071392,-568.4723738,-710.847837,-805.8285806,-711.2402207,-689.0448177,-689.1339486,-566.7881855,-567.4027936,-683.7032714,-625.6265789,-567.4404028,-458.1570683,-584.0933064,-572.5924442,-584.52006,-558.8892581,-557.7284325,-505.3090278,-572.4012405,-571.8610498,-670.49439,-580.7252544,-643.9936574,-714.2910385,-725.2688717,-717.0552503,-669.4032171,-477.4553367,-421.103628
Undoobyeo,4,-19.23618205,-24.19326024,-82.0281154,-139.4635371,-146.3113652,-157.3130433,-203.6456494,-30.43919157,-261.5349465,-337.1004512,-303.0419782,-467.2947617,-812.2262111,-839.4568203,-857.0845377,-650.0564038,-635.2780881,-603.6170671,-587.3013798,-596.3512819,-443.517108,-558.0917204,-585.1585198,-545.0852515,-499.0418117,-548.6895783,-508.2462011,-578.813471,-607.6201542,-569.247692,-375.2220021,-638.2683289,-731.242097,-731.3899316,-749.853149,-732.7050159,-757.8898045,-692.7959462,-663.9626441,-665.2471337,-725.7606188,-709.7000736,-680.9386742,-644.3223043,-680.3073696,-656.1793609,-682.7277933,-669.300415,-646.8556981,-674.6698888,-738.4918943,-680.9566604,-724.2750524,-740.1106048,-695.7271226,-732.2573981,-683.1949201,-698.0271036,-257.3770539,-570.5271015,-332.3886717
Jungsan,1,-41.29333537,-87.7258646,-112.1773579,-202.7895618,-369.4704712,-204.4740641,-245.3166124,-599.9324322,-656.6126745,-713.9667109,-769.0655754,-798.9364816,-842.5435228,-734.227922,-605.675247,-484.172918,-654.9797481,-601.6329395,-552.9822392,-524.2677414,-497.3621509,-469.476551,-406.8345435,-326.6618416,-552.8541189,-617.9618794,-483.5138775,-579.4111314,-620.1786758,-528.5100617,-603.896567,-596.1499706,-509.203741,-437.8756628,-432.4406736,-485.5345474,-488.2412408,-463.4901837,-644.5931281,-668.9198009,-666.5452788,-697.8170466,-700.2193717,-669.2278316,-711.1278924,-611.0647455,-553.8735135,-615.5873241,-535.5353689,-657.4774645,-589.7116276,-643.9285243,-608.1527145,-593.1524545,-589.384075,-709.8751249,-760.6632543,-684.515259,-737.2475084,-573.9343028,-746.4981059
