Cultivar,Sample_Number,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61
Samcheonbyeo,1,-14.53411946,-23.65653224,-51.36703748,-74.22275426,-52.23061131,-125.2866868,-244.8594644,-217.1684134,-204.5055578,-167.4308011,-191.4565511,-244.1796715,-497.7612783,-457.8117181,-494.1082236,-462.1586116,-499.8296988,-443.8092472,-519.1423045,-523.9485543,-340.627851,-442.3342118,-431.7417473,-631.2921877,-527.4024026,-682.0487427,-656.8597358,-635.0195144,-715.2160864,-677.9323727,-732.9773433,-730.1085022,-723.1843662,-716.2180291,-678.2236496,-709.8046849,-722.4406343,-735.4463575,-791.8582014,-843.0038033,-740.694346,-755.2185108,-726.3284241,-716.3195643,-752.4459242,-772.1934422,-777.8451722,-797.5281722,-800.4574643,-798.5715427,-773.5478143,-815.915733,-818.5243294,-795.2769676,-786.5676813,-743.6507395,-790.6544224,-773.5886324,-806.4982246,-786.4289351,-696.0139628
Samcheonbyeo,2,-19.58390121,-47.40125692,-39.5237693,-69.36418514,-131.566352,-140.5849161,-207.4784089,-240.4181848,-267.324021,-196.0548889,-411.4922994,-378.0231387,-382.2608844,-360.0572152,-315.1926333,-293.488605,-281.7141315,-479.8397516,-405.64536,-347.3100722,-349.3582299,-335.9738034,-294.8490225,-330.259456,-294.8706217,-286.7106929,-277.4666709,-245.2537491,-266.5875879,-275.8270038,-311.0244046,-372.4930628,-334.4469024,-477.8387073,-512.2224842,-428.9339235,-442.3036368,-442.6652478,-396.1049182,-458.0224177,-578.9738175,-542.4062348,-460.6366353,-504.2796431,-614.2066549,-494.710473,-432.1281821,-525.0185005,-545.0593244,-600.7702639,-610.1510157,-599.695366,-642.6096676,-651.7868129,-625.3875756,-493.7452106,-658.3143919,-564.5223661,-643.8259544,-602.034832,-584.3275657
Samcheonbyeo,3,-23.01721962,-26.92140598,-31.3153218,-44.01929378,-39.56527317,-175.2145633,-248.7308903,-312.5261733,-255.7244673,-310.0836565,-359.6013219,-387.3811882,-351.0310364,-304.5130601,-476.8317961,-660.0575215,-588.3583204,-494.6167265,-379.7118904,-647.3832524,-593.0209572,-437.8530182,-380.2110865,-488.6436722,-525.5476501,-480.507829,-590.5465371,-606.2884584,-659.5792335,-635.2608952,-679.0794922,-687.8453059,-665.9944012,-660.7432307,-652.0769644,-679.4621364,-700.1730336,-713.1676747,-765.8064052,-769.0737648,-740.9416101,-718.2254459,-636.3948998,-718.6635409,-626.2071493,-650.3706966,-674.4840601,-657.6745162,-703.6937323,-678.3291369,-668.324811,-584.9895187,-705.2233545,-704.5705629,-729.5661725,-720.587123,-649.415129,-766.2024783,-727.8734275,-741.1960174,-751.6822813
Samcheonbyeo,4,-39.44252233,-24.86922139,-89.5925894,-57.59517766,-87.74241397,-141.381985,-252.1927028,-211.4185803,-210.3767268,-159.1937998,-70.07101842,-4.931293237,-478.4301204,-471.8277844,-585.4175625,-387.5010832,-349.5040386,-529.6363168,-374.3456751,-430.4443787,-433.6007317,-411.9501503,-470.0322227,-427.0294109,-450.6487774,-448.1835322,-456.7139779,-520.7536127,-547.5110126,-462.3570979,-582.508564,-469.6051318,-405.2493383,-483.1344718,-463.0690873,-486.6514392,-614.8027289,-684.5315876,-592.1419505,-687.492452,-661.3103705,-686.0278533,-625.9464999,-737.1536942,-742.1630023,-744.998179,-730.2384321,-713.6476849,-691.5379789,-722.8240005,-727.0189732,-713.388373,-663.0305606,-567.1151089,-621.4381215,-739.2142554,-730.8519907,-713.1773171,-690.2826036,-642.707323,-721.839217
Keumobyeo 2ho,1,-8.430939903,-32.13498809,-44.97187258,-25.73638749,-88.24178582,-85.04145582,-215.3094863,-233.4905085,-136.9382261,-64.16318642,-269.6209542,-280.570284,-280.9830226,-290.6428996,-365.193819,-410.9607943,-363.308245,-296.2870812,-323.5917297,-325.0837753,-276.6335499,-142.6294935,-135.3258621,-398.8699428,-312.4689383,-346.760219,-307.6296267,-299.2870103,-301.2775364,-300.1661181,-308.6460526,-241.8588965,-331.0445529,-503.2890464,-522.7278131,-525.6812144,-570.684698,-463.0782981,-488.5419181,-515.9004435,-535.2004314,-603.350716,-623.3483209,-549.2367315,-568.2271481,-502.5703079,-556.0711478,-595.4640546,-625.9158053,-586.6056854,-478.4853922,-550.091026,-538.2316624,-668.520699,-662.2251072,-609.97239,-687.5166604,-725.5276033,-765.5848484,-751.462244,-796.6570445
Keumobyeo 2ho,2,-17.29907157,-24.54105579,-37.94829279,-48.83357116,-63.16360532,-157.2878318,-172.3497899,-260.4067343,-137.4895874,-185.5642537,-213.6832635,-289.7033517,-335.9827266,-457.1052496,-494.1907144,-485.8665062,-485.4513866,-360.5403634,-378.3866772,-318.9921402,-269.184915,-206.506022,-219.923569,-216.8414634,-115.7370105,-232.2470006,-208.8088822,-403.2575598,-417.2101574,-460.303375,-398.7563,-435.1586013,-397.905409,-423.9139573,-433.7785828,-430.4563612,-397.3830686,-465.5847524,-398.3614381,-342.3113927,-416.398569,-354.7096364,-410.8899731,-471.373231,-440.4942139,-340.3433098,-381.1825286,-407.4605985,-419.8698905,-462.3519577,-608.5897144,-523.0768045,-678.0586082,-694.2917762,-712.7173489,-676.446604,-715.858981,-691.2477515,-696.041448,-724.8998536,-730.3981349
Keumobyeo 2ho,3,-17.22752266,-18.02228067,-60.04753201,-76.2794298,-87.68415639,-99.62678368,-115.8453473,-195.0194046,-299.7872944,-194.1965649,-315.1649116,-289.5648969,-344.5723162,-259.4831605,-177.2576092,-168.3548914,-346.92008,-378.0363631,-361.3529548,-387.5966894,-291.0483827,-323.2749571,-306.8012806,-393.8729917,-237.8349494,-265.5726681,-307.3607479,-288.6093386,-271.4779461,-263.097845,-282.5778911,-338.1101214,-275.9770691,-435.8256787,-388.1147651,-564.9129179,-617.1469915,-601.319945,-587.8030369,-555.5902142,-541.0174718,-569.9925318,-546.0997949,-505.6053034,-477.2678942,-428.7322449,-478.345481,-502.4749833,-733.5205289,-659.9327223,-693.7554288,-676.7617046,-745.8416825,-668.393316,-724.4111239,-693.7782862,-705.5720973,-732.839819,-719.1883483,-681.9351074,-718.3338064
Keumobyeo 2ho,4,-12.94481838,-15.40681711,-37.60698532,-84.6742553,-113.6051811,-167.6093638,-174.1670728,-123.2853336,-319.040652,-353.8608773,-382.1275761,-202.4490156,-336.0845433,-229.9667818,-212.0116693,-270.0893835,-125.8107418,-97.71470269,-145.7582792,-149.0703203,-108.6453943,-44.26317488,-80.09184213,-83.90585923,-502.3247973,-385.8776224,-333.0151628,-300.1500408,-360.8460867,-349.2127263,-247.3993053,-257.5829204,-185.4017995,-407.241737,-345.1148257,-566.1668454,-599.9808696,-601.4038994,-575.0544086,-611.3132152,-611.6952254,-603.7527754,-617.9302816,-651.7727175,-687.6376352,-652.1918442,-672.9172487,-641.2859134,-563.3092536,-725.9778939,-709.682536,-742.2919487,-628.5925975,-714.4379405,-696.9266753,-676.0161582,-643.7721416,-641.3875603,-721.3991514,-667.6692429,-716.7088161
Undoobyeo,1,-17.30779166,-22.24844815,-91.692829,-84.33098826,-109.8828946,-115.2847848,-229.1422084,-266.3514079,-395.9469983,-434.8254758,-548.3768499,-670.0175583,-706.2621108,-650.7151728,-639.3296008,-719.7435585,-737.5513234,-740.1920369,-719.8436107,-665.8041595,-796.8312405,-791.1887813,-789.0882595,-703.4697849,-683.6346112,-810.4889047,-743.4474458,-711.679308,-672.7937852,-731.3190215,-904.4554119,-914.9919062,-918.9450753,-876.917863,-880.1724931,-967.9418669,-908.5293336,-875.9917162,-924.1062262,-763.7446326,-805.9582809,-891.0564254,-820.2061117,-830.7444399,-790.1117641,-807.5704679,-804.9724025,-819.8157504,-835.6707159,-845.8693951,-936.1111183,-915.2929445,-883.0434355,-902.7930829,-907.3899839,-966.7805321,-894.5185513,-864.0819317,-917.0147521,-860.3397644,-856.6647383
Undoobyeo,2,-17.17092007,-25.5383303,-70.23783776,-171.5643363,-138.923508,-144.928165,-281.528387,-452.7962073,-427.5777752,-523.7717398,-515.648281,-646.4708564,-620.4471276,-663.3600813,-757.2297157,-766.2691583,-714.2011145,-716.5506637,-624.1287141,-635.8340826,-666.6370757,-698.2282913,-723.1403022,-704.6542236,-717.3640881,-616.5072839,-804.9018016,-741.8307418,-674.1220946,-707.0636975,-713.2985775,-716.0008623,-892.1321256,-934.2843603,-966.3841732,-909.3539887,-938.2466065,-995.9910173,-988.7950239,-945.5023426,-944.6811738,-892.4457899,-920.294755,-937.4902064,-917.0369842,-889.5433462,-921.383381,-870.3175991,-917.8496436,-917.6912841,-869.5391054,-877.4336132,-876.4244275,-898.806258,-896.0314237,-864.9971939,-909.7694384,-898.088397,-918.3310678,-939.9519683,-857.9682734
