Cultivar,Sample_Number,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61
Samcheonbyeo,1,114.494607379376,114.299408393418,112.881278923012,114.019449526688,113.458639053254,114.206657793022,114.412540638491,114.566797869877,114.969028134781,115.17730671754,115.026632617775,115.120472025868,114.74443139819,115.648575726223,115.106906800661,114.780204214376,114.625384949978,114.856333189032,114.717548331885,115.342871992525,116.580847811238,116.622174846212,116.725569898613,116.139883515568,116.153329603223,116.175234682198,116.171061449394,116.542636103205,116.18342902189,115.685305385214,115.920725866018,115.837587807402,115.978143356832,115.855469682709,116.3983202016,116.368996896093,116.524609363223,116.253024069872,116.038780997723,116.140074066203,116.703522281051,116.491753964365,116.312801271202,117.24246465959,116.516961430776,117.023858479075,117.344521655697,118.28410356033,118.2624655957,118.373445122099,118.728593790383,118.865063650369,120.023219269147,120.316436724922,120.922792030817,120.850427967321,121.685034603017,122.574843848775,123.362724993238,123.308419976624,123.899786491579
Samcheonbyeo,2,114.638176075799,114.554262267627,113.899480926094,113.852623578961,113.350689263128,113.971249517002,114.395915343349,114.921188335691,114.99182385302,114.6356982357,114.389579002475,115.020084886415,114.46693928006,115.212111003763,114.622193580081,114.661878454419,113.718726838926,114.007878193964,113.606526082039,115.001276910484,115.116167308826,114.943100753868,115.759594445652,115.884713646411,115.824612912111,115.582426839708,116.136196615749,116.050938793736,116.116576257906,116.232303823465,116.228100574887,115.981816428672,116.156551292532,116.732145774623,116.862780568021,116.960771946531,117.369298646615,117.708248055306,117.695968956883,118.021031524792,117.79594156366,117.747004255122,118.278650656732,118.393017030868,118.10136662405,118.481565234406,118.2822377076,118.891476829541,118.516575915906,118.618936782296,118.889452911066,118.977449579165,119.635247331638,119.863666044371,120.194674158335,120.424138508858,121.249061770305,121.499162812064,122.464392693099,122.747438546578,123.274394845787
Samcheonbyeo,3,115.986498649865,115.375717601075,114.440222323049,113.899412075073,114.326300391729,115.147726879263,114.5472056628,115.262609367863,116.018818578085,116.259069054568,115.484838331884,115.63310159499,115.58783614076,115.796061587073,114.938715300859,115.250186987346,114.043120638725,113.767288035159,114.139637352026,114.737880101149,115.43456788509,115.181723829481,115.37176585686,115.432818845623,115.178585824946,115.941381758834,115.667269567143,115.648505448365,115.805529400217,116.269328777463,116.086349471784,115.704376925797,115.611845798304,116.434294624102,115.958013568598,116.461269911233,116.081775610884,116.742591418373,116.461980471012,116.966414534722,117.08853675176,116.366365481142,116.836940317142,117.074275653654,116.744057610455,117.484623704851,116.980876048653,118.575568632419,118.260379726426,118.714677958858,119.405341919284,120.147050226892,120.297740591621,119.910413730241,120.178139520627,120.193541483934,121.046094440637,121.235654512278,122.106886494176,122.162034850982,123.370469450337
Samcheonbyeo,4,114.221747185407,114.858336089977,115.540796675451,114.372590072407,114.258226471811,115.179463917526,115.391420891285,114.995738199024,116.293105504983,116.067165422348,115.752677824367,115.558300579063,115.728064429716,115.677499382888,114.824273471297,114.683547472051,114.217593424689,114.192153880212,115.031180418638,115.214942219949,115.377402015465,115.673801801055,116.142558671494,115.685204192967,115.815440957074,115.719250186196,116.523811977114,116.10588530611,116.021818433537,116.181717239619,116.067554505236,116.007234808887,116.161573969,116.858015014158,116.913379446773,116.660241006005,116.916023084282,117.071308286296,117.061433158111,117.396892785458,117.083500074635,117.085533587554,117.810332665338,117.973607204555,117.644190698163,118.309017846793,118.146399846393,118.798672581707,118.583419038938,118.760034352912,119.508522561565,119.329854485475,120.139877137772,119.686644969929,120.809024676676,121.286481939699,122.160936625383,121.898738575813,122.579577669874,122.490342998837,124.122988548597
Keumobyeo 2ho,1,113.664259927798,114.414694280079,113.56909804789,114.231815039558,113.743949672017,114.199262050557,114.763463734689,114.679246496905,114.880651705461,115.167000255132,114.712666487679,115.031220829516,114.7617010718,115.44053460845,115.198636244642,114.496088988646,114.498732769516,114.004552172566,114.219548705662,114.798235754034,115.125305645507,115.087718631053,115.141512232478,115.178783880622,114.765046923058,114.628519150449,114.923530412806,114.664792259005,114.725220875579,114.528737687244,114.780916074127,114.732253906665,114.750309134529,115.534757294857,115.745983182282,115.239215798494,115.27405093464,115.028792016453,114.891758333591,115.548163481294,115.452892930034,115.420304318198,115.149528839568,115.465111612112,115.190397430113,115.70037528839,115.440351814283,116.195219400141,116.560151627693,116.674576502488,116.223302852612,115.649995375464,116.88031761457,116.791856785016,117.312342424419,117.726925746457,118.161675346198,118.628833944979,119.02190790203,119.906954213548,120.362146787501
Keumobyeo 2ho,2,114.113496932515,114.453763137476,114.772490491153,113.471890431773,114.187563986751,114.178135591495,114.140846933302,114.938396087364,115.25892642574,115.676755411021,114.809502030322,115.35221742015,115.165824785577,115.13906234159,115.289804806127,115.500958565172,114.185876511024,114.965316824363,114.381558859433,115.517095406149,115.32592406121,115.177904170451,116.216879881733,115.542176165141,115.768744849665,115.657015293199,115.66441452094,115.563391131908,115.556442814107,115.523688704158,115.200870224504,115.231476131226,114.81027004723,115.374935508815,115.136560996285,115.108408310615,114.943288381257,115.467988342773,115.015425422126,115.594641544273,115.214604327007,115.188816794452,115.64044520531,115.43066497717,115.771572849327,115.634453566831,115.696170305871,116.169967150009,116.16422997567,115.093664234523,116.188946142548,115.864679874857,116.405854400845,116.623765934858,116.828882754876,116.234434495691,116.659524538997,117.797993043046,117.350926723824,117.466477381426,118.809935450473
Keumobyeo 2ho,3,114.915902140673,114.383144269924,114.348128342246,113.906813839949,114.274589245706,114.549023051078,115.051952448116,114.990574424558,115.781909653962,115.956930608602,115.883566265566,115.827779020785,115.512848567144,115.54065589287,115.836913037464,115.707628362275,114.875868733506,114.746639691553,114.475336628671,115.571339943018,115.044051279269,115.286895397285,115.604374599318,115.148751453237,114.947873268938,114.895387747426,114.590856695926,114.845386071633,114.306829794301,114.590697402816,114.672932471292,114.410838982162,114.482115694146,115.149380888916,114.750797193048,114.832086447849,114.655153620338,114.317149849219,114.197988982278,114.563059615948,115.00548195494,114.422373003815,114.48496570662,114.851127773995,114.703359382839,115.420836659809,114.947861595139,115.823735285378,115.569833629759,116.234754377588,116.650334361141,116.802128885138,117.017502346066,117.162622478187,117.856281746389,118.282733712133,118.287187605971,119.005871703803,119.457318477722,119.651076548168,120.281545885382
Keumobyeo 2ho,4,116.152780125063,115.385517838254,115.579719387755,113.894913763312,114.755306375791,115.156630043801,115.445263931728,114.976398864206,116.037563482944,115.564190320046,116.255365380071,116.349841141447,115.920224001241,115.812090212409,115.473030620256,114.727552100578,114.535257556614,114.37388848568,115.005719306029,115.572362430361,115.45321715629,115.276067037008,115.755765194111,115.489178248363,115.302651179019,115.144719895036,115.805136450982,115.154498534268,115.064810763238,115.147314149646,115.060492351576,114.834439820802,114.797317975555,115.04231645546,115.217787408022,115.171043916505,114.856717671525,114.885418342858,114.840068906073,115.037647831347,115.030499862785,114.555695956633,115.632248967794,115.551259722604,115.681247412722,115.570263610018,115.776743456303,116.38522046494,117.010121715857,116.733660691891,116.806929856819,116.105601378487,117.739284948723,117.549584305361,117.890365561281,118.265060329087,118.441145632287,118.551270519682,118.898132069966,119.290227543539,120.980344749613
Undoobyeo,1,114.612702600829,114.806001091107,112.564822901504,113.693027969193,113.569522936714,113.971054008211,114.279148102815,114.360242366852,114.475775811101,114.84127984107,114.339278158254,113.717396362698,113.645543056234,114.090740230564,113.511870710732,112.719255612745,112.229360185986,111.947545458318,112.305240066818,112.94916858757,113.687559581157,114.463667124063,114.500829675451,114.132203979138,114.57151317966,114.203373993344,114.159570874841,114.43576780145,114.613634652992,114.343374629909,113.89824115249,114.588047993643,114.765079451297,115.523620275208,116.288275290709,115.436460242358,115.758010559077,115.61062085092,115.580317346765,116.215634553071,116.365548836733,116.227337116253,116.310158593559,117.080464841048,116.94199441522,117.802601498502,117.180410376069,117.961527120365,117.624892168071,118.325671701574,118.237700628729,118.558050904157,119.445143342329,120.400630062458,120.879067180358,120.845331598008,121.28488879689,122.686044417085,122.807589325138,123.332083550657,122.974949568513
Undoobyeo,2,114.095590327169,114.391002570694,114.787648003808,112.873902938218,114.185568367293,113.220112816965,114.213676945996,113.821714868595,114.654428440351,114.391407643399,113.901063786757,114.763037790074,113.744443603188,113.951965024029,113.174640595636,112.954540693162,112.360724177234,112.790555730518,112.135192646359,113.824367832976,114.127667998108,114.187937841053,114.871176134108,114.632546548453,114.560534325197,114.176421747017,114.556383362552,114.614852042284,114.650518742051,114.644485306381,114.548519105729,114.553872586318,114.603870697428,114.942836920106,114.776908336934,115.410416355879,115.276330916249,115.679389506169,115.765283820006,116.18661612979,115.744440530667,115.90328873218,117.092235148553,117.40931139883,117.152484769674,118.146274399469,117.727204173107,118.8267026696,118.779711716974,118.925533189899,119.231885876106,119.330614626709,120.225440130502,120.221083670516,120.854582956068,121.089811481201,121.982370016221,122.121353317968,121.502014360294,122.026917550354,123.541821218735
