Cultivar,Sample_Number,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61
Samcheonbyeo,1,113.677293745437,114.518117198336,112.7793904209,114.188522412419,113.935268858553,114.35194210604,114.311935145198,114.804613720665,114.995498168239,115.359029735003,114.619135431023,114.954202671284,114.644340957583,115.519810027505,115.141164999006,114.428516906109,114.841962669116,114.774272279917,114.917937467061,115.685310723173,116.125163977827,116.654455474723,116.237193903246,116.281352198272,116.220651777911,116.211933438349,116.613840304858,116.472288060399,116.852892515418,116.651244175352,116.660285776086,116.12260819984,116.374646165626,116.362361814746,117.241815568927,116.871467313784,117.096052731054,116.558923240324,116.166232211131,116.45358588411,116.538671968978,116.403995432602,116.743642688449,117.672082858299,116.998190931081,117.498190206724,117.817788431674,118.237159212039,118.615239667327,118.708023127485,119.616147979635,119.109484048911,120.60579797056,120.282036920907,121.452681642719,121.006854360036,121.694773690248,122.635055197554,122.885159624949,123.109419479808,123.437015705638
Samcheonbyeo,2,113.758590959478,114.584602094806,114.318377911993,113.347620477406,113.959367349878,113.896815109067,114.30433133511,114.438584241599,114.822398419516,114.735698843006,114.664440771472,115.084079500175,114.720939590653,114.976168246953,114.791666010804,114.521970908245,113.703873318966,113.715239767717,114.08101895054,115.033830638025,115.245906812185,115.220062932858,116.017579807603,116.150527754618,115.969016573323,115.663240134573,116.383057393545,116.620289313618,116.79958395316,116.681728622649,116.452337291006,116.663709532076,116.308610164332,116.870258509294,116.937482666931,117.393739162356,117.367451877886,117.588070067503,117.088317412706,118.266732234285,118.150499611903,117.709784425204,118.553673880046,118.290682501097,118.294231979815,119.259117034338,118.554214237042,119.357078654596,119.006366973039,119.106568577603,119.189930293568,119.526505766423,120.231507608055,120.038131512499,121.177262130783,121.059858529387,122.696328045336,122.311391271174,122.710125109467,122.468120496357,123.306250465341
Samcheonbyeo,3,114.326591230552,114.551285673919,114.573554728717,113.9334697733,113.628944434917,114.653513300134,114.539912442208,115.077499405679,115.425185242444,115.973679563437,115.335163050324,115.202078184896,115.374936282799,115.727766012105,115.439089885909,115.193748459208,114.003165968353,114.096367500369,114.270814473786,114.973447083499,115.331522352866,115.35537707281,116.090139976308,115.873190549287,115.894643359914,115.642204055773,115.854123886188,115.407051140157,115.900520275747,116.283625908068,116.362912009742,115.789013573477,115.850105746459,116.221077553937,116.192606463194,116.645166654082,116.123016915768,116.708816028727,116.370294791438,116.777067017999,117.464137120873,116.660415721738,116.37741449335,117.020023634349,117.351838837575,117.410136782089,117.248488507737,118.037141365147,118.027385145098,118.224898137122,119.031654360255,119.488155283983,120.162089065531,119.758013738927,120.091417064009,120.836381750985,120.865733900003,121.675754904574,123.13004523884,122.546868888397,123.774942462252
Samcheonbyeo,4,115.365370062055,114.476954069299,114.804741802055,113.977773028425,114.41155084863,115.287545865386,115.568798492476,114.928348717142,116.05605927521,115.926267492706,116.281524670255,115.788278501015,115.214284382458,115.416442802077,115.333006820081,114.403484956133,114.224424307962,114.607981899155,114.697157358395,115.132151789232,115.533640370476,115.699186698593,116.261261415054,116.30165548304,116.289099585366,115.817154165956,116.558542540612,115.897065520028,116.231812287162,116.524589016285,116.412340273194,116.034748773317,115.811699954008,116.887961509756,117.284769383783,117.014668402359,116.680370061056,116.979826182344,116.878284113086,117.3808561205,117.302783181206,117.30882880495,117.66873826884,117.466095412409,117.701877350831,117.565572101132,118.167906917045,117.940111949528,118.257686336519,118.729212153626,118.712817962542,119.374715033106,120.223542585761,119.189558588321,120.44755748782,120.909835938904,121.39672172223,121.792655173211,122.026045200969,122.805966308743,124.120884304121
Keumobyeo 2ho,1,113.536768854617,114.34687442033,113.837988151372,113.740063066921,113.650705815923,114.348368654813,114.505929636302,114.76382844577,115.469065417662,115.533481359224,114.842577002401,115.275287982795,114.876479612783,115.556332361795,115.396818807663,114.738841273076,114.555267981927,114.213849388097,114.791483448171,114.673059172197,115.135649075017,115.253814602409,115.139464183773,114.81748771186,115.106400413978,114.676434444477,114.897342896762,114.800062817742,114.977242599542,114.678063180642,114.931759623231,114.763712174792,114.712438392729,115.042243163517,115.748169294809,115.389795733676,115.342744086676,115.456449000951,115.802718277498,115.178635587631,115.562430038742,115.47016097994,114.885803586521,115.52428908896,115.659485503525,115.858209478559,115.922638196951,116.463786069375,116.004704489904,116.210869370055,116.354281289355,116.294845563899,117.270577867569,117.262134473627,118.222336016916,117.864081877851,118.564284605155,119.415451739181,119.533218470283,119.875098888133,120.267785744835
Keumobyeo 2ho,2,114.553343770968,114.376462776994,114.926571400985,113.33832480474,113.655058194861,114.577523647797,114.268138308263,114.959620615106,115.274675894623,115.956619626234,114.949265496418,115.036214587729,114.583898722926,115.142749756474,114.902563330497,115.020618313859,114.16558240859,114.351076378336,114.009434671106,115.150399860679,114.944076602069,115.086083261509,115.886496735217,115.546054355938,115.39841897049,115.345130748251,115.396810001394,115.60385308037,115.616313596694,115.440313064485,115.523206837775,115.170867242629,115.017549967129,115.307396443242,115.152993907557,115.190633930811,115.140485365552,115.287648408362,115.69087317163,115.567221186754,115.562531965075,115.170662323299,115.632438741221,115.536956783399,115.44696801859,116.157527346179,115.691978570993,116.19778999112,115.698373865938,116.146660679008,116.160077786939,116.418240301423,116.317700748892,117.377556825994,117.322741120051,116.238608326664,117.489701542969,117.741285823979,117.862713001171,117.968201944549,119.081247174814
Keumobyeo 2ho,3,115.179303037438,114.285189453969,115.040262838488,113.684832953236,114.55524003159,115.094067989143,115.488532188841,115.717096129959,115.876398730455,116.124153651787,116.146894144891,116.038040683814,116.030403862798,116.088048714295,115.569152433216,115.955156789965,114.946183342144,115.017812514501,115.156909800853,115.939718089272,115.623609937067,115.735927175916,115.784484162767,115.408881660836,114.963659834232,114.929002045954,114.740714590207,114.929175382172,114.474403836608,114.903698240744,114.871861004393,114.68069105383,114.649113991097,115.019990475894,115.53840825103,114.937042264722,114.790330957373,114.676914901181,114.599726023336,114.886493491955,114.995796127226,114.539298129711,114.636718497868,115.070264620383,115.461873775164,115.446270297277,115.144811167074,116.42809512117,116.048979994211,115.947792457088,116.127148275819,116.642101472862,116.768423157501,116.353342975908,116.949664951135,117.257544639723,117.794574588576,118.829470493111,119.09142056238,119.391658781721,120.510709559262
Keumobyeo 2ho,4,115.621547502449,114.715625623628,115.320172943452,113.848007414272,114.257477618714,115.573043108338,115.670633966113,115.465116574389,116.234273569967,115.826659233322,115.898179062514,115.98144589943,115.990646906785,115.859800369566,115.802579476194,114.957697987596,114.587869492025,114.533700192715,114.545816330805,115.267766799421,115.460682891398,115.17986990354,115.635980879473,115.267343713004,115.230482392687,114.835147312392,114.698094791581,114.774101505811,115.123032924409,115.443516558528,115.067559862557,114.618092685335,114.812094343578,114.998907099352,115.176571700104,115.015519600644,114.649594976035,114.6134816406,114.783016500989,115.274006993634,114.618185054539,114.92588799824,115.970900080041,115.597192076606,115.32986180059,115.374520485401,115.446277522406,116.229745010847,116.363842225542,116.480414675026,117.069603731384,116.451729112728,117.126558005094,117.242382215109,118.207563170635,118.430778203703,118.562170064331,118.808683807566,118.985361795639,119.268076484651,120.74875446664
Undoobyeo,1,114.156596614127,114.949311294766,113.736212121212,113.501890017421,113.050424005219,113.429299940505,113.783251937627,113.805306489784,114.310033409898,114.305248893439,114.21535213017,113.911992206844,113.949250699683,113.86264651023,113.479377277354,112.580058156009,112.402288181424,112.547563603558,112.455331159638,113.012078507368,114.351767395041,114.20991923763,114.219107757158,114.38355424166,114.717112808714,114.302988234402,114.514552749041,114.719492299522,114.422500030383,114.81478740345,115.025996454905,115.162361115796,115.421043870594,115.538655312304,116.164968253732,115.989977650831,115.914492097164,115.829244309487,115.875693844846,116.113585526108,116.372509466152,116.246790260657,116.221000928104,116.927529083723,116.437609273991,116.990218602267,116.545633969478,118.146970194562,117.944121923303,117.92817209687,118.012803719242,119.140079548172,119.19772417757,119.638586849403,121.191011652851,121.047186874335,121.78882156426,123.214561382537,123.568691215123,123.352810373346,124.206341678913
Undoobyeo,2,114.627121258871,114.11385597083,113.536122341361,113.113030891004,113.457665952891,113.798841215695,114.091163057761,114.038208777078,114.455402531694,115.087045331313,113.905949083234,114.797325325398,114.093692171003,113.857791412796,113.388880894343,113.097573420441,112.144403261675,112.661452434567,112.724526963127,114.040976351779,113.87844703857,114.56106356217,115.745266536718,115.42733653168,115.078532373617,114.802175212262,115.289718352889,115.185525108478,114.944778366704,115.257768777181,114.822643118478,115.382723820726,114.703378335105,115.444573401316,115.429316888392,115.334724388623,115.437144756735,116.428392164047,116.085574426701,116.404029835106,116.000141178187,116.292487064094,117.686635540633,117.550625205204,117.578214306159,118.52658793056,117.99599304381,118.957410705464,118.652071157101,118.765604664961,119.185605469786,119.349872527859,120.381188651716,120.706440454786,121.185607634537,121.423711086718,121.93997900656,122.488421093795,122.108858132672,122.501894336679,123.519639960496
