Cultivar,Sample_Number,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61
Samcheonbyeo,1,93.2993377483444,88.9499907561472,87.6639882204459,94.2527245246997,89.8795660749507,86.4994880589756,85.6570466698645,84.0997099001675,82.4933947087727,80.3116192279842,80.1372223552257,80.2566381231866,78.2003760096153,78.7624354603673,77.6705062959882,79.2787173855211,78.9340261652223,77.3687233567418,77.6168492787037,75.9240072412988,74.8964537458239,73.7882712324467,74.4121269882375,71.6385867084714,70.9211667119334,71.9533782809143,73.0369385133752,75.0663384394664,74.8696797147214,73.4549613146861,73.723792210425,75.4710252903262,77.2383135779799,81.8809945605876,86.9734870387725,83.1313502263726,84.6076493920422,83.7279183497252,84.3039130607054,84.3083231994081,87.0109595179416,87.532077335262,89.4644105868641,95.0152523034875,93.8931786545121,99.0051259910885,99.8815859986458,104.160316502467,104.65700246773,107.366569093002,108.595428855653,108.575837995621,115.017896164073,114.375744254377,116.483658155814,120.627951380433,124.018346486951,129.4293840758,131.123838823834,133.914404930958,136.90692517774
Samcheonbyeo,2,95.4153178049743,84.9123262435103,87.5559034357749,86.8656068906552,84.8298692531799,82.7624492851623,81.1655196422355,81.4127458586227,79.9392468060571,76.5402269436917,77.5978159768637,77.7879590090246,77.448816805925,75.0936721371911,73.4874524092193,80.5936966929991,76.1017919691355,76.7419003521865,75.934165449037,76.132046911789,73.2601099869945,71.879768987112,73.652259266463,71.979875048429,71.0708518252452,70.0928749419651,72.8336019390142,73.2554640507714,74.13998539383,74.9895555103376,77.666687777395,80.1064172414276,79.0669579007554,82.2876340786403,82.5519052446393,85.2598682852397,84.6155482459597,86.9180124928615,86.9479157825497,89.7374980592528,89.545522809173,89.2473785565302,92.5913303627813,94.2091586138765,94.5750654428691,98.1412545355308,96.3326978169846,101.310132938691,101.721486604087,102.553406881754,105.192327885924,104.186659796591,107.094722940415,106.249693049103,111.297681297444,112.284138014393,117.055543573056,119.175692694606,123.742857861559,122.094470776029,125.067776225094
Samcheonbyeo,3,95.0499549954995,92.7593746182973,89.1204060798548,92.6020954247381,88.633857291615,89.6152141546345,85.7753881168892,82.5509118380829,81.3096197204269,79.2371160427471,79.1135570607553,82.1426903519014,78.4711187981532,77.3692932156888,78.6173941230863,83.2107482685457,77.0106325917295,77.8936706829292,77.8082603149625,76.6789913289561,74.0530882319288,73.588014249753,75.0397668929832,72.6600247203382,72.7386601900147,72.5105702183961,73.5838688648514,73.6299698875384,72.7516550573317,75.6008469941651,76.8682499298132,76.5862041386742,80.1525480341532,84.061820144582,82.8097879176668,85.7178323339096,86.5070442778591,88.790014548404,87.9359312161975,90.5648273912646,94.4503466222206,94.2355224113951,95.8607812043328,101.456154766212,101.910677650554,106.076028245673,106.854166578047,112.616553376914,110.985264139515,112.186823547882,117.610714477522,120.06987808634,121.776333417759,119.808293583668,126.274898620445,127.196139769194,129.230956865091,132.460685754372,137.4375501804,139.652614340254,140.387980349817
Samcheonbyeo,4,89.8124554652986,86.7889513728085,91.6665822015001,89.212219023525,83.7517668127019,86.419558173785,83.5540554825654,79.0956879648685,81.4507932720983,78.866350959462,77.9646946723206,80.9484059588509,77.0014327316091,75.398313070829,76.184519924209,77.6796044102735,77.4686232457824,78.5213833603512,77.676156672753,74.6029937089819,72.6675704343668,70.6229618959782,72.4201494506053,70.5859768368477,71.4154062804932,70.6719702165373,72.6017035745872,71.4505969106486,72.6500582703612,76.5054701115929,77.2436326802435,79.0061404183361,79.9232766044084,86.822248206512,87.9865983865334,85.9363825443484,85.4557192122233,86.3228403102359,86.3660717062904,92.6419986618819,89.3910409230177,89.4639695418497,94.0061863716779,95.0050407117877,102.949194321607,96.6607563743147,99.278731039191,102.971690985339,100.193884308031,103.974254892481,107.303659839273,110.944125292851,113.803914029165,109.239295309665,113.2915883986,117.575272101105,120.545255958569,123.071329357366,127.618156550198,127.089912287282,137.168875297688
Keumobyeo 2ho,1,88.076714801444,94.3164447731755,84.7355527290826,87.5590675167063,85.3146170550966,83.575522059978,80.1197908502586,81.4420718761661,80.8252169439537,78.8607193293255,76.9491081746764,76.2634602109175,75.1834233242893,74.6756196597946,73.5373716962815,75.4193039064208,75.321736117088,73.9023873523082,72.9607656802887,72.960505665124,72.1199545960907,70.4874087693829,71.6521454193704,69.9394867938864,71.7423885885063,70.3502608436859,72.2380457884808,73.693702257228,73.9372999464919,73.3719540368429,73.5265606780579,74.5118794514723,76.0142221699659,79.1806182320678,83.8027785795378,79.9006597543488,81.3460836037029,81.2475414609328,81.2421603887462,82.7817006366647,83.4267605408551,83.9007031078927,83.8164310246349,89.2337730506684,88.1337845696302,92.2958368905693,93.5822139175632,97.852691707176,98.449876418308,101.424063152847,103.011590629009,103.817770335996,109.796748598081,109.236545986987,114.801731635297,118.901520136029,121.855683266031,129.251228613876,133.699157833529,136.698136851779,138.363936878974
Keumobyeo 2ho,2,89.5882598996096,83.3736333497919,83.796965437407,84.5839699489301,81.7827160493827,78.9622090360403,77.6096361993078,76.9090800329243,76.4252089235487,71.6988430796869,71.5894093627612,71.2445633819236,71.0908465134843,68.2830881355497,67.2574907400404,72.9698490874319,68.465349038209,69.4783860098887,67.9902824107014,69.0009963358375,67.4809340681903,67.9525537013829,68.5492176755927,67.4384654233599,67.8373701957837,67.3129972822686,68.9968310890705,70.3015705720387,71.2429771406152,71.7052119152367,72.2098100194593,74.4274528911873,73.2870368689073,76.4086518189381,77.1279164277344,78.5810012064597,78.677187129355,80.1596014106988,80.0738856524967,82.1124504890659,81.6722177452147,81.6134261179789,84.6145331544805,85.7091215754761,86.1514808245063,89.8540634909105,88.8237315938331,92.6037779732702,92.4944896972273,93.574632514886,97.6926531384291,98.7399847667831,101.885123471824,102.156864312491,107.542335852301,108.967148835256,114.765178877677,118.246760047208,122.414642825259,122.03256089616,126.430267230815
Keumobyeo 2ho,3,87.8290241868224,89.2673065735893,87.0449609214315,87.3844990447888,85.9433719193428,81.6288530654772,79.821084021761,78.0633066632392,76.2857167015452,73.711061673951,72.9521462760162,74.2572773774438,70.1595801319781,67.9055919745729,70.7278118465198,74.7459193577654,70.0358196809322,70.7694834330357,70.6819861298242,69.6053067813153,66.8264132930992,66.9927085365514,68.5122321759962,67.8220353352648,67.9392686985607,68.2759187340858,69.6435164503604,69.8287423060342,68.8763545092242,71.8361011824517,71.9272964161267,71.6605809353309,75.2320106010402,78.4619919518142,78.7234969074632,79.6593927543598,80.9271753385772,82.5040611333028,81.2683892554597,83.2729887484607,85.6567892589079,84.8757686106038,86.0753150645245,90.3702193698552,91.1578501615919,94.0001072510601,95.1513392839969,101.162284730976,100.54766972772,103.593010647473,107.351932899945,109.83970505977,112.83032291718,112.28404750509,118.501149173343,120.655734992818,124.990429379957,128.526528182586,136.890143458059,138.804869143623,140.767249897521
Keumobyeo 2ho,4,87.3369950988677,86.489662467545,89.5048701298701,83.3104520750212,82.6268137324732,83.7316539016811,80.0989404375689,76.0739101386337,80.6253782662468,75.7393585408341,74.1291030132427,73.8287100351907,70.5738093191124,70.1716201961773,71.1210180581,72.8802689317808,71.4536305079378,71.3463727938719,71.76186919099,68.6299474886177,66.6685048070832,66.0767364682431,67.1331298511706,66.5788308434089,68.5007981736004,67.1473823667485,69.1376137826069,69.5212793012926,69.8940732267231,72.2352844041535,72.0989470653422,73.2312390623714,73.9699682678356,80.6114742120687,81.3226287033087,79.0435736212086,78.4559684260043,79.2412362729733,80.6928349226699,86.0556760519967,83.4462554955192,83.4279433005706,88.2329993287212,89.7146320231432,98.0937287501383,93.3634273364695,96.8157991347833,102.747469358827,103.963249959067,109.118629210159,112.859668807653,104.13248672085,121.463973018836,118.317823461771,121.799393903895,125.123299940555,127.419028913284,132.930651471444,138.542093139022,136.665478087058,145.423379689675
Undoobyeo,1,99.0465510742556,98.2557555919258,93.3960698689956,99.064856100527,96.0268316277175,92.6588304297513,89.5695569155447,88.7411383820029,88.1980191666934,85.2352052958941,86.1161591625006,84.138609331219,83.4360080081451,83.3453831800121,82.656705181577,86.1623983759943,86.7619606086435,85.3854790122956,84.8897432851804,83.4673845030764,79.5660423082152,78.3418265178568,78.3875801858344,75.7355850878887,77.0954845754677,75.7087072486844,77.7234300253696,79.8074239677077,81.3951279493212,82.5441929227945,83.6813522472042,85.2789358760429,86.199755320701,89.1748820869834,94.2713362057315,91.1133102927413,91.7909194353044,92.7523887915867,92.8273594238666,94.8650486313667,98.3129855488367,98.3242728428395,100.136662409228,107.516101341315,104.387755475231,110.761914333722,109.709338684416,114.014685955879,113.594892097936,115.669670043181,115.546101029053,117.328028342262,119.772190764051,118.903975223734,122.049973511282,123.528277177779,125.405025382321,129.916470067698,132.066705522881,132.806519441721,135.110028959042
Undoobyeo,2,92.7149359886202,93.6780634104542,95.0512286547272,97.759392236445,93.7405886379192,91.1315887502328,87.2079106580054,87.4085683427337,87.4951396222495,85.4535732276818,82.5226307486955,82.6682173036503,83.9185364653328,82.8229198984405,83.4420677048784,89.0650083562277,84.1567497921404,85.2770937289205,83.4012249099869,83.4256554905584,78.362442314519,76.4678009911445,77.4416583339743,75.1912796273291,74.9554674050168,74.6725618779893,77.1538812778552,78.561904075202,80.3625396045578,83.0031211832393,83.9538787735677,86.4454247414945,85.4360542135887,89.0496553576549,89.2148963871427,91.379188919056,92.5147813990732,95.0597057506243,95.2224605181674,98.4236291016479,99.723515760402,102.271991690373,108.0408660414,109.012007868236,108.072398905482,113.500981414947,113.849704050607,118.944161811346,116.661226975949,117.368758374034,120.352621890585,121.772751037645,124.431403666803,124.421013369269,128.173627034344,125.668251630858,132.665663033477,133.966068204172,137.656901533004,135.048103291241,138.522633382377
