Cultivar,Sample_Number,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61
Samcheonbyeo,1,85.3780725237284,87.1321081830791,85.3957426221577,90.0177629331613,87.4724091520861,88.3349743185809,86.1439967096362,83.8830164848327,83.7064228673457,80.3629780031019,81.4775963921295,79.6625040156379,77.3001011318287,77.0360364025506,76.5483887628948,78.2801842983602,80.0000316721301,80.513321536506,79.4104965130103,78.0343536979155,77.0131794521185,74.8677166481425,75.3237636535107,72.6348988700028,72.0195431438544,72.0341902692186,73.7040656617249,76.7329438607275,76.7433838042357,75.7825484089281,76.1064073632862,77.8320528649065,79.9425936700199,84.6219366385345,90.1521408438437,86.5395216186282,87.4999340342992,87.2200088041043,87.7839069106114,87.4308714606425,89.9851280971264,91.0781772929543,91.8987724065564,98.2670880387999,96.9907130557524,102.075008209294,102.888247343365,106.877290918264,107.475146840664,109.27576842638,110.821088592017,111.688051950449,116.050315112255,116.406853616854,118.01473477327,120.682108382248,124.099121681968,129.782204619664,131.56467570858,134.454514679327,137.159056769338
Samcheonbyeo,2,85.7737406084493,88.9299211748191,88.2149554213402,86.6048641345143,87.6079537272596,84.7962924245592,81.7172143280047,81.0408265213442,81.0325886596756,76.3134486601797,76.2704324464762,76.6481334793966,75.0150801782606,73.4421252312567,73.3689292741387,79.5360835151408,75.4953415710669,76.9330888916942,76.9396548737543,76.9233461183421,73.9026125010354,72.9744489489008,74.3717260166045,72.5963126182792,72.3001043836528,71.7293151911916,73.9805759262745,74.6363207809018,75.4011284184856,76.8764307942092,77.697916547599,80.1552215044788,78.8246872910517,82.2787069872354,82.9207182424208,84.891506829024,84.0656119988557,85.2512405422278,85.3334901707077,88.1612247209351,89.5295225215148,88.841669675924,93.8526984027517,94.4614504203383,94.9944557845638,98.8468049035176,98.2331358453846,102.734986811033,102.950498846852,102.479635118048,107.28922779736,107.479641478348,108.620174729404,107.683861763165,112.847939048637,115.370982390498,120.105277772306,119.272961883853,125.883498300459,124.772484588897,128.482384624729
Samcheonbyeo,3,90.0148514851485,89.1997739474428,84.6109290831343,86.6845717884131,87.2825630252101,90.5812583505405,84.2121230718874,83.8414045904556,83.267466899301,79.8552268312537,79.4114509788323,80.6534662823118,78.0088415201508,76.708082629034,78.0485646368744,82.7280123074768,77.3245808546858,79.4801201415164,78.2875840890868,77.1210951760104,73.7434914004329,72.9142630320251,73.2882656816222,72.683137540857,71.2887584525156,71.2235034349719,73.0007312954324,73.1116108821805,72.3513584493113,75.3424638372169,76.2989979783701,76.4391858147836,80.3928144933671,83.6361307779716,84.2496989218898,85.8659933230059,87.2535902878857,89.9818342615571,88.8034847236189,92.1267959622576,96.5858851695628,95.9763997799194,97.4695759032239,102.909806495768,103.411066809452,106.31035065127,107.501265797863,113.921856013818,111.512058034393,115.320068259154,118.871006637303,121.413749231015,123.636469868025,122.67951816408,128.673111053555,130.723747741844,130.762776077186,134.446229996403,140.744539319937,140.501328570894,144.228533060442
Samcheonbyeo,4,91.0852126532466,86.7088638195004,86.7709266129376,83.1859638811712,86.7122957459841,88.5021746213892,84.2561906699813,81.8669333318352,83.9275965961144,79.2080333995013,80.0050096469553,80.3916437752074,75.8341624403341,75.8960044856216,76.2553027822317,78.2091794899233,77.9028847349248,78.6184139331184,79.1385329000491,75.7464680010963,73.8594893772596,72.8431786806227,73.3072630519746,72.4220347596884,71.9338433167659,72.2428927212915,74.3968858302465,73.993320798278,75.0748124059555,77.4888026016419,78.3018651690734,80.0626002679197,80.5879426688682,86.880607913658,87.8452447418038,84.9124979601107,85.5415805677961,85.5435930616551,86.7527850129474,93.2831222942114,90.5300037866411,90.7654677552152,94.5760270395399,95.6382833051334,103.009363405894,98.8359929110842,101.678766943372,105.927286841174,103.905620098323,108.745976601959,111.561542776324,113.527147553271,117.466263754155,113.389847984778,116.092610678506,120.704318326188,121.429771990059,126.171000585408,129.046583141067,128.615663673433,138.212508455514
Keumobyeo 2ho,1,93.2292646229076,88.6112038582823,88.0437069278201,88.3629851675945,85.7283794466403,85.2165393659039,82.3630145122651,79.8946008703809,78.7968857594839,76.717531949428,75.9339250092978,76.6062251421501,75.6733507638454,75.4388207750012,74.5795179253011,76.6046147409974,76.8062060861907,74.6369923430929,74.6323667290641,74.0242870215794,73.4843777019908,72.7406129294059,73.125087842021,71.9157512345912,73.3783280953848,73.1783423372614,74.8272145157395,75.8210483098013,76.066233317437,75.6941243271105,75.9388900739116,76.4139300876643,78.2040636171531,81.4234355417364,86.2365111375986,82.0109447425937,82.7025762350172,83.4313818867527,83.351911008993,84.4512815089966,85.1685066206786,85.7641085908158,86.6284905573398,91.5537316948518,91.4382750517453,94.3116758917761,95.5153852272959,99.3037305994589,100.005837098334,102.321958937963,104.892220105368,106.317695528313,110.894142510737,113.266011635184,115.691956999353,119.030113954538,124.731745403636,130.971335468419,134.285277646916,137.059893810103,138.383122054574
Keumobyeo 2ho,2,82.0038022813688,84.0813345505851,88.3630877667278,84.1464045246431,81.9490154454286,80.3172851134962,78.3348857198672,78.5421767715512,76.3726571391375,73.7653737496373,73.2928142238478,72.0357151453397,72.3870198818064,69.3148115474886,69.4300477842508,75.1368045029097,70.316216320821,71.0907403196086,69.1662540707595,69.2292134316525,66.4352834331856,65.3221772966944,68.0579038384535,67.5002401967077,68.0874847201318,67.8101224452741,69.3901666165325,70.5079434881546,71.8779325667151,72.6529583576963,73.3774718612078,76.4981439888418,74.8486459309338,77.3270407160285,78.038472200753,79.4185133199975,79.9697659021848,81.7880905894466,81.3906896913078,83.4444116982808,84.2382715004605,83.2386726941975,86.845929587497,87.5632528445802,87.8899488228517,91.9172074314691,91.8131301870741,95.7369169583578,96.4568728401595,96.838407750938,100.519435342686,101.600898094122,106.129490447807,106.663512501872,110.141039582494,111.406087259117,117.857231120919,119.683956895673,124.504712518678,123.235478156456,128.487205955308
Keumobyeo 2ho,3,87.2785495643984,85.0270133986457,83.3767630686812,84.4468530317636,81.1261237040647,84.9419712785929,84.6549442060086,81.0722375118732,76.8117120085415,73.3896876767636,74.8722514255894,74.5714070208688,70.3393800303953,67.3934413337527,69.7044196374663,73.8209855369256,70.0820190934556,69.2891975861071,68.5541255245105,68.4122484338293,65.787740973149,65.3851166037081,67.4113927664069,66.4769534277021,66.4522176377386,67.3416256166848,68.2655987595648,68.2586372153859,68.9426063966244,71.4997706202255,71.7064469961294,71.9872096211314,75.6107271758063,78.3859461265705,79.38452709268,79.6087065315151,79.7970113527348,82.5719278588363,80.9216844253284,83.1909916426625,85.8208545519013,84.718354160369,85.7046316132423,89.6855491965457,90.9086028357398,94.3062909068199,95.4274556255452,101.10504572462,100.314351662607,104.661334513321,107.050100695603,111.182119248246,113.081047828358,113.634164470491,119.567278424077,121.596004148705,126.337852859079,129.865873255157,137.840987778828,139.374916107844,142.663889533518
Keumobyeo 2ho,4,87.8092066601371,79.7870684494113,82.2137899647286,82.1408711770158,83.1609802384587,83.8511060692002,79.5629973155783,76.0282991314065,79.2515024956708,76.3167674114013,74.8310416026007,74.9924781903947,70.2761263690288,69.5643876735873,70.5992766578246,71.738506688147,70.5327971639824,70.9928040788809,72.3986040651393,69.4689327243011,67.6078656580104,67.7681511436982,69.0460312095141,68.4287325538981,70.1995672036547,69.5315340161114,70.631898601691,71.8320867433062,72.7682009228941,74.3993529811159,74.9124468647419,75.7099365168936,77.3774780997941,83.7536095738643,84.3800780434126,82.4789801539052,82.8121870772856,82.8393657967477,84.4539064639672,88.3586232078975,86.5224671896921,86.3505875640589,91.8957619428154,92.7585241221057,100.809356247083,97.3185543614007,101.276583605719,106.639093633208,105.254305116686,113.100851257262,115.617034117939,106.366904290227,123.239992859644,121.066391547022,123.954320782517,128.604803705692,131.593838980526,136.201521244788,141.842717226469,137.985561396049,148.125473652164
Undoobyeo,1,93.4808814944542,91.0261157024793,92.2885858585859,94.2446175590836,95.6628397477713,97.4522763974275,92.029630084672,91.3500083330556,89.4553332447465,87.3211237212865,84.8533267088974,83.2252412693172,82.6906548721964,83.8011308975784,83.1019371815842,85.374648990418,87.3948803676139,86.7917474717134,86.7867636841119,84.9826138257202,82.1781095214388,80.5661222788255,81.2563897141085,77.8670874344579,79.4450445524175,77.4965457521871,78.4578728784738,81.6123441317047,81.73999129258,83.2303542943064,84.0055031174141,87.1585786082909,87.7586932723164,91.5712821821432,96.4547417731079,93.3074336250668,94.3582410926224,95.7915387285309,96.1035175632229,99.9339466868611,102.263092776781,100.024651681496,100.91162554126,108.53346683239,106.830657559089,111.869936894847,111.397684638259,115.698525820913,114.176567220739,118.258472055912,119.020764841065,122.104439811806,123.139722660078,123.301735834127,125.565051593152,127.56606555598,129.899334304991,135.780165303369,137.594446862719,138.651639619534,139.544492728797
Undoobyeo,2,95.1354520209812,93.9613491340018,94.087932852874,96.6075025408852,92.333426124197,90.7957899789156,89.8908605059461,88.0318998529339,87.1376158679717,83.1717360786149,82.7444411945195,84.8094100826217,83.9663037921674,81.9535594226925,82.4772511552119,88.403870117483,82.8461641101671,84.2346748655359,82.6810644737275,81.5490188319028,76.8342184402544,75.0697866791488,76.2353842438277,75.4629745295161,76.1211929818667,75.80496613509,77.831220635956,79.4256645204546,81.252351693143,83.033505564154,84.6655320428996,87.1693080089739,86.6367593543406,89.6977071271313,90.0570202226956,91.7910391226974,93.5804023772956,96.3451032924591,97.1942522955516,100.52342656413,102.063566668623,103.450576296373,109.007232619912,109.962843704633,108.770598996526,114.778545921638,113.503102492635,119.26718747831,118.167978505956,118.418633348882,120.890545579677,122.376010631234,125.383416110906,125.720112764433,128.323385232982,128.385030076839,134.1931515057,134.410747638317,138.909398594116,135.429626174415,142.893375907646
Undoobyeo,3,99.0245967097908,95.7772547076313,95.6462778568042,93.8530303524272,97.9517983385304,96.8511836880505,95.9478235888495,88.8663532715051,85.3094684769821,83.6875324367206,83.5360161084084,84.9853128298638,82.9463506675434,82.5269646835527,84.9581384233788,88.8020524282942,83.9390623657051,84.7294062781283,83.377829371311,81.0733003405599,77.1408898067397,75.8124353105898,77.1396351459108,74.5291286673765,73.4688226149432,74.3963903737899,75.3500823814931,75.1908721629547,76.6608204325472,81.6456555611009,82.4622491598992,82.7543097209518,86.8061550278078,89.943870868558,91.9104350781781,92.1023010468407,92.4905905328415,95.6340170344596,94.6325640921528,99.0484094515502,102.946975651976,104.388730588783,105.709250098505,109.740380137442,112.603558084004,113.75805629971,115.538928101139,119.807312300205,118.887258912411,122.50157060263,122.740403485544,125.536324227675,125.761437229535,124.875804020101,129.99874111872,132.51986411141,135.978015253727,139.167054023547,145.625657815471,145.102513303792,145.808898870021
