Cultivar,Sample_Number,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61
Samcheonbyeo,1,136.444843897824,137.181549269736,140.880647875473,137.829448731207,139.544003944773,138.415043387002,138.804695411182,137.962722852512,137.569615660354,137.460539324904,138.597273428564,138.293422270556,139.529325454706,137.855764925655,139.325911869323,140.504596982329,141.388480610299,141.810018676012,142.626668994016,142.017407147863,141.288183102322,141.332816102244,140.63932441052,142.493915821642,142.533412158304,142.616138417068,142.403650477485,142.729653503375,143.154491133122,144.01854453762,144.290602309936,144.938780919665,145.349896907872,144.735571538825,143.808625378269,146.146818704528,146.396307030109,147.411615161581,148.196724393641,149.712446034388,148.856395803608,150.233135017848,150.773066021236,149.99951033889,152.392175677936,152.177600842167,153.28843697754,152.771406996744,153.852377656529,154.410263529846,154.377426622259,155.295422038433,153.612015572756,153.878812230514,153.2129727552,152.863256802533,152.282350830001,150.409670962784,149.802700433631,149.51451647904,148.388926457988
Samcheonbyeo,2,136.426766679826,138.252135320717,138.926629315317,139.66981221698,140.802529666738,139.882003477589,139.750850226281,138.634937023685,137.968088749778,139.846306468631,140.438746207058,139.435544241209,139.432831908872,139.913095571036,141.075105944374,139.750962179658,143.623363848137,143.239755352336,144.257795925275,142.538758078078,143.204603087235,143.483421023472,141.990360742766,143.189697671851,143.065164408831,143.810914920782,142.95576849499,143.442737026995,143.616238152119,143.573304176336,144.345786974174,144.17566793555,145.514511190368,144.875910752787,145.89140358349,145.829355859128,146.43185874498,146.069712791881,146.820092796922,146.450450076924,147.218948774451,148.193881016606,147.358847623382,148.032488573039,148.809742096982,148.658594251504,150.435869332942,149.1504597832,150.135212900252,150.933368239792,150.30194419315,151.70595383585,151.454832361592,152.524736682152,149.914169568908,151.688304707766,150.791546086255,149.930769624216,148.062662058349,148.541224428898,147.780695776874
Samcheonbyeo,3,133.65504050405,135.452180285819,137.539984119782,137.820343709957,138.472901274359,136.510179702919,138.138417046866,137.585002986753,136.172784207626,137.170853891537,138.641311697093,137.555597904223,137.665759332507,138.55113976993,139.635935186942,138.830026767984,142.429825664505,142.57959606933,142.620200755815,142.068958632207,142.012955764711,142.45185721573,141.139080925947,143.010966274396,143.351821710661,143.340402923039,143.200469021574,143.521976117445,144.158093875652,143.100708238984,143.685650489733,145.129145830176,145.199832910412,144.571283964241,146.887108253678,145.704423852188,146.76770423829,146.451639431325,148.108222731611,148.073566966423,147.851352378151,150.119812448495,150.741927983672,150.256028960452,152.329170246921,151.907708454535,153.604498582229,151.820734367489,153.374004819571,154.085145855048,152.69934205487,152.770957972811,152.713244657159,154.491170916739,152.213855416256,153.947705490933,153.835944289192,152.352177938098,150.449997908112,150.429095868614,149.947575953526
Samcheonbyeo,4,137.243693886276,136.880251405888,134.387948510034,137.61961673791,138.935275494867,136.592176730486,136.878675304671,138.221910734445,135.13832592233,136.699768618498,138.340239540545,137.6966873706,138.895804636935,139.603577854746,140.680886289702,142.19862788638,143.127756107276,143.296379611181,143.238372940164,142.853724927903,143.045142037943,143.018219877926,142.036011811111,143.436328608029,143.005777077974,143.62412036009,142.764771039232,143.931582433609,144.001018427468,143.172123233642,144.470421306727,145.057530294336,145.799705953033,143.755572556014,144.071312100328,146.39578743427,147.128385567545,147.657982785483,148.290949102635,146.938648153136,149.047807513669,150.042064750339,148.491405994348,149.281520571728,146.769882896483,150.812308577365,150.892131504278,149.83429279451,152.196032812599,152.005718108649,150.680628769076,153.257444615698,150.215201610044,153.315226080789,152.228537476007,152.335570121321,152.153082180505,150.960179849658,150.297311057886,151.223112786212,146.269761454692
Keumobyeo 2ho,1,137.986311672684,136.460798816568,139.902062710833,137.534564866733,138.335236304207,138.38302716282,137.687708533936,137.948749951748,137.716613927122,137.363915669794,138.754240255874,138.527790923339,139.224362466669,138.213873167673,139.046009358945,140.221344518121,140.988164588212,141.061763634537,142.311586375602,141.031669065766,140.985943603843,141.824986028116,141.777135947765,143.084175974771,143.08670332858,144.190444062718,143.915005630325,144.060224830562,144.458998917459,144.88477336494,145.410953764672,145.929032901031,146.511151301536,145.41789610299,144.224850070876,146.729890528471,147.248521404953,148.343673204177,148.925716673373,149.318613239849,149.107213287389,150.070793512736,151.424440628346,149.78797869038,151.426506429372,151.089150049293,152.237426713241,151.756273239381,152.757672310017,153.131700009948,154.05899547461,155.273100192955,154.46720457127,155.628717701534,154.539933577571,156.303013824813,156.537258356395,154.761384811825,154.411408674893,153.710048391728,153.340069232201
Keumobyeo 2ho,2,138.043363078639,138.237003597376,137.723251198942,140.134533406491,139.26738934056,139.547414275682,139.701736338185,138.638593250512,138.06764079704,138.619657941941,140.239462618796,139.309276494781,139.322565064417,139.894558051402,140.540001661647,139.023550974834,142.472889035179,141.589945677469,142.464893989468,140.585324638623,141.751594778873,141.586368702423,141.134762010081,142.420466295987,142.386857609234,143.215152246598,142.810877645024,142.966795978015,142.893945569461,143.641031339684,144.344155711327,143.879049586067,145.471530426256,145.030032828402,146.198651798848,146.539495271857,147.67186216998,147.521533285017,148.287953124856,147.51688072214,148.422441390222,149.197104333312,148.367939140617,149.251642747034,149.840817535292,149.603404345955,151.184662434114,150.286747043533,152.111000293673,153.372029574507,152.172870749039,153.301293609635,154.115643319817,154.490485419187,152.970391420426,155.996138595436,155.950156057941,155.330048450214,155.127327731561,156.473165488643,155.186586824924
Keumobyeo 2ho,3,136.838754517654,137.737420011635,138.167544220485,139.430587985566,139.56144510829,139.017420011941,138.281942373564,138.693352827137,137.269900860338,137.537688178394,138.659389448866,137.977884333483,138.597711142914,139.867885145715,139.193580671496,138.58417089558,141.697494815007,141.653673581733,141.80826321097,140.908404231357,141.833239369779,141.750910126529,140.719365151669,142.622256495047,143.113429349387,143.549127012319,143.672693998251,144.033890216174,145.1887895827,144.411087593125,145.332385632402,146.097102091787,145.623188587516,145.585022522523,146.70906485224,146.954688688682,148.01329722186,148.475583624106,149.782362088946,149.609419742682,148.826481579333,150.421770073245,150.961767762333,150.844322442573,152.14858442192,152.117716605891,153.463981858212,152.218478516312,154.067012828424,153.921737279033,153.325145821845,154.108231889964,154.2583653194,155.950971617828,154.179446521628,155.952027492568,155.949920348888,154.922964414077,152.948205961475,153.863015268877,153.563017698288
Keumobyeo 2ho,4,134.678384316377,136.24473507068,135.151843692022,139.18158399045,138.395938053277,137.388345119534,137.444720566378,139.286910528367,136.228999096547,137.358803839191,138.160648057779,137.380789372738,138.851407003579,139.177617396195,140.467515048417,141.422497330268,142.140844197045,142.032995250544,141.659089129839,141.055729947004,141.404328134458,141.925632443189,141.357784919193,142.565710876737,142.250279998024,143.387144752997,142.529437301303,143.293444275451,143.753335853322,143.137270397296,144.278969764538,145.428880517942,146.245479865681,144.558049129755,144.68621472235,146.805103184074,147.938101802048,148.898637737983,149.295696659383,147.850729496964,150.120932425604,150.894261238742,149.411162844873,150.477245375447,148.4697799773,152.265472456225,152.72560066578,151.708095483878,152.78069422259,153.071337796729,152.937215998794,154.227541897518,152.674266953981,155.50879224266,154.524926085029,155.135132367589,156.209162173245,155.079721487891,154.639290042398,155.621824695087,150.990172374806
Undoobyeo,1,134.837353938937,134.887506819422,139.793546821931,136.661086339684,137.919276004277,137.501165131652,137.743285189718,138.289336626315,137.974348162848,138.30840716519,139.464270975359,140.08421013525,140.706245543679,140.189934193523,141.958924508888,143.626473184012,144.48072532026,145.387023325892,146.00671670494,144.627025938486,144.397346469545,143.781369175832,143.24414228168,144.9056797373,144.39466258667,145.600410373127,145.085517025883,145.049346762532,145.641059695998,146.502627467875,147.359943871576,147.631013428685,147.876166632034,146.599611357125,145.093136247898,147.797099754958,148.239769931881,149.256611895888,150.4706661011,151.728189344231,150.545250247685,152.147563059221,153.04310196099,151.450623655642,153.854350757494,152.691614562616,154.816833159696,153.823741148619,155.198990763275,154.991043979017,155.654073073968,155.269197109959,154.372400899403,153.698704102028,151.538052786685,151.994421360667,151.480931959355,149.493874681492,148.986526607676,148.035418094632,148.260903119913
Undoobyeo,2,137.212375533428,136.629648671808,135.981674302374,140.816422104277,137.664139419786,140.315049357422,138.922910100631,139.867142685707,138.611377525406,139.402653541913,141.029680863973,140.127973662763,140.316664458367,141.223462519866,142.5670165351,142.306692600334,145.261438333159,144.838964885573,146.730053668198,143.996569951745,144.517379639702,144.543913391189,143.264130875874,144.277065258236,144.310615772422,144.89792104595,144.064530520403,144.525135603438,144.940128833975,145.127969932176,145.469732044719,145.117269115734,146.780575586359,145.992775396275,147.240604895711,147.341347674315,148.235268741358,148.262584283795,149.292693995793,149.882567111509,150.93782652336,152.029928424886,151.299186814431,151.972485638511,153.72990371336,152.505018287931,154.143276546374,152.363152645822,154.924861177747,155.446535536488,154.054610628402,154.306865577497,153.832944527976,154.131634357887,152.116038345023,154.475168537987,152.620360093723,152.16912559883,151.290829610946,152.278050116743,150.218343332322
