Cultivar,Sample_Number,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61
Samcheonbyeo,1,137.997570734496,135.203005725191,140.823133159269,136.618671517948,139.155332319961,138.348802136517,138.817952195287,137.822541595838,138.264638285917,137.450461649614,138.615784063519,138.924731204597,138.872671297059,138.143557036928,139.53336494031,140.632834187164,141.207851956467,142.307848283437,142.552607310337,141.702985649102,141.42399767355,141.526116282096,140.741371311932,142.778312769099,143.372431651875,143.299226315994,142.580009169268,142.712617961312,143.399571300951,144.056299471225,144.577458417566,145.368883103011,145.632880867589,145.074438103316,143.818116409468,146.310280800468,146.584773247646,147.240888230646,148.369137219524,149.398391210605,148.789400258837,149.778353328135,150.614932389581,149.384113679564,151.615082708953,151.140262432748,152.573294318715,151.757722663331,152.872589749946,153.269557357036,153.38698503403,154.361255053247,152.767048838182,153.415077023035,152.132164573956,152.092254040251,151.784125294623,149.761951715338,149.888509916429,148.534927214004,147.618140178901
Samcheonbyeo,2,139.924750679964,137.075049158838,138.830668639336,139.297546845297,140.935183536868,139.678337970791,140.407998158319,138.781204644412,138.394773141762,139.656771374651,140.725806412345,139.696836419753,139.808083178514,139.881296371404,141.503786858926,140.339252828514,143.972563488547,143.268991075429,143.999977280325,142.967226571284,143.714001408826,143.508318609008,141.89357581257,142.933825327598,143.006251692248,143.72049906922,142.874925548493,143.048539127739,143.594474859756,143.55395820875,144.553306934502,143.925855464849,145.338677814475,144.481888479056,145.389237729877,145.231658345953,145.998618097962,145.754675536638,146.63626442476,145.888399180862,146.519982895378,147.699608656107,146.711512345484,147.590403201301,148.196775760747,147.687684594098,149.415574551123,148.492602572895,149.881010586103,151.140885017065,149.820406745752,150.782249154431,150.904250944532,151.499710121052,149.507256851969,151.24808545539,150.520140343519,150.174348196613,148.340331025074,148.633810797191,147.88673024604
Samcheonbyeo,3,138.537149968886,137.683426629348,138.573940729856,137.75105167604,139.65654109006,135.112767417202,136.729567254564,138.191755069155,135.881037886495,136.978890738235,138.547417602818,137.671548814534,137.87941388166,138.718957292887,139.71734732695,138.883739009618,142.590309752381,142.588774410708,143.045734814052,142.660731409886,142.259607682774,142.381087553541,141.334297633109,142.884455508757,142.945730987089,143.68577413912,142.688242697672,142.948371247423,143.81996075583,142.742017212462,143.566334098046,144.916513202553,144.951127164688,144.469543005394,145.2402936534,145.41052149297,146.204420860653,146.411611869301,148.007082283098,148.127044291949,147.687857312535,150.00170384875,150.506847073631,150.585110511334,152.108375614199,152.189112013484,153.382333057793,151.584701077656,154.099653406847,153.526535071356,152.767678277405,153.016738124182,152.543180417529,154.483479983075,152.538351074594,153.966990570009,154.038034878193,152.595613059166,150.061414611918,150.830425857642,149.875868321804
Samcheonbyeo,4,137.890423118651,137.045535906064,136.17003021148,138.928961748634,138.749614930688,136.241261259134,137.277689823317,139.861219753299,136.246177935592,137.416602746362,138.192633367603,137.914164899507,139.428034749941,140.322820003162,141.27836781473,142.48421774277,143.413241340372,143.770244631463,143.348783624589,142.785166547328,142.842368413108,142.960262511633,141.743905756785,143.145581738171,142.525516061774,143.233366714393,142.574156401999,143.451787547989,143.961879362592,143.305839236684,144.26156963038,144.77135741124,146.050125193626,143.851293538116,144.166855558588,146.272577290886,146.803769755482,147.68215415879,148.517778133367,147.162073821336,149.150129580035,150.122963485135,148.636267561905,149.601851747676,147.371954425229,151.535377877441,151.569908499046,150.50268453385,152.904538540268,152.40881210975,151.247753991315,152.720080777287,151.006755124288,153.836922426364,152.942126934451,152.569742541206,152.500234018421,150.805245670684,150.215198356171,150.317987415433,145.69461045615
Keumobyeo 2ho,1,135.034749034749,134.51837556637,138.025788937903,137.762114537445,137.901065492257,137.561801901597,137.851213548035,137.169486610039,136.888168963094,136.551832641628,138.186770807448,137.718104194722,138.422844184568,137.313216397845,138.370109808507,139.809345626243,140.247381730682,140.888426704148,141.825274738938,140.533641909383,140.723807223051,140.846276400696,140.647412721404,142.434369161377,142.028862074324,143.040434391497,143.125677300411,143.369670312482,144.11310580967,144.913928095986,145.214893665002,146.025601869689,146.019521878242,145.351150992108,144.05469878221,146.828916450738,147.697905880673,148.541584220204,149.068706180457,150.055062968999,149.624939337641,150.468369897694,151.470676680646,149.890926748231,151.724422961682,151.216370012738,152.183001933141,151.480625554008,152.676557076698,153.39398712906,154.047397334673,154.917678749605,154.176327206666,154.923382405549,153.616640908471,155.441338934659,155.046420037687,154.179779227753,154.043974072601,152.986383199051,152.388127947364
Keumobyeo 2ho,2,135.617590539542,136.247645323946,135.791953010279,139.101152205742,139.507289091089,139.107720651033,140.050168927522,138.445433267727,137.857928148108,138.383275356429,139.568553604603,139.380337973368,139.460984866772,139.883140345799,140.724578641927,139.940385893097,142.908930420652,141.692937917845,143.263425995521,141.352525529217,142.058717040867,142.067454300515,141.557321108744,142.617151184467,142.572831332463,143.233986151387,142.988411958553,143.40887070164,143.625053017024,144.076857554207,144.79085260145,144.439150166043,146.110709813533,145.493472136475,146.663885534105,146.767824274802,147.632114346457,147.6238422196,148.194589593553,147.870503480822,148.500582707548,149.451993768494,148.613138030142,149.449794344768,150.40004730535,149.849437525398,151.548128160773,150.301496959877,152.005668454123,152.747277233415,152.620754401858,153.283833722254,153.181405625529,154.153364602566,153.072574118434,156.151031899131,155.482391240012,156.451254596895,155.264712311311,156.657213530488,154.953211478024
Keumobyeo 2ho,3,133.904313591236,137.74888512994,136.540584844799,139.076086956522,139.145217836603,136.903356014301,138.050386918309,138.207216050116,137.16605315501,137.472150654344,138.715204679941,137.605686839836,138.186602306616,139.33291913937,139.342001881348,138.631011625661,141.533188346318,141.443426431559,141.880756120439,140.316890458652,141.172394449789,141.50447090331,140.788370295086,142.343466828398,142.845576417214,143.36906254439,143.730070869214,143.996578996627,144.961511903646,144.244037662273,145.512492871073,145.923454736538,145.512439708601,145.686124708077,146.88357312521,146.613744400656,147.795477994548,147.867498755238,148.729676436531,149.056644243991,148.589774325138,149.914667103288,150.467121333903,150.061839270802,151.111051190205,151.841585383629,153.13885001935,151.665128554838,153.579181845604,153.172629687624,153.079105666698,153.86000230605,154.292100250701,155.795477983899,154.510599169048,155.90807913029,156.979979723504,155.906235710428,153.365565626483,154.752947626864,154.08548518254
Keumobyeo 2ho,4,136.610480123903,137.270813963317,134.892170070593,137.91585202793,138.214006875255,136.687372121841,136.732573795961,139.283434818318,135.791209668478,137.003567235618,137.871622765416,137.678493359006,138.903735559062,139.314334296569,140.474083041196,141.277288589515,142.048387831587,141.812195837743,141.319744676103,141.5095524159,142.124439819287,142.481745715278,141.89604356938,143.084125462619,143.040863108077,144.530547084468,143.574644200003,144.245817013765,144.675957256215,144.539913959007,145.130351342636,145.913611224801,146.682777981203,144.499636885445,144.935712316802,147.109236062309,147.885866820992,149.268664944756,149.625253866461,148.095174037862,150.205509275661,150.743164692015,149.06825643565,150.795804385984,148.775590249804,152.030991220209,152.564002391618,151.62854756184,152.625857516736,152.899053155943,153.200201475434,154.02050492597,152.645745618979,155.15706516336,154.32492035083,154.720275806164,155.943950702001,154.742797299928,154.0310799204,156.209135777135,151.252718527813
Undoobyeo,1,120.752112676056,136.08680427571,139.355379776994,133.552698849671,138.166550270921,139.332781609195,137.987477019574,138.200559156182,137.933011636498,132.026457847384,139.502109591512,139.903074160467,140.982847803216,140.505002219226,141.447020870476,143.648924967139,144.973688105648,145.750070692308,145.73285847916,141.516116874575,144.273348357598,144.177486698523,143.540728251045,144.997003084805,144.64087077831,145.360064520754,145.109328340288,145.01645436135,145.648570284581,146.52487491899,147.335768673036,147.054076923776,147.209170484848,146.180289344154,145.239746415491,147.588324288276,148.517130575038,148.861313551825,149.967295605004,151.173093266938,150.528937034399,151.643658759094,153.217310100826,151.487394262366,153.781068777991,152.750321276276,155.012897102563,151.234400187952,155.288778283462,154.835870673535,155.54168083546,154.901387778303,153.796637662883,154.393610309188,152.263531436114,151.781225214401,150.900473146914,148.583800220582,148.180963990093,147.273906957963,147.32233278006
Undoobyeo,2,135.842945173013,136.660963855422,138.727676856375,139.886594893548,139.945468200469,140.474852289513,140.568142173572,139.960790520984,138.444735260116,139.63402821121,141.421441020306,140.10293283419,140.664343017032,141.619139316306,142.745879691464,142.140791988389,145.464980247989,145.394838819796,146.918266129864,144.175565839565,144.745664568057,144.380077772406,142.885243252697,144.344286057461,143.955417566885,144.863336011873,143.967456618931,144.566077100769,145.054280555836,145.23453751162,145.710551832153,145.27676541047,146.931554745678,146.400246429624,147.651681544695,147.919068289855,148.492441285013,148.714881861914,150.033182495363,150.25489763347,151.233618084665,152.470076711054,151.802726653624,152.577749937102,153.802040947853,152.377326946416,153.731717169254,152.285621625761,154.73816230121,155.285583437571,153.776916994595,154.512948967358,153.859271277142,153.750893938923,152.943672265165,154.954586028461,152.784135418641,152.401864690617,151.291060629241,152.32910343305,149.714318326832
