Cultivar,Sample_Number,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61
Samcheonbyeo,1,-113.9166383,-229.9805385,-101.6365959,-34.09139853,85.88376071,6.138151531,155.6970244,410.1183995,77.56543673,35.60586914,181.6709902,250.7809514,332.51573,313.1358123,339.7181306,267.9535337,364.4573019,418.9850575,442.1312938,614.2213692,436.1710576,486.6794709,489.5537117,321.5774015,450.9479344,355.3205852,323.0915747,292.9986531,310.0073712,406.603359,398.8855056,471.0113901,465.4774425,599.0946376,673.2829996,673.3590809,746.7475119,722.1778713,679.3378946,687.1909166,716.0881564,758.3386581,658.1467897,729.1625382,830.9203085,817.664723,855.7866658,670.9168059,810.0214992,599.5930017,658.1987393,734.0534745,733.9482642,535.2098062,614.626695,366.2231972,368.5949755,111.8641873,592.8041986,461.0960683,461.0103971
Samcheonbyeo,2,-63.68999149,86.81703159,125.455214,56.95225625,158.7148487,195.3355398,-93.93209382,78.26158679,119.4789217,77.41437606,212.8633693,238.3641213,257.1025136,283.9658803,251.0637322,496.9610333,488.0127758,311.9497715,250.3618629,565.6316407,651.8233758,638.6734875,292.1964154,281.5176755,417.5554809,358.6477386,330.5636269,311.6855301,354.3726207,434.5053426,507.7617361,508.4123166,528.0785948,517.1965052,584.7133233,490.8510223,503.0422558,474.1727883,434.8572412,281.1424595,491.0317135,502.588457,584.0946216,532.9868574,625.1666492,445.9043931,513.0918783,318.2564283,498.014972,214.1280103,282.2387101,362.6747684,267.3803177,-0.552514446,246.5615932,191.0576281,52.73614036,236.2217405,-365.1243566,-47.764021,-1011.101401
Samcheonbyeo,3,-87.09259527,-171.5561565,-53.71966475,22.03199522,-6.204221806,83.86358213,105.9194136,-6.168938454,4.664591159,277.9933814,146.420442,230.7783884,81.61059597,120.7677709,318.4153238,365.7293255,356.4993536,403.2070665,411.0614199,432.4823873,457.591416,515.4842875,535.2073092,581.9272362,592.7796674,187.9309652,272.9308733,361.4685271,231.2532988,353.0353345,269.457748,195.8189447,330.831632,406.2884441,323.6620796,258.8755,319.8053587,38.09388049,318.6704408,-203.0376138,115.2186915,-102.4171913,8.389535198,125.5377861,166.2597284,291.1537441,368.0824305,437.0040459,471.2427195,358.4464534,336.9544513,359.0718024,444.371846,346.7727568,464.3767214,418.4993293,320.5557577,-687.4069094,-1060.786654,-911.5577596,-703.6859835
Samcheonbyeo,4,-155.1037856,-171.4323542,-61.40725922,-27.20132892,13.04558062,100.7805576,159.9396831,81.86309261,272.657853,-20.7186691,115.0806308,241.2018141,237.0621564,315.7624918,211.7388874,120.2965689,149.4507895,288.5619037,399.149551,436.7742673,502.893985,521.9467206,519.3573553,528.1216828,568.0312217,634.4653572,569.7524305,676.5394518,672.934549,731.5653728,714.9347569,764.6194714,731.6891865,833.4752597,817.9058916,810.2500234,742.5280846,807.7104651,804.7759124,193.7688903,79.73965611,-254.675768,-199.2145156,-180.8431284,-81.07759987,-199.2358376,-471.6945579,403.6615007,543.9430252,610.635904,750.7317346,446.373662,163.4930313,314.9887456,569.6404659,68.35157116,-19.13646132,32.20188487,-205.1566266,-271.8656417,-957.6532859
Keumobyeo 2ho,1,-189.9253796,-152.7667809,99.67441716,185.9769069,104.1613291,197.440626,377.1666677,-114.0283413,-32.43772239,232.2629436,100.1639102,157.7774545,138.1993005,306.2885038,301.54582,414.5781339,451.7768324,498.757555,315.8666895,350.3088909,385.910423,503.6255864,474.0016365,675.5119212,695.6188917,666.1614003,651.7918014,732.24873,696.0850189,733.9165188,781.957593,809.7196091,813.7910909,425.9834474,354.2044928,371.6090253,-187.1343977,-125.1722686,-216.0301742,-296.8516597,-272.0562918,-253.1933281,-303.6323958,52.7243913,-266.6679046,-174.5796731,114.2885318,146.2763873,-227.5775565,306.9443858,552.1575876,494.3222585,88.49267689,226.549143,-2.445283637,548.1753978,-118.6720435,-378.0729731,-116.4889543,-16.62154215,398.5815656
Keumobyeo 2ho,2,68.25192632,-35.30546562,206.1949163,-92.18812725,217.7462724,267.9913151,182.4702588,59.47488088,102.7026356,123.7700361,256.0639301,196.5074351,198.0099843,393.6486794,426.8543744,492.6009775,521.5619582,558.9426064,578.1191349,585.1281108,607.487702,698.7347649,659.9868814,716.7727252,576.2882631,637.2030424,649.140032,679.87366,711.0488581,641.9554518,664.0106112,610.4173506,590.2478965,604.0839489,635.2608296,609.1709586,460.8932941,448.4328644,455.0809332,653.4572037,512.0796569,711.2180852,701.7065793,648.2512713,701.4848341,750.8065968,672.7436099,750.1679966,674.8059893,527.9502219,789.7562419,516.0554716,406.4566713,428.6921431,481.6589765,502.6898581,525.0844133,592.2053548,501.9028688,284.5030619,291.6502862
Keumobyeo 2ho,3,-227.6263808,-111.8840892,158.1538917,30.2390031,152.209231,172.4533733,269.953665,275.3485195,418.5373083,342.0920261,106.3314573,327.0423238,351.8432647,445.0642449,474.1982644,409.5816128,296.4745273,120.5445031,559.400431,581.5462642,356.7637848,387.7956711,440.3885519,478.5535824,427.4011581,335.9282584,306.1807422,346.4343836,430.8801962,407.9501681,520.6633102,583.5685387,627.0316418,680.0690244,569.5066675,561.7310123,587.3423078,621.6136284,541.9438656,531.9497573,609.7343709,645.3516007,638.2331441,664.0299785,685.6157681,652.541796,602.2849611,613.9939131,384.5401619,512.9929204,486.9047545,472.8213081,680.835193,610.0542914,39.25370975,-247.0542597,320.2542986,69.84835337,-10.58805716,-268.2924206,508.9242163
Keumobyeo 2ho,4,-266.841803,-165.1706178,97.66356099,143.9194714,181.766113,89.51965288,335.3028067,337.2482348,351.457221,177.3520376,-68.81122587,359.7662086,468.083179,529.1805046,418.9147233,377.3316403,371.561847,407.715721,519.0424222,528.3249821,529.8495989,579.082229,621.0370769,367.312203,376.9592536,499.3478478,604.63914,645.3968163,664.4154671,639.7143097,661.0335962,604.1729887,746.57836,447.1788821,598.8520332,622.9951484,647.3435093,591.8299946,619.4354191,635.9292609,644.9493689,687.6496062,-171.1839373,-87.71049941,87.3234364,199.8607632,203.7476546,111.2526085,226.024122,145.8498195,183.1821995,140.2001188,163.3796519,199.8467722,39.83516909,-35.23820384,63.72096823,134.6468769,47.18156839,1113.300277,300.8522957
Undoobyeo,1,-286.1364254,-246.9405769,-473.0323359,-175.2954884,18.13173634,75.64668368,-28.90376924,-458.0712839,103.9728054,172.5547949,-370.1187538,-35.04504156,-193.8731357,-113.9541883,57.25655437,41.48165727,-38.09605068,261.2770482,333.9142393,299.8049311,219.077515,217.721328,223.1049348,475.5280905,606.170028,681.6420209,539.9504357,646.1070987,589.3079827,542.6721445,494.0040292,407.987274,456.8143245,367.3901732,342.8783634,582.1865384,383.9500093,466.6083284,230.304198,24.43569108,91.82709381,142.3699065,142.3411166,184.7794097,239.8954059,363.4418224,224.0643947,288.380822,642.1238802,626.6033035,526.8600388,9.949272624,-343.5102113,-261.1642926,-132.0858866,-63.75707684,-284.3503675,-30.02951799,72.62419028,-59.03438681,-510.6374901
Undoobyeo,2,-248.2579834,-194.6231859,-71.63936827,444.9987113,142.5131606,-185.7557279,-133.6637478,131.0515553,92.76991081,-35.27156756,-55.6807697,94.98257201,-24.91366309,17.11703829,96.90252614,80.36395762,39.18161764,183.7375353,229.444316,379.035616,515.1218629,246.1539378,534.6961811,478.8520982,364.7941343,476.0089467,603.3129861,624.001342,629.5388906,487.6401631,416.866778,220.5394076,26.81328244,-5.268251413,54.56632312,89.73474932,129.3528615,160.8551852,91.27855263,140.733933,187.6922191,480.5710094,-612.3988266,-448.4626657,-786.7890478,-676.5516033,-558.7611799,-656.3586014,-682.7570342,-718.1081956,-657.1674566,-759.6103815,-795.196251,-737.8772089,-879.5226572,-1018.325787,-886.7967578,-704.0833012,-703.704479,-1030.843542,-963.5125033
