Cultivar,Sample_Number,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61
Samcheonbyeo,1,-41.79939258,41.73149754,158.8547981,-107.755855,219.6231027,242.3543886,-51.82337216,110.660172,105.591031,273.1611186,272.7572996,191.0682971,346.3192113,398.964511,470.3022318,530.2343882,563.7248057,615.9197376,593.6743134,631.1802482,486.4326482,468.9007679,426.0121226,193.4602388,331.5378773,429.8649687,443.4587929,488.2740073,412.7952239,488.9204953,580.1506278,550.17058,471.6307215,801.0493488,546.6576678,330.9658749,303.4752147,399.3952917,191.6380289,38.26191288,106.9220767,-586.3312106,-396.5996152,-483.3615512,-551.0700683,-478.0848454,-398.9229796,-562.2993487,-401.9427114,-482.0680103,-581.7889463,-547.8056676,-691.4470932,475.4185082,-941.4815953,-823.8232233,-932.3842525,-842.5208556,-850.8848938,-654.2403777,-411.5668669
Samcheonbyeo,2,-21.13098776,75.77138432,115.3376508,86.47827195,-67.34193335,66.79593597,91.73073726,157.24711,220.3412868,195.4179031,278.515622,90.35851314,417.3400113,57.95269027,162.7806608,369.1842388,45.64985182,284.835132,376.1117126,509.3547864,616.8501499,603.8805554,665.0482408,718.0725832,673.6095162,726.3047759,744.9820697,782.4033741,814.5681985,586.1101777,633.9509154,622.7860304,752.8357265,703.6909789,690.2253204,699.6343266,715.4688142,686.2057942,547.8517186,629.8656338,705.3024982,730.6264044,647.8578106,731.1607314,774.0338463,622.6235324,494.0278863,-159.0071047,9.992129981,248.3267718,334.1869916,202.7137759,177.6983336,16.83758865,329.7049099,717.3178552,641.8313155,365.9397269,405.8251407,540.0310164,426.2702416
Samcheonbyeo,3,-8.519098547,155.8535146,153.8831822,-208.6706027,-191.4091713,27.93618279,-209.7643703,-284.1556881,258.3344718,299.676805,276.1054455,250.4131155,392.6308473,488.3957693,298.6264371,284.3503695,324.1833626,553.4164204,472.0351643,521.7888024,506.9783545,612.5807017,260.6318834,322.006685,252.1812198,302.552741,711.9457402,730.6281145,734.7012086,736.2998772,772.0254294,831.9363465,794.4053955,889.5330259,809.8415753,786.110272,703.508906,864.1995521,280.2141467,349.302903,315.6565225,-69.12890137,157.8017762,245.7732766,424.5727873,610.4120267,591.1817665,686.9118012,777.0603803,645.360284,155.5244983,198.8440925,231.3582189,-11.71374127,-100.5510255,20.98680394,-47.56448113,-438.0673805,-674.3927996,-868.8613293,-1029.360207
Samcheonbyeo,4,34.10828833,147.0159158,155.6431022,-205.0788554,112.1364935,127.6578627,186.9952287,173.3161953,73.51180104,309.56311,194.980243,313.2140611,301.6213146,466.3579157,468.2901174,313.583198,339.5235366,393.4488299,417.246164,409.7796624,212.0915251,358.4749576,399.6440157,413.9952297,457.7534572,484.3345489,512.0170082,566.2991836,554.6792628,633.2007654,631.5077543,560.9118043,518.593192,493.6656839,481.3937839,603.0027046,646.7354753,373.1788586,378.3496448,478.6268132,464.4915294,549.1628993,533.8124658,541.8630211,436.451437,570.2973638,485.3574571,436.0983807,520.0137851,474.8566581,570.6457666,571.8524334,461.0350029,121.2145075,-305.1308307,-293.1122899,-215.3722548,-187.9039333,-321.3920953,-710.8263904,-232.7974769
Keumobyeo 2ho,1,74.269254,182.3721684,-317.0595475,-256.0363942,-49.62227864,63.37853236,296.393915,378.4731442,320.6920454,378.8668375,338.1973963,331.3299662,353.7681799,383.3684317,490.2261895,501.5944473,501.8932352,482.6805907,620.9057378,673.0579477,581.7229358,614.0024647,655.4174031,684.370295,745.6835107,793.8172801,830.049838,875.3511289,881.9910403,835.2941143,920.98842,792.9146479,866.7463864,277.6412724,349.9946976,566.1751927,495.5412809,349.032766,367.2496714,390.0908324,371.4424437,379.8765912,334.7237517,294.9754107,302.7845309,-441.4416283,-261.90903,-443.6059374,569.9204538,618.3250812,-27.3177332,12.36271568,-99.55235003,-6.660161735,-6.914179132,-2.057863052,-120.8390939,-156.7832388,-25.69878563,-72.65777226,-26.81178542
Keumobyeo 2ho,2,-197.6393102,-123.5846779,148.2163858,142.050219,151.3568531,212.3815453,323.0338854,295.2393422,352.1502811,205.0650004,298.6664547,407.2439295,303.1438243,438.728688,464.6710278,632.8108725,581.5920988,620.8727642,368.6491296,334.649159,528.451936,466.29756,583.0053506,644.7965311,715.1836215,691.9482267,287.7079107,362.4745322,499.788199,506.5575251,577.5564612,797.5989875,799.3612112,790.0091968,789.9678766,700.8739023,717.4410548,703.7720248,684.9193158,705.0703259,721.6843366,701.1624652,730.5052216,706.4795034,669.853541,643.4966936,722.5327861,727.0716731,764.6992175,710.3026306,634.2064599,762.6393983,625.41997,667.0694734,658.2054009,748.1020291,628.0407091,760.7892869,517.9107982,658.6452026,487.5186926
Keumobyeo 2ho,3,110.7666399,198.5554818,231.559458,291.6351034,376.3162404,111.8019685,-26.33622904,149.6233255,299.9984823,408.3772818,237.4781842,275.0917663,81.21820449,156.6390242,294.0415422,557.8105447,618.4256623,381.421128,465.2764611,632.458351,739.1241543,280.6352888,376.3560129,447.7675481,443.2380053,516.8240531,638.7329904,681.9709163,655.4493722,757.3946598,730.5355869,748.1798882,738.2421165,665.6516309,403.8117545,670.3382459,660.1368823,523.0451683,580.3747574,545.0512355,654.279476,654.4471698,686.7501264,674.7005787,718.7927526,829.0014436,806.2201889,761.0746339,677.7828645,648.129226,650.8361336,426.2894478,380.2145475,393.0604125,321.6710423,741.7343943,413.5791956,-9.087973663,192.8696636,78.98240617,248.8424126
Keumobyeo 2ho,4,49.31943399,176.3067737,132.723507,153.3913653,133.655502,148.6841718,205.0191541,257.7105603,248.7779519,336.6874388,326.8055262,353.9227276,500.757481,477.187055,590.9406395,239.3445227,250.7917369,355.8821457,472.9950662,500.738594,585.9896684,592.5066578,631.7115822,684.3636847,643.7176493,730.6160893,814.6473119,817.451332,839.5100216,859.378952,652.7950258,437.1617287,543.7913093,496.2596774,601.0961535,660.0177438,726.7149899,693.4041937,701.0537463,587.5038112,656.0240918,606.4524543,611.9027209,636.8921823,633.7844746,641.4778022,588.9959209,557.5597887,389.6913737,381.5726272,406.0095428,-25.72579489,-31.61940813,-90.23139198,233.5094489,156.6887308,415.920817,215.0419646,-206.0707111,-818.1363327,221.9145062
Undoobyeo,1,32.11771225,47.93882355,-214.6879041,-56.86785813,-186.6051977,54.69233925,-315.4754591,579.1618194,212.1999037,40.01825127,144.1856261,432.8532852,-42.28015746,-81.62650818,150.5628553,-45.52024024,-398.7348051,-10.41930554,60.65112262,258.5214942,219.6020358,355.2296325,489.9183845,201.732491,388.2193529,186.9296819,388.044492,628.061511,678.5708331,263.8478262,369.0021327,348.761409,455.8697892,419.7477873,567.8571947,507.4647983,633.4868037,683.9459772,650.716913,699.4770298,719.2833792,725.2597096,852.3126249,929.4930729,909.2078788,866.7166762,843.2753606,826.5359723,916.4836698,950.5531198,944.1210677,985.8756344,935.0174054,785.3003363,772.0701788,713.5739245,862.0506765,835.5322845,441.8387844,313.2806635,-132.9938411
Undoobyeo,2,117.5074328,378.1463462,-380.7962628,250.3125112,236.2572833,123.8766432,398.5326313,43.03486439,378.6063993,445.0000596,312.4144147,386.1864146,312.6758726,150.4211756,183.5218001,143.2252511,167.7744103,220.9327569,303.9745726,428.7455598,756.2725964,156.5655323,354.8489621,420.372992,493.435366,530.5666174,356.3306795,455.4374986,618.69738,552.2491076,654.1663515,602.7677195,103.3542604,84.91439299,482.9017304,521.4186906,344.4121537,493.0862743,367.0598539,291.3343994,178.8557619,-94.91912289,207.5199523,-90.88136616,106.4512855,-79.97156247,127.3181783,-146.172622,-121.1669583,-235.1668005,32.44655822,65.08424056,-126.732385,-86.40045348,-61.03702415,31.57794567,212.2525524,-189.9130501,-46.02561565,32.92515386,-316.4999713
