Cultivar,Sample_Number,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61
Samcheonbyeo,1,119.463494767583,121.659934119279,117.927035228922,121.15823433408,119.985088337713,121.096161735506,120.760203915966,121.125265855128,120.80967648868,121.25472374631,120.196559711681,120.490207288587,119.491807514438,120.331868151306,119.006831851925,117.711324916558,117.240437656051,116.346967811012,116.263371287796,117.235147388825,117.331082712854,117.076076294163,117.744690783269,116.287009780648,116.168821767208,115.955387272249,116.147623404425,116.304678533166,115.959019710287,115.482234152702,114.838535058579,114.19073056235,113.365326643012,114.07271462562,115.039357048574,112.593473408071,112.174926955957,111.392159324743,110.320166045436,108.997067437686,109.467215185035,108.603285344926,107.653434484015,108.32461127678,106.286657988602,106.813406114912,105.411593322172,105.986058562232,105.014358432468,104.261159026609,104.355859786231,103.593743702708,104.356484287109,103.909183313627,105.068267004673,105.138980502535,105.225422545048,106.528089421765,106.630419418007,107.767262408523,108.248941245148
Samcheonbyeo,2,118.31715728538,121.843645394666,120.672476272649,118.35674072962,119.153650458407,118.879406230399,118.785857015986,119.801407811081,120.376114585079,119.00847866283,118.674899530683,119.176787971445,118.773710464832,118.614381936723,117.609646191822,118.063182097618,115.007247621378,115.2303537453,114.762851711494,115.698805472507,115.598771945048,115.605649579201,116.905854422059,116.238454717841,116.205574989935,115.081832613619,116.102892843181,115.837233113606,115.818907225642,115.248835577053,114.429697565468,114.977932551088,113.48320143139,113.875269206421,112.809084885883,112.73048741022,112.200609751114,112.347535242256,111.681870906504,112.056480867691,111.318080595467,110.327876919976,110.837094073331,110.256968499949,109.117878419216,109.88022782412,108.100413539253,108.854018209841,107.410778187483,106.140195888221,107.213652377683,106.772005859832,106.132640406954,105.209749266653,107.349269985376,105.844889908889,107.246596854218,107.424853291543,108.541887229,108.092090558367,108.757166257166
Samcheonbyeo,3,120.896463932107,120.774889328436,120.893430332648,119.709036523929,118.426513462528,121.052623588,120.185640931222,120.548623093381,121.42969069205,120.728276271982,119.99713940985,120.679282364616,120.287144093921,119.853832754796,119.201645129604,119.426211045745,116.168595352811,116.45005650828,115.832555438251,116.339553313304,116.597999633245,116.607341256306,117.997165226917,116.851493847131,115.921384088989,115.385832691098,115.866253177761,115.402344241132,114.812597775282,115.65951670367,114.905235581681,114.104825469056,114.114073316515,114.125436946335,112.807284951258,113.175641404076,112.064196746634,112.103158247849,110.059681846019,110.591456416019,110.806144185227,108.804669076332,107.727845260471,108.152902083756,106.407487617846,105.855945222208,104.203984597135,106.2341750436,103.794158432501,103.875898615479,104.229337641301,103.842517084507,104.306857686961,102.315178424044,104.313924847162,103.413732436689,102.825896625952,104.712965741132,107.073337327976,106.462151648105,106.75160175384
Samcheonbyeo,4,122.732707734221,120.960193392425,122.032578568078,119.457629835435,120.765880934975,122.111791123011,121.594118531756,119.687018612255,122.250937390795,121.141739486716,120.67927540647,120.97846977868,119.241969346659,118.582118737779,117.74563723719,116.502398333671,115.555258694903,115.268179463819,115.707394456866,115.921666495366,115.788753706788,115.625141367423,116.263680756891,115.416686526338,116.050705109202,115.149415893857,115.721314436239,115.042346979068,114.824871802487,114.961869177137,114.390521068338,113.604773003048,112.893600386028,114.998895847218,114.613102320501,112.629439532416,111.806444458024,110.665711537859,110.56056406479,111.367165045475,109.510929345552,108.290206490619,109.772041657069,108.668931229582,110.535015613208,107.035881526531,106.661434780143,107.487708763799,105.232082481649,105.828061418892,106.179023374858,104.736088882349,106.020592217859,103.013723270696,103.966007547698,104.124468779916,104.354845973088,106.200254981753,106.500343757366,106.230461493963,110.787016813229
Keumobyeo 2ho,1,120.757381982321,121.004730105732,119.00157175674,119.521431074084,119.95010728402,120.604158662343,120.150002969768,120.655522920543,121.817630819815,121.214433892154,120.077553504412,120.560990484047,119.71635082867,120.274067561756,119.463457799847,118.335901547901,117.746053739973,117.004039340623,116.923788282125,117.37934501466,116.989365855572,116.592765304714,116.75996011932,115.457489314075,115.444034884586,114.470278132328,114.774639884957,114.382524132365,114.127928563036,113.479606588736,112.77904609061,112.346115523967,111.994010073246,112.618814637646,113.723337124035,111.412923065098,110.570168375182,110.036216586109,109.570031006028,108.860803263568,108.728472661817,108.271899965006,107.523293329441,108.116655401645,107.598797329474,107.025978628031,106.131916014092,106.540942493298,105.428308124197,104.340698822702,103.637151039894,102.519962437057,103.168891701017,102.194393900623,102.71243691997,101.083447913509,101.313680397112,102.426384199695,101.837550466291,102.50209510669,102.551265063058
Keumobyeo 2ho,2,120.610489823306,120.151049879658,121.781403881433,118.505978992728,118.316027377205,119.638032821683,118.855667122485,120.448782405265,120.56248818858,120.61131772138,118.660093646695,119.069633100394,119.219304032611,118.606818421064,117.74905151535,118.935029815641,116.300900691691,116.993016133454,116.034426712487,117.550753662907,116.526261376327,116.207730746806,117.197192749038,116.258071185849,116.365823730509,115.143007909579,115.992054350298,115.708062849883,115.405721777502,114.855177100203,114.606710613813,114.810001565432,113.349144178655,113.686220999032,112.285623673785,111.914308695776,111.33264479846,111.472961648954,110.66194665243,111.051963611636,110.513466111808,109.329137631978,109.953706053484,109.170140813058,107.987014321724,108.931394236891,107.323158374614,107.745993134207,105.714981589468,104.932287094686,105.32119934258,104.518884535743,103.924058077335,103.183258522753,104.651819781495,101.292627368723,101.587273095441,101.60305303676,102.191767680787,100.566910497376,101.760770760819
Keumobyeo 2ho,3,121.649988226984,120.329563463478,121.295902565605,118.990454470646,119.623863693647,121.755150602049,121.309038626609,121.50599746706,121.344658027868,121.27544125268,120.585570697819,120.766722475534,120.822979493365,119.384349807869,119.463319960822,120.115583002688,118.116717179087,117.590235931296,117.125317412082,118.217684025059,117.656097837061,117.47617348759,118.17015685267,116.660717309687,116.220766449099,115.853723672842,115.424909422757,114.912287345927,114.268295873495,114.521611784894,113.626560086732,113.259507535625,113.590935852208,113.254973436673,112.783845879854,112.206703180959,111.072665002141,110.81348392981,109.420863607055,109.746994784583,110.20372406224,108.507721158253,108.121187886314,107.844862893251,107.010977732381,106.701261553835,105.567771697904,106.744500519131,104.847206027418,104.99775295306,104.638569504676,103.605719992613,102.788469558602,101.134644699513,102.811059978337,100.797815394744,100.677814981463,101.26223374385,102.904594387843,102.978386079953,104.117273768183
Keumobyeo 2ho,4,122.902056807052,120.373278786669,122.241836386392,119.330358797829,120.653038491687,122.331182643222,121.536326287127,120.411559658658,122.532314074842,121.712646487172,120.282511641699,120.977334401807,119.842425482065,119.674355477733,118.616947643467,117.833438100293,116.811032282085,116.951785485895,117.365197655397,117.291507549841,116.958165276142,116.614309770672,117.08793722695,116.099222804559,116.159439402399,114.871411528578,115.318181853061,115.017180976577,114.650872918327,114.831738781557,114.199511732968,113.435465190097,112.190551208163,114.070260822582,113.700931370329,111.425750030431,110.878190475942,109.743980911984,109.331382777353,110.425444768874,108.660743553574,107.553259426226,109.224503063947,107.641556056475,109.561130480977,106.184468043337,105.556698526096,106.054944861119,103.082254668214,105.049891298326,104.533646023615,103.548188988471,104.130996011013,101.680111359028,102.437683613521,101.959469701772,100.492340970043,101.634188123326,102.517587549912,100.256467283909,105.654490016705
Undoobyeo,1,121.731757151197,122.745013774105,119.902929292929,119.993228807152,119.640704500978,120.039790917075,120.100777098627,120.081683943869,120.24251599309,120.382037987642,119.040792724161,118.940772480302,118.355820741625,118.135446928751,116.983361698254,115.003026982588,114.100177917415,113.440965830062,113.052652036178,113.898447160681,114.466206541924,114.465378628779,115.164141005711,113.611752176358,114.018840455464,113.485247772065,113.549834963006,113.360929722075,112.237613194672,112.315869336375,111.448896760838,111.413776098762,110.80483790748,111.949304836983,112.41793545715,110.370938468262,109.542144252827,109.553506176672,108.36643449327,109.672773114071,109.398823092179,105.981696675329,104.744904890215,106.044885933934,104.114782311879,104.018507415037,102.111878826434,103.242573877748,101.409846461605,101.933486208615,100.764383293799,101.631819942275,101.995330635417,102.374195208413,104.2197852374,104.613574847088,105.475485556138,108.005164876449,108.611693783944,109.582867572188,109.184297267326
Undoobyeo,2,121.861462511571,121.14548769371,119.58841624187,118.88838584496,118.57130620985,119.211066732948,118.864724004284,119.319772935568,120.172427863037,119.501362984751,117.661969569232,118.431884361532,118.093639352674,116.945878609165,116.026126177197,116.263313624639,113.309805553972,113.425616136583,112.422112225364,114.591294334986,114.451701794348,114.917786965053,116.304346187708,115.273422480167,115.125366402661,114.571635205581,115.174007712061,114.5605264856,114.093458604878,113.877218599752,113.452954366075,114.096755316446,112.460315518523,113.073695899024,111.519986631553,111.11626838673,110.462338873311,110.284055216527,108.908316976538,108.511682392814,107.127964543653,106.014962701014,106.492993424598,105.920937352896,104.152785112526,105.422538190115,103.465994870207,104.985306546401,102.848294529079,102.437664436578,102.67544610051,102.536648342292,102.72405838096,102.198697347416,103.693600340656,102.343695279912,103.97811739364,104.234130213348,105.036772852264,103.76274698139,106.074980938784
Undoobyeo,3,121.697652132247,120.568797489263,120.684495021337,118.765494082744,119.452405322416,119.995479589453,119.997592772373,119.78470745058,120.511764478988,119.36001794214,118.157962345126,118.565974980692,118.636446629883,117.415137663131,117.074140862557,116.783190571013,114.043101073477,113.855499341227,113.131709845361,114.445850618095,114.468518583338,114.888149621777,116.123896727915,115.167841227239,114.640102675681,114.569992925956,114.789531984058,113.662610387814,113.199043791171,113.53691373203,112.603843687011,111.861070532745,112.693341978462,112.825181354647,112.248330467469,111.672368532159,109.896179262365,109.973673811366,108.87744249822,108.347281028589,108.310801117444,106.555813031123,104.820099873929,105.378958015703,105.543601883356,104.577595971124,103.357082890288,104.893591896966,103.159998616799,103.13217786005,102.167100951201,102.577708552697,102.652479282388,101.640170205868,104.320601336966,102.890184178635,104.80624448882,105.843971930017,109.282586944792,109.405974499403,109.124366599269
Undoobyeo,4,123.217109526896,121.75041514447,123.868686868687,120.328304789938,120.802580091389,121.696267656618,120.463983460806,119.753321073631,122.144876551422,120.927659374154,119.42152752618,119.976100086671,118.73538793265,117.179620488402,116.147324480565,114.673791806917,113.551417178088,113.26282417621,113.551117267308,113.20049840285,113.635827826724,113.840732955228,114.513952985769,113.639851564452,113.828860768508,112.472534811553,113.375841387995,112.763534049839,112.054719186581,111.568735072459,111.243860784612,110.770408464097,109.518916311348,111.948954129928,110.361234057562,107.265565263398,106.205130271016,105.004832788995,104.250582175231,105.475204249948,103.169207721271,102.299361730665,104.212357038785,103.367642815628,105.12117643524,101.523233531653,101.578651438065,103.791853214524,100.821649533147,103.71354685985,103.292156169608,102.248725612421,105.981718315737,102.006523108951,102.961194019212,104.087556771097,103.899773821868,105.20137207464,107.694003116128,104.414595508273,109.457416108805
Jungsan,1,124.315631047087,122.058521437955,119.240137221269,119.012541549119,119.281323225362,120.34407314827,120.644554764648,120.673797650477,120.957654783544,120.517771934345,119.276868594326,118.850253220971,117.216760118642,117.750385803616,116.570450791293,115.174350292525,114.686174639558,113.673673053779,113.902199936028,114.92275439111,114.801184357013,115.098582986235,115.376374199289,113.677472985572,114.056325330459,113.449743242643,113.688479778267,113.54932805394,113.355151462385,111.695038631343,110.812264505469,111.662975654493,110.221397096145,111.514102290522,112.160126579058,109.894096435311,109.46481253412,108.966206909727,108.021670447607,106.997051266032,108.10201428809,106.849486680447,105.886868812273,107.139276791976,104.781206610204,105.204419713656,103.143091785468,103.813514022049,102.081888375117,102.528501218294,101.315420131606,101.629921549783,101.577285183494,100.676998593252,102.206650557389,101.681996562486,101.809708023523,103.815189787106,104.252785736348,104.099806972383,104.525151121066
Jungsan,2,121.913936781609,119.777762029622,121.006264561222,118.938990315493,118.672422629608,119.226947601885,118.74814532725,119.551553577719,120.455229547103,119.607449912849,117.772670066901,116.900431010692,116.328159658201,115.883292247052,114.401550124993,115.468501911843,112.323437561472,112.658797375952,111.976357749891,114.30705218076,114.481129342703,114.407375094327,114.920098907014,113.572979206526,113.432442007799,113.290419609647,113.95726727416,113.168465728998,112.538350677191,112.017285926377,111.393884858026,111.568847486617,109.535889866121,109.85503890424,108.901739174327,108.732824162413,108.38061872597,108.39062613278,107.074282326207,106.986779211521,106.173572451549,105.369608790321,105.890124982426,104.903485692533,103.297770957794,104.03954330738,102.040707049971,104.209306267098,101.959922548546,101.611367671453,101.827706541692,101.401980779495,100.867329138701,100.386188218353,101.982823542037,100.002669042538,100.902660471423,101.84024665293,103.247905566605,102.445936077045,104.335955017369
Jungsan,3,125.642988929889,120.735999314951,121.849422991567,120.096625315047,120.190280449529,120.964539185584,120.205860836662,120.436249169088,121.55328543088,120.539425430523,118.729852749125,118.248640459474,117.673072708688,116.020291390044,115.65456863246,115.954690168877,113.089665255786,112.974622399035,113.076271953648,115.988311692233,115.201941533309,115.004062346288,116.30884996164,114.456443789064,114.062061664374,114.113927126535,114.156916058809,113.142133527822,112.529997250218,112.768048302007,112.070062825953,111.040297972204,111.32264063374,111.21908270933,109.156289425277,109.982582036209,108.606739134736,108.30330853156,107.131133892868,107.836317788985,108.432897809119,107.040876023444,106.492207375709,106.012524829229,104.271292357039,103.927707126559,102.375092045552,103.73082826204,101.915927539334,102.278702718964,101.588343948845,101.980519870563,101.543685030309,99.6026293142163,102.747034430652,101.222637130261,102.212497884791,103.475903060039,106.245607403237,107.15796252416,106.721257656772
Jungsan,4,122.678095523282,121.157936040808,122.140297616085,120.877437603993,120.981294878407,122.434575233981,120.96775489786,120.66317040018,122.409793763897,121.111292465699,119.375895874951,118.896400865255,117.506385405377,115.916744196245,114.486029964792,113.586884123689,112.752182726853,112.745662361699,113.679914524248,113.397068759159,113.216085784201,113.426297598525,114.570283789394,113.054822837815,113.734755093151,112.209252952438,113.247011420685,112.349090993435,112.269178819515,111.839223523438,111.627449140939,111.071454244946,110.393532763166,112.768038717915,112.18522513401,109.781578312453,109.311801045396,108.065993960222,107.963313235321,109.151110859779,106.983886536171,106.015356056357,106.861701498563,105.810270209345,107.098955716728,103.026725580312,102.589059916774,103.600148946831,101.249280566993,103.527298935331,102.961444228992,101.670807399947,104.432590622452,100.845408367631,100.667088284673,102.087947329768,102.553997395539,104.211386860868,106.655120179139,104.528014515028,109.239844647671
Saesangchu,1,121.478243927783,121.343334564254,118.908263055787,119.409301672053,120.312803730992,119.997092322122,120.123504441475,121.289616545105,121.243590766236,120.379239090799,119.476,119.558949361395,117.217573804408,118.179696134293,116.657844397181,114.999666109765,113.937331128047,113.875647183686,113.584796727591,114.763851370006,115.131609359185,115.283038720539,115.806953701394,114.2119557745,114.833985505403,113.79959126266,114.082548851962,113.863755636717,113.389497055644,112.945044747006,111.604682181294,111.960844022086,110.97906524274,112.293637591012,112.776400740239,110.734312466349,109.736211345635,109.2510906027,108.264891960455,106.586388243437,107.579773282859,106.092066884123,105.089155551849,106.732760151436,104.334690477926,104.939520047382,103.78174783081,104.470563649707,102.99984049711,103.506762698124,104.247177956916,102.560778815192,103.955850104964,103.59707737962,104.900226694591,104.916943830358,105.887149091015,107.295391038993,108.751901236997,108.631273345115,108.221808997613
Saesangchu,2,123.835873388042,120.358119086304,120.373905209949,116.991657511673,118.414276033431,119.268497851682,119.505953671973,119.958517186335,121.353949042233,120.111477461343,118.752585640491,118.608120933884,118.404690539501,118.055842709788,116.532614118432,117.676360776987,114.196597936348,114.694476679428,113.944370894616,115.945644951522,115.890748490698,115.99137694055,116.49136048181,115.953961227687,115.991924952774,115.517358822033,115.525743286968,114.586995262603,114.57104552082,114.046925614194,113.611468524494,113.366721441792,112.384343003067,113.271187208715,112.157167357514,112.037137100363,111.631772004106,111.168594749411,109.532219354151,109.886411896169,109.149374023786,108.275267759647,109.100726499,108.154839683127,106.15786580189,107.329532224655,105.167391136603,107.410671376607,105.731086194791,104.071102313389,105.500057805502,104.999751089192,105.286986995897,104.010093876625,105.797792149752,104.025874739916,105.377235922765,106.12310501991,107.566127698489,106.015477234871,108.858271676417
Saesangchu,3,124.170639899624,121.764517369568,121.361374198482,121.321798865042,120.096355807603,120.198405313483,121.437550496649,120.973329381005,121.765516397194,120.845951869548,120.580856251253,120.022137368816,120.702917645117,119.45998674573,119.70764138622,120.562833572931,116.778977832771,116.907530983165,116.49553980277,118.072854286689,116.695474578093,116.617727967816,117.551607710047,116.037336229783,115.572800371028,115.413029132979,115.468572600646,114.257526335358,114.058818157495,114.40758887106,113.822633684599,112.537817134128,113.150857792789,113.295978884254,111.650171573327,112.446937757131,111.113422071144,110.579064265366,109.806875457452,109.730675523434,109.975980845386,108.324358327965,106.804025237093,107.233337237169,105.443619738372,105.53049687898,104.584349547802,105.841008109411,104.852086063655,105.229803717398,105.027501197049,105.040130281635,105.365907630934,103.712970774608,106.720739775885,106.082774571275,106.534313755267,107.688313830631,110.49542514807,110.395522267019,109.923470824604
Saesangchu,4,123.731963688485,121.016231930873,122.433253039045,119.420279700681,119.824197028799,121.756709308655,121.175801706691,120.616347291612,121.594625110393,121.441250834086,119.621174084685,120.553430522875,119.49613336878,118.005436978733,117.025343298585,116.058796800914,115.140841124418,114.505244499276,114.823922039781,114.856341849576,114.687093262292,114.945126094409,116.062404581258,114.420583743502,114.578479665429,113.036882951055,113.947529541981,113.186024751542,112.756397071923,112.570758054933,112.570933973638,112.273730987157,111.620802720447,114.031085949806,113.283752771099,111.117414603938,110.553906692295,109.93456850642,109.518884799375,110.304996564918,107.693703024316,107.531251032738,108.059643343165,107.04572749971,108.274396932712,104.640628178467,104.56407835156,105.826745820374,103.212374950322,106.351789923417,104.842369342541,104.738528288461,106.027700546605,102.675345922039,102.181608279813,102.813171824172,103.431063791947,105.303001676337,109.302954072866,106.000334541017,110.847946551557
Manho,1,124.262423095125,120.444939316334,120.213396825397,122.163995864564,121.168161379886,121.494837409891,119.830970063106,121.477943496933,121.447103090362,120.834780838648,119.453491577904,120.150401652997,118.445025220017,119.148091114396,117.697760489444,116.043048223977,114.907665388624,114.504257380309,113.939019785121,114.953496578475,115.224705901495,115.191533049561,115.548894559077,113.972256446066,114.486969109232,113.121891633961,113.733912905058,113.949487617866,113.382778615375,112.186418440712,111.362901693123,111.856595106195,110.516153179418,111.788317111788,111.478974770489,108.858619682824,107.489903015423,106.193355677074,105.015645820919,102.694528003684,103.970803829544,101.880767417634,101.095288479708,102.762064047095,100.10387196042,102.121092235444,101.714030357491,102.54428618993,101.872353758031,103.104154302921,104.201187293902,102.185298680469,104.393427353866,104.071719544417,105.562402193114,104.037546796435,104.540204418223,105.872382399431,106.165015724307,106.280652733079,106.554023876703
Manho,2,121.257908611599,118.414204391434,120.960561894084,117.060442714978,117.202459911007,118.598424474187,117.690128091456,119.6501143158,120.630631694618,119.354322093696,118.281017980749,118.249323224879,118.322315648343,118.163390615623,116.25496061148,116.760341275917,113.961674831609,114.147300830344,113.560032556205,114.671089020792,114.31887532715,114.448322772181,115.136094658904,114.413521123943,114.346109762761,113.741213813719,114.348096785664,113.372861196458,113.542951415028,112.400794863956,112.015595464189,112.456790949514,111.277789471968,111.900107244723,110.353086653979,110.646651498371,109.781616079571,109.804254292966,108.859744149156,108.417998677942,107.535851412011,106.566901343056,107.162326999428,106.198145425598,105.160951726244,105.224538926935,103.352541980845,104.637774319877,103.196243465145,102.352604755172,101.937104951777,102.103460065749,101.987470914203,100.882884285452,103.02530162505,101.126201977741,102.27759110639,103.309453643113,104.910518633861,104.474842347284,107.410309690391
Manho,3,122.465387035872,122.744244408074,121.469639003335,122.119224012831,121.37183051133,122.560724089324,121.138221864088,120.343208360806,121.614043263395,120.683414694053,120.047253371484,119.16483931778,119.73137378602,118.173433828979,117.557607514681,118.584041427725,115.132030073066,115.040038570764,114.661372981996,115.891431926668,116.086973537031,115.905427099308,116.958734897558,115.348411732313,114.975557466486,114.781488652541,114.30960020715,113.703370667635,113.349043282889,113.433464009128,112.749360666791,112.049063738145,112.173967946313,112.715382160971,110.918601313263,111.028596273309,109.988171463325,109.586731631992,108.117482115474,108.323118694829,108.453509864316,106.795004651713,106.547775139657,105.929824232394,103.998672139063,103.889421838829,102.604887905869,104.335293862021,102.663845311672,103.22088114807,104.16819295901,104.281441994177,104.951714026126,104.76880138281,107.325200972621,106.441727523673,107.23082657729,107.740858375037,109.992922325673,111.38277856034,109.520576488455
Manho,4,122.672089927526,121.867516415604,122.109977143465,120.731723237598,120.000190560884,122.342764469657,119.91056713524,119.639478392722,121.663039308558,120.565764373887,120.190448116179,120.073660199052,118.840918680347,117.477332275632,116.052830625988,115.039894494274,114.1037547582,113.481466194988,113.850428540062,113.883268489667,113.572756584587,113.556702160035,114.648267574147,113.87000190649,114.815495639989,113.184280857294,113.858075358555,113.584921377354,113.385368442909,112.414377342548,112.282724588875,111.999889855944,111.047279674938,113.549002083302,112.521799784649,110.241997106846,108.870398237618,107.337070270354,106.451067913607,107.836938583268,104.137663673347,103.270681374068,104.95685914585,103.605277488557,105.471757036343,102.991083128762,103.60888630858,106.206881406353,105.746029767758,107.964542870048,106.325733093398,102.856733580132,108.593261780986,104.941065186521,106.07159218559,105.381697916167,105.910477265519,106.852452658543,110.536102848785,106.487304890487,105.915247970814
Namil,1,121.610387772431,122.201480263158,120.435389238695,122.245957276902,119.704967846795,120.264640282172,120.602869801631,121.84283576108,122.009031395381,121.818253294895,121.367899139525,121.574903431262,120.041673740711,120.578128518276,119.507003959254,118.426539719896,117.149755971969,117.239554311512,116.929920588678,117.228357136301,116.947872531852,116.908227735475,116.855935566065,115.05366190609,115.150840030003,114.639578788476,115.223940818582,115.322039247504,114.52460614476,113.616377914401,113.105396391587,113.153557077105,111.896277093189,112.049575348354,112.474913962649,109.67705237033,108.081270832297,107.424869593014,107.312503279472,106.220528297208,106.992625420575,105.739429196809,104.433109435565,106.193876660482,103.441173762689,104.200138684441,102.741256660968,103.289012955807,101.666827739323,101.363749719668,102.42600982265,100.802420855428,101.858973743019,101.955015057269,103.211484909814,101.495108495529,102.102595174263,104.776514267559,104.478182684266,104.79854593006,105.229181146119
