Cultivar,Sample_Number,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61
Samcheonbyeo,1,-128.2802585,-81.66483689,-220.9605689,-178.6937361,-201.4581631,-347.2232057,-372.3951481,-215.8048041,-384.0140425,-424.8315287,-516.1695906,-245.9112016,-321.0701564,-355.861421,-352.0613755,-508.7569366,-517.9824483,-578.3736678,-478.0743972,-239.8598425,-567.4237131,-481.3743742,-568.3580329,-754.8069913,-635.3691241,-726.7700979,-758.0920445,-792.6081046,-839.6800143,-868.9514759,-962.2526017,-875.2443801,-864.771129,-731.7864277,-759.5033891,-823.0853846,-769.8492745,-803.1173361,-881.7048756,-871.153233,-830.8679169,-692.1656589,-912.7426473,-849.5827815,-664.4516012,-702.1091067,-686.1889382,-873.0784857,-754.0915335,-982.7149897,-936.5602229,-850.6125671,-1000.206066,-1129.758675,-1074.922879,-1161.414864,-1153.837216,-1232.776922,-1005.687542,-1160.088149,-1050.791301
Samcheonbyeo,2,-104.1151224,-178.7182326,-164.5039417,-269.9215834,-230.0420052,-231.3915408,-314.5397218,-316.4158761,-409.536663,-397.5321993,-186.0971524,-296.3004768,-322.0775532,-422.3375407,-403.502054,-302.1964203,-360.903411,-418.452883,-533.5496916,-335.475194,-373.0278446,-350.0491817,-652.2579464,-741.3888196,-609.3061709,-729.8181793,-727.3927827,-799.4762979,-774.4785415,-765.7733682,-708.56816,-717.3739586,-713.4456878,-815.3013499,-830.6215774,-961.9994034,-1019.764987,-1035.024574,-1034.968851,-1161.934981,-1059.344813,-1107.553761,-970.0742455,-1037.39014,-937.9533568,-1055.007613,-1076.412343,-1107.72134,-1067.995042,-1145.615042,-1081.056146,-1074.873163,-1175.741571,-1239.797371,-1227.395632,-1181.073873,-1193.80194,-1204.977195,-1215.109266,-1191.244234,-613.8410281
Samcheonbyeo,3,-70.72758497,-81.06506259,-192.4506706,-229.7900006,-280.6859425,-261.2395686,-251.7013215,-312.94907,-262.3724559,-371.9224766,-398.387642,-401.7814112,-547.2087808,-496.0256624,-436.370633,-379.4538646,-397.4625824,-334.2034193,-318.1170878,-395.2761703,-466.6692604,-437.0218843,-363.3344968,-369.737675,-436.9760262,-712.4021404,-657.3210802,-616.0363258,-751.4117636,-655.1381377,-837.2738049,-940.8875709,-940.7338643,-964.9669997,-987.3427597,-1031.456578,-1006.839773,-1072.393011,-1036.277656,-1192.177971,-1194.036938,-1212.391388,-1204.353362,-1180.213605,-1166.406466,-1271.49488,-1236.138512,-1235.804183,-1184.582402,-1291.115777,-1285.71895,-1278.74545,-1283.974757,-1334.717606,-1242.436286,-1241.584635,-1246.421314,-1075.417467,-719.418003,-921.5654012,-1020.7669
Samcheonbyeo,4,-61.46179698,-103.0907639,-198.499676,-238.9164814,-313.7468629,-270.8805603,-319.4464463,-329.7549927,-164.2188373,-352.0851163,-396.3097589,-387.1706995,-417.0230372,-319.3273297,-432.8910763,-448.6248897,-468.982963,-374.7281055,-334.4181144,-109.9749485,-286.6687765,-376.56402,-385.2687514,-386.8247211,-193.7046676,-351.5533311,-551.2040266,-445.7059241,-501.47316,-415.2760288,-446.7270575,-395.3291476,-544.5866574,-598.9057144,-585.820281,-563.3682532,-664.1784582,-602.9113935,-630.9331406,-991.8750393,-1036.78905,-1056.783048,-1038.405442,-1078.766495,-1055.447278,-1051.612139,-1018.227963,-998.0917628,-991.7204827,-972.3862178,-845.7254065,-1073.776115,-1183.313397,-1109.209681,-980.9897151,-1217.784485,-1213.592729,-1215.938244,-1180.70918,-1084.974052,-701.7295424
Keumobyeo 2ho,1,-61.55030498,-151.3990319,-239.2043844,-177.2167311,-309.9925785,-290.1704402,-110.2302687,-275.7040993,-360.5746432,-278.1645206,-393.9919216,-352.7249399,-459.8719661,-371.1598396,-417.65272,-335.4871819,-361.1100257,-360.9951165,-505.7653321,-601.1718347,-516.3069664,-568.1904537,-588.1765474,-440.5615772,-410.4097244,-448.2876075,-576.097967,-533.8326769,-548.1733246,-533.4800186,-630.6780416,-525.5395707,-503.8638332,-862.0078745,-869.48001,-970.4188535,-1007.778093,-1002.782488,-1019.283662,-1000.566063,-1016.474281,-1023.817611,-1018.758778,-1069.127039,-1042.727441,-1097.650482,-1111.907834,-1117.347108,-1115.839902,-1048.457692,-967.9287034,-1034.570411,-1123.948168,-1083.036363,-1114.395561,-1013.869282,-1182.370579,-1162.199136,-1262.394646,-1206.500489,-1124.971234
Keumobyeo 2ho,2,-196.8856349,-170.3856224,-206.5797483,-247.8302588,-224.6797725,-109.6367308,-266.8828596,-298.7245424,-344.4393786,-423.6710031,-240.6746896,-432.9714764,-400.7750722,-236.4658786,-321.0343501,-268.3308013,-286.4333581,-254.3430013,-230.6374664,-311.2671555,-211.0622838,-185.9298735,-316.4058873,-259.8436454,-407.4561174,-329.4147419,-325.2652951,-331.6506259,-289.6214594,-397.8195267,-494.5947833,-628.0537559,-682.9249749,-591.5609062,-603.8162745,-636.0072886,-771.1668896,-867.7632682,-893.1381378,-658.5973596,-728.5464241,-440.8927114,-348.1663179,-517.6183965,-510.0307623,-557.1071391,-611.7510625,-614.400419,-846.7612223,-901.4384408,-737.9364881,-968.7343309,-1031.296675,-1024.863863,-956.2693407,-759.1649232,-895.4468033,-902.1830952,-920.7927097,-1038.425614,-1014.03668
Keumobyeo 2ho,3,-74.57356359,-205.3720794,-238.6822331,-318.5837116,-335.5163021,-265.2718497,-146.6985161,-278.7507138,-134.2835401,-280.0342112,-456.7025815,-303.4956096,-351.0408982,-334.0569694,-278.8697054,-454.428835,-527.7026308,-669.5650575,-391.846422,-411.9735243,-612.9797692,-595.9813318,-646.0053968,-629.3425485,-659.6288601,-751.1753692,-842.3856233,-867.1293464,-837.4436016,-878.3307261,-799.509501,-714.0484457,-681.6603572,-602.1282924,-787.0805229,-908.3050584,-942.985143,-823.4898256,-932.4287006,-888.5754362,-871.1178947,-810.8196788,-868.6674305,-842.5896258,-827.3179488,-941.2162491,-887.391694,-941.6389534,-1044.954697,-1058.422905,-1101.967071,-1091.296956,-965.8798823,-1007.382061,-1158.870379,-1233.98169,-1242.931154,-1323.377827,-1344.176041,-1268.781094,-1212.419324
Keumobyeo 2ho,4,4.444465844,-138.5125779,-215.0716749,-207.3474499,-225.1797863,-365.895524,-259.4804268,-304.6061943,-200.4105847,-441.4654025,-520.7254372,-328.088085,-192.8131301,-196.747717,-363.664029,-343.0264285,-446.4754964,-431.4249659,-337.9726776,-339.9038211,-239.2375832,-373.8141985,-372.0888752,-738.311499,-662.9918788,-596.8903482,-556.3941268,-488.6367988,-572.39149,-579.6808654,-525.4048194,-600.8878649,-380.5953749,-798.3379686,-626.0045475,-675.5094972,-728.9974676,-876.4880648,-753.6163206,-756.7459746,-722.4795315,-644.1418136,-1089.42724,-1045.379448,-1047.307302,-1092.336741,-1091.709893,-1162.491268,-1130.818179,-1192.943193,-1188.471677,-1200.425062,-1172.40895,-1213.323472,-1230.736483,-1284.337596,-1231.885975,-1303.675087,-1307.743907,-482.6437604,-1252.95517
Undoobyeo,1,-44.8049648,-172.9541985,139.9315566,-231.5211612,-321.0322025,-350.1414371,-423.0257358,-490.9740097,-545.4700742,-530.082607,-629.5568948,-667.0815069,-682.9728376,-727.1978812,-736.6687678,-796.3944972,-768.177094,-756.4943056,-750.2957571,-784.3318094,-792.9792977,-882.8537107,-947.7015941,-886.6170871,-641.121596,-688.5049851,-800.0282614,-619.569779,-736.6379321,-830.8469153,-1015.937253,-1116.601148,-1170.663779,-1200.965696,-1164.281454,-1019.392275,-1187.653826,-1109.262952,-1173.453766,-1254.197361,-1244.873594,-1251.458692,-1193.990867,-1186.195298,-1194.446465,-1118.65498,-1200.039373,-1147.585541,-1015.190526,-1078.448242,-1125.348906,-1279.140466,-1297.337022,-1304.278874,-1303.120159,-1251.285821,-1190.063743,-1259.145743,-1228.273686,-1230.475541,-1067.221232
Undoobyeo,2,-90.96325685,-178.7157024,-369.9052685,-40.1293797,-324.3436442,-367.8204935,-408.2247311,-416.7325884,-530.1094494,-512.1643655,-621.7122125,-610.7310755,-678.0198814,-667.6622625,-680.7437706,-709.3844562,-735.7249631,-651.5841396,-737.8143631,-711.9912238,-620.3283672,-847.6025436,-785.0271819,-945.7198091,-871.2885293,-812.5878159,-673.7442879,-789.0379819,-890.8680014,-991.5124958,-1049.671879,-1164.805486,-1167.040893,-1205.419936,-1196.02681,-1180.135967,-1216.819161,-1181.857277,-1217.134345,-1201.668839,-1162.585453,-1153.755725,-1029.944506,-1153.21844,-949.1762728,-929.7110636,-988.2206214,-915.5158225,-975.480132,-947.6957528,-1010.114163,-977.7281642,-969.0308933,-975.1883049,-828.9710543,-632.5222165,-831.7713592,-964.0755737,-901.2090915,-410.0924792,-515.223597
