Cultivar,Sample_Number,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61
Samcheonbyeo,1,114.035004730369,110.790719171751,116.476945729912,117.584281282316,116.150769230769,110.312322420457,110.056067792997,106.873493319532,104.357393904422,101.776739959895,103.618686989599,103.165061701236,103.277700791389,100.613570469146,102.209949605779,106.05537271004,107.261811489945,106.21287284967,107.938382225843,104.767334734875,101.834876378286,100.723797492976,100.162366049018,100.69711765523,100.019060031421,101.235959813191,102.031274781735,104.554063660424,105.263991559934,105.539983644956,106.18628461851,109.232941120819,111.754404051251,115.613706210111,119.053637134711,119.136229754682,121.049449865607,122.06469855587,124.197606186065,126.935353034471,127.91573961613,131.120505821143,134.280280843975,138.202482069762,141.922773171047,146.660693897153,149.537302608567,152.542589718188,155.171250941974,159.079444283441,160.156223840106,161.880514067948,164.729987757681,164.427800962493,165.033593583956,168.752624703877,170.701868454157,172.237137912541,172.368249968879,174.733701797333,175.327290951377
Samcheonbyeo,2,116.142913541255,108.240746943561,112.463005685095,113.071598214003,113.116624031834,109.051704984544,106.945960420962,105.03661068772,102.334255281331,102.124556120714,104.366412194341,102.580108312299,102.464945152641,100.468926383098,101.025618135405,106.209385528718,108.595813662284,108.447319659539,109.532336321685,106.0536494648,104.136015626142,103.25870214774,102.175592752346,102.429270223681,101.292538969072,101.661366142418,102.802533315527,104.112879383167,105.318521827673,106.090814258081,110.294928696404,112.700423519639,113.860600008847,115.799514603789,117.811768667901,120.47647467561,120.645896496824,122.229358579176,123.606044531206,125.693888586995,127.001789304885,128.478006013717,130.182265592752,133.035143558811,135.01990261199,138.296895757455,139.801921741337,142.327702939155,144.791745923095,147.116862894491,148.595507868109,150.134784680075,152.372995020918,153.405617157991,153.658563194749,157.923605127421,160.686032990425,161.17327811914,161.893932213452,160.897339522107,162.271350887385
Samcheonbyeo,3,110.405715571557,111.352021497496,111.474137931034,115.856862892892,112.567734417613,109.878414874831,108.910787926876,104.252672265364,100.250002505136,99.6752902643347,102.377514367816,103.652488975945,100.009856793673,100.251352418837,103.833010921183,107.111745580646,107.325555432939,108.62970100242,108.426082758127,105.985584807842,102.809752185175,103.200752589754,102.400206605387,103.083440489421,103.881270745103,103.278817672522,104.292832101921,104.89416632954,105.010238451862,105.969822782064,108.408481192118,110.832685086966,114.777810240064,117.363312973541,120.392813124833,121.051214464898,123.965033948714,125.423145319888,127.648679713183,130.060044335698,133.650280443317,137.950579624702,140.552785857731,145.421585822646,150.016696474365,153.241493241286,157.594015672469,159.347699179698,160.806394429168,163.171445641793,165.820070980244,168.127912059532,169.740251006559,171.337494460874,173.604084212197,177.928791921344,179.356339930797,179.771512002331,180.816598232056,183.062598480113,182.141265489498
Samcheonbyeo,4,111.827419124982,107.743880251406,108.25871680519,111.719939515543,108.256883374372,106.655387334315,104.064852987813,101.848849205706,98.5790618945567,98.577500462763,100.541421836446,102.654122994306,100.460333727954,100.008591446744,103.08964374526,107.312062791205,108.926087262765,110.310426500799,108.901567273936,104.914544216762,103.152512379405,100.817758733251,100.817647164772,101.507329408152,101.612695862197,101.930181990398,102.099759671573,103.111428729594,104.543163212958,107.10643861064,110.22663480749,113.138487307182,115.322463719744,118.619809849683,120.360029085389,122.459279947291,123.132292757529,124.897937152538,126.079775321673,130.045903533848,130.59494763072,132.473023570698,134.020873068432,136.425776765775,140.401841673566,140.820302498208,143.811750048002,145.373907392645,146.983062085338,150.497460982718,151.100425105145,160.047736935852,156.718807665527,158.071500094183,159.646011658023,164.112789436369,166.373685869243,166.963011598652,170.064032006593,171.348183179443,171.529768822887
Keumobyeo 2ho,1,111.544675090253,115.151873767258,111.38030194105,109.987518242569,109.224237132559,107.248139425341,102.172985198289,104.052536768017,102.966837180408,100.187134145684,100.732741312291,99.460896898757,99.5928543045524,97.0736740612997,97.4018578814752,101.704621093972,102.900374620057,101.743273796066,102.791284170471,100.292803849264,99.1835473254864,98.9275826490693,100.050525170287,100.467481745494,102.606921027937,103.097093662459,104.455305359128,106.362673293133,107.263338849205,107.508989065001,108.470849591088,110.464364967577,113.068786395967,114.078638896681,116.745248128692,117.302117890948,119.75064764907,121.76152462217,122.893476740227,124.909674612018,125.225122745463,127.510484054485,130.074591953554,132.595718008134,134.620118700881,138.128015392668,141.766777047441,144.962157034991,147.260099761801,151.031717993128,154.744647565078,158.254045830742,162.320494050015,164.065609019665,167.561320565754,175.125381227359,178.44994054392,182.477778487529,186.272851060151,187.524610419561,188.316254763576
Keumobyeo 2ho,2,113.023424428332,106.675742399661,106.096990243096,111.688937660913,106.902890695574,104.382479567638,103.29661770433,100.338240079631,98.7306485514972,94.5000901028281,97.5488626694768,95.347115528027,95.2968068291427,93.3236153809907,93.2510326389552,96.6702172981805,98.3514588989512,97.5220409093487,97.7020996769017,95.0395554008058,95.5215056355102,95.7834516361988,95.1905806777761,96.5267429762329,96.7953079465912,97.6973700286673,98.7548721387854,100.457913847461,101.326975571277,103.12732652602,105.016224658868,106.525175827503,108.306809693374,110.537853300229,113.456656860056,115.60709795274,117.819564139931,118.851914673219,120.388836346721,120.839709814861,122.231502155125,123.600230111127,125.031572225434,127.915054611887,129.274593727663,132.813787164048,134.611626788699,136.669310086107,139.959276897352,144.051842612386,145.529532338702,148.941335121668,153.526944074579,154.402301239498,157.092999683244,164.803105943485,170.615218609284,172.488455183552,176.784529508713,178.987763245658,180.341022359914
Keumobyeo 2ho,3,108.752432582708,112.0565008726,110.489551624846,113.227393334748,111.771900672143,106.140495674265,102.75772718114,101.624123046603,96.9905764474602,94.6699544565631,95.8017796145131,96.0630796055982,92.9381643880669,92.6977917805978,94.4181066398336,97.6907602057158,98.3813193333823,99.14263306843,99.4228771109035,96.2302361467303,95.1362502195804,95.0506030350325,94.7661529507035,97.4946060865184,98.5463237499278,99.69550580748,101.476158218736,102.165786669704,103.453402766954,105.082233811399,106.751127830994,107.922997471987,110.818452567538,113.817818750517,116.27462780318,117.617927957967,120.954036830878,123.627518827857,124.763129175684,126.374450743635,127.225863419044,129.650906976247,131.918430251233,136.065600163585,139.410425187767,141.966141030702,145.97887048523,149.494859309987,152.532960337667,155.045512003667,157.646913728871,161.681188782378,165.000198926178,167.624958725818,170.363367470666,175.838641409351,180.454697444067,181.783306390389,186.492226674663,190.199521392631,191.303722321705
Keumobyeo 2ho,4,104.005915159709,106.125396672757,107.334415584416,108.480946247369,106.000569812165,105.230161254802,101.424592076455,100.53190245532,99.6801073618287,96.6720087440653,96.0172133926462,94.3548237128705,93.609270563088,93.8374626383812,97.1704278984559,101.001878138975,100.794270294093,100.565101938613,100.071060746424,95.4295692902963,94.0004469250151,94.3558480510129,94.2978299518677,95.9009339896891,97.5136167460326,98.1071202874476,98.4107669638187,100.434528596922,101.688070499178,103.056540164602,104.933111028528,108.237112519153,110.480549945002,114.391828964144,115.258169735479,116.638793281812,118.218135625925,120.773681801589,123.031355241708,125.958190699377,127.337392491652,128.992377283705,130.761509059198,134.341132917921,139.447858511195,141.491388097769,145.863810847952,149.858655794282,152.790908118129,158.924958356647,162.564916974517,156.292189911596,170.551008110409,172.84293319113,174.426126962025,178.94875850944,183.378381085821,186.93720050666,191.772817687145,191.531598669472,190.708224274045
Undoobyeo,1,117.153411232567,116.305182760502,120.692479378942,120.685164167004,119.796649865078,115.321972639221,112.354594859241,112.438736467637,111.311933122814,108.604474577175,111.716523792359,110.974539666773,111.338129294804,110.140833529778,112.753964770185,119.721262539169,122.078985953582,122.360745864859,122.776616062776,118.473537386589,113.591159064062,110.845487452818,109.95498788948,110.236591075913,110.604833068951,111.454317692004,112.697835774813,114.718903830748,117.343919482044,120.284468410804,123.240995376275,125.065835836313,126.364577839786,126.77809291133,129.018923769725,131.009205830248,132.358742715771,135.297460711731,137.63991793077,141.794207637605,143.140318403881,146.243266258495,149.847775550938,154.187240231435,155.559056371329,159.608155835111,162.980404410898,165.179022209366,167.63877180309,169.03315800754,170.294552448887,171.253148325318,171.608696483912,168.803047255446,167.693650962851,170.117710825842,170.827933573607,170.869930763352,172.090378671471,170.74753024556,173.704219215506
Undoobyeo,2,114.817496443812,114.753556126821,114.831736776343,127.042113296562,116.557126309693,118.927533725355,111.911843692046,113.930103204128,111.482713847965,110.84841182317,110.839008210978,108.997467078454,111.114955234616,111.440202422485,114.793896914682,120.340466282264,120.65355673878,120.842850869116,122.564431623999,116.848215402266,112.286587275075,110.326872337159,108.786415191758,108.299254874808,108.160522078674,109.086024948669,110.069664786822,112.338315432515,114.974518122232,118.11012638734,119.746392639382,121.737392048303,123.625748373859,125.837900131759,128.352827421625,130.481996449563,133.374817318543,135.864702652294,137.85711546624,142.086387251264,145.659933323774,150.338850402458,154.398526567809,156.514397372035,159.060040399086,161.893735792307,165.683839510469,167.01710880595,169.58801727195,171.267357446144,171.564935689476,173.51460292885,174.869744529338,175.453761890193,175.126427754425,176.921166281956,180.114389519717,180.539804361974,183.095414051783,181.948153627525,180.71112437785
