Cultivar,Sample_Number,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61
Samcheonbyeo,1,113.00671620463,111.907204198473,119.245535248042,111.496383724542,111.805740973278,108.773796245385,107.166282420749,104.56291531448,108.576421225227,104.756007465726,104.309146563772,104.197561326713,102.96346170538,100.353861890301,102.492396144508,105.820541572533,107.610521536376,109.048533383529,109.163764403724,106.968572114715,104.703150472083,103.144868334369,101.561725979653,102.769547341073,102.905699100733,102.748409217559,103.589762019139,105.169335141762,106.190119085963,106.842075903543,108.905209263225,111.645363826818,114.314098319583,117.5065993619,121.075209495842,121.545492769195,122.735035557182,123.930054169921,126.53909364863,129.044267123069,129.877173604652,132.536002042798,135.015163106049,138.031782567593,141.183048223229,144.932267768274,148.698526462894,150.923568946273,153.458431521442,155.865108036899,157.309599437504,158.589949708069,160.978331136051,162.03548452658,162.668396530298,166.976394739678,168.989142723752,171.188673809213,172.021956941501,171.241337152633,172.564405732109
Samcheonbyeo,2,114.789794068126,112.70056805768,110.791294802654,111.000633656196,112.207747356428,109.670083740498,108.22401914033,107.655044837238,106.506818244938,102.88333515672,104.381746072323,102.389083820663,103.050676314331,99.628045625807,102.634049570706,108.119197769299,110.544622788147,110.919410971443,111.165638330904,107.891020786421,104.750891751918,104.008878387229,102.959795166382,103.660603369782,102.793156096806,103.274674479003,103.384120819497,104.320427185657,106.382778532929,107.409641879507,111.81866062659,113.320783966595,113.877054607325,115.621412608934,117.711528747191,118.571120062478,121.065860176997,122.028189425276,123.758269358503,124.995287324161,127.002854472668,127.552367587165,130.451688700519,132.844461457713,134.337283049776,136.654594842129,139.596343677236,142.294665879868,144.367018761694,146.28664508287,147.493923586613,149.071426265204,152.006876412071,152.229114459415,153.313101045467,158.818591751565,161.87484429531,161.749257870025,163.810817688003,161.747615783094,165.397609843065
Samcheonbyeo,3,109.921593030492,106.926129548181,109.546705853539,115.263118274808,114.597684655982,108.829622237469,107.084825177916,106.953647441923,101.18814556284,100.807107460618,101.395677330959,101.231892474686,97.9399678022479,99.966930922965,103.162910231874,107.030332579682,108.248151949564,110.602830184016,109.79007087238,106.049480435774,102.453780680084,101.232364090558,100.556007252731,100.522556346082,100.369182995862,101.438462991397,101.073622287163,101.416035993442,102.604617121827,103.802725024141,106.196320724252,108.714334862563,112.680151419749,115.677196026554,116.843858536667,118.110064319429,121.257518932619,123.246038270752,126.030959319718,128.884427848704,131.569799667432,136.516254289326,139.16524622404,144.054752134161,148.504855330877,151.291106868307,155.743766700629,158.082366783095,160.571873048849,162.626798499885,166.068045518016,167.678349788377,169.945511888974,171.085264395888,172.334358683774,176.772869979343,178.908771155812,179.092374307994,181.031609049913,183.903972090998,182.931144093523
Samcheonbyeo,4,108.659433869218,106.43846208921,109.29003021148,110.000632463064,109.114680642516,107.093661830502,105.624422139193,106.322097820948,102.626802123917,100.077206115587,98.6123510204859,101.482591970703,99.7076914920207,101.440990095646,104.248525982245,109.127246237106,110.529275794219,111.831898543658,110.262528905667,106.078208441171,103.77570603147,102.016544881507,100.435604613788,100.501709211599,100.416070377867,100.369914009286,100.855820021534,103.484804194916,104.0121907675,106.421817428549,109.901588653912,110.966181514062,114.542730282004,118.477616717903,119.699986430621,120.894952773798,121.666553223877,124.634122239815,127.542971701833,131.012797240016,132.100778266734,134.448671328451,135.628574976865,138.926612383452,143.034701119023,144.780330828819,148.157862080621,150.39560687135,151.667009440093,155.235457282184,156.945385270761,158.446575253883,162.347266459678,163.656341215216,164.849316942255,168.442126434383,169.024495920905,170.32478033434,174.179965424528,172.585475706108,172.396164077298
Keumobyeo 2ho,1,117.085850556439,109.741063936902,115.832371903631,112.698142118368,113.727660179003,107.552626234653,104.506308368669,102.478711144691,102.058851715399,98.4203332524402,100.503826638943,97.4875870476527,98.0057332432119,94.9374489659956,95.9071462811131,99.9030985134721,101.548092901333,100.991658515121,102.016208716628,98.7348094555958,97.9103421531107,97.0258664654784,97.7702756646403,98.7277802067148,100.338334441623,101.479181478416,103.345875717109,105.854857981207,107.316017152827,108.764157933961,110.289862896497,112.528355032214,113.439577746054,115.943526379873,118.189189295636,119.448771884059,121.531472361501,123.146683367131,124.701838872893,127.041014322995,128.278364248669,130.510379544026,132.836741550398,135.354912908524,137.193518642776,140.590195480208,143.459794529978,146.557276577347,149.390263982114,152.613799114279,156.950178423676,160.509900444065,163.633000156489,165.655693882907,166.059006410833,174.07908443325,178.013690433792,183.488839518467,186.127267887831,187.624593523219,187.765779515997
Keumobyeo 2ho,2,107.348263118995,108.7352297593,101.93456681351,111.000063657776,107.819266145782,103.658024450355,103.660591500993,100.371158040321,98.3229040595304,95.5544340958787,97.0951637426478,96.9097522607257,95.5574064354763,92.929994210374,94.6825068291274,99.6618051003527,99.5388346935359,98.5914133252201,100.083283700804,96.8813622934228,96.0111295883871,96.5262271281132,96.1464451074506,97.2889602045551,97.7670291199276,99.4026144297404,100.171316342351,102.179707917942,103.841508045685,105.211761435832,107.446943410711,109.240551453565,110.786589406394,112.039643671954,114.498077758277,115.492566671944,117.407451726031,119.337733381866,119.947279666745,121.56213114773,122.735828667827,123.791037796303,125.874124842799,127.975820329507,129.83019968958,133.040689177843,136.254406902527,137.479760836493,141.243672201267,142.714343801896,146.151999991003,149.380981581006,152.462019155301,155.378288385902,156.894922632812,164.544827084906,170.198323872044,173.308472482219,177.543972704833,179.309167304354,179.966752044948
Keumobyeo 2ho,3,106.075487846628,110.10756573889,107.371582676749,107.341003424302,103.101512644765,104.015525890901,101.03328197766,98.1828145221289,93.1079795516115,92.1134987373599,93.1858565634925,93.3673856614213,92.1348327855882,91.7677712411898,94.0107428134118,97.0430671362409,97.2444760308059,97.4227725891117,97.8391391045585,94.3959944173767,93.2103585428543,93.6090402620089,93.9246275593082,95.5599506825047,96.6830386167183,99.02486845112,100.761168026279,101.708050829249,103.182253007446,105.23401248331,107.270046134949,108.31254011064,111.125141994097,114.342338956551,116.818208621697,117.158733752723,120.144370994387,122.862635016788,124.709746174946,125.423427536886,127.014666449796,128.742622689091,130.334273092936,133.648038334156,135.793896897371,140.84096546103,143.814081024784,147.576306408955,150.861768983798,153.780115231365,157.567735581915,161.232636435095,164.883604296246,168.78819541248,171.009142527063,177.059246261745,181.946307603166,183.728402511827,186.93573479444,189.754426267949,191.36686842831
Keumobyeo 2ho,4,101.338797108931,104.423125686755,105.14619820014,106.211944733323,103.778574064363,100.74989193395,99.5975989830987,99.7731229998018,95.653629005433,95.3776858470708,95.8968215369155,95.9787656507653,93.0433185743125,93.3003592990309,96.1109866076437,100.10952970297,99.2183662752639,100.503126545364,100.445404932725,97.1618133617659,96.9688280555159,97.4784491391967,97.767519354824,99.0171172139286,101.554873425961,103.661790867599,103.197519549907,104.62703202297,106.53324836177,108.052004408218,109.185952416375,111.235999052185,113.431417741432,116.327086866416,117.526771368508,119.32324119808,121.071708170555,124.452744199958,127.10020120977,129.580029562856,130.949684749791,132.007375288932,133.657581436747,137.369343649381,142.200546892451,143.924318328518,149.156034922632,152.16847476469,154.915716334653,160.807233071141,164.629771859855,157.041172820055,169.907271533805,173.036699469755,173.59724132118,177.602107630026,182.819482765063,185.118919280883,188.887928517734,189.853492165139,188.784690111227
Undoobyeo,1,126.014084507042,116.710283818651,120.885256837892,125.13764624914,119.016760987357,120.63201532567,118.63427057424,114.479946626001,112.389490210565,111.379703735119,111.290046286705,112.247356667442,113.466276426532,112.726056475868,115.060963978207,121.861777444294,125.691552857039,126.058304039433,125.691249274409,122.763903818135,118.170459523467,116.249813530694,114.488803194923,113.969698017569,113.756413608741,113.436762491935,113.745373051681,116.448469108038,118.140117694805,121.662185847553,123.752441746732,125.09809580339,126.168788317649,127.436304825321,130.562705996354,131.099177380604,133.467414175466,135.046491441849,137.174052772895,141.396177995198,143.708964561397,145.806467154773,149.683480889657,153.381805561493,156.453569743618,160.159497928801,163.94220031414,164.969079898042,168.048237466834,170.198914502258,171.995394971341,172.638158141258,172.734471546605,172.784587402429,170.525790027814,171.754180855983,171.133092441507,171.754095547795,171.949730438722,172.07292932548,174.769857534454
Undoobyeo,2,113.880391847053,112.733975903614,120.964985456342,119.298708620829,118.241647127784,115.749901526342,114.505113063517,114.450272637999,111.674099421965,110.050466323091,109.769744788359,109.159918594924,111.312857431903,111.156870438672,113.250933979205,118.736435334492,119.545232879196,121.293228282079,122.807276097241,115.266185676514,111.655339827046,110.063750159695,108.961214163764,109.312365896266,108.349171030373,110.57967186121,110.477662058776,113.064296973007,115.636643979896,118.129690891895,120.367504361331,122.68777205425,125.010627450464,127.054057264034,129.661691687599,133.202668139733,136.216804957042,138.198655961706,141.569336921484,144.67642199868,148.189641419626,152.367253724354,156.604250711313,159.231825706936,161.469059148526,164.736673484588,167.105140852907,168.820179193629,171.915290885541,173.5333673517,173.822872661667,175.478931268405,178.188451291573,177.794246481717,177.510335750867,180.361050291074,183.078105521735,182.082800313867,185.560030457942,183.936609278126,184.123310765633
