Cultivar,Sample_Number,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61
Samcheonbyeo,1,66.7651844843898,64.7933998890738,59.3129575094657,64.1548802800096,60.7432347140039,61.53693654491,60.5162376307982,61.8776337115073,62.223613806851,61.9119227984181,59.5359641422605,59.9354824650609,57.6664406215259,60.0002263813032,57.4494910139809,55.402258587046,53.6480168635193,52.4396011292936,51.1662878663908,50.9442478392899,49.7073829183181,49.7082927174305,50.6915495065425,48.4667215684718,48.3364632988826,48.2897648401014,48.6076928088758,47.4165068207597,47.4750113619767,47.1218502028162,46.3415634817042,45.7444289756068,45.0483627572141,46.0706337970672,46.5184935803541,43.5482881261255,42.9825176852379,42.2173447820138,41.7169865851015,40.2419572053192,40.0596763479279,39.2538842615276,39.1088756672476,38.141692083172,37.5710503555793,36.8531058083434,35.6719146607964,34.7025577065188,34.10222079556,33.7850378772547,33.3387225763036,32.9262636828022,32.2778504528342,31.817446031909,31.3478694701011,31.3897039874244,30.7264884372632,30.8609143670185,30.2412139035081,30.60195989599,30.6574423938628
Samcheonbyeo,2,66.9753257007501,61.3959135823145,61.0254181428689,59.8334019443301,58.3107724010517,58.8189480293663,58.181095966223,59.5914012230183,60.9503968856076,57.1465388808458,56.4540933279796,57.5263152207738,58.5357331340387,55.9974813764873,54.4199134484976,57.1647905932421,51.3311234072796,51.3075919086968,50.3549307808514,50.5736839069818,49.2407302590881,49.1997128577815,50.2785754874928,47.951294903301,48.1393951784262,47.4184699814288,47.691125725506,47.0444414986164,46.7754785614755,46.7501684941304,45.7547684913091,46.5557180920107,44.549375728017,44.3098366803437,42.983375651156,42.8506775922394,41.652105566444,41.4537308323963,40.6537497170826,40.5093332298268,39.94399493566,39.12511180143,38.8147682651906,38.0906243260354,37.7581597586637,37.2237368310843,36.2661722772409,36.0878769863857,35.778596808646,35.1242880619911,35.0719209540817,34.2500379752953,33.6327691303878,32.8732062692658,33.3609197037058,32.3713561806776,31.7649418119414,31.864428632503,31.6241644907959,31.0365286864389,30.7073790869172
Samcheonbyeo,3,71.4144914491449,67.8611212898498,63.6705989110708,63.9034069495741,61.5002231368077,64.4843841972231,61.4004468433856,61.0829614533188,63.3618016934716,60.3520502215037,58.2845521829421,60.8608822138811,60.5105786450431,57.8499502761262,57.1921073505489,58.4844852540183,52.8770707633241,53.0730186163646,52.2458400391021,51.9540225772609,50.7262954402552,50.4966645645961,52.7873853066625,49.1955347590806,49.1863249095567,47.9143746453404,48.586464995662,48.1131109265351,46.9431554608712,47.9520684465295,47.4369669846429,46.0894470542675,46.2294535612405,45.7119226909842,43.8349611547985,44.4257918944443,43.7611923160924,43.0332971769015,41.7647972460375,40.9628297740856,40.622598053033,39.6352525495995,38.3053960259457,38.1775084093863,37.2071218751873,36.3499062333502,36.0241220924643,34.7478026068501,34.3667650045102,33.5637579970607,33.1712638304504,32.3347080938699,32.0208421034245,31.8686088937681,32.4942904693301,31.530842812467,30.7543064131926,30.9081654949284,30.797211414136,30.4830306818828,29.4309432362041
Samcheonbyeo,4,64.8867037195383,64.4830466424082,69.4238799918913,63.3549390793568,60.1071120207221,64.103823269514,62.89013727178,59.9251781151929,66.0521457629768,62.032112667366,58.3018694402109,60.381397192029,56.8673694943961,55.2844569954155,54.6676532534903,51.843563644765,51.0972257979899,50.8121999176373,49.3089241725367,49.5775879647461,48.9586310342031,48.4658141535145,49.4121673092428,47.8597855428308,48.3228228349314,47.5020437319331,47.4571954941521,46.4388095001756,46.5574809376739,47.8788378011432,46.1942760107044,45.5966794754024,44.4735048996702,46.176422632893,45.6649050862486,43.1637648046605,42.0526187815101,41.2828493346615,40.6054702485251,41.3458157741535,39.7706856281509,38.8933826577137,38.8898342328683,37.9385999685278,40.152329246272,36.3631077547901,36.3116463635782,35.9669601081343,35.002592788859,34.6772869029947,34.2697480623023,33.1703365839892,33.5732128345396,32.678857036764,31.697615031939,30.9640663219596,30.1047033533559,30.8069351932645,30.4786784502279,30.0539679777062,30.0978676093278
Keumobyeo 2ho,1,64.027376654633,66.7967209072978,60.1711552286678,64.1375297641908,62.8810979022545,61.7562568692102,62.3610072329086,61.9411969067257,62.4145910582206,62.7150926920769,60.1187680203579,59.8637328667503,58.6176777838311,59.8467617778475,58.2574350709556,56.978856982016,55.2356255973763,55.9570531983487,52.8956919158617,54.1569039576535,53.5831096402417,52.0396388143905,52.0558808592963,49.6569628489509,50.5026655750394,48.9823535020667,48.8362911547778,49.1255157606913,48.3653467089779,48.1534502501055,47.0610937429446,46.4951571967684,45.729310445048,45.8698798980859,47.1834721981694,44.7004537202196,44.2345051427875,43.4307106668996,43.0538165836145,41.7390362940077,42.0030743263608,41.1574745772796,40.4188568023401,41.1758300749098,40.2225737722316,39.6527343710299,39.1562889609345,38.4084709992273,37.1211619240325,36.6890255412172,36.5561626867481,36.4303178172192,35.2984838500414,34.8221460160895,34.4819037650145,33.1062966374586,32.5232472260012,32.7493874960592,32.4766464218557,31.6450554858584,31.6192566700849
Keumobyeo 2ho,2,63.7343837144451,62.1975029978134,62.5771043492641,59.5453931540961,59.8270852152966,59.0590935461217,58.960511716425,59.4380419593806,60.2519132286092,57.9560963573506,56.1226351539275,57.0267283602457,57.393270060896,56.0063699542637,54.0837705489262,57.4941093302684,52.4959776873637,52.5767593298973,51.9604499762322,53.4175399474729,51.4971737643923,52.0796383771451,51.065816189933,50.0040075308017,49.7364859958261,48.6122673389476,49.1337641847414,49.0879789828495,49.2640127931592,48.2106921841978,47.7062042097803,48.4829977217463,47.0383660041914,46.7738795731416,45.6828560921489,45.2117879484293,44.2007653935588,43.5275183839435,43.4140083239117,43.2386225575595,42.8518644477139,42.2515391579348,42.257348036818,41.8240553289885,40.8221225181725,41.1357373835993,39.7315728187023,39.5722055882788,38.2446813394265,38.6948277011472,37.9301827474174,37.6460285911095,36.5278678985109,35.9420900517459,36.146687783761,35.3801515216582,34.5972014545064,33.3866761910678,33.8833821604793,33.2601161822722,32.1433869749408
Keumobyeo 2ho,3,64.4904086738949,63.9384089586969,62.5966680378445,60.6170929738909,59.6825242718447,59.7109191163558,60.4326818456579,59.2849844156679,61.1029319128247,60.1088678452836,57.5677778973873,59.3648081997315,58.2645275996307,55.2024395872771,56.2158156111082,58.2795381503362,52.7773273129023,53.1325809603528,53.254248671257,52.6831075661001,52.0022394902607,51.7325090228812,53.3292565036947,50.5803927168173,50.0580393069182,49.5313299442685,49.8221540503053,48.8324917851731,48.129580824134,48.8079218927301,47.4538869345969,46.7858370362349,47.330010169449,46.2572881798082,45.4467584283983,45.0627737509833,44.125123172948,44.1292969354406,43.0290248863921,42.5574417846998,42.5464486022957,41.9670861586526,41.4769154222589,40.9960504716651,40.1700978260664,39.156172774477,38.7654191730022,38.3432709432702,37.6303240032564,36.7491529767092,36.326826688828,35.6814610920708,35.1290620409699,34.2339008677484,34.0811079450069,32.6130428802579,32.4659235191596,31.8400584515903,32.1391658694469,31.329546363143,30.8234097790051
Keumobyeo 2ho,4,67.8026026702721,65.4816809308587,67.5516001855288,60.8247934403569,60.6959645088423,62.0869650329116,61.4383919581928,57.8754746394967,63.7641153613375,61.4372613314206,57.9749992294811,59.735116913224,56.9341802495234,56.5559855210244,54.2896794032976,53.83217878111,52.6813592992006,53.0860851008137,52.4499299765574,52.2185385059227,51.6993144803705,51.121985526672,51.2117748237799,49.6780316374074,50.6934121204493,49.0780369781886,49.2286751267842,49.3172785461643,48.7808375394221,49.732208001976,48.0927124869011,46.8682916984229,45.9415610852413,47.8977931801788,47.3475499405139,44.6449586912363,43.9184531819288,42.9718449987884,42.6918966483376,43.6980728172375,41.6497418080619,41.6350711132818,41.2394558657197,40.5600539139527,41.9009493832179,39.0404292857799,38.4173529528497,38.0287287476215,36.4200247789299,36.4761086135818,36.2709161974732,36.5859358334665,35.061435637355,33.9355061312147,33.8052911271417,32.9775905335264,32.2252022540795,32.6569155003196,32.6381722368127,31.4721181716757,31.4273001520843
Undoobyeo,1,70.1366377685639,69.7745771958538,62.3204269771955,67.0815565464126,64.5523649508681,64.4678439516193,63.1896401468788,62.302696235252,62.9714012035327,61.3831290040866,59.5640766454053,58.9649135842541,57.6619423176917,57.9202000607794,55.2708799429828,53.4437054939886,52.6827309736679,51.7823193466781,50.3175667522634,51.1902233521888,50.1809485531225,49.869641235703,50.701903012633,48.7691883330114,48.8678671708054,47.8476552440322,48.6628532954402,48.4036554810262,47.250965829546,46.9193282900966,46.5045076391014,45.3040864521255,44.642863594133,44.6686911212923,45.2489931289498,43.6537202275186,42.7146216353241,41.7428991305004,40.7190817607387,38.8453514451927,39.3345393051143,38.3003550221923,37.7560801471305,37.3699055105589,36.20062336058,35.5489879522507,35.3547841370824,34.7125960259879,34.5920558551861,33.8657735240484,33.7118348500439,33.4289457734551,32.7255438061575,32.0718870971916,32.2313991893891,31.9880488909009,31.7094446271445,31.4784612640279,31.844019675374,31.454610496536,32.2096491490281
Undoobyeo,2,65.1056899004267,65.9684661525279,66.8366751948593,60.4160682693308,63.5285631548465,59.4202964106112,60.3436971128024,59.0558022320893,60.3505574502709,59.1837091042764,56.8164462241637,56.8027859992279,58.261774337037,55.982481939001,54.7483081886506,55.3797584074125,51.3812733669947,51.2021539638449,49.5674217839581,50.5263010065842,49.324508132832,49.18959100453,49.8760749615193,48.8478829796009,48.9216214709801,48.6976576980465,49.3746771902036,48.624318451954,48.1282548573379,48.0874484859281,47.7703461323303,48.3162957534616,46.167512513119,46.587306127338,45.5049940192266,44.4067189784289,43.6777866159485,42.8307138124191,41.6717636571538,40.4703593750729,40.0408232129275,39.0020797533392,37.6007776584424,36.8127664745277,36.0800116486183,35.2630889215889,34.9319611225397,34.3369202267603,33.3641711341497,33.0249346814995,33.0893129700765,32.8443574188478,32.0188363424598,31.8447081552884,32.0937928593156,30.857155293197,30.405904171054,30.2689685207749,31.6987142060386,30.2217990721905,28.985453347296
