Cultivar,Sample_Number,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61
Samcheonbyeo,1,112.585543927963,110.197295423024,115.825658618111,114.148631722777,113.772287380632,112.498088252187,110.884545031442,107.618620384283,107.864378915968,103.446362757033,106.816115715848,104.271394501707,103.709267187869,101.52611237386,103.588987023394,108.056385140038,110.560574268506,112.747167706581,111.691513561877,108.175300837302,106.780701127805,104.807261670203,104.179817879594,104.069680941981,103.670163907194,104.073631037114,105.321643852652,108.225759541037,108.783284160059,108.732144288478,110.238574767637,113.399670714616,117.005131540472,120.507832114805,124.100678901204,125.052478494588,126.724210005144,128.033441562758,130.701286534684,132.683248778162,134.377328723541,137.091214895189,139.545853620541,144.370650514893,146.964632739242,150.858947081165,154.067679352304,156.794344826017,158.997619398467,162.031409294895,163.112457961206,165.400900041687,167.842924096159,169.022253391225,168.197780938926,170.606083539833,173.500950276617,176.348278423717,177.704265292979,178.362264150943,179.959491239942
Samcheonbyeo,2,115.041384406947,111.738473167045,113.209433419615,116.096944903168,115.418806700907,113.086514739703,109.875925103612,107.200028383288,105.971494844906,103.594521921575,104.159866446288,103.446977813625,102.599213285164,101.132959882147,102.990174936501,108.692363829703,110.447504446682,111.484351752496,112.206357153474,110.122368324832,107.036151397659,106.018774936829,104.780893982841,104.082022690707,103.929420804316,105.512665394726,105.706704178551,106.829605962853,107.577731190826,110.21723041537,112.66385612601,114.149822619353,115.643435305922,118.293309929005,120.884862865953,122.850023104207,123.023410846377,123.894121478962,125.319163239933,127.185337892531,129.952797860549,131.197196771837,135.076534235702,136.797185927952,139.371672834447,141.540278771107,144.318914751557,147.159579161864,150.076432590194,151.864378516521,154.602617322468,155.493510818965,157.558069326922,158.299558800509,159.136278776506,164.19376887574,165.897075888439,164.790514536199,168.949341576766,168.639402860154,170.794850091501
Samcheonbyeo,3,114.6414427157,114.002072148441,108.992947187205,113.522701511335,116.519057623049,114.735044941091,109.7810952907,108.510877984065,106.150021533399,103.698294835406,104.768275624325,104.8659715292,102.719132556051,102.016666875525,104.730795275701,109.283948954147,110.10618431715,111.801621541939,111.624497699233,109.196853919846,105.025835480506,104.123852063641,101.628961147287,103.252590966357,103.497635443062,104.497985352315,105.364004581083,106.470153337241,106.630731605596,108.017321629775,110.366562059557,112.158073482178,116.176625938703,119.368868975005,122.448001949984,123.286242753051,126.868540052418,129.379474629187,132.024982043353,134.292024102455,138.195207596134,141.449088426595,144.941124857008,149.354739102694,152.891224287508,156.676041780002,160.807959678226,163.192565701604,165.194201699688,168.655328590476,171.211990027553,174.20675867958,175.339209559944,177.985284196002,180.075042457512,183.351494144599,184.402036426942,184.397068717142,185.92607328241,186.796775650919,189.539826436219
Samcheonbyeo,4,111.987740275465,111.116438356164,109.098503262121,110.263090403932,111.436545415028,110.461756414071,106.881158599701,108.088050067134,105.124670614569,102.249185851836,103.792110934344,103.794953007432,102.43586478222,103.642682439229,105.603001287234,110.270059214889,111.764862905893,112.886759884014,112.558497455872,108.476115379345,106.585310963968,105.727156974386,104.81504885629,105.433391620272,103.731727411674,105.904318624015,106.827854243838,107.920789708484,109.3458544521,111.487817624577,113.395838843137,116.773596287596,118.691063310036,120.894798350067,122.470925851349,123.239357793957,125.481131427804,127.47597956722,128.886445131258,133.810698455266,134.450996588969,136.933749498264,137.944618661753,141.061426583953,145.005829533592,147.169966606852,150.495659869915,153.220230824553,155.224565725862,158.746916418896,160.872930581427,165.033723180077,166.454751363006,168.082737524761,168.672955355107,172.609287170766,172.70581418578,173.825204937358,175.863008671614,175.716361802552,176.618123527926
Keumobyeo 2ho,1,118.457965017867,112.963550361714,116.158022004594,115.509985595827,112.120067758329,110.100892898308,107.847007464016,104.275108028726,100.705257607246,99.5831551399483,101.114264462251,100.759844445099,101.483180276151,99.8738515934827,100.473534691601,104.926136790277,106.309283642525,105.500644774791,105.437307788773,103.940755349199,103.928979425204,103.782662796219,103.891959540407,105.162486144309,106.60013687966,108.353309685654,109.469274513992,111.200272398011,111.888737758057,112.819088839336,114.260088097971,115.662198420966,118.20374203594,120.205893326955,122.810918238577,122.89723086917,125.168733546399,126.850234551349,127.519697475047,130.062642382248,130.918845250184,132.386481602426,134.75954023695,138.34450364304,139.125741320012,142.926774413959,145.731121886125,148.556461687994,151.365854280166,155.545399909726,159.274552955992,162.681388936896,165.689527537884,169.723619670676,170.893194480201,176.981820494283,181.818614241027,185.549765274752,189.621373645578,190.94170516346,191.98574063242
Keumobyeo 2ho,2,106.844441959293,109.785376379783,111.082890798494,113.2583625101,111.202712100139,106.704936519097,106.171494432506,103.199075629719,100.540847566532,97.4219963777421,100.91222129558,98.7774934009419,99.0053367684947,96.6806930509573,98.4841735942921,102.20403250217,102.382865294342,101.817387617345,101.700795466454,98.4603608599411,97.4869767601628,96.8436897941594,97.5660207293397,98.8393426065916,99.2822065449869,101.327905190968,101.38440363607,103.025720707515,104.997028584388,106.877359715656,108.056859686262,111.036639843806,112.14957849537,113.987335746306,117.351944944447,119.431328589591,121.063166152943,122.566788874248,123.527683577984,124.925191906307,126.706465867739,127.96722469676,130.279204809735,132.443050047382,134.958256407605,137.030643824295,139.982885068825,142.94695267271,147.460762651838,149.127758280926,152.061389610222,154.497470282479,159.986442916094,161.564683091383,162.303748735773,169.73395395626,175.024378402577,176.651588891181,180.13451708367,181.726788100624,184.330773611878
Keumobyeo 2ho,3,110.157169766894,110.558420976804,106.768635165111,112.509674840712,107.63725572564,107.470650835217,107.887957081545,103.655885433157,99.3504302021512,95.7328503348135,98.6278083703434,97.9641180145075,93.3107566123503,92.7974174885431,95.2830258550133,98.3137450403174,98.491510564551,98.5856054730227,98.608592397096,96.1046162881754,94.4539031305742,94.2980687416371,95.0896903079122,97.1129553224647,98.0564658858538,99.7219156408847,101.52898582202,102.401492791567,104.498487289672,106.530984416693,108.401195582497,109.489783265525,112.63246401809,116.020826540869,117.727281120112,119.19046507553,121.521809562796,124.836340032413,125.743235197478,127.32372304102,129.101144281756,131.229432184962,132.856952030269,137.154935601891,139.77036960418,143.654142518111,146.886409061656,149.965192078305,152.711187255469,156.691437399786,159.620789008735,165.309276860563,168.590034525648,172.147094659409,174.721581430643,180.06582498469,184.631963880104,186.718328927734,191.266862014839,192.46217770284,193.309121749935
Keumobyeo 2ho,4,108.226444662096,104.848633007384,103.731823870748,109.474036806567,107.974442014935,105.117923993193,102.023082177942,100.465510235181,99.5486308537139,98.1047032453424,99.1800482142073,98.0151915966999,95.1190650625709,94.6938892430343,97.7801263793052,100.733751397416,101.504333058472,101.714252888015,102.376789629093,99.1628316098657,97.713968672261,98.5945265421134,98.8798097387912,100.195250756718,101.965214095631,103.778143499012,104.131701013722,105.913651333547,107.417784383248,108.634146766539,110.505636801908,112.853939479439,116.81861921307,119.79455514441,121.044110818131,123.377271760547,124.794688817012,126.898528621556,129.196375617582,130.952274490389,132.515592831272,134.258676580078,136.439156735685,140.27741402842,144.959736753204,147.503261562545,152.46945559111,156.558909203271,160.511138903783,164.525919859132,167.722099526343,160.829378693313,175.748629257609,177.955420444758,179.167859558452,184.323584479035,189.667217304423,191.947325806972,195.670828983502,195.855071521224,195.784882117985
Undoobyeo,1,116.652072387624,112.141377410468,119.037575757576,120.891266476021,123.050771906936,124.008825112616,118.269179183176,117.484177194094,115.11863835684,112.688185386763,112.575370899405,111.146105398248,111.675110670068,113.268494357438,114.811039976609,121.047972018957,124.818590298406,125.382313140183,126.124480659278,122.515058575779,118.12253024395,116.466077794412,115.843736408318,115.143113409382,115.925011990574,115.004650650434,115.81217816375,119.328551602053,121.607638509101,122.842178929606,125.131384550372,128.353958241981,129.99508678338,131.710184523981,135.556108534204,136.227246301495,138.817004081925,140.323715849761,142.719593959105,144.403436050084,146.976499212201,150.798834250989,153.891837112988,158.773990043469,160.760832293249,165.57076160869,168.567218462503,170.261775766669,172.073203348148,174.992248623209,177.677328175647,178.75074277516,178.98135850774,178.346523923893,176.845839192319,177.977945119947,178.468200576444,179.322566129886,179.873273840856,179.218635341487,180.504693599719
Undoobyeo,2,118.06001234187,118.355059252507,121.361223413605,125.345344790415,121.488158458244,118.619555342236,118.172918299968,115.459379196181,112.836731167104,109.713892045666,113.027821269421,113.414417470534,113.418500374444,113.518855865255,115.879180602614,121.617206049014,121.697788675372,122.738095872584,122.992393341857,117.40548770777,112.805206872466,109.835775283093,108.045143040173,109.275686317696,110.341658617707,111.133808461627,111.955280780124,114.756749865829,117.559114379358,119.657302106199,122.222690723027,123.426293626074,126.106171414508,127.83148462337,131.039779887638,133.54368306798,136.511164279702,139.30840117089,142.766240347173,146.701986765325,150.809683871899,154.057913357254,158.214994875788,160.181222087287,162.165643385302,165.483359015252,167.822025553676,170.39985399636,173.187779055284,174.120990798376,175.918981522426,177.515116183381,179.762505651453,180.911052308488,180.651162591045,182.986426344676,185.484555412377,185.134408792371,188.003754154655,186.820287342997,189.578222624768
