Cultivar,Sample_Number,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61
Samcheonbyeo,1,86.0821367729375,83.6157246879334,88.6774420548006,87.1720499487608,87.3064367963426,85.9386271517419,84.6368910391705,82.2399047639787,83.1465789889114,79.3605389990494,81.9770981747126,79.9864257828452,79.746833322231,78.6824859156798,80.9692950123568,84.8324887534465,88.2997714327944,90.9145525556569,90.272191104193,87.6855622780528,87.1072655924914,86.4002791249874,84.5651914724501,85.601732029247,85.1770048569988,85.7095446979602,87.443987670661,89.8040317273449,91.2269858831725,91.146866651407,93.0290166681194,95.5009989817031,99.9404382572206,102.794429003454,107.158638533537,109.023134751361,111.328530684428,112.155067456279,114.714338656798,117.950966748298,119.468936737265,122.406922165411,125.985301357804,132.060448085443,134.61475031774,139.148118909566,143.749884559226,146.964314896232,150.434694175161,154.123811766786,156.782327033515,158.687315888328,163.450433309019,164.376281931606,164.966468206793,166.780608168365,171.026500230691,174.993734775323,176.906207651435,177.397334322968,179.443806051727
Samcheonbyeo,2,89.5056041384407,84.9767843645395,86.8314639056658,89.5328779462543,89.4916478663659,87.4129068227751,85.2791870189461,82.3144414168937,81.3988208108799,80.1473594793367,80.830509505199,80.5461146757515,79.4461531098104,78.698375612449,80.8463091618073,85.3242487100934,87.7351424349937,88.6141985049459,90.3141484773743,89.4499206721827,87.0459667654054,86.0825180137776,85.4277526894161,85.5140914169687,85.037243681933,86.7825846726331,87.5329661777694,89.17089893056,90.209384129763,92.8694983764037,95.3321562646453,96.7119335122949,98.5056585428738,101.781104455648,105.065249064714,107.872141156241,108.309787077527,109.4446030964,110.413581789874,114.014156442893,116.980400231842,118.039641576459,123.006230765482,124.623971943685,127.903415270644,131.301654824638,133.902797381117,137.751712407127,140.889495982693,143.587064218956,145.91376534403,147.643949249727,151.340100170548,152.312679933846,154.01716895202,159.966170504356,163.776231497403,161.947520636429,166.446995000005,166.0643848046,169.437609967514
Samcheonbyeo,3,88.0100424328147,87.9326551756617,83.2423501971456,87.2713476070529,90.5564654433202,88.7407384914369,84.5777279980361,84.1194085934924,81.8404540786466,81.122346313373,81.5662443732888,80.870241315183,79.5554784656089,79.8792573483735,82.3781182818296,86.0152428961907,87.0958258214871,88.6348066434082,89.2753501703531,87.9400770931353,84.5533063343911,83.7525272148288,81.7493874346756,83.6523505907187,84.6222263580097,85.5105280826095,86.3758730865044,86.9821357421512,88.3840434229136,89.7848844300657,92.6585096348872,93.9233633884708,97.8412258246911,101.512942124325,105.271869357158,106.643644995038,109.934339337521,113.392088560548,116.663428169632,119.273224187705,124.201614800531,127.204936072184,130.810780399161,136.142557658696,141.283658105929,145.550842241843,150.396422787971,153.111705279226,156.495887545101,160.373939387771,164.261354856967,168.394905150721,170.498472129565,173.661020980856,175.352763258303,180.677997882742,182.156604724518,182.54988902162,185.372281428147,185.736490167363,190.634739452087
Samcheonbyeo,4,85.908884516422,84.8986301369863,82.8134834335423,84.5618721949134,85.3502795834898,84.992647371329,82.6068581741615,84.1261060331122,81.322915781222,79.35239016947,81.8216977513004,80.7166044998943,79.8115733144391,81.8032558241237,84.1171989679546,87.7386270457382,89.519098643485,91.4791405567143,91.0513462844786,87.8684788101478,86.9479231831661,86.579830671076,86.2901161682405,87.5583745122417,85.4960605897277,87.2974228250153,89.0840043755474,89.3922682569048,91.4560044943375,93.8978391556874,95.9168220910346,99.0028977188351,100.892350320056,103.533620607576,106.00742813646,107.541816415224,109.669111761426,112.855521426231,114.158681570694,119.420966331268,121.069210790706,124.234197880941,124.985899421244,128.381363226571,131.523153190201,135.57664760638,140.17837740625,142.062811219306,145.886524211289,149.986872705042,151.900267582348,158.242056762925,160.397985966891,161.934028239216,164.236214008775,169.134153354139,170.044514251468,170.945554367341,173.444916676786,174.853002218161,175.401445383493
Keumobyeo 2ho,1,90.1925898062817,86.3362084956409,89.9978237214363,88.8946159535952,85.1812987012987,84.0795616960457,82.7091904413075,79.5317012409848,76.5450727379881,76.140787212022,77.233529431653,77.3154435376955,77.9365500551006,77.2922624110087,78.2502507339811,82.0765060660996,83.4753101487565,82.7112190813694,83.7312180634689,81.8853805429891,82.9941668196866,83.4357335048543,83.2191330776467,84.7611251861227,86.654786311427,88.2076953901867,89.3655052988645,91.1770129318632,92.3115967571378,93.1025348607088,95.4332910110952,96.6887680386675,99.1953720268832,101.345954237423,104.434487577551,105.352018179046,107.999933313057,110.175443789731,111.705124641763,113.565263713164,115.167181804287,116.681921928441,118.460825790986,122.854874945956,124.178488880589,128.68199158104,132.086778737498,135.667543908524,138.324793805589,143.499094769865,147.928978437066,151.885716728084,156.339742640983,160.978716923428,163.592479260761,170.218763447864,176.386373198959,181.22123609385,186.084809329868,187.779638876979,189.545067341927
Keumobyeo 2ho,2,81.3281145157683,84.267325089219,85.0686009462199,86.8650686776192,85.6571810262792,82.1989200949892,81.753022074624,79.0057820692454,77.0919127991702,75.4429194197717,78.3699622197884,76.2638138945274,75.5692894493788,74.9370955139392,76.8248517379067,79.5994410229774,80.1937919175499,79.5198283575587,79.5214368619511,77.5252652370979,77.0233462383032,76.9293650818799,78.3215336903617,79.5896917565259,79.6737858814795,82.3237760200936,81.8682350092809,83.9691320796862,86.0500674780836,87.8991664943223,89.3334588587223,91.3769909708836,93.0886965063129,95.1408627599118,98.9941847764294,101.297014136087,103.172477076457,104.838768386829,106.985904445135,107.892237752866,109.962044808136,111.244606347038,113.974722899572,116.420985037658,119.439093285676,122.211916342291,125.253647377986,128.890675265237,133.673962887901,136.577727141404,139.295996177159,142.637699497364,148.384482958887,152.275272175048,152.120821151061,159.710799405833,167.300770447789,169.439415136959,172.981035617345,175.760744874541,179.822897811228
Keumobyeo 2ho,3,84.7911466917824,84.6125198098257,81.6688569874022,86.4660381350951,83.0150891401879,82.140019849099,83.5102746781116,79.8779926447308,76.4454667161583,73.6484272064328,76.8172065514598,75.9346101382332,71.6771976992224,72.5122757187178,73.8232198682427,76.7455625239985,76.5905372336736,77.2775269750987,77.913196641468,76.2429463586531,74.6133420481371,74.8200630766586,75.148322410235,77.4179332884355,77.8493807857003,79.5326914948926,81.2399036100581,82.7405015305902,84.3100027834161,86.8299744197998,89.1421347823157,90.0296609760836,92.7285814690194,96.7898006837334,99.6707196341722,100.418738026224,103.140920780848,106.321853079558,107.916955919156,109.801523843969,111.449039487891,113.728856252011,115.774173123796,121.007288171109,124.758805120315,128.843543592306,132.177360573859,136.929621352531,140.083101792113,143.875337607018,147.360317901578,154.661981121529,158.665851528705,162.506719906798,165.294604336358,172.554563696172,178.343782686464,182.017453693405,186.394090453086,188.200069039118,190.449876753828
Keumobyeo 2ho,4,82.6724779627816,80.0629614847336,78.6158266014336,83.6540182708857,81.9233054168901,80.3417470221214,78.3296643029644,77.447319296998,76.2924889107022,74.9283955048629,77.1975080173967,75.762828510026,74.0474348723479,73.5863760701692,77.1386401110391,78.9658798479813,79.77714899828,79.7975267882498,80.1696958825507,78.5661123094986,77.8582362112596,78.4312802617047,79.1738422025525,80.4689345799177,81.9941389105106,83.9146384242719,83.7128536536893,85.7245958107129,88.0354004661428,89.6586202013674,91.1516396176198,93.1243612894124,98.0717666910671,100.037013993494,101.826409171622,105.233659442244,106.341398844352,109.032191042564,111.869392763365,113.824928497824,115.282842047978,118.231427065557,121.241821895694,125.316310292394,128.205283116669,132.960235858196,138.480749183161,143.767376701022,149.6625135999,152.910151741797,157.520338600436,149.728465782326,166.104362482922,169.962151494395,172.468300058536,178.533891356626,185.182942382864,187.39620576689,191.147816687268,193.151249075388,192.546824676278
Undoobyeo,1,88.9244016345593,85.2909090909091,91.7745454545455,93.0592972422181,94.6447488584475,96.0386576762898,91.1925443581002,90.5950601646612,89.1353480514057,86.6905899941818,87.5352847817386,85.7337749145008,86.7379483979006,88.2514609282201,89.8631077655522,95.614153971136,99.5285199712018,100.805254691577,101.619703630904,98.6622344945605,96.5562152271794,94.7907003979126,93.7497898657907,94.4522300797658,95.5137418547121,94.2792323472252,95.3810251908968,99.2193428925474,101.602513427514,103.454452448308,106.618148194196,109.964955644753,112.407310356215,113.564760415421,118.164386250096,119.753960317429,122.669972410807,123.882113932172,127.132020453592,127.75329555509,131.308665512089,137.223369409546,140.991924150772,146.502045231848,148.60475320689,154.70942738356,158.061388765405,162.080854681694,164.585091231091,167.372185438238,171.017026707278,173.756501766427,174.034111745205,173.95327460496,174.148328702936,174.991334066242,176.38460467706,178.331785037313,179.25352676417,177.605908308116,180.801434405907
Undoobyeo,2,90.8785868559087,90.7311759343664,93.9569344348743,97.525701438295,94.7689721627409,92.16565815863,92.6227929728476,89.6728808622196,87.2792208103917,86.0679524032355,88.435450755034,89.8837035637284,88.8417449666962,89.3738191761506,91.4430999071179,96.2088578871528,96.6293151622284,98.510220827615,99.5498967077012,95.1523481725497,90.6713192530816,88.813994294127,88.2857403455163,89.5841011858877,90.0732150206193,90.6985695587988,91.9409490624148,94.8476666829298,97.4062273290697,100.126162263796,102.100898280322,103.827320250049,106.244235055039,108.857385020429,112.959820956209,115.50657735193,118.994758346507,123.642985539437,127.272425803491,131.970688838111,136.163980844182,140.606120670332,147.073560192999,149.17330822755,152.213879645986,156.585128821972,159.165255576466,162.721364137815,166.240706141612,167.61976602938,170.138144427703,172.173283892557,176.28145644365,178.356717873096,178.099595471201,181.767884961581,184.436689091892,184.885867328602,186.885618480589,187.086652792652,190.538961125354
