Cultivar,Sample_Number,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61
Samcheonbyeo,1,111.210148454612,108.487083911234,114.620926243568,112.551144342809,112.067123843705,110.764223239633,109.089359353184,105.721187837083,105.882919712797,101.410532328269,104.981038621555,102.371287236533,101.895850365266,99.4671130017954,101.565880808052,106.219969525468,108.581407931757,110.894605193065,109.87767958916,106.226260683736,104.682604687867,102.727492127244,102.156260612388,102.087867249074,101.711646603782,102.164147028243,103.343923714435,106.2650158793,106.790027557522,106.776875600644,108.343104021591,111.549150981444,115.131119940432,118.592696444724,122.00523704479,123.241003628119,124.971712573359,126.361761529905,129.202662249025,131.383943715199,132.93011861997,135.831923615024,138.519571980948,143.596322773035,146.338891101519,150.293604847307,153.916075118453,156.706386917384,159.345184168313,162.559792748957,163.929238515429,166.259982217601,169.308088487762,170.502438203197,169.906005162608,171.749927229376,175.261479722494,178.744795535822,180.365219687469,180.852733337256,182.674199101685
Samcheonbyeo,2,113.446237221333,110.101932836627,111.505090595341,114.619126257319,113.726371621946,111.309847376124,107.945603907638,105.364691189827,104.041575897621,101.708880082008,102.260507128208,101.413692231759,100.72335752449,99.1970267780765,101.055003756305,106.756489153538,108.762568347152,109.901516244511,110.564488496351,108.230869914038,105.237387143978,104.282662570882,102.84918234676,102.144871147713,102.041316763388,103.69671049278,103.713574319139,104.773874717705,105.549610988541,108.190348058449,110.655970718341,112.134471762961,113.742212271657,116.346475480383,119.060122871979,121.114030130462,121.33679512853,122.317246518545,123.82157216398,125.794198181873,128.771452128435,130.119393333725,134.254443957054,136.195145008272,139.025774026772,141.411037590287,144.269782126474,147.382594880695,150.506607637306,152.737120583651,155.192902556129,156.382400553184,159.089185678023,159.821545610465,160.638026537832,165.730613051407,168.192060217693,166.580558745096,170.784879183458,170.286747271418,172.943310644268
Samcheonbyeo,3,112.991654879774,112.120843929547,107.089132004221,111.728620906801,114.834269422055,112.69062006559,107.85658320036,106.410134891604,104.00899433506,101.300301063413,102.646085665228,102.807742878825,100.655401195861,99.8184384695118,102.531625312704,107.074989930124,108.294128510676,110.027454424844,109.835607451804,107.274381270903,103.149386204017,102.266250053139,99.6625128045428,101.335936256233,101.574308170248,102.703475633685,103.530759088306,104.754686091627,104.820692019966,106.125955406271,108.487385344884,110.437114770629,114.451945997469,117.482144770895,120.705936668049,121.686250685509,125.502526054579,128.156140571572,131.131113009685,133.424484529092,137.499297791452,141.066222141173,144.784063954268,149.413268496117,153.307066274007,157.18647622512,161.557837856462,163.771529807155,166.169459831556,169.830276598849,172.617553868403,176.054234057099,177.342733235282,180.369512788714,182.164238867614,185.87574333282,187.024302121572,186.779369202987,188.655160003099,189.096342361955,193.026963867507
Samcheonbyeo,4,110.173906462842,109.285817888799,107.138288345913,108.492306048301,109.608780699848,108.338745094706,104.627913972026,106.004623569531,102.756627848771,99.9567706751249,101.309994471336,101.532593916231,100.405826745227,101.462179899667,103.396795465324,108.382867374325,109.974146929603,111.046209412994,110.686289908197,106.476660328554,104.589064467644,103.844774670078,102.771465612816,103.453968153701,101.691273623949,104.005821667898,104.795790750693,106.02390818156,107.445966480558,109.534102592281,111.478309964101,115.009965813689,116.926939751042,118.823686457466,120.445222165272,121.381341611712,123.816091303656,125.994638954436,127.478223362974,132.500525707241,133.394535174537,136.137214848192,136.891680673738,140.268682455129,143.525658232672,146.656887438651,150.431709366502,152.892159347329,155.461751888074,159.103410778062,161.128202124366,166.232205609295,167.409790615209,169.239587746851,170.139555323161,174.043433774088,174.438790470579,175.198687368884,177.514122624056,177.895315378937,178.318957261962
Keumobyeo 2ho,1,117.251081436901,111.393526247449,114.774513359932,114.089773036945,110.763523433089,108.513116845195,106.222435605536,102.521705700534,98.8108440088092,97.672627216399,99.3935253744464,98.8925198126271,99.7396011149766,97.9543427779636,98.6120887843878,103.165188580071,104.568714940746,103.91089223396,103.680063638937,102.332150577549,102.168506174578,102.050493179009,102.244758022369,103.610983028078,104.927202631974,106.860737926326,107.890011767098,109.698367795062,110.351982555447,111.371222791558,112.838098817347,114.217448717708,116.702898361906,118.723211352946,121.293199201471,121.561099519862,123.871000029916,125.580196744458,126.328376692361,129.001922370463,129.88024055844,131.35903198702,133.962585859828,137.771315338409,138.744093250541,142.713132298557,145.767101223258,148.681637353045,151.781474330443,156.255654571163,160.23242438318,163.898964727133,167.209077992141,171.534294196898,172.95030330903,179.011155900452,184.191463823904,188.301674775967,192.531596837024,193.72868062115,194.998481748104
Keumobyeo 2ho,2,105.088794453142,108.087227155781,109.261272569277,111.770751413951,109.623764731718,104.908407073776,104.458589568275,101.338802629827,98.6385894329258,95.3780589901038,99.0727344432945,96.9854559969191,97.4274119624169,94.9328239928714,96.7437206257773,100.337600450385,100.765946223896,100.171435220706,100.196906123886,96.7288252574461,95.882192230711,95.247080808913,95.6879854699996,97.0825285142316,97.5618766706895,99.6321247678382,99.7204972817514,101.273397690944,103.239469499066,105.207815069063,106.382458843474,109.470075053396,110.608828949616,112.468648696571,115.994465828535,118.155535264849,119.897646774941,121.467619466709,122.559566616875,123.926442120363,125.638000203595,127.048092322755,129.356860971044,131.71320558511,134.520640711311,136.59200824942,139.758052381741,142.881028084099,147.713558123612,149.736841165031,152.576527335348,155.282880050172,161.171340363748,163.357918055679,163.554801363801,171.177217678586,176.811434855321,178.331208267999,181.682677988837,183.545970360663,186.471343516578
Keumobyeo 2ho,3,108.112903225806,108.795922777698,104.939773155317,110.934074718454,105.75722951288,105.530664466526,105.953158798283,101.717674565869,97.3241009129544,93.75047673241,96.5746226061242,95.9162144590293,91.4930775626478,90.8658429398812,93.4740228898042,96.2452911813644,96.8266853885549,96.7842975425757,96.7721782586253,94.1703210649961,92.7535304996832,92.6234128255873,93.4169114078791,95.4450382269142,96.5176563563424,98.1428008243659,99.9325182056392,100.754019124518,102.969416580003,104.91008966136,106.808039241837,107.974778836046,111.103967432085,114.303030262035,116.040405925321,117.73424052233,120.231963901241,123.700646289109,124.673001193244,126.261288741183,128.011964537774,130.335842044446,132.054350532194,136.577561754131,139.470089527317,143.65718398701,147.083912556158,150.350421224899,153.380609184165,157.503412054354,160.490136155281,166.712694082428,170.156074765212,173.966663527131,176.510567961373,182.114576500517,187.081474008652,189.430584566784,193.740359647103,194.808831781099,196.132009647837
Keumobyeo 2ho,4,106.350244857982,102.984833366593,101.816475139379,107.910790414405,106.335781179092,103.018235961429,99.9367669556349,98.4316744552243,97.4006269273153,96.177613667172,97.068620129157,95.9266737392318,93.0862027929117,92.7366217753714,95.6896334659886,98.8716523192394,99.7313092597711,99.9940505481213,100.706831122602,97.3400558973019,95.9161185519933,96.8999777433429,97.0321434562097,98.4726389768793,100.168447434805,102.164567524006,102.589241085713,104.330768423161,105.78390398681,106.976394340219,108.923675285211,111.391811384637,115.379107770664,118.267289251643,119.577469206108,121.994829475002,123.571098125787,125.815269778091,128.190457554978,129.78148467235,131.620438440519,133.544108240736,135.627839899487,139.870860362502,144.168534168186,147.58944725771,152.899534988446,157.169427040361,161.726165687127,165.450572944931,168.91897382927,161.964846286577,177.226645199827,180.072196187208,181.407311239612,186.529038765784,192.321547441673,194.290352131385,197.875875570282,198.485317334115,197.524611273213
Undoobyeo,1,115.241973146527,110.353829201102,117.603636363636,119.546593038162,121.869819525984,122.576408759951,116.664188960899,115.917269424353,113.290841701627,110.881386202782,110.780054927614,109.532819834419,109.973351965702,111.531623629908,113.13021015786,119.65771381941,123.536121489938,124.041035532591,124.874210289945,121.070164934235,116.270389455591,114.742645869985,114.164596052075,113.440182748102,114.059884133593,113.281997934017,114.017463298849,117.496245707205,119.95386640187,121.051901110711,123.357254909154,126.556251222721,128.240673781881,129.879601492865,133.667271228583,134.614818037341,137.422460685067,138.875140818,141.540430275198,142.737695741996,145.550216975818,150.408349251856,153.846935365626,158.889885638001,160.90554037047,166.130704248764,169.456362276753,171.463042607571,173.638692397323,176.519865308007,179.465888125497,180.821711060294,180.92439032319,180.396437307784,179.231793224551,179.877026310781,180.61213480938,182.192849092368,182.796533274244,181.532106846398,183.82699405862
Undoobyeo,2,116.579605060167,116.974567000912,119.932325540517,124.14084203394,119.992569593148,117.042168777963,116.40142221437,113.691502134946,110.967333752562,107.603999078964,111.314309801965,111.32671874253,111.637560623181,111.792718074286,114.347088313572,120.145930658899,120.513888350345,121.37654506047,121.635765344612,115.65754622556,111.172337794734,108.071318182175,106.003908725605,107.358771592832,108.395944164014,109.301120430765,109.973025951829,112.860137901077,115.696711051627,117.744401272311,120.413995299416,121.51724786362,124.472491254986,126.134489958345,129.494173560685,132.123600732942,135.247745894113,138.236520458128,142.079002355224,146.268487803047,150.633027130006,154.190142534011,158.720460165487,160.798286372069,163.103574080599,166.514013181479,169.004254710913,171.708106223364,174.804469675194,175.889571680097,177.777757767061,179.484947369364,182.378393149031,183.924734695386,183.383916031085,186.085434906696,188.493189899438,188.236010063109,190.605458394541,190.001965178798,193.036415365643
