Cultivar,Sample_Number,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61
Samcheonbyeo,1,574,848,904,790,1095,1459,1539,1664,1792,1858,2117,2127,2357,2509,2557,2546,2474,2513,2552,2548,2517,2531,2532,2527,2586,2631,2689,2712,2715,2748,2815,2885,2930,2938,2941,2945,2943,2944,2930,2902,2901,2892,2887,2869,2880,2863,2858,2853,2850,2800,2797,2794,2784,2811,2724,2689,2713,2704,2707,2692,2722
Samcheonbyeo,2,556,812,890,1098,1080,1386,1436,1662,1711,1869,2011,2005,2214,2309,2303,2447,2594,2626,2656,2665,2652,2644,2636,2614,2641,2652,2668,2677,2794,2882,2969,3035,3079,3075,3074,3065,3062,3061,3062,3054,3045,3039,3036,3032,3026,3022,3019,3014,3015,3009,3001,2998,3020,3020,3025,2986,3001,2928,2853,2807,2706
Samcheonbyeo,3,579,768,871,1048,1066,1354,1352,1591,1630,1844,1984,2037,2334,2423,2440,2404,2565,2618,2643,2632,2628,2623,2611,2576,2562,2526,2552,2567,2567,2658,2793,2915,3057,3130,3130,3136,3125,3065,3064,3063,3060,3053,3055,3057,3065,3067,3034,3027,3023,3027,3013,3018,3019,3032,3027,3024,3033,2984,2908,2782,3006
Samcheonbyeo,4,673,804,952,1065,1206,1432,1444,1627,1630,1918,1954,2079,2330,2364,2351,2254,2315,2355,2395,2408,2434,2455,2473,2448,2414,2464,2483,2563,2651,2813,2906,2961,2973,2997,2991,2990,2977,2970,2958,2952,2948,2944,2936,2934,2934,2933,2932,2923,2912,2900,2903,2936.66666666667,2895,2907,2909,2875,2914,2929,2866,2771,2775
Keumobyeo 2ho,1,734,828,1104,1145,1353,1433,1642,1638,1772,1814,2017,2084,2225,2335,2339,2349,2348,2357,2346,2453,2547,2555,2606,2703,2796,2880,2944,2983,3045,3049,3066,3092,3109,3109,3097,3097,3086,3074,3075,3088,3078,3076,3070,3070,3055,3042,3022,3013,3008,3005,2990,2991,2985,2980,2962,2955,2948,2948,2921,2918,2904
Keumobyeo 2ho,2,712,759,1071,1104,1387,1397,1590,1635,1807,1811,2025,2058,2240,2342,2352,2325,2350,2377,2365,2414,2478,2501,2559,2755,2867,2948,3008,3067,3101,2995,3007,3042,3054,3058,3056,3057,3085,3082,3085,3085,3086,3088,3085,3084,3084,3080,3076,3075,3075,3072,3068,3051,3048,3046,3044,3047,3049,3029,3033,3037,3027
Keumobyeo 2ho,3,765,841,1145,1160,1418,1434,1610,1642,1820,1825,2034,2070,2248,2326,2336,2317,2307,2302,2317,2403,2507,2524,2564,2754,2824,2902,2964,3026,3065,3065,3063,3073,3071,3064,3073,3073,3061,3010,3009,3008,3003,3003,3002,3003,3004,3004,3004,2994,3001,2995,2992,2972,2994,3001,2992,2994,3024,2965,2942,2906,2948
Keumobyeo 2ho,4,655,695,959,997,1307,1344,1566,1569,1758,1800,2014,2056,2074,2153,2253,2162,2266,2297,2302,2340,2453,2524,2614,2683,2739,2798,2859,2930,2989,2986,3043,3043,3028,3017,3001,3004,3004,2998,2994,2990,2990,2988,2973,2973,2964,2956,2962,2944,2976,2977,2985,3004.66666666667,2963,2947,2930,2952,2954,2964,2939,2870,2797
Undoobyeo,1,838,1012,1283,1052,898,1399,1934,1963,2132,2278,2466,2699,2722,2700,2837,2819,2826,2829,2844,2857,2935,3010,3009,3019,2966,2954,2970,3032,3170,3262,3268,3276,3296,3310,3308,3315,3324,3327,3328,3330,3328,3327,3324,3313,3313,3302,3306,3291,3208,3176,3223,3078,2990,3037,2805,2761,2751,2758,2687,2671,2707
Undoobyeo,2,859,993,1264,1348,1615,1377,1752,1806,2070,2135,2273,2436,2460,2679,2836,2838,2862,2863,2838,2922,2994,3038,3035,2973,2927,2878,2921,3049,3136,3145,3147,3144,3145,3139,3134,3134,3129,3126,3122,3116,3111,3109,3101,3103,3078,3109,3107,3067,3075,3082,3083,3060,3051,2999,2874,2794,2849,2843,2860,2672,2519
