Cultivar,Sample_Number,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61
Samcheonbyeo,1,581,847,906,771,1081,1457,1529,1620,1742,1892,2148,2173,2251,2403,2454,2402,2358,2458,2497,2541,2558,2581,2567,2584,2566,2538,2583,2640,2708,2775,2844,2882,2925,2967,2957,2977,2981,2982,2981,2976,2979,2970,2972,2969,2968,2968,2965,2965,2964,2948,2709,2720,2726,2724,2696,2605,2603,2759,2660,2661,2747
Samcheonbyeo,2,557,802,890,1111,1080,1379,1426,1657,1692,1854,1973,1996,2124,2202,2191,2356,2466,2510,2547,2566,2570,2619,2656,2663,2649,2680,2739,2804,2839,2910,3017,3087,3100,3089,3084,3089,3090,3089,3089,3096,3110,3114,3115,3116,3112,3118,3121,3118,3122,3117,3117,3110,3110,3109,3102,3023,2961,2971,2923,2841,2661
Samcheonbyeo,3,559,752,883,1061,1074,1356,1378,1554,1597,1869,2003,2015,2214,2295,2285,2314,2479,2524,2593,2615,2649,2651,2669,2621,2655,2641,2616,2605,2573,2688,2784,2883,3051,3142,3141,3130,3083,3028,2994,2980,2965,2960,2954,2952,2953,2947,2927,2921,2923,2931,2921,2933,2928,2924,2918,2917,2909,2880,2794,2714,2900
Samcheonbyeo,4,662,774,972,1080,1209,1420,1438,1617,1621,1892,1895,1992,2208,2251,2213,2120,2257,2305,2342,2375,2384,2424,2452,2428,2429,2482,2544,2618,2775,2910,3022,3089,3106,3105,3109,3110,3103,3098,3097,3087,3085,3081,3082,3074,3068,3059,3076,3067,3077,3078,3078,2921,3013,3028,3017,2977,2994,2983,2956,2879,2910
Keumobyeo 2ho,1,705,830,1075,1125,1338,1425,1607,1677,1768,1788,2018,2096,2198,2331,2344,2303,2366,2372,2335,2449,2538,2537,2543,2650,2799,2882,2868,3003,2957,2957,2983,2992,2995,3005,2997,3009,3021,3012,2997,3016,3019,2994,3027,3025,2984,3013,2985,2995,2990,3006,3007,3005,3013,3005,3000,3004,2991,3005,2985,2982,2971
Keumobyeo 2ho,2,733,783,1063,1116,1377,1420,1621,1627,1790,1804,2030,2068,2229,2314,2313,2266,2352,2332,2378,2443,2482,2515,2646,2776,2881,2963,3019,3077,3130,3143,3155,3162,3166,3161,3153,3149,3144,3135,3133,3127,3119,3116,3121,3102,3112,3092,3084,3091,3095,3104,3078,3083,3055,3053,3045,3051,3035,3030,2994,3021,2990
Keumobyeo 2ho,3,758,838,1139,1159,1426,1442,1619,1636,1688,1813,2045,2051,2049,2369,2365,2346,2299,2372,2373,2449,2436,2586,2530,2716,2804,2842,2914,2960,2976,3070,3074,2978,3029,2956,3009,3003,2976,2939,2936,2931,2926,2922,2922,2923,2914,2918,2910,2914,2915,2905,2900,2895,2898,2893,2899,2904,2906,2908,2897,2887,2887
Keumobyeo 2ho,4,637,663,985,996,1314,1354,1592,1572,1766,1806,2046,2050,2189,2280,2284,2290,2291,2315,2312,2405,2531,2538,2605,2691,2763,2822,2893,2947,2989,3016,2990,2988,2945,2921,2905,2924,2924,2917,2896,2884,2886,2878,2875,2868,2867,2862,2860,2845,2857,2852,2836,2994.33333333333,2836,2840,2835,2818,2824,2828,2804,2860,2777
Undoobyeo,1,820,995,1284,1048,914,1388,1925,1974,2140,2249,2400,2703,2739,2713,2670,2616,2616,2668,2763,2869,2948,3018,3026,2981,2974,2981,2940,3039,3163,3239,3244,3239,3233,3229,3226,3221,3220,3210,3213,3174,3187,3203,3201,3186,3190,3193,3207,3198,3199,3195,3184,3184,3058,3051,2833,2623,2610,2692,2575,2574,2623
Undoobyeo,2,841,966,1261,1362,1607,1372,1731,1824,2102,2148,2308,2474,2516,2720,2903,2892,2931,2897,2903,2985,3069,3113,3129,3133,3130,3122,3030,2990,3075,3098,3144,3140,3129,3106,3107,3135,3132,3132,3133,3132,3131,3113,3112,3112,3113,3113,3117,3122,3123,3109,3102,3074,3066,3059,2955,2889,2903,2908,2936,2884,2671
Undoobyeo,3,632,926,1334,1343,988,1427,1836,1944,2028,2076,2422,2565,2616,2653,2626,2435,2565,2627,2701,2757,2832,2888,2884,2866,2858,2828,2889,2995,3153,3272,3346,3346,3335,3331,3319,3325,3319,3306,3284,3294,3302,3293,3301,3297,3282,3297,3308,3313,3312,3307,3287,3144,3051,2968,2885,2849,2916,2638,2599,2494,2455
Undoobyeo,4,883,914,911,1251,1092,1483,1792,1774,1978,1985,2266,2279,2451,2717,2750,2655,2508,2547,2548,2577,2584,2571,2600,2617,2697,2773,2793,2848,2989,3070,3075,3076,3076,3074,3073,3069,3063,3048,3041,3042,3045,3047,3034,3042,3040,3036,3046,3001,3012,3013,3013,3134,2799,2831,2867,2855,3018,2727,2698,2604,2624
Jungsan,1,632,835,574,628,804,715,1073,1005,1364,1374,1364,1376,1633,1696,1794,1951,2013,2039,2156,2301,2311,2338,2464,2560,2653,2774,2849,2898,2826,2936,2961,2962,3074,3118,3121,3129,3136,3141,3149,3148,3146,3141,3138,3129,3122,3120,3112,3103,3099,3102,3100,3089,3036,2934,2937,2782,2801,2797,2835,2760,2715
Jungsan,2,745,714,695,792,849,1433,1626,1258,1618,1473,1715,1784,2018,2087,2127,2129,2134,2136,2142,2083,2187,2386,2447,2597,2697,2763,2839,2912,2964,3020,3114,3241,3364,3364,3364,3364,3364,3364,3364,3362,3356,3342,3340,3331,3309,3315,3286,3277,3245,3224,3208,3172,3142,3132,3109,3103,3286,3277,2930,2747,2755
Jungsan,3,638,820,624,596,849,1458,1089,1649,1594,1445,1686,1594,1564,1659,1892,1969,1978,2025,2045,2129,2244,2287,2317,2483,2724,2842,2930,3019,3110,3176,3163,3145,3113,3269,3318,3321,3319,3321,3319,3319,3319,3316,3325,3326,3330,3332,3333,3324,3322,3317,3313,3308,3220,3170,3155,3130,3032,2899,2863,2675,2678
Jungsan,4,578,793,692,656,945,942,1137,1002,1532,1634,1432,1588,1549,1602,1642,1777,1845,1908,2006,2013,2121,2241,2312,2511,2636,2689,2736,2835,2908,2911,2846,2865,2980,3072,3084,3092,3092,3088,3096,3033,3029,3083,3081,3010,2958,2961,2979,2951,2954,2938,2934,3189.66666666667,3014,2918,2879,2995,2668,2632,2640,2536,2530
Saesangchu,1,687,752,944,932,1302,1288,1573,1593,1619,1758,1999,1844,2108,2194,2217,2228,2190,2302,2363,2365,2398,2441,2454,2544,2609,2658,2723,2802,2912,2989,3088,3083,3078,3071,3061,3065,3066,3068,3080,3066,3072,3074,3074,3061,3065,3077,3078,3077,3077,3085,3074,3092,3078,3089,3066,2908,2544,2517,2524,2435,2350
Saesangchu,2,580,612,892,808,940,1124,1292,1296,1422,1505,1608,1704,1948,2040,2060,2042,2080,2163,2179,2235,2314,2361,2451,2571,2657,2723,2799,2816,2836,2948,3047,3077,3079,3079,3078,3078,3080,3075,3082,3078,3090,3088,3057,3088,3092,3088,3089,3060,3090,3093,3082,3084,3083,3089,3072,3026,2887,2792,2787,2797,2778
Saesangchu,3,632,672,806,868,1006,1155,1459,1419,1572,1646,1895,1846,1759,1921,2190,2315,2407,2415,2478,2494,2623,2678,2708,2714,2709,2795,2873,2950,3059,3188,3302,3364,3364,3358,3355,3353,3352,3347,3347,3346,3343,3341,3341,3335,3330,3326,3323,3325,3321,3322,3320,3310,3285,3288,3307,3215,2931,2795,2766,2767,2760
Saesangchu,4,592,654,698,932,1104,1170,1261,1194,1310,1488,1486,1700,1800,1811,1990,2035,2076,2263,2377,2369,2366,2368,2378,2469,2546,2577,2582,2613,2640,2640,2614,2669,2713,2712,2711,2711,2711,2711,2712,2712,2714,2715,2714,2714,2714,2715,2715,2715,2714,2712,2711,2883.06666666667,2706,2710,2706,2709,2639,2634,2619,2614,2577
Manho,1,638,646,990,1000,1274,1314,1571,1588,1682,1854,1963,2070,2170,2154,2122,2143,2204,2300,2411,2447,2465,2457,2541,2693,2790,2890,2965,2993,2986,3099,3178,3176,3198,3221,3239,3249,3257,3264,3267,3265,3256,3247,3239,3223,3218,3199,3171,3152,2976,3019,2900,2844,2851,2819,2789,2772,2773,2781,2773,2762,2762
Manho,2,693,750,924,1089,1159,1354,1387,1585,1561,1729,1876,2062,2105,2097,2117,2149,2330,2414,2437,2466,2516,2601,2668,2872,3003,3077,3141,3180,3178,3136,3256,3271,3270,3269,3267,3266,3265,3263,3260,3239,3188,3146,3101,3223,3232,3231,3240,3233,3234,3226,3220,3221,3221,3225,3202,3205,3191,3107,3045,3017,2762
Manho,3,611,991,978,1206,1207,1464,1517,1629,1706,1784,1923,1998,2056,2105,2128,2347,2408,2485,2502,2554,2623,2659,2705,2790,2881,2970,3093,3238,3325,3364,3364,3364,3364,3364,3364,3364,3364,3364,3364,3364,3364,3364,3364,3364,3364,3364,3364,3364,3352,3364,3332,3067,2881,2847,2803,2764,2797,2788,2720,2732,2739
Manho,4,526,688,844,1046,1168,1444,1390,1602,1674,1844,1816,2036,2032,2118,2289,2325,2306,2273,2345,2366,2370,2469,2560,2700,2803,2891,2955,3022,3022,3005,3071,3168,3167,3151,3141,3139,3117,3072,3048,3018,2984,2942,2975,2908,2911,2924,2884,2810,2784,2756,2485,3044,2399,2366,2335,2241,2177,2124,2070,2038,2018
Namil,1,760,862,1186,1093,1510,1363,1699,1776,1653,1761,2078,2166,2300,2291,2224,2183,2285,2300,2296,2368,2408,2492,2601,2699,2805,2953,3050,3134,3196,3258,3289,3281,3239,3353,3364,3364,3364,3364,3364,3364,3364,3364,3364,3364,3364,3364,3364,3364,3364,3310,3306,3309,3278,3300,3306,3251,3170,3033,2923,2798,2834
Namil,2,716,908,973,1106,1030,1210,1496,1612,1748,1726,2058,2194,2212,2362,2345,2302,2461,2512,2544,2521,2587,2640,2878,2964,3046,3100,3112,3154,3132,3164,3196,3223,3223,3188,3190,3163,3126,3103,3090,3076,3063,3060,3050,3052,3050,3040,3029,3029,3028,3016,3021,3004,3003,3016,3017,3013,3014,2992,3005,2998,2902
Namil,3,664,811,1000,1066,1116,1276,1414,1442,1726,1777,2051,2167,2172,2220,2170,2234,2382,2446,2460,2424,2530,2576,2681,2751,2815,2873,3036,3073,3062,3016,2968,2992,3042,3011,2976,2973,3014,2997,2991,2994,2995,2998,2998,2989,2983,2966,2961,2959,2957,2948,2946,2945,2942,2941,2940,2945,2943,2941,2943,2961,2959
Namil,4,814,814,1174,1110,1153,1270,1686,1723,1684,1752,2099,2192,2194,2234,2267,2274,2263,2269,2310,2342,2371,2485,2572,2637,2762,2846,2934,2979,2995,3022,3066,3104,3046,3014,3063,3093,3118,3105,3109,3103,3101,3098,3103,3102,3077,3071,3072,3034,3037,3016,3110,2856.47169811321,3117,3172,3028,3024,3016,3027,2886,2859,2848
Heugkwang,1,676,932,1031,1142,1066,1013,1462,1813,1894,1993,1869,1832,1915,2056,2000,1932,2130,2222,2223,2208,2349,2384,2414,2636,2759,2854,2917,2938,3076,3029,3153,3098,3134,3133,3172,3216,3228,3228,3228,3213,3218,3217,3215,3210,3211,3203,3199,3201,3189,3177,3171,3165,3160,3150,3141,3127,3115,3067,3036,3041,3051
Heugkwang,2,760,924,1179,1320,1358,1458,1740,1810,1826,1826,2215,2277,2248,2296,2301,2291,2242,2222,2226,2289,2288,2552,2688,2774,2831,2896,2979,3034,3088,3126,3138,3069,3014,3110,3139,3139,3137,3137,3135,3133,3134,3133,3126,3125,3118,3115,3104,3101,3097,3102,3098,3097,3088,3089,3089,3088,3078,3074,3072,3008,2990
Heugkwang,3,727,952,1020,1245,1224,1553,1579,1779,1786,1945,2105,2304,2016,2288,2353,2335,2346,2328,2323,2318,2296,2416,2554,2613,2701,2855,2965,3067,3099,3117,3143,3120,3132,3114,3112,3112,3106,3104,3108,3104,3102,3098,3095,3071,3075,3078,3082,3099,3106,3112,3049,3079,3089,3086,3102,3101,3085,3055,3058,3056,3055
Heugkwang,4,643,756,1051,1188,1356,1529,1584,1583,1792,1851,2144,2112,2218,2341,2354,2353,2250,2176,2189,2280,2355,2371,2435,2645,2756,2829,2874,2918,2951,2982,3022,3034,3007,3049,3102,3094,3091,3088,3088,3060,3062,3056,3057,3059,3055,3061,3057,3061,3068,3068,3065,3113.66666666667,3062,3060,3061,3057,3037,3020,2977,2810,2815
Unkwang,1,511,734,838,1040,1111,1320,1376,1520,1588,1784,1878,1997,2148,2171,2281,2371,2386,2475,2516,2543,2538,2548,2546,2538,2663,2731,2780,2828,2887,3015,3115,3183,3198,3192,3192,3188,3189,3177,3180,3183,3175,3183,3180,3173,3197,3189,3201,3198,3183,3203,3192,3183,3109,2921,2781,2798,2992,2730,2706,2686,2647
Unkwang,2,572,621,867,873,1048,1217,1418,1408,1582,1666,1925,1957,2097,2257,2294,2293,2442,2495,2516,2523,2527,2545,2611,2678,2723,2748,2824,2899,2940,2984,3054,3145,3224,3228,3226,3224,3225,3230,3230,3234,3239,3242,3244,3241,3244,3243,3240,3240,3241,3249,3256,3258,3265,3263,3271,3278,3214,3245,3083,3004,3016
Unkwang,3,549,726,846,1004,1098,1250,1327,1477,1560,1707,1878,1907,2227,2314,2294,2275,2457,2472,2539,2567,2586,2579,2579,2633,2637,2716,2793,2867,2935,3040,3156,3228,3270,3257,3258,3261,3248,3249,3243,3240,3245,3249,3252,3256,3261,3253,3236,3254,3271,3278,3273,3275,3278,3250,3149,3155,2989,2919,2840,2792,2707
Unkwang,4,584,669,860,838,790,1232,1381,1414,1577,1632,1871,1914,2046,2212,2250,2244,2326,2388,2419,2419,2436,2440,2489,2566,2660,2740,2804,2828,2828,2930,3058,3147,3164,3157,3148,3139,3132,3123,3103,3074,3056,3056,3050,3053,3056,3050,3027,3033,3036,3019,3018,3238.66666666667,3005,2930,2897,2914,2897,2892,2877,2625,2654
manna,1,729,753,708,1124,1400,1468,1723,1757,1919,1987,2136,2214,1971,1875,2075,2225,2269,2277,2331,2387,2422,2427,2487,2540,2670,2768,2844,2907,2973,2999,2993,2977,2975,2962,2950,2948,2902,2904,2906,2895,2932,2931,2936,2917,2927,2918,2926,2930,2939,2934,2886,2872,2866,2863,2863,2760,2774,2801,2753,2600,2285
manna,2,655,779,1086,1052,908,1409,1566,1202,1548,1833,1732,2038,1736,1891,2110,2217,2241,2243,2412,2477,2518,2535,2652,2737,2814,2877,2929,2907,2908,2963,2976,2954,2921,2998,3003,3006,3002,3002,3006,3004,3006,3009,3007,3008,3006,3006,3005,3004,3003,3001,2994,2949,2937,2986,2858,2814,2698,2668,2635,2564,2557
manna,3,766,814,800,730,929,1497,1668,1330,1607,2054,2199,2183,2027,1745,2007,2234,2306,2318,2350,2449,2497,2528,2553,2624,2684,2754,2805,2817,2844,2905,2991,3092,3091,3085,3081,3054,3057,3086,3059,3096,3058,3054,3054,3048,3046,3047,3040,3075,3064,3038,3035,3040,3040,3037,3035,3039,3040,3006,2860,2767,2684
manna,4,697,919,1053,846,1044,1418,1436,1246,1624,1830,1889,1978,2035,2090,2086,2142,2143,2147,2209,2237,2259,2368,2426,2483,2583,2661,2740,2810,2857,2847,2872,2938,2971,2969,2955,2951,2938,2921,2910,2891,2881,2882,2880,2865,2856,2840,2834,2778,2778,2784,2775,2856.47169811321,2784,2588,2581,2573,2629,2711,2373,2359,2401
Sandeuljinmi,1,444,494,692,725,984,1008,1212,1279,1478,1456,1612,1474,1746,1884,1932,1924,1877,1900,1931,1940,1991,2055,2092,2138,2176,2207,2234,2295,2348,2390,2423,2496,2573,2637,2664,2648,2617,2616,2617,2614,2613,2614,2608,2608,2610,2607,2609,2609,2609,2605,2600,2603,2611,2582,2546,2433,2413,2359,2334,2317,2384
Sandeuljinmi,2,488,558,724,678,726,1153,1220,1145,1361,1680,1713,1720,1939,1983,1957,1868,2004,2052,2045,2043,2176,2256,2293,2322,2513,2570,2615,2689,2732,2763,2757,2722,2680,2765,2814,2811,2812,2813,2815,2810,2814,2806,2803,2805,2807,2799,2804,2804,2804,2804,2803,2801,2805,2804,2791,2787,2723,2697,2758,2625,2542
