Cultivar,Sample_Number,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61
Samcheonbyeo,1,104.120908230842,100.866518765021,105.58822044594,107.401201177313,105.673313609467,100.447871605191,100.365995132264,97.3197363224058,95.1191356729441,92.7390338662062,94.4956135450749,94.1067184406377,93.9992091310674,91.973038825232,93.2103808879149,96.8039363706891,97.9181075383946,97.0693532510857,98.6956991319716,96.0240913338005,94.0392041837621,92.9735261676934,92.4733254866917,92.6130811819102,91.9503297116714,93.1638832012319,93.9376421750219,96.7129891631408,97.1498665137827,97.0688849547249,97.8820405406191,100.834235772815,103.429897352645,107.145238935163,110.945415754705,111.023672151786,113.029613642003,113.837677837361,115.791904757095,118.557957000673,119.956425283697,122.951901884386,125.940497123953,130.542316481097,133.628478063932,138.726254424715,141.786071970657,145.502450086644,148.057254253843,152.000730183453,153.334132251421,155.10620043785,158.890992351842,158.798444023309,159.886436324807,163.564005579295,166.159917054266,168.406800434219,169.160652963579,171.482017154801,172.553830609964
Samcheonbyeo,2,106.312080536913,98.6426059286552,102.355236055038,102.932898445169,102.656416542315,99.0899826120556,97.3403404475627,95.8163476018802,93.1682005973876,92.7877967812836,94.8380254845055,93.5016985927181,92.9791909438988,91.5924358664701,91.7504083926168,96.8444078692684,98.6171932021366,98.6837542739523,99.4877215466786,97.0688459137347,95.2726810425871,94.2857514032333,93.7837164246841,94.1509376046956,92.9737067019516,93.1683865562068,94.6919685397476,95.9372919448367,97.1762041583086,98.0215011388915,102.173202548149,104.363041792381,105.652239302349,107.999594515548,110.089588101765,112.811064777765,113.281615899422,115.104078802218,116.461853887286,118.780042767012,119.899108740451,121.319667627463,123.418631746805,126.333734233576,128.069054586899,131.605533261703,132.918661141792,135.905931856799,138.062352307867,140.422460683255,142.10231023677,143.660556959491,146.388668488027,147.550801892936,148.106999314984,152.493409419928,155.911662931253,156.606212851293,158.092474254293,157.308360567618,159.098445048072
Samcheonbyeo,3,101.493249324932,102.106632466105,101.675192831216,105.608050048994,102.736772945902,100.617499394065,99.3178643391834,95.2512807899083,91.8023297760409,91.4654139284889,93.6176078189897,94.9324830900161,91.3176819892468,91.7660844388961,94.6854845817281,98.1254043297805,97.5616333590829,98.6467001629549,98.7316428835402,96.7641713803614,94.1476536542362,94.3588452671725,93.6715510987134,94.4398215565504,95.0430279701606,95.0171722103328,95.8137629293518,96.4049738349523,96.6386194586027,97.9077318725622,100.190388646964,102.317671027597,106.142845184439,109.309408241992,111.959784998161,112.996574086377,115.598173449986,117.543112521605,119.53127574702,122.30228295635,125.969238248138,129.670910299047,132.604647830939,137.625572910385,141.887825636619,145.655738341652,149.553028363068,152.562634164626,153.722090281984,156.400114259299,159.606735815617,162.462636730798,164.179733447454,165.413341957973,167.936137641792,172.218165035659,174.293132331449,174.895545030782,176.652814385812,178.93745938099,178.961378972785
Samcheonbyeo,4,101.828986746473,98.2798544492226,99.1562943442124,101.884963214982,98.4909980493109,97.4929837997055,95.1207508419034,92.7087229181183,90.2870011970038,90.2202690195595,92.0091492826346,93.9082455842391,91.9336691928139,91.4849665206814,93.9194614821529,98.0306472936374,99.295488217778,100.653028019986,99.8993247335133,96.0916475433094,94.4766352875993,92.3881231929865,92.7079536412825,93.0777957827869,93.2626589679282,93.5167084911166,94.2637373121569,94.9702661377762,96.3198801024496,98.9534053376982,101.967198099636,104.80463058192,107.084490941618,110.850306217509,112.618826911709,114.515407508719,115.371476506972,117.235357869554,118.399654221402,122.606164901336,122.901891402879,124.752083678742,126.855250127138,129.357711678509,133.082259927462,133.941010702924,136.788835363642,138.850168093439,140.227018250419,143.867157390132,145.057445347044,153.743131376046,151.135253896485,152.04673030282,154.49462686039,159.312553988314,162.236730278043,162.645922905394,166.267509425066,167.470052743661,168.976777028775
Keumobyeo 2ho,1,101.162003610108,105.174802761341,101.027041973124,100.052577002842,98.986410549175,97.4001413094677,92.7967060035381,94.6052022080111,93.6645134049038,91.127400848764,91.3999293777067,90.3878985095104,90.3562634963959,88.3339437171749,88.5174975730009,92.2767196067607,93.4971563755623,91.9937531924871,93.2294383232749,91.1644463051004,90.312907142675,90.0538454924552,91.2044891378824,91.6750811769221,93.4737642130551,93.8810390983809,95.4406085819909,97.1329213570768,98.075334975715,98.1764981216979,99.3154836687588,101.25319442968,103.844899016054,105.4147652577,108.203499522151,108.399395887584,110.841932365187,112.648795020091,113.659403881271,116.1471851601,116.393468871062,118.620741897514,120.928879006595,123.698453202557,125.468640091058,129.338291230905,132.723045576056,136.484679287783,139.012703941808,142.835653503659,146.153919436953,149.158992170183,154.1611790739,155.777572574107,159.680807278037,167.477644337451,171.115486437067,175.533819764834,179.617752358854,181.573442327633,182.709730667048
Keumobyeo 2ho,2,102.932933630786,96.983071171616,96.6463949065652,101.294116405689,97.0884673291177,94.6225483710089,93.5332387887516,91.1913726766333,89.8202597455347,86.0100305240658,88.4240972741563,86.6243509059459,86.4397251220884,84.4970606252294,84.5731849921072,88.0299542838149,88.8280994041462,88.5672194503977,88.3427850107853,86.5109148446324,86.8762446238143,87.0209486553725,87.1937294316612,88.0458216996406,88.4714146567865,89.2964122667429,90.3426059333251,91.9524870741561,92.8046367577354,94.5724782825362,96.2103379081487,97.7145624443825,99.1792890949858,101.799249927706,104.519348525269,106.627089826971,108.698409293219,110.114374731137,111.294264757075,112.173317783834,113.262401516104,114.587862553135,116.351594730263,119.04469381732,120.643031200814,124.058654205446,125.863136737176,128.281807691396,131.50562538242,134.726775993735,137.050777869537,140.157952679923,145.098726497747,146.122199464836,148.981071240026,156.097714291849,162.205187812711,164.949562084602,168.88226020194,171.118465716664,173.534664997464
Keumobyeo 2ho,3,99.3030303030303,102.184554973822,100.659851912793,103.091806410529,101.948132935026,96.6193001557031,93.6299012693935,92.5007711834453,88.4608873951001,86.3173406307832,87.4294573724824,87.6223961146172,84.346529511082,84.1858406950385,86.0706104437495,89.166892574041,89.3542036585986,90.0066188138491,90.0821082584581,87.732428288608,86.2834477297455,86.3789174632814,86.3049946013429,88.7059199589808,89.6077007502293,90.7124267535127,92.2521893047392,93.130982333256,94.017468188207,95.8266816521738,97.5525541566453,98.5266822115206,101.435367245135,104.898493031449,107.044183741944,108.439342447305,111.608466980663,113.998969322829,115.022931182879,116.901414872964,118.081886184659,120.025588046115,122.305167625034,126.693522786153,129.873767707742,132.952102565014,136.543748405156,140.728752451223,143.492669935132,146.5084440971,149.423148716276,153.522093926981,156.981566805726,159.642180358584,162.943003156109,168.659407069851,173.239287845451,175.14494906058,180.227003235225,184.052814507096,185.647496278397
Keumobyeo 2ho,4,95.4482001014027,97.0299067218002,98.316616419295,98.3929502686061,96.5965729868333,96.124733892872,92.5822559250795,91.4421747118757,91.2314024577438,87.9852204802405,87.9091095883374,86.3030675128004,85.3226946229925,85.4699849884028,88.5592227165663,91.8064957260972,91.483010974628,91.138143072079,91.1199249313901,86.9495551321027,85.4635879280979,85.694621665732,85.9759434939509,87.3925758694314,88.8300814264525,89.3268648586836,90.1026151635708,91.6259785500825,92.8023806096057,94.1997635458137,96.0175647579924,99.1341328369188,101.334327946542,105.363234264664,106.354653827912,107.699535837581,109.028062340859,111.575186131563,113.775794011551,116.843780740979,118.187008810635,119.455896528628,122.041588631787,125.513308624819,130.687955997946,132.589794838046,137.086550816598,141.535106066092,144.901878918442,150.781224153788,154.450122338981,147.613012925696,163.105532877321,165.161570443139,167.015856608285,171.7796036752,176.284689062318,179.934552120661,185.027060782395,185.065503891747,185.651168084532
Undoobyeo,1,107.141914813419,106.48674304419,109.403541969918,110.08796108634,109.198920625223,105.115498628791,102.462619339045,102.614810738873,101.570820977951,99.2226555468891,101.960353032749,100.798149477047,101.141939079561,100.277587171571,102.491537103641,108.823510274782,110.799059286128,110.888867332845,111.582251118979,107.800722631176,103.542400674148,101.404531888124,100.542251363441,100.57660112034,101.252743625712,101.829513591616,103.020585062457,105.212989748156,107.950408433338,110.645478437478,113.236734857443,115.556359475566,116.975983659414,117.953563334965,120.744387876462,122.075517167854,123.64692393058,126.446798810848,128.727176323852,133.297752551529,134.769376516006,137.696877733291,141.295434630363,146.228571006398,147.412934393399,152.126126247277,154.931914501055,157.751340607742,159.883098966918,161.815684455735,162.97420641209,164.191866984284,165.257654194908,163.221611035759,162.543904348878,164.941208853392,166.002220222723,167.165387097395,168.47477613522,167.562887371187,170.23688079328
Undoobyeo,2,104.677382645804,104.806598114824,105.140060688999,115.952162902834,106.503975148739,108.255261687465,102.028983451057,103.78147725909,101.947868878001,101.153409168266,100.827604524801,99.6522004889976,100.966044557173,101.482955228984,104.249034360422,109.559725601482,109.497237532555,110.014958748203,111.257459984009,106.851495584408,102.587132319002,100.695712419261,99.6645642642874,99.0262531026053,98.8381590650565,99.4674272800675,100.706885710735,102.997648821846,105.629165663982,108.719335510166,110.271444574693,112.235970224091,114.152576186085,116.584577300429,118.945705745951,121.538848196438,124.29757532228,127.076296390598,129.113916113814,133.616800399565,136.812060479296,141.548022435368,146.497391258686,148.825541756783,151.104963408495,154.714748114563,158.1096719434,160.320357109867,162.765462775611,164.522652976713,165.091399643551,167.093544926964,169.144062601636,169.715858345566,169.924119332787,171.837174481374,175.771264596792,176.309142334248,178.4033815527,177.655366550006,177.640001609408
