Cultivar,Sample_Number,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61
Samcheonbyeo,1,100.497809686055,98.3535020804438,103.277081409157,102.136030667628,101.657266764938,100.556507326999,98.9673885984566,96.0354957426885,96.4101729421947,92.2929931791271,95.2873517479667,92.9528659403126,92.3567389930823,90.6028142107916,92.4638177922397,96.5020374401393,99.050275547532,101.150350212818,100.2017980365,97.1027413604417,95.9088980576635,94.218155333266,93.4932748344336,93.392451808945,92.9823501984895,93.3717403042487,94.7098377110778,97.4570963714628,98.087377322925,97.9703485244501,99.427497877341,102.299246398489,105.876986974072,109.303482880403,113.118409770411,113.850126138768,115.553884342114,116.665099112647,119.132953729194,121.129758571615,122.84788133656,125.471623255074,127.973213537771,133.15587030552,135.475564757493,139.629131824023,142.925076879439,145.899292534245,148.219657446862,151.35696614107,152.73648732425,154.955218657367,157.966756171311,159.116436968139,158.671625052847,161.216804150415,164.480679966306,167.855642416599,169.457117434776,170.329604402667,172.183643306513
Samcheonbyeo,2,102.936691710802,99.8575747759421,101.184469370147,103.696742230896,103.27264436231,100.94865147397,98.0091400236826,95.561517938238,94.5172909519064,92.252779117261,92.7870603258136,92.2673030853868,91.3485724617899,90.0527507619937,91.7789976031195,97.1407567025936,98.5222722310581,99.5618366712053,100.396675022323,98.7250657885672,95.8683957780311,94.927769050596,94.0286950726628,93.4337154189803,93.1972804972089,94.6177078857875,95.0647170501108,96.1974556191641,96.9932228473238,99.4774802124205,101.749293350555,103.235613512548,104.553522989456,107.319963044133,109.846985464598,111.955452351396,112.06938330132,112.993537583104,114.254890957182,116.422503905743,119.105610804362,120.174397238761,124.286907646461,125.924829501334,128.47749396372,130.981138185477,133.51272385829,136.681429675392,139.451892658634,141.231010784556,144.139855053398,145.114867760694,147.387351971923,148.087082026013,149.462002569539,154.651186293811,156.904371392468,155.75505671979,160.387245676343,160.071912693079,162.602474048646
Samcheonbyeo,3,102.612588401697,101.988791560705,97.181262842228,101.364609571788,104.240953524267,102.864523867363,98.0380303588233,97.0346469735662,94.8851717702662,92.7224746637264,93.5773055428492,93.6087586208814,91.6618012346978,91.1366880716371,93.6233854986371,97.9017422569725,98.2867349695024,99.939537369171,99.845304296097,97.775687319313,93.9412198010201,93.0972338799532,91.0023911826641,92.4347359504075,92.6986098982119,93.5825258509416,94.5057382071773,95.4371607730081,95.7256812750464,97.2101514235244,99.5125947457533,101.071171001552,105.002292589406,108.229900468584,111.177257933959,112.13974245444,115.499790161907,118.159852704047,120.611328943091,122.991197566505,127.078384178655,130.008158726151,133.401910087494,138.091946091937,141.682763467386,145.561719202919,149.682204342269,152.507139222795,154.420460074416,158.085453709641,161.01009310974,164.240224376663,165.640994665547,168.212230438113,170.665113222929,174.311256456167,175.39321788212,175.732156335086,177.852530991989,178.689914888585,181.904651153384
Samcheonbyeo,4,100.39125170274,99.1659145850121,97.3500063963157,98.2862524043599,99.5331449684851,98.9256520322439,95.5837941132236,96.5818618996523,94.0795152957621,91.3265917391335,92.9545126313058,92.8038163660919,91.3374235531026,92.5786561252475,94.4225415528105,98.5757307296534,99.9483513287186,101.175125905852,100.915980290148,97.1432841701355,95.5021519681521,94.7722726811843,94.1069669647455,94.725927925186,93.1084969220049,95.0134176185283,96.156506752451,96.9584385622661,98.4258871531903,100.59438400267,102.423599053425,105.583244013933,107.362239412514,109.924535994766,111.574974677674,112.157314009095,114.247597341704,116.271815246361,117.666977757865,122.765741880874,123.305612473929,125.711871287438,126.897668934406,129.918443995898,133.97900991322,136.003307469504,139.506970625021,142.289930250345,144.261712413763,148.049296335255,150.242752816442,154.770103598241,156.43060917354,157.681798354302,158.699425538999,163.032863460273,163.350255470004,164.821886437924,167.166662499911,167.213294692378,168.736522114734
Keumobyeo 2ho,1,106.056610870792,100.992487479132,103.974428726877,103.368396465138,99.9911688311688,98.3034317416896,96.257706547348,92.9033508127143,89.7178634573033,88.7070044818106,89.9585860634953,89.7738502784079,90.3375289007973,89.1038845620909,89.6873169008171,93.7189561588878,94.9662569639883,94.1085941707073,94.2418785542594,92.8327500610401,92.9858992849362,92.9504126943502,93.0318152945622,94.1377511837517,95.6267434325837,97.155219804684,98.2654262398212,99.948759877773,100.651666701224,101.431649168552,102.917345684655,104.16263956245,106.575678037465,108.686466076696,111.542446205236,111.412817690106,113.604185571688,115.285083153485,116.02803760253,118.384505877441,119.334290592071,120.738424907945,122.925962167893,126.800913543057,127.599991284996,131.488672633044,134.276015275771,137.341096026101,140.01358259836,144.257789841971,148.076496749787,151.484133311281,154.910337529324,159.008701416015,160.517170640386,166.743049402938,172.03922781586,176.307369945105,180.667314433486,182.265240700325,183.499565197058
Keumobyeo 2ho,2,95.0564750615075,97.9994190389244,99.3614946413054,100.954618906545,99.0964058268062,95.1210183477719,94.5310334049619,91.9054010359541,89.5269300385945,86.8375620803634,89.8332948162736,87.8469981306012,87.9298425010937,85.9482925035621,87.5905164626563,91.178972758998,91.0442350755553,90.5816428026431,90.3604008771288,87.7309774015701,86.7589814652684,86.2161223319306,87.1993184874633,88.3052980860358,88.7018775404965,90.5960478584371,90.6677361134548,92.2940242353171,94.1975315901028,95.9474556811475,97.1168360706929,99.8694631239977,100.815088623387,102.694550766871,105.891714456171,107.930902320018,109.512537922973,111.080079024992,112.125115101503,113.486249506739,115.240503689858,116.344046100941,118.84020307008,120.952193700896,123.373212246084,125.726379668076,128.471463074074,131.648793057075,135.958707052717,137.726176725872,140.718426920488,143.218756105344,148.801852361302,150.652450110153,151.527119316652,158.749271915948,164.680788086603,166.479788479172,170.257079198354,171.868552775716,175.005832986688
Keumobyeo 2ho,3,98.5136566988462,98.6192911684195,95.2617084501737,100.411774386947,95.9521281064641,95.9885329602659,96.5082832618026,92.5649370418179,88.589866998094,85.2810130097988,87.9975565207465,87.3592809154921,83.0240027805606,82.639715905236,84.812762474675,87.770465890183,87.5807955526744,87.7206146543895,87.8134095677368,85.741532889585,84.1107203040931,84.0303488393186,84.8164751556185,86.569483864473,87.3252499298937,88.8672052723512,90.5532305576436,91.4565165418531,93.2826678934046,95.3890041433536,97.1748874615132,98.111871554754,101.145183907539,104.519592059818,106.35685887816,107.603735656523,109.811160866345,113.044474669439,113.866998411479,115.558276544404,117.375432078358,119.276981087459,120.947805908081,125.419771706122,128.112985062773,132.058954534099,135.185416629316,138.783341206502,141.352140445526,145.432256405969,148.458392947601,154.426062616539,157.774033728244,161.261796506476,164.221004351046,169.820076559819,174.776486789253,177.268254764517,182.330835232552,183.732051204471,185.007536240368
Keumobyeo 2ho,4,96.8039177277179,93.2801835960886,92.4231425645693,97.5125910234344,96.1713767069599,93.8730431083381,90.9988838963563,89.4624688880987,88.8800874179299,87.4186449674091,88.4771449281729,87.4108606370772,84.7155097714721,84.2963583987606,87.2136156192005,89.7407839579828,90.3475971740327,90.5522259772861,91.2318093983925,88.4373954119744,87.1758663163742,87.9350374373769,88.3772435051826,89.511920303071,91.178486516886,92.7967978861955,93.1076159994844,94.8389720900344,96.4221536333273,97.7291663187094,99.3679545355116,101.520108626649,105.398512607439,108.437750371122,109.719342477828,111.855571740616,113.159698421345,115.200224960461,117.546122264492,119.51191789562,120.805880240063,122.599914033737,125.183927773274,128.849934782511,133.493824350844,135.990074311574,141.058406621469,145.539339979657,149.420323456379,153.778818626067,157.212273026578,149.709650677721,165.551254025032,167.723955754793,169.269299371138,174.768316787048,180.359563883679,182.944617049808,187.020523374515,187.168800094337,187.745372984333
Undoobyeo,1,104.555750145943,100.328815426997,106.639494949495,108.435361404201,110.465101108937,111.545471286512,106.028677908489,105.364434518849,103.184338161317,100.804365117358,100.720056859741,99.2684128419677,99.7676471272299,101.280884618871,102.62171723162,108.408164704824,112.032871613943,112.60031983623,113.280122768824,109.973135430484,106.161413116553,104.54811876377,104.000047767298,103.364586704031,104.223191508588,103.2173630119,104.066641359583,107.553746149761,109.67378130078,111.028819415997,113.342803451066,116.556093365265,118.237046593,120.018947392329,124.071006473775,124.557265973488,127.079069538847,128.494093138741,130.908755123867,132.415722268964,135.233691143568,139.051671493644,142.126182338064,147.444530155661,149.161354854175,154.374983921939,157.285715483941,159.583909036025,161.312958862228,164.467797708958,167.302350882547,168.848147187693,169.24118226015,168.733029585655,167.724052548006,169.029877811907,169.836021223634,171.233480762991,171.974201436543,171.30933674598,172.909653164078
Undoobyeo,2,106.012187596421,106.107566089335,108.956011601336,112.76340509409,109.046274089936,106.371719491918,106.067223921469,103.408339431486,100.998550300261,98.2373636086785,101.05721970831,101.761510458051,101.517446082861,101.534779619246,103.688705450391,109.198894142262,108.880814278383,110.067391951251,110.301786911924,105.308559052025,100.839765252137,98.247541270825,96.9526302537417,98.0080482660585,98.9341357096663,99.5994408207485,100.557759538928,103.240790987483,105.896650215588,108.060940874611,110.444338088677,111.80566603501,114.179063921897,116.151514480331,119.267487892142,121.714931596273,124.66859003044,127.753797185743,131.047954956437,135.076878261944,139.065687513979,142.419172729025,147.131197521072,149.09757315158,151.039729386088,154.801932390819,156.995417331713,160.068469827956,162.75696959535,163.737156785686,165.78887068271,167.51872646817,170.194320558703,171.46164136577,171.415445582635,173.871139407245,176.782551003937,176.548327687887,179.623978320731,178.402012468213,181.769454977152
