Cultivar,Samle_Number,T=1,T=3,T=5,T=7,T=9,T=11,T=13,T=15,T=17,T=19,T=21,T=23,T=25,T=27,T=29,T=31,T=33,T=35,T=37,T=39,T=41,T=43,T=45,T=47,T=49,T=51,T=53,T=55,T=57,T=59,T=61,T=63,T=65,T=67,T=69,T=73,T=75,T=77,T=79,T=81,T=85,T=89,T=91,T=93,T=95,T=97,T=99,T=101,T=103,T=105,T=107,T=109,T=111,T=113,T=115,T=117,T=119,T=121,T=123,T=125,T=127
Samcheonbyeo,1 ,86.06918376,87.59979983,88.06215738,87.47537361,85.73514748,86.98718971,84.80097456,84.05837326,81.97361588,86.60545124,86.19523256,84.5870001,84.34273229,81.13456726,81.24737885,81.11488667,77.05200321,78.10129339,77.88252365,78.36835701,75.37772956,74.45584783,75.1691587,73.53673532,72.52933237,67.70777537,74.16049882,75.54877889,74.00769224,74.19276571,75.76684042,76.15316209,75.65326552,74.53637179,73.73354784,74.05545671,76.64735923,75.97406194,76.78695698,79.01556112,80.3376925,86.36775393,88.88555048,89.0899473,92.24742127,92.56290617,94.78618236,97.71968705,94.68316184,102.9858698,106.5330339,110.449097,112.9488574,115.3608332,121.7803118,121.702124,125.3012467,126.7245481,131.4930207,131.7414696,133.6223283
Samcheonbyeo,2 ,86.21258814,82.06660995,88.23885068,86.17827472,82.69327767,85.29991829,84.3121614,81.07367364,80.98076174,82.97329877,82.81207871,84.22591812,82.50578691,78.73515977,77.1530811,76.62126448,79.98744591,78.13176129,77.10563567,76.63667841,76.4453044,76.35127764,75.71699404,74.07886372,72.76603241,70.96002612,73.60650747,71.82518669,71.42972816,70.83683968,73.70228851,74.18117858,73.80761856,74.20908257,75.62184541,76.03629345,80.05282496,78.33422609,78.11182381,79.67245593,78.89335476,83.4122474,86.68257784,85.76902301,88.89315163,87.14604003,89.32026035,90.52455957,94.03150035,95.04142981,98.23564023,101.110795,100.5727239,101.7832237,110.3913701,113.6922766,110.8200593,113.3007908,119.7043306,117.6950363,120.8592442
Samcheonbyeo,3 ,87.69713366,88.64239784,88.9185476,86.93429815,86.40215282,83.89556825,86.3955822,82.97297832,82.12288743,87.1884265,83.19393019,81.47650529,79.90603462,78.12009484,77.08497206,78.95700762,78.47719939,78.96850959,75.54881405,76.70280012,73.20896034,74.78683837,73.66641674,72.02902564,72.53129336,71.16597289,72.81378215,72.11617266,71.96595497,70.31564805,72.38526365,72.95591182,71.54750825,71.7526426,73.17880842,73.83511616,75.74981834,77.84279578,75.42528141,78.51950714,79.28594059,83.4851962,86.90808795,85.2847044,89.45354933,87.36824092,92.95275634,92.60350237,99.45708291,97.43785631,102.3481735,104.9343429,107.3036199,108.8568115,114.239613,115.8814175,117.6378083,119.9517081,122.4415467,122.3318844,127.8893123
Samcheonbyeo,4 ,85.70568562,83.40176863,87.54364625,83.12523028,81.64755177,84.7161272,79.94870748,78.84757417,81.88633761,80.90878184,82.91276086,81.53868822,81.8632958,77.67569423,75.83349326,76.77093715,73.82503853,74.65227635,73.33243595,74.62020485,71.4199772,72.135058,70.73228577,71.6389454,69.71327849,69.33974333,72.10265433,70.17447025,69.16505864,70.3147395,71.10226355,74.15403582,74.80193957,72.13283983,72.81985134,74.01931938,74.73995503,74.09842416,73.81607065,77.06463216,77.82125581,80.78748918,83.10890223,85.08187652,87.8667352,88.271653,90.52847312,94.0883312,96.76418969,96.31850144,104.0696394,107.6172998,110.1952086,113.8145833,118.0785953,125.3704066,123.087608,125.5938099,126.6445963,130.1163354,134.5585546
Keumobyeo 2ho,1 ,86.01202958,85.17614585,85.4622672,84.27501868,81.96167339,80.01416331,77.83518393,78.13697797,74.18251328,78.12891728,76.26397334,75.74787701,75.79751106,75.50690062,75.45331264,73.9869461,72.07141395,72.74068661,71.77540327,70.97281923,70.58005988,71.34264565,72.08528173,72.26870897,72.41252143,68.15416673,73.52243183,75.48257879,74.71661796,74.47276005,78.08717579,78.49398328,77.15952486,77.38902161,74.65181072,73.34327485,75.00127595,73.88126379,74.06041872,76.56156408,76.84189369,80.1287879,81.24127025,81.16659537,83.01649221,83.86799176,85.59975654,88.91781486,85.01707947,90.40992462,94.3449486,94.95006996,96.85844252,101.7183864,104.8522775,111.0768016,115.3578025,110.8108055,118.7148588,117.2868534,119.1089022
Keumobyeo 2ho,2 ,86.57797753,80.0705638,86.20007788,80.51039392,79.31360182,80.07264817,78.38191122,76.53151441,74.87365238,75.50539129,73.63641344,75.13928014,75.95003161,71.24631558,70.77444018,70.67110276,72.40760334,70.74328863,69.46186302,70.17374529,69.38070907,69.73056125,70.53390822,69.29630053,69.39624454,69.33361788,72.11841947,71.330275,70.06069158,70.68506684,74.6329687,74.83478076,73.00610878,72.94411284,73.27045935,71.76355443,74.32309518,73.54496358,72.69287261,75.50150059,75.0386204,76.85863801,79.41144498,78.44223531,81.91825984,79.98631296,81.88803359,82.96506466,86.42533884,85.83895211,89.07597345,92.85992433,91.12353192,92.79471767,101.8443656,108.3808347,105.639975,105.3212413,110.6615975,110.7015357,116.0168705
Keumobyeo 2ho,3 ,81.49991878,79.36589156,82.38462715,80.72909831,80.57170738,78.93821003,78.81008252,77.83650527,76.51913104,79.41180912,76.59519945,76.64657943,74.10537252,70.0795656,70.31716549,71.2924773,69.95079217,70.549403,68.09447207,69.40740711,66.93071727,67.45875563,65.18265808,65.45660181,65.96314483,65.21352068,67.47363261,66.85850132,66.71029875,66.16538003,68.40385371,69.70920977,69.39110145,70.34894351,71.91104018,73.77306705,74.313378,77.06155343,76.01555836,78.97369407,81.59213193,85.52281901,88.80739585,87.75920309,90.97244188,89.52063125,94.81119652,93.75255429,99.56083041,98.22104819,102.2209717,102.6986217,105.7012831,107.1614865,113.0280175,118.5519358,117.3867794,118.8646569,121.0824245,122.2804962,126.7601644
Keumobyeo 2ho,4 ,86.04809402,79.35966126,81.22164639,77.45396851,75.23119062,76.0025875,73.26600136,72.80234938,74.64061524,73.95934201,74.77624664,74.95336475,73.73309138,69.47522281,67.38066913,69.41466219,67.01644075,67.00431899,65.97445639,67.77351483,63.98183662,65.38155457,65.25610154,67.13620045,65.30116134,66.30828005,68.57455952,67.31086236,66.88876641,67.25338562,69.66840281,72.26519108,71.6038335,68.72313815,67.86343136,68.45917488,69.97892987,69.53187541,70.12754345,72.31652152,72.76591142,75.03065936,77.40154602,79.76572097,81.42274148,81.86641318,84.35383213,85.27206994,87.88827657,87.80088544,93.54106006,96.66026961,98.63159286,103.3597459,104.3755303,113.872231,110.2841678,112.5509784,116.8013509,117.8897624,124.3155029
Undoobyeo,1 ,93.32306008,91.3851496,93.02182661,95.19739283,92.18538289,91.12090446,87.96138397,85.20497489,80.21959103,86.99169465,83.83046387,85.62632857,84.21066846,80.66678149,79.6228116,80.41606957,77.80522268,79.02148188,78.62802107,78.53009299,78.52799526,79.57088073,80.48600561,79.87054176,78.99603394,75.367826,80.45502893,83.28956502,82.5502669,83.38295574,85.60051621,86.1406516,86.16851808,84.69864159,84.27112583,83.78705662,86.35184235,85.3684003,85.17454823,88.02648337,91.74604065,98.67837306,101.3352515,102.3292346,105.7712166,105.0269625,106.5391561,109.2899618,107.1847483,114.3097373,117.9132946,119.3555765,123.1225332,124.0743931,127.7485116,130.5532022,129.233268,129.8649983,135.0878696,134.2282319,137.4657852
Undoobyeo,2 ,89.57459761,89.98011126,95.01895008,93.40687669,88.01828024,93.49798403,87.78064376,86.73933047,86.82940939,90.05007188,85.69732184,83.46188761,82.95255246,80.13015812,79.78933242,78.48669909,81.45522856,78.18333073,76.69636022,77.00453649,74.95612219,75.08470146,75.17418067,74.26778892,73.64481763,72.72373703,74.614159,74.42334137,74.28079757,76.02585117,80.8523644,81.32225006,81.19178941,82.94976816,82.80028942,81.36866682,85.97326912,85.11766744,85.1421599,87.94206333,87.75951495,90.34918902,94.48014048,92.37712412,96.65495426,95.192738,95.58023944,98.16906837,100.7955117,100.8433665,102.5263257,106.4370153,106.9140425,108.1506747,113.5780923,119.0299547,112.8189094,114.5490402,120.206811,117.5719424,120.3312926
