Cultivar,Samle_Number,T=1,T=3,T=5,T=7,T=9,T=11,T=13,T=15,T=17,T=19,T=21,T=23,T=25,T=27,T=29,T=31,T=33,T=35,T=37,T=39,T=41,T=43,T=45,T=47,T=49,T=51,T=53,T=55,T=57,T=59,T=61,T=63,T=65,T=67,T=69,T=73,T=75,T=77,T=79,T=81,T=85,T=89,T=91,T=93,T=95,T=97,T=99,T=101,T=103,T=105,T=107,T=109,T=111,T=113,T=115,T=117,T=119,T=121,T=123,T=125,T=127
Samcheonbyeo,1 ,107.0429943,109.3317844,110.3401857,112.4029482,107.0089889,109.1239847,108.4563154,105.4575191,104.1933273,111.7941502,106.8855897,109.0938923,108.3353845,104.1663737,104.7507516,103.0736315,99.02995022,101.7678806,101.8993136,101.8168144,98.9292954,98.01616047,99.38783061,98.18258166,97.69293208,91.38726315,100.840816,103.6429566,102.2085483,102.9732029,105.860455,107.1461836,106.4248163,104.3447096,103.1359343,103.4728362,107.146699,106.6293559,108.0868605,112.0141349,114.706864,125.2211697,129.1787221,129.7085259,134.5213438,135.1157688,138.8962118,143.5729384,139.7684475,151.8174207,156.3271298,161.472527,165.1836291,168.2860169,176.5125747,175.5950497,179.2596152,179.8718601,184.7572748,184.0633128,184.6364998
Samcheonbyeo,2 ,108.5874902,104.0338579,110.042078,108.0055195,101.103288,107.6906851,106.5234145,103.1636641,102.2590934,106.442373,106.9981487,108.2747665,105.6594907,100.2840594,100.5865915,98.92082895,103.5293236,101.1541924,100.18038,99.77434063,99.74356596,100.1771544,99.36023022,98.24477223,96.25872953,94.02188207,98.80133625,96.66001424,96.78336568,97.19204583,101.6985398,102.2998483,101.735817,101.6141618,103.1507086,104.0282387,109.4299601,107.26925,106.8406978,108.500111,107.219271,113.9580245,119.166427,118.2957105,122.8089404,120.6190171,124.7214269,126.653204,131.7277523,134.0468244,138.0605932,143.0815766,142.954329,144.8201405,157.0048307,161.6535417,157.0440562,160.6130925,169.2957802,165.911176,169.5045191
Samcheonbyeo,3 ,105.7022521,105.5788218,107.5205757,108.6120019,106.502456,105.7340572,111.0251522,104.7429855,103.8888945,112.9147497,107.8211619,106.991342,104.2784415,99.91663748,99.81069944,103.1679076,99.99301222,101.5770678,98.39886219,100.6647578,96.32829076,98.19171748,96.92935234,94.97816486,95.60061596,94.4489384,97.48883872,96.78396624,97.33576606,95.39624518,98.7840928,99.79440119,97.81614888,98.10715807,100.0914791,101.3729616,103.9753888,107.313001,103.9957653,109.026054,110.288026,117.3078281,122.221328,120.1633145,126.3783943,123.3801318,131.9718808,131.2867706,141.9824037,139.3287596,146.6775711,150.5713876,154.7483737,157.0818755,164.8224399,166.7997163,168.6863875,171.3893852,173.206934,171.9638597,177.2075325
Samcheonbyeo,4 ,103.3558737,105.803589,111.4546007,106.4231561,102.1350464,106.9255116,100.5516211,101.5777413,104.588117,103.4016376,107.9116916,104.8705481,105.4416143,99.06081201,97.76611197,100.5641953,95.51241713,97.17614084,94.81448518,97.83907817,93.93804323,95.71826194,94.33861626,95.88575964,94.05173242,93.68151832,98.42935769,96.75119972,96.02902947,98.08577241,100.0500157,104.6217121,105.4475304,100.7909661,101.3902421,103.3302136,104.147984,103.3871425,103.2066574,108.2891255,110.2651054,116.3074857,120.6140407,124.3485771,128.8113458,129.5423313,133.3550975,139.1846349,144.1551484,143.6305971,154.9628088,160.9274923,164.5837284,169.386524,174.7793547,183.5385306,178.6998301,180.5555421,180.7355744,183.4414169,186.972167
Keumobyeo 2ho,1 ,107.5970643,107.7079214,107.8187994,107.72136,104.3452245,104.1775625,98.52286993,101.0799608,95.59516303,101.6737148,101.0586966,99.00021168,99.57402398,99.36718651,98.59452271,96.76712915,94.77527444,95.75563881,94.50125527,95.26381001,95.01520821,96.06771935,97.81360212,99.11495785,100.5718048,95.24755821,103.5129601,107.074673,106.5411104,106.9184214,113.1567102,114.2575351,112.3682581,111.324518,107.0514012,104.8600539,107.1067966,105.4740651,105.7726555,109.5400352,110.2827044,115.5602629,117.4093276,117.4177367,120.1422985,121.5368246,124.2312564,124.754894,123.6715917,130.2723695,132.2982476,135.1612429,139.1677516,142.9397408,149.2904137,152.7538857,153.0560873,158.5647532,164.6622222,164.434634,166.8347627
Keumobyeo 2ho,2 ,107.6188764,103.6894281,111.3681075,102.3339667,102.4790534,103.1490331,101.5753951,100.0771566,97.35665905,100.8593835,97.43474194,99.92082915,100.9476313,93.93353873,94.18626643,94.17277652,95.18978708,93.64621081,92.68358049,94.18653374,94.04483681,95.05322404,97.04322589,96.15743793,96.69878785,96.6341912,102.2157199,102.0349005,100.3431763,101.7600968,108.3659921,108.9570646,106.2461747,106.0616704,106.21816,103.4660275,107.20824,105.9255882,104.6771725,108.4826528,107.5329137,110.4208072,114.4376035,113.0396319,118.0129213,115.0791526,117.4756281,119.2339446,123.5921808,123.5382691,127.8302714,132.9409517,130.5091274,133.0067865,142.3330303,146.3419003,140.9355851,146.7111761,156.3642981,154.0834011,156.1932782
Keumobyeo 2ho,3 ,104.5768356,99.44847106,105.0209838,101.2612876,102.3328115,101.5952315,100.8888445,100.5928822,98.16552548,103.8319016,100.5047905,101.0814966,97.6513422,91.61175156,92.78690626,95.19378298,92.05487441,93.31761609,90.54902893,93.17257577,89.49986528,90.76745169,87.98032186,88.34809622,89.33649546,88.96815213,92.79359852,92.36943673,92.4261181,92.13364265,96.44587158,99.18245146,99.10642282,101.5374186,104.0090794,107.9448187,109.1135496,113.5935056,111.9496289,116.9046059,120.3192567,126.3678482,130.8578799,129.1435369,133.8980594,130.9188467,138.7628917,136.5004963,144.4640392,142.2863332,147.8242238,148.1987988,151.9624597,152.4850369,160.1780976,157.5715821,164.4437448,163.082792,168.7979984,170.2607207,177.4472972
Keumobyeo 2ho,4 ,108.1646257,100.4751204,104.347604,98.28851005,96.90929276,94.87256562,94.63397603,93.51312408,97.36304188,97.17945623,98.14720789,99.28703388,96.49073343,90.41688684,88.72864328,91.41806723,87.98772428,89.40840775,88.53099504,91.31176008,86.39975434,89.24423283,89.55109179,92.70684667,90.96677343,92.78512702,96.95667017,95.66260874,95.47028079,95.94239975,100.4168696,104.3016985,102.9613131,97.92604214,96.27443207,97.12878547,99.74235237,99.53128531,100.5772958,104.4375883,105.5424268,109.5806562,113.1073527,116.9520297,119.47793,119.8563834,123.7391778,125.2839544,129.6882065,129.7028421,138.2941885,143.3010665,145.7324892,149.231267,154.0438484,160.5860379,157.9534494,162.2176775,165.983514,169.5983016,175.3455781
Undoobyeo,1 ,116.3218085,115.0476738,118.6996708,117.6197293,115.9549015,115.2395646,111.3667037,110.3650146,102.3570221,113.2126621,109.059743,111.0311834,110.2047298,105.4502795,103.77126,105.8402857,103.3224309,105.4122351,104.8204713,105.7273913,107.4603043,109.5449689,111.9939739,111.4594289,111.6814142,106.902375,115.0080377,119.8027612,119.1423282,120.8677592,123.8978718,124.7225263,124.3886361,121.5591911,120.6144598,119.4137482,123.2222551,121.6944399,121.4277193,126.2866897,132.3101261,142.9720135,146.3949606,147.3705656,151.9766816,151.6257587,154.0779697,158.08385,155.4299712,165.6207169,170.0449534,171.8460689,176.2907001,175.8385744,179.9936381,182.6135183,180.3087703,179.9188119,185.13026,182.4230131,184.7066417
Undoobyeo,2 ,110.1846884,109.6356778,119.2543664,115.0970701,113.0166262,118.074194,113.8819974,111.9704264,110.9660575,117.8641764,110.624609,109.2580579,109.927349,103.2421908,104.8499144,104.3673202,106.7723469,103.1635196,100.953472,102.390561,100.5484472,100.747951,101.6723805,101.1049303,100.8528306,100.051631,104.1533935,104.229868,104.0260015,107.0760725,114.3855299,115.5596424,115.5159292,116.8632634,115.5934823,113.2202019,119.3841391,117.9789066,117.5150628,120.8469184,120.1564637,124.3287991,130.2125747,127.2891056,133.208645,131.2822585,131.7294003,135.529157,139.0630634,139.8866473,141.9707277,147.6519602,148.0363852,149.661873,156.8815727,163.6393623,154.6004503,156.1659138,163.3399719,159.1259342,161.8446838
