Cultivar,Samle_Number,T=1,T=3,T=5,T=7,T=9,T=11,T=13,T=15,T=17,T=19,T=21,T=23,T=25,T=27,T=29,T=31,T=33,T=35,T=37,T=39,T=41,T=43,T=45,T=47,T=49,T=51,T=53,T=55,T=57,T=59,T=61,T=63,T=65,T=67,T=69,T=73,T=75,T=77,T=79,T=81,T=85,T=89,T=91,T=93,T=95,T=97,T=99,T=101,T=103,T=105,T=107,T=109,T=111,T=113,T=115,T=117,T=119,T=121,T=123,T=125,T=127
Samcheonbyeo,1 ,83.57289393278045,85.55318844724049,86.58404067,87.33215095656219,83.28039885060294,85.43445918450395,85.06368726144775,82.77147181598203,82.85284860750453,88.28223830546366,84.81909431992096,86.64293155909267,85.88249308106883,82.75655840821217,82.86558330374758,81.41438537387349,78.38257112910978,80.57979053011434,80.73231768,80.75852801,78.61328626409396,77.94612700970548,79.22888913,78.21298285532632,77.94123212433803,74.30948531770878,81.06553889994198,83.81997562,82.99755611612689,83.39162595767051,85.95543717330652,87.42668896330427,86.98804208008566,85.60040414985261,84.66410382357239,85.55946105006957,89.07688967227652,89.08062701,90.57888085430017,94.61862975904509,98.19637917710106,109.91707319197326,114.35781570762151,116.026039,121.07381266325217,122.72567336387127,127.03671722607116,132.70824107733515,130.58498016641548,142.5748958523161,147.7964125543526,154.21434524426357,158.49568117192493,163.32272352724763,171.7597871854878,173.30983842179486,177.5781007945302,178.9574588636655,184.6448782239757,185.0696226409936,186.58469620520606
Samcheonbyeo,2 ,85.68164011491251,82.15857082092727,86.78177980526996,85.36201206327529,79.64675503529007,85.27426568614803,84.07136082308496,81.47682045305196,82.13721863073448,84.81049107328299,85.23460196525207,86.56282597658354,83.86549842545337,79.99121807704644,80.08271883079635,78.66844520717137,82.29769940400432,80.76940266713825,80.47531026013014,80.00159008467413,79.73092252,80.41988614,80.01682687141032,79.23985360982451,77.80445830786489,76.82271258767045,80.10597524195674,78.46615209278788,78.69999306253025,78.38418286035504,82.33771594983293,83.29190879469046,83.03660013957148,83.41514102175213,84.91184257763418,86.08762406728663,91.05149845173693,89.60313087341584,89.27080562,91.36324179329992,91.30289838,97.73302812068464,102.95389860253493,102.51945904961575,107.20657905171566,106.60512547365728,110.08445115204738,112.67409637516367,118.13838170673888,120.43491901379194,125.04634339949892,130.8174602373318,131.17949934391044,134.37162312620208,145.96405449735974,152.56593990140865,148.94829744063205,152.8742349982619,162.88332996486085,160.4973894702397,164.64561148385243
Samcheonbyeo,3 ,83.03992395437263,83.77193528313627,85.06110565914295,85.94021354961122,84.44711946634324,83.72463194405172,88.48809728,83.33387663864764,83.64364596331288,90.43429894546095,85.84162767120962,85.11998890108697,83.31128800184064,80.36250638710752,80.30509398,82.80720960030638,80.53868963,81.94166483004447,79.41070986,80.87794468488126,77.66228201,79.33639167411525,78.44029718862903,77.11964547176431,77.84670315,77.24814347949267,79.81123608368841,79.28118666838714,79.56340018799841,77.60376871,80.57868718856895,81.79084149466081,80.35544076294197,81.01960899387932,82.92657134336751,84.66878911530566,87.35969015189247,90.81389675084766,88.10728805087655,92.85806911862481,95.18118570477147,102.56845841436906,107.77919150780045,106.60933255286896,112.76213292117465,110.56942352265378,118.54678597656263,118.57510798400017,129.21471258664442,128.46824707817038,135.6330019154932,139.63429637694503,143.52443001277467,147.7683426646011,154.61865139839696,159.2255971392998,161.77583281615122,164.65792492203371,167.91625726666297,167.0802746837547,174.10454724181358
Samcheonbyeo,4 ,81.33267140468227,83.66396028339453,87.95030767029193,83.94102603003967,80.75538127815786,84.76188608296926,80.16724089858998,80.26077783680981,83.18098580715738,83.12906723,86.35193683724593,84.29989162805383,84.80280520662618,80.08573689331809,79.06178841,80.91787412920928,77.20541553,78.62026337773442,77.14618773870707,79.28973502687595,76.50526382462994,78.03407191097611,76.97982933969406,78.54880224698172,77.30073911267426,77.35513337180087,81.38651788821078,80.49612742,79.59191740644906,81.26591198434865,82.99394923549103,87.11640562487781,88.04392904,84.46493716700762,85.31820471846146,87.23136627646664,88.28752230689648,88.01696131970284,87.80278652604375,92.72466873897757,95.42172274698585,101.97115008664365,106.7682564984012,110.81360076491131,115.7093024928523,116.80074314237899,120.77269270136257,126.1631433670765,131.8179475502674,133.03779664186354,144.1684618955591,150.54440764688152,154.69265463392014,160.8909242655066,166.12641671218233,177.82197131232738,173.72026227838964,175.91685334156716,177.95050119452964,180.9543816710425,186.0572345418527
Keumobyeo 2ho,1 ,83.64992826398853,84.00365900629092,84.52802809741671,83.65879174570328,80.98434485178039,81.23449163843713,77.19042438792607,79.43311726576312,75.59938106523457,79.82391906341677,78.85308534317649,77.40160525,78.12371321699307,78.13210440509435,77.58799022089777,76.10917451474555,74.52666733807433,75.40935024999212,74.58352330737594,75.09793411665872,74.98959030411183,75.98847487825752,77.64814174720773,78.98419546988876,80.43444166882755,77.56307866831867,83.18087247730112,86.66057478244882,86.54480089455116,86.85479191265343,92.42875110945904,93.91053710195267,92.52360035170395,91.84227175974074,88.58303053898943,87.32138146228776,89.60285841780357,88.73930744309456,89.17842898820862,92.96330425,94.33038082031337,99.94521137358674,102.07255921377855,102.77531570649923,105.57313673200221,107.39236726921997,110.63904809608267,111.69949908672088,111.91612190652225,118.04330866317507,120.28477338581276,123.97146111515376,128.09656447585144,132.32914910663922,138.86958601978415,143.20442385868162,142.88752858450619,151.0992394858231,156.98441766301656,157.81613244469483,160.7435147078667
Keumobyeo 2ho,2 ,84.78797752808988,81.67240767944887,87.68835669781932,80.52990556,80.17193226,81.21761721626709,79.83296998324552,78.97797147497499,77.65195610830139,79.72383806405098,76.74102540977309,79.19233299877328,79.41482206129729,74.21199134,74.52731467186717,74.28680763,75.27793731,74.22066063062903,74.03034909868241,75.22101646409243,75.05632028085483,76.28317734539874,78.23408653,77.89364723426009,78.48492476379515,79.33247863314924,83.41786588,83.50311462682552,82.35148658598554,83.09391084202105,88.80073008296463,89.66212109193837,87.72645529577062,87.95139880092812,87.88574481153468,85.84164658819296,89.27292336067431,88.56538290023107,87.60735692000112,91.70706510642897,91.80246643110992,94.68303212016167,98.38672696661958,97.31030380163261,102.24604394070789,100.76431446357148,103.00694258573668,105.43772143848331,110.37482064785593,110.47541277985242,115.42263943691488,120.64035893430335,118.54197643385835,122.02373236147233,129.81167625900324,134.61083950402545,129.70679292365278,136.2453812641849,146.6862519030182,144.7919991384217,146.07847328747658
Keumobyeo 2ho,3 ,82.04264132553607,78.44136744547423,82.40396743492718,79.17495734,80.323525,79.60189473406432,79.35897987,79.17395753780357,78.09095104322294,82.31136381085624,79.61985513206213,79.94396961635228,77.50643662543145,73.05292444536381,74.06211072380037,75.77088610689262,73.49638692322536,74.62944374025919,72.51698353265404,74.45862044914904,71.70413120915894,72.86240742369367,70.84258082757208,71.36491829,72.46277467763178,72.45016642335332,75.64229069,75.47060050786592,75.46232594198264,74.99878010024365,78.76884569180338,81.35630267382362,81.65687626,84.23344867430748,86.58843574,90.20971721778123,91.90679731998107,96.36938683,95.02980295677892,99.97308539,104.46693819108908,111.2738571670625,116.05361860328827,115.22176879088038,119.99837335439736,118.22583525014713,125.31062872465802,123.84676404538756,131.98707146990006,131.3621219702291,136.28578357433656,137.12587389999857,140.3860149412419,142.2626066356698,148.24396412067165,146.15431119691416,154.45159144560785,152.67907015699475,160.07703808112345,161.74528940073398,171.27082652088555
Keumobyeo 2ho,4 ,85.33320166,78.69358498920684,81.67575484452456,76.94482063,75.92758344556474,74.84765404572168,75.01821591465944,73.98095292043419,76.64083266434751,77.71631397555859,78.74674820423219,79.29350339859724,77.28236538419745,72.76925394517835,71.35494232259985,73.26327589387846,70.56410766778916,71.89229771,71.27163500671254,73.31395274,69.71999726094232,72.06301331002545,72.43702514,75.25469111215989,74.13598713045877,75.93979922510717,79.55643361939707,78.59356443652679,78.24860054,78.84109640434961,82.74793612461134,86.22820032,85.14289230476541,81.38717952919201,80.21216050114202,80.92303712899695,83.41324661968703,83.83215560028361,84.54952145076926,88.36883333116684,89.95581020592842,94.49457131775995,98.36697528239812,102.54345677605282,105.7835916340656,106.5397884933429,110.34769132005597,111.81306696165655,116.75873950114354,118.08485725378688,126.53342464906382,131.80531891572775,134.4654118823037,139.00799551736253,143.6655268121888,151.23019586915748,148.92899329858358,153.61552338538849,158.71956620096017,163.2371732304661,170.30270443601802
Undoobyeo,1 ,91.09699624530663,90.14312569,92.90635288379465,92.50970167961896,91.29194312796209,90.73904546703716,87.42922228702858,86.44904948984731,81.02488006716239,89.32588191,86.16194059068857,87.89126426816934,87.20181462890544,83.46905088623159,82.27199064197741,83.82412580943571,81.81267455832683,83.74105411992772,83.44728846998314,84.20769233769678,85.49900419505697,87.26517204676877,89.55623683404443,89.44102682,89.70839012684671,87.53599321430414,93.18704129197326,97.73773999,97.58654411741577,98.98545638224235,102.22340445726287,103.43660773438774,103.32396260589368,101.26456170063658,100.69533877042936,100.42767689746809,104.58282782875426,104.05638805494002,104.45402648050394,109.73176720021813,117.28138793329775,129.97847454380832,134.02171376185217,136.06808527219928,141.03770991066767,141.69900372129933,144.71068229325513,150.13848001709275,148.5933897027095,158.66747140781962,164.29693494390443,167.51574345654447,172.28279310340275,173.39116707980816,177.7302015640865,182.39499371310902,180.64962794512948,181.1713131164678,186.75288425672449,185.56159027097223,188.15407991798097
Undoobyeo,2 ,86.92581510524144,87.28994894460108,94.45876008114394,91.25369790925899,89.27538504500247,93.71940022993346,89.89918926744522,88.86891905018412,89.51615578694991,94.33961207657578,88.22361507745181,87.29852710120845,87.19337013580056,82.69587928,83.83377974260512,82.89627617093196,85.05144968482567,82.48259650056653,81.31799986407111,82.39362891648709,80.67858188868951,81.18394516758939,82.20654186689266,81.89243645776776,81.86144899,82.11901896903876,85.03308259487085,85.59480461555383,86.23237058013449,88.58919461383474,95.39170420181304,97.15144690226391,98.07235743885737,100.36493602322345,99.73179264024434,98.51056193498947,104.71289029832677,104.24851734126334,104.03208912541028,107.89229113843273,108.56998965009046,113.4166266550511,119.43615248279167,117.23615887318081,123.0886911066786,122.01679144289011,122.5909495346106,126.79103429510027,131.24087918574597,132.66546378205405,135.6675324244559,141.80229273051484,142.3558432300072,145.43026013271532,152.72633386215048,161.1157715414557,153.0179203716882,154.83962518498103,163.16869698559137,159.7999264,163.27175634026952
